,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GFS,GSK,GLEN,HLMA,HMSO,HL.,HSBA,IMB,INF,IHG,IAG,ITRK,ITV,JE.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MDC,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,PSON,PSN,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2017-12-18,8460009003.147521,9892871425.153618,3548429159.1625795,14668236337.453463,3150008492.69315,9206191401.44928,61724205561.8496,3175594863.974148,20034848949.31056,17966302557.54453,34483890006.73367,6140938645.1952,5082578297.98725,29937677110.7848,98881121750.91496,108455063838.76727,6720125068.577201,23147648850.912796,6610823929.64124,7046186530.97832,9077147653.49658,7752271778.151127,4258359591.423,24090502713.78815,21350177668.352432,5766086312.822405,6104348491.53,66520544321.8398,4960689249.999999,1012349205.7893759,3698714748.70674,14895047629.4648,13970568954.025433,6715330922.63155,2458719149.0573997,3902818580.5369596,63159502349.268,44431253807.571,4652398960.80232,3998434454.9625607,4429149374.759999,150786890655.6425,29489303809.60179,6075076119.103621,8432245118.522221,10345385752.16181,7995593993.625999,5936391700.66762,4560952412.950379,5847573880.764,71834982.3089171,7259443054.8662405,15648256802.976557,47231600803.32416,13040561049.9633,12780472769.847107,2256187231.743,4632170658.207617,0.0,3784890622.333304,6655872349.82,4787215566.752305,28484803560.12825,5865168625.23312,2427527139.462,5837292664.59318,7798756064.770599,47789748537.088875,44133658521.073555,16281002320.0,5616247330.101135,42826297799.47007,405005108.687088,15239292102.30618,9506830554.113121,199262368990.64856,201431378141.70715,6140131615.006791,8453987007.514905,4907515734.846,5845822085.38496,5892699604.32087,5690884956.446831,4934319150.0019,11153358276.550701,4977676261.30694,5705796731.11788,5628077042.71848,13273313033.090601,24925142573.704357,13433258290.272,5854044716.091599,65788300.809014075,16618624593.18156,6481183362.809759,49820695253.74656,5569213680.0,61465930903.248505,4056880767.4836006,6988484619.6165,17175984491.53356
2017-12-19,8539555547.978001,9743767509.5274,3557698827.81243,15476517817.016424,3193711918.9525,9403914736.944,61938503835.014404,3219408762.6435237,20074640109.09072,17855399455.337467,34543257254.654755,6238413861.7856,5099621674.31583,30253031855.631554,99271493333.03462,108957777758.2134,6770051703.5592,23043455256.877357,6686021234.4789,7164712870.536541,8877177548.715,7702041075.48492,4300485299.20912,24279324420.23195,21258330990.858543,5806015295.168641,6095928700.507199,66558077072.068405,4995938750.0,1025525117.3614719,3563838755.06526,14811419788.7504,14076500502.800972,6672309000.5879,2513765100.1557,3963028202.62594,63451007744.726166,44979261597.440994,4674535672.74904,4028385274.8499203,4452542769.344999,151086427585.8285,29584599669.383995,6046264782.495405,8528012195.620614,10418873101.62468,8066912473.252,5904148173.023681,4522871243.15696,5845657899.806999,72007300.10755919,7310928466.60288,15735709802.99319,46892668700.08608,13030225070.26716,12816026708.65998,2243156447.40125,4630653406.108629,0.0,3837667981.6088676,6713749500.688001,4753862926.946785,28704472280.03256,5830683861.444119,2496984282.2219996,5837292664.59318,7973178584.7939005,48587316345.783226,43943681365.4982,16281002320.0,5715986950.106159,43213706743.37975,406558953.608704,15613879018.489965,9479354165.2284,198198326765.60095,199958088907.02585,6160312819.986271,8470151418.61914,4934548660.50405,5892965811.88,5924797831.85235,5730577266.51795,4946056350.64415,11136012462.7458,5022075678.673617,5670454562.79024,5714554970.700451,13323974533.216902,24941495508.078915,13599578819.47843,5863883446.70688,66761980.643385276,16542355543.116236,6547049047.39116,50178859849.38815,5616755748.0,61625031673.489876,4102136807.9176803,6993914677.596,16819432200.72864
2017-12-20,8450650586.10864,9754170108.292019,3600339303.6017394,15300353904.803982,3176902908.8527503,9403914736.944,61541421740.620804,3184722759.5302677,20094535688.9808,17839556155.02217,34611105537.99314,6306646513.398879,5097186906.26889,29937677110.7848,99154381858.39871,108914063504.34851,6795015021.0502,22689197037.15687,6748140747.17088,7209671137.26552,9372430611.9591,7679716318.744384,4316969271.82108,24656967833.119553,21592318909.018143,5807353368.706797,6150657342.155399,66720718989.725716,5016275000.0,1019878298.1162882,3677964595.83882,14783543841.8456,14301613417.92,6836574521.1182,2440370498.6913,3978466567.26414,63523884093.590706,44894015941.23899,4670846220.75792,3987202897.5048003,4512325888.839999,151026520199.79126,29984842280.469234,6025685256.346681,8529866993.7518835,10508690973.19041,8074836748.766,5922061243.936981,4508224639.39026,5889725461.818001,73364302.77186556,7285185760.734561,15805672203.006502,47259845145.26067,13075014315.6171,12627928060.176184,2133325550.8065,4704950845.734818,0.0,3875366095.3771276,6670341637.537,4742745380.344944,28504475385.79133,5838960204.75348,2496116067.9375,5809170814.17876,8026392234.970499,48111348459.9495,43760255146.322,16158659528.0,5650702835.193781,43131529088.61104,413231346.50740796,15714377947.2222,9520568748.55548,197748155055.00388,200080863009.91592,6195629928.70036,8475539555.653886,4942866483.78345,5945160651.92808,5939509519.470946,5720654189.000171,4936666590.13035,11170704090.3556,5125677853.899899,5823603958.876679,5742601866.262171,13253048433.040081,25186789523.69732,13599578819.47843,5917996465.0909195,66924260.61578048,16570454666.824512,6648043097.082641,49802787023.964485,5616755748.0,61664806866.05022,4140927699.7183204,6981244542.3105,16610418788.87748
2017-12-21,8361745624.239281,9716027246.155079,3561406695.2723694,15502424274.694721,3212201830.0622253,9510010185.25824,61358637919.392,3139996071.3052797,19839872266.387775,18045519059.121006,34356674475.474197,6248161383.44464,5113012898.574,30316102804.600903,99251974753.92863,107843064284.65897,6750081049.566401,22451635642.756073,6721985162.87952,7009402494.5637,9243477927.56724,7735528210.595722,4335284796.945479,24483881268.8794,21767662566.051933,5776740616.173358,6230645356.872,66683186239.49711,5001361749.999999,1049680955.243648,3709089825.1407,14830003753.353601,14301613417.92,6891329694.628301,2477067799.4235,3981554240.1917796,63475299861.014336,45119308032.63,4608125536.90888,3968483635.0752,4556513411.945,151845254475.63306,29694189908.133526,5968062583.13025,8500382527.721996,10549517278.447561,8122382401.85,5893400330.4757,4476002111.103519,5885893499.904,72890428.82559985,7252087996.04672,15642426602.975449,47104501264.60987,12895857334.217339,12668626865.060781,2174279444.452,4691311547.918661,0.0,3865941566.935063,6760774685.7682495,4731627833.743104,28415952170.307507,5916206075.64084,2401480710.927,5853362293.40142,8023435921.071799,47905524509.3187,43275485852.784904,16215125432.0,5694225578.4687,43601115687.28944,408661214.38500804,15632151550.986736,9400359547.18483,197093359839.58997,198934971382.9416,6165358121.23114,8470151418.61914,4909595190.66585,5901384334.4684,5882000195.143711,5735538805.276841,4927276829.6165495,11066629207.5262,5120746941.772957,5811823236.1008,5716892211.997259,13131460832.736961,25131189546.823807,13433258290.272,5854044716.091599,66372508.7096368,16550383864.175743,6674389370.9152,49175998981.59168,5433379200.0,61731098853.65079,4153857996.9852004,7002964774.228499,16573534069.13904
2017-12-22,8389820875.355921,9716027246.155079,3566968496.46228,15595687522.336601,3237415345.21185,9466607501.856958,61938503835.014404,3150036756.4170117,19835893150.40976,17982145857.859825,34416041723.39529,6257908905.103681,5080143529.9403105,30841694046.012154,101281906980.95096,109941348470.1732,6730110395.573601,22739209962.29388,6689290682.515321,7136103064.43628,9110787484.2075,7646229183.63358,4311474614.28376,24767113828.545097,22009803806.71764,5790046248.961682,6142237551.1326,66870849990.64016,5013563500.0,1049680955.243648,3693527210.48976,14922923576.3696,14381074938.408455,6777908263.785951,2458719149.0573997,4057202226.91896,63791097372.76068,45582070166.298,4630262248.8556,4002178307.44848,4540917815.554999,152584112236.7586,29884781627.697926,5963946677.900505,8634855567.219885,10525021495.29327,8169928054.934,5907730787.206341,4464284828.09016,5866733690.334001,73170445.24839324,7299895878.3736,15706558802.987646,47224539717.84003,12816614823.213598,12694015064.731697,2328787315.9327497,4739831672.936795,0.0,3901754775.0149097,6775243973.48525,4751639417.626416,28350379418.097267,6081732941.828039,2430131782.3155,5849344886.19936,7996829095.9835,48098484463.03508,44074700093.4812,16205714448.0,5612620434.828225,44317235250.273994,407747187.96052796,15412881161.025496,9455312324.95427,200817507627.2566,202168022759.04782,6200675229.9452305,8453987007.514905,5021885804.93775,5906435448.02144,5951546354.79525,5725615727.75906,4931971709.873449,11075302114.42865,5086209348.660162,5843238496.836479,5716892211.997259,13334106833.24216,25101754264.949604,13653955529.59926,5873722177.32216,66697068.6544272,16646723716.889837,6727081918.580319,49193907211.37376,5508088164.0,62460310717.25706,4163555719.93536,7048215257.391,16561239162.55956
2017-12-27,8427254543.51144,9788845437.507418,3583653900.032009,15657863020.76452,3254224355.3116,9423204818.45568,62499461079.4752,3219408762.6435237,19827934918.45373,18045519059.121006,34424522758.81258,6296898991.7398405,5136143195.019931,30904764994.9815,101145276927.20908,107547993071.07101,6765059040.061001,22880913250.182076,6780835227.535081,7213758252.4227,9133214038.01478,7741109399.780858,4285832879.1096,24845789539.56335,22619331757.35891,5810017431.801845,6285373998.5202,64994212479.209656,5084062500.0,1061288305.914304,3745402592.6595597,14904339611.7664,14301613417.92,6883507526.984,2486242124.60655,4027869334.1063795,63499591977.30252,45789095331.36,4674535672.74904,4009666012.4203205,4572109008.334999,152644019622.79578,29451185465.68891,5992758014.50872,8714051597.844,10549517278.447561,8154079503.906,5936391700.66762,4505295318.63692,5903137328.516999,73773557.54364051,7285185760.734561,15788181603.003174,47662327017.855896,12913083967.04424,12683851434.31425,2330648856.553,4795938058.449865,0.0,3928143454.6526923,6825886480.49475,4762756964.228256,28248741652.17139,6317608726.1448,2440550353.7295,5909605994.23026,8058911687.8562,48407220388.98128,44867363397.77835,16252769368.0,5619874225.374045,44258536925.4392,411951709.51313597,15732650479.71897,9496526908.28135,201063055833.03683,202904667376.3885,6241037639.904191,8550973474.140315,4978217232.7209,5871077653.15016,5976957451.591006,5750423421.553511,5030564195.268351,11214068624.86785,5076347524.406279,5870726849.9802,5775323244.41751,13141593132.762222,25049424874.951004,13753081781.39956,5942593291.62912,67086540.58817567,16646723716.889837,6691953553.470241,48949161404.352005,5559026094.0,62526602704.85763,4221742057.63632,7156816416.981,16598123882.298
2017-12-28,8562951590.5752,9840858431.330519,3617024707.1714697,15942834055.225822,3329864900.7604756,9500365144.5024,62417523504.441605,3240402922.4226003,19995057789.5304,18045519059.121006,34433003794.22988,6365131643.35312,5144664883.18422,31430356236.39275,101340462718.26892,109285634662.2,6814985675.043,22518319542.938755,6692560130.551741,7332284591.980921,9163116109.75782,7690878697.114652,4434188632.61724,24845789539.56335,22293693537.1533,5868579003.70896,6251694834.429,67596483161.72662,5096264249.999999,1059719745.0128641,3737621285.3340898,15053011328.592,14169185997.591028,6871774275.51755,2561471591.10756,4057202226.91896,63621052558.743416,46830310132.113,4670846220.75792,4054592242.2513604,4644888458.155,152364451821.28885,29841898490.795933,5976294393.589741,8712214647.770222,10565847800.55042,8177852330.447999,5882652487.92772,4493578035.62356,5931877042.872,73601239.74499843,7340348701.8809595,15788181603.003174,47824731983.99082,12944091906.132658,12556780116.78465,2397664318.882,4809577356.266024,0.0,3977151002.55143,6909084884.8675,4831685753.159664,28527425849.06491,6255536151.324599,2530844639.3175,5873449329.41172,8100300082.438,48561588351.95438,44742895606.1945,16318646256.0,5697852473.741611,44610726874.448,412682930.65272003,15559061420.999657,9499961456.89194,202045248656.15768,203232064984.09543,6336898363.556721,8545585337.10557,4994852879.279699,5926639902.2336,5988994286.91531,5745461882.7946205,5023521874.882999,11170704090.3556,5101012689.153089,5858946127.20432,5798695657.385611,13171990032.838001,25150813068.07328,13874624782.971748,5942593291.62912,67378644.53848705,16799261817.02049,6718299827.3028,49367020099.2672,5586192990.0,62128850779.25421,4186183740.1524005,7194826822.8375,16487469723.08268
2017-12-29,8516159505.380801,9830455832.565899,3631856177.011229,15973921804.439783,3348354811.8702,9582347990.92704,63646587129.945595,3226711079.08842,19995057789.5304,18045519059.121006,34475408971.316376,6296898991.7398405,5144664883.18422,31640592732.957253,101008646873.46721,108618992290.76056,6834956329.035801,22218241992.116695,6761218539.31656,7336371707.138101,9219182494.27602,7724365832.225456,4432357080.1048,24861524681.767002,22210196557.613403,5884548179.851202,6272744311.986,67246177492.92626,5098975750.000001,1072581944.4046719,3747996361.7680497,15090179257.7984,14235399205.944517,6883507526.984,2544957805.77807,4015518642.39582,63159502349.268,46879021935.657005,4626572796.86448,4062079947.2232,4647487724.219999,152164760534.49817,29837133697.80682,5972178488.359995,8715888547.917778,10574013061.60185,8154079503.906,5889817716.293039,4473072790.35018,5939540966.7,74182812.31541544,7406544231.2566395,15788181603.003174,47718815701.72891,12919974620.175,12607599534.106586,2388356615.7807503,4786834545.855943,0.0,3954532134.2904744,6966962035.7355,4869485411.605921,28511032661.01235,6266571275.73708,2484829282.239,5873449329.41172,8070736943.451,48355764401.32358,44873914334.1775,16365701176.0,5670650759.194785,45385544762.26736,412134514.798032,15504243823.509346,9489657811.06017,201063055833.03683,203191140283.13208,6291490652.352891,8529420926.001335,5053077642.2355,5936742129.33968,5994343991.50389,5785154192.865741,5065775797.1951,11136012462.7458,5051671755.547369,5878580665.16412,5761299796.63665,13182122332.863262,25284907129.94468,13785069727.703266,5996706310.013159,67248820.56057088,16779191014.37172,6705126690.386519,49122274292.24544,5565817818.0,62234917959.41511,4244370077.8533607,7187586745.5315,16585828975.718521
2018-01-02,8559208223.759648,9781910371.66434,3726406797.2397,16155267008.187883,3405505446.20935,9591993031.68288,64617232249.5744,3209368077.531792,20158201544.629055,18276831243.72431,34594143467.15854,6380727678.007585,5127621506.85564,31892876528.834652,102316391673.56813,109460491677.65952,6800007684.548401,23080964950.730118,6761218539.31656,7332284591.980921,9108918604.72356,7713203453.855188,4437851737.642119,25254903236.858253,22168448067.843452,5893864409.6640005,6319053162.611401,68309605416.070206,5192522500.0,1054386637.9479681,3779121591.0699306,15155223133.9096,14158597283.7408,6887418610.8061495,2640370787.68179,4101973484.36974,64276939698.52428,47469652553.628,4670846220.75792,4080799209.6528,4694274513.389999,153003463939.019,30227846722.91384,5943367151.751781,8653262863.844114,10859797198.401901,8257095085.587999,5938183007.75895,4577942473.319752,5883977518.947,73105826.07390244,7428609407.7152,15992238603.04199,48156603001.744774,13081904968.747858,12760102912.777014,2455744386.2338,4777731033.262021,0.0,4001654776.500799,6970579357.66475,4869485411.605921,28720865468.085117,6234845293.0512,2502193567.929,5952190510.572095,8147601104.8172,49140468213.10349,45594517338.08401,16356290192.0,5734121426.470711,46295368797.20676,412500125.367824,15422017427.27388,9520568748.55548,202577269768.68152,205032751826.4837,6387351376.005421,8597311452.639122,5048918730.5958,5892965811.88,6010393105.26963,5824846502.93686,5077512997.83735,11105657288.587225,5130608766.02684,5815750143.69276,5866475654.993099,13369569883.330572,25490954103.064125,13839446437.824099,6026222501.858999,67281276.55504991,16779191014.37172,6735864009.857841,49217784851.083206,5616755748.0,62354243537.096146,4208811760.36944,7258177499.265,16462879909.923721
2018-01-03,8619102092.80848,9795780503.3505,3602193237.3317094,16466144500.327482,3355078415.9101,9707733520.75296,64226453045.568,3231275026.86648,19991078673.552383,18289505883.97655,34466927935.89907,6396323712.662048,5143447499.16075,32006404236.97948,101340462718.26892,108629920854.22679,6857922581.127521,22993442331.740353,6829876948.081381,7273021422.20181,9138820676.4666,7919707453.705147,4348105664.532559,24861524681.767002,22143398973.981483,5851271883.963844,6323263058.1228,66908382740.86877,5044745750.000001,1105208011.154624,3902325623.723205,15145931151.608,14121513952.86463,6914796197.5612,2629361597.46213,4057202226.91896,65491545512.93328,47609698988.817,4630262248.8556,4082296750.6471686,4733263504.365,152484266593.36325,30204022757.968292,5923610806.649004,8656955486.953941,10892458242.60762,8054233632.4296,6043870126.147419,4540447167.677,5905053309.474,73687398.64431947,7321961054.832159,15817332603.008718,47881220667.86383,12947537232.69804,12643195647.409763,2429682817.5503,4877805787.496264,0.0,3999769870.812386,6995900611.169499,4862814883.644816,28373329881.37085,6703838080.581599,2486565710.808,5887911995.339136,8159426360.412,48355764401.32358,44788752160.988556,16144543052.0,5556403558.09812,46489073269.16159,413871165.004544,15418362920.774527,9513699651.3343,203068366180.24194,205278300032.26395,6262227905.132644,8504635495.641509,5017726893.29805,5892965811.88,6005043400.681051,5725615727.75906,5014132114.3692,10992909498.855375,5085223166.234775,5788261790.549041,5838428759.431379,13217585382.951672,25350318867.44292,13561182089.532068,6075416154.935399,67703204.48327744,16739049409.07418,6799534171.61986,48256709852.778244,5561063611.2,62155367574.29443,4255360830.530208,7220167093.4085,16604271335.58774
