,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GFS,GSK,GLEN,HLMA,HMSO,HL.,HSBA,IMB,INF,IHG,IAG,ITRK,ITV,JE.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MDC,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,PSON,PSN,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2017-12-18,8562951590.5752,9924079221.447477,3542867357.9726696,15341804237.08926,3190350116.9325504,9389447175.81024,61913292273.46561,3226711079.08842,20074640109.09072,17839556155.02217,34687434856.74882,6253035144.27416,5117882434.66788,30147913607.3493,99486197703.20045,108411349584.9024,6760066376.562801,22951764894.126175,6686021234.4789,7176974216.008081,9054721099.6893,7702041075.48492,4307811509.25888,24247854135.824654,21249981292.904552,5820659131.430406,6116978178.064199,66908382740.86876,4987804250.0,1025211405.181184,3571620062.39073,14848587717.956799,14036783166.000917,6719242006.4537,2500921044.89943,3970747384.9450397,63353839279.57345,45009706474.656,4681914576.73128,4024641422.3640003,4465539099.669999,150986581942.43314,29541716532.482006,6070960213.873876,8516970722.32994,10394377318.47039,8082761024.28,5922061243.936981,4540447167.677,5855237804.591999,71791902.8592566,7310928466.60288,15741540002.9943,47132745606.54639,13057787682.7902,12856724670.054771,2263633394.2240005,4624600368.787407,0.0,3807509490.5942597,6717366822.6172495,4744968889.665313,28560212225.17003,5834822033.0988,2491774996.515,5833275257.391121,7937702818.0095,48587316345.783226,43976436047.49396,16290413304.000002,5721427293.015525,43108049758.67711,406741758.8936,15632151550.986732,9503396005.50253,198280176167.5277,200735658225.32983,6175448723.7208805,8475539555.653884,4924151381.4048,5908119152.53912,5890024752.026581,5720654189.000171,4931971709.873449,11136012462.7458,5036879019.166544,5768627252.589241,5733252901.074929,13283445333.115862,24993824898.07751,13631566765.78214,5873722177.322161,66664612.65994817,16542355543.116236,6533875910.474879,50262431588.3712,5613359886.0,61346605325.56748,4115067105.18456,6970384426.3515005,16782547480.9902
2017-12-19,8431933752.03088,9757637641.21356,3592923568.68186,15181184199.483803,3161774799.7629757,9432849859.21152,61610753534.88,3200240181.975672,20114431268.87088,17871242755.65276,34636548644.245026,6296898991.7398405,5110578130.52706,29748464263.876755,99115344700.18675,109176349027.5378,6780037030.5556,22818397093.760815,6761218539.31656,7197409791.793981,9310757588.98908,7674135129.559249,4309643061.77132,24641232690.915905,21709214680.374,5810017431.801845,6133817760.109799,66745740823.21146,5005429000.0,1017054888.493696,3672777057.62184,14802127806.448801,14354579317.760517,6832663437.296051,2433031038.54486,3992361095.4385204,63645344675.0316,44772236432.379,4663467316.775681,3998434454.9625607,4522722953.099999,151026520199.79126,29951488729.545464,6025685256.34668,8502237500.83422,10500525712.13898,8090685299.793999,5922061243.936981,4493578035.62356,5899305366.603001,73127365.79873271,7285185760.734561,15770691002.999846,47415189025.91147,13050897029.65944,12633030751.757605,2155664038.2495,4685242539.522713,0.0,3888560435.196019,6608847164.73975,4731627833.743105,28625784977.380272,5845857157.511279,2476147139.394,5785066370.9664,8038217490.565299,48137076453.77835,43675092973.13305,16205714448.000002,5654329730.466689,42785208972.08572,413596957.0772,15750923012.21574,9524003297.16607,197707230354.0405,200080863009.916,6200675229.9452305,8497092103.792865,4940787027.963599,5933374720.30432,5924797831.85235,5730577266.51795,4953098671.029499,11153358276.550697,5086209348.660163,5807896328.508841,5707543246.8100195,13283445333.115862,25216224805.57152,13554801291.844189,5908157734.475639,67086540.58817568,16538341382.58648,6630478914.5276,49940083452.29376,5637130920.0,61797390841.25136,4131229976.76816,6993914677.596,16659598415.1954
2017-12-20,8343028790.161521,9702157114.46892,3572530297.6521893,15440248776.266802,3203797325.01235,9495542624.12448,61264094563.58401,3149123966.8614,19859767846.277855,18029675758.80571,34526295183.82016,6267656426.76272,5125186738.8087,30158425432.17753,99291011912.14061,107537064507.6048,6740095722.57,22518319542.938755,6735062955.025202,7189235561.47962,9277117758.27816,7718784643.040322,4309643061.77132,24436675842.268448,21717564378.32799,5790046248.961682,6213805774.8264,66457989738.12545,4998650249.999999,1051876940.5056641,3698714748.70674,14811419788.7504,14301613417.92,6867863191.6954,2467893474.24045,3981554240.1917796,63645344675.0316,45119308032.63,4615504440.89112,3964739782.5892806,4546116347.684999,151425902773.37265,29884781627.69792,5959830772.67076,8483811481.24772,10557682539.498991,8138230952.877999,5911313401.389,4470143469.59684,5889725461.817999,73062746.62424193,7263120584.276,15683238002.98321,47005646067.83211,12919974620.175,12633030751.757605,2185448688.1735,4707985349.932793,0.0,3860286849.8698244,6778861295.414499,4718286777.820896,28530704486.675426,5921723637.84708,2377170710.961,5837292664.59318,8047086432.2614,47879796515.489845,43131365252.0036,16262180352.0,5679717997.377061,43554157027.4216,409483838.16704005,15604742752.241583,9434705033.29073,197297983344.40677,199057745485.83167,6180494024.965751,8502480240.82761,4919992469.7651,5909802857.056801,5877987916.702275,5720654189.000171,4946056350.644151,11101320835.136002,5105943601.28003,5815750143.69276,5667810144.764249,13111196232.68644,25131189546.823807,13372472796.50852,5858964081.39924,66859348.626822405,16550383864.175743,6669998325.276441,49253601310.64736,5609964024.0,61518964493.328964,4153857996.9852004,7004774793.555,16635008602.03644
2017-12-21,8436612960.550321,9695222048.62584,3583653900.032009,15616412688.479242,3254224355.3116,9534122787.147839,62051955861.984,3151862335.528236,19915475469.970078,18013832458.490414,34695915892.16612,6257908905.103681,5076491377.8699,30883741345.32505,101399018455.5869,109569777312.32172,6740095722.57,22839235812.5679,6728524058.952361,7168799985.693721,9116394122.65932,7685297507.929518,4324295481.87084,24767113828.545097,22093300786.257545,5807353368.706797,6188546401.757999,67171111992.46904,5033899750.000001,1059406032.832576,3701308517.81523,14932215558.671198,14261894826.592453,6852218856.4068,2489911854.67977,4080359773.87626,64131187000.795204,45801273282.246,4652398960.80232,4002178307.44848,4569509742.2699995,152923587424.3027,29999136659.43657,5951598962.21127,8662484360.213722,10623004627.91043,8201625156.99,5914896015.57166,4481860752.6102,5882061537.99,73256604.14771429,7292540819.55408,15741540002.9943,47528166393.6575,12885521354.521202,12683851434.314247,2345541181.515,4738314420.837808,0.0,3901754775.0149097,6818651836.63625,4762756964.228255,28429066720.74955,6090009285.1374,2445759639.4365,5869431922.209661,7985003840.3887,48368628398.238,44022292602.28801,16281002320.000002,5638008701.738595,44293755920.340065,409026824.9548,15586470219.74481,9496526908.28135,200940281730.14673,202168022759.04782,6205720531.1901,8497092103.792865,4928310293.044499,5938425833.857361,5942184371.765236,5730577266.51795,4953098671.029499,11092647928.23355,5110874513.406972,5851092312.020399,5772986003.1207,13182122332.863262,25284907129.94468,13711522638.564032,5908157734.475639,66664612.65994817,16658766198.4791,6727081918.580319,49426714198.5408,5535255060.0,62433793922.21683,4157090571.30192,7059075373.35,16499764629.66216
2017-12-22,8436612960.550321,9774975305.821259,3563260629.0023394,15554237190.051323,3240777147.2318006,9374979614.67648,62297768587.08479,3213932025.309852,19895579890.08,17997989158.17512,34288826192.13581,6277403948.421759,5117882434.66788,30768111272.214577,100950091136.14926,108629920854.22679,6730110395.5736,22847571300.090736,6751410195.207301,7189235561.47962,9163116109.75782,7746690588.965992,4357263427.09476,24688438117.52685,22168448067.843452,5807353368.706797,6264324520.9632,67296221159.897736,5065082000.0,1051563228.325376,3747996361.7680497,14839295735.655201,14367827629.895481,6836574521.118199,2477067799.4234996,4015518642.39582,63256670814.42072,45716027626.04399,4648709508.8112,3998434454.9625607,4564311210.139999,152084884019.7819,29818074525.85038,5976294393.589741,8690113853.131384,10533186756.3447,8185776605.962,5914896015.57166,4490648714.87022,5883977518.947,73601239.74499843,7259443054.8662405,15782351403.002066,47457555538.81622,12878630701.39044,12704179538.638948,2317618072.21125,4753470970.752954,0.0,3933798171.717931,6778861295.414499,4751639417.626416,28412673532.69699,6316229335.59324,2444891425.152,5905588587.028199,8038217490.565299,48548724355.03995,44762548415.39195,16299824288.0,5618060777.737591,43982654798.71564,410306461.94907194,15705241680.973816,9472485068.007221,200735658225.32983,202290796861.93793,6230947037.414451,8572526022.279296,4949104851.243,5874445062.18552,5956896059.383829,5725615727.75906,5028216755.1399,11214068624.867851,5056613271.786411,5831457774.0606,5737927383.66855,13212519232.939041,25131189546.823807,13701923456.077438,5913077099.78328,66697068.65442719,16598553790.532791,6727081918.580319,49283448360.28416,5555630232.0,62553119499.89785,4189416314.46912,7145956301.021999,16536649349.400599
2017-12-27,8516159505.380801,9830455832.565899,3624440442.09135,15792576600.691683,3309694088.640775,9466607501.85696,62341888819.7952,3237664553.755764,19895579890.08,18029675758.80571,34373636546.30879,6340762839.20552,5130056274.90258,31241143389.484703,101242869822.73903,109394920296.86218,6819978338.5412,22860074531.37499,6699099026.62458,7324110361.666561,9118263002.14326,7668553940.374116,4412210002.46796,24735643544.137802,22235245651.475376,5851271883.963844,6264324520.9632,67196133825.95477,5081351000.0,1060660881.553728,3737621285.3340907,15071595293.1952,14102996123.448906,6836574521.118199,2563306456.14417,4044851535.2084002,63669636791.31978,46659818819.70899,4685604028.7224,4039616832.30768,4629292861.764999,152484266593.36325,29779956181.937504,5968062583.13025,8686422104.926338,10590343583.70471,8162003779.42,5875487259.5624,4481860752.6102,5908885271.388,73730478.09397998,7347703760.7004795,15753200402.99652,47860037411.411446,12906193313.91348,12612703490.922714,2375325831.439,4794420806.35088,0.0,3958301945.6672997,6883763631.36275,4816121187.917088,28445459908.802113,6255536151.324599,2520426067.9034996,5885501551.0178995,8073693257.3497,48484404370.467834,44546367514.22,16299824288.0,5703292816.650975,44604857041.96452,411494696.300896,15522516356.006115,9472485068.007221,201636001646.524,203600387292.76578,6316717158.57724,8561749748.209805,5007329614.1988,5909802857.056801,5983644582.326731,5745461882.7946205,5016479554.49765,11153358276.550697,5086209348.660163,5858946127.20432,5784672209.60475,13192254632.888521,25262013021.82029,13858644802.797277,5952432022.244399,67216364.56609184,16787219335.431229,6709517736.02528,49361050689.33984,5569213680.0,62102333984.213974,4202346611.7360005,7167676532.94,16487469723.082678
2017-12-28,8492763462.783601,9823520766.722818,3631856177.011229,15932471472.154503,3336588504.8003755,9495542624.12448,63009995200.83841,3239490132.8669877,19935371049.86016,18013832458.490414,34500852077.56826,6321267795.887439,5155621339.39545,31524962659.84678,101223351243.63303,108312992513.7064,6844941656.032201,22284925892.299374,6728524058.952361,7315936131.3522005,9138820676.4666,7702041075.48492,4421367765.03016,24814319255.15605,22235245651.475376,5863251527.195277,6281164103.0088005,67421330327.32644,5098975750.000001,1069131110.421504,3737621285.3340907,15043719346.2904,14182433306.103998,6891329694.628301,2550462400.8879,4021693988.2511,63645344675.0316,46939911690.08699,4633951700.84672,4062079947.2232,4639689926.025,152244637049.21442,29860957662.752373,5972178488.359997,8684585154.85256,10582178322.653282,8154079503.906001,5889817716.293039,4452567545.0768,5922297138.087001,74204352.04024571,7406544231.2566395,15799842003.00539,47711754616.24478,12913083967.044239,12572004686.03812,2395802778.26175,4795938058.449865,0.0,3956417039.9788876,6919936850.655251,4873932430.246656,28524147211.4544,6266571275.73708,2464860353.6955004,5889518958.219959,8097343768.539301,48420084385.89569,44651182496.6064,16328057240.0,5681531445.013515,45291627442.53168,411220488.373552,15467698758.515802,9486223262.449577,201431378141.70715,203518537890.83905,6306626556.087502,8513256514.8970995,5030203628.217151,5926639902.2336,5979632303.885297,5765308037.830181,5054038596.552851,11136012462.7458,5051671755.547369,5862873034.796281,5787009450.90156,13171990032.838001,25307801238.069057,13785069727.70327,5981948214.0902405,67183908.57161279,16731021088.014671,6718299827.3028,49235693080.86528,5579401266.0,62128850779.25421,4228207206.26976,7171296571.593,16610418788.877478
2017-12-29,8548913965.01688,9778442838.7428,3711575327.3999395,16056822469.010344,3378611030.0497503,9606460592.816639,64554203345.70239,3220321552.1991363,20154222428.65104,18156422161.328068,34449965865.064476,6311520274.228399,5109360746.50359,32008506601.945126,102023612986.97838,109679062946.9839,6904853618.010601,22647519599.542694,6774296331.46224,7324110361.666561,9142558435.43448,7662972751.188983,4432357080.1048,25176227525.84,22185147463.75143,5888536933.150317,6285373998.5202,68184496248.6415,5174897750.0,1066621412.9792,3797277974.8293605,15201683045.4176,14116219094.128517,6903062946.094751,2622022137.3156905,4122043358.3994,64252647582.23609,47494008455.4,4648709508.8112,4095774619.596481,4683877449.129999,153143247839.7725,30170669207.04452,5943367151.751781,8691951678.109941,10631169888.96186,8225397983.532,5929226472.302301,4575599016.71708,5891641442.775,72739650.75178802,7413899290.0761595,15933936603.030901,48057747804.967,13068123662.48634,12826190339.077425,2418141265.70475,4773195248.039785,0.0,3999769870.812385,6985048645.38175,4889496995.489232,28691357729.590508,6241742245.809,2504798210.7825,5913623401.432321,8094387454.640599,49024692240.87368,45325928945.71885,16365701176.0,5766763483.926899,46277759299.75632,411311891.016,15476835024.764189,9548045137.440199,202986516778.31525,205319224733.2273,6382306074.7605505,8599466707.45302,5019806349.1179,5919905084.16288,6005043400.681051,5824846502.93686,5075165557.7089,11170704090.355598,5105943601.28003,5851092312.020399,5859463931.10267,13374636033.3432,25513848211.188515,13964179838.240229,6031141867.166639,66989172.60473856,16799261817.020489,6762210283.6904,49253601310.64736,5633735058.0,62314468344.5358,4202346611.7360005,7240077306.0,16487469723.082678
2018-01-02,8596641891.915169,9636273988.959658,3612389872.8465447,16528319998.755404,3365163821.9699497,9481075062.99072,64352510853.312004,3222147131.31036,20006995137.464447,18232470002.841488,34466927935.89907,6369030652.016736,5138577963.06687,32145160324.71205,101008646873.46721,107974207046.2536,6831960730.936881,22922590687.79625,6682751786.44248,7287326325.251941,9161247230.27388,7880639129.409207,4357263427.09476,24861524681.767,22135049276.02749,5860588113.776642,6306423476.0772,67008470074.81173,5043389999.999999,1112737103.481536,3893247431.84349,14862525691.409203,14132127255.453718,6961729203.427001,2633031327.53535,4057202226.91896,64218638619.43265,48005482392.612,4626572796.86448,4082296750.647168,4738462036.494999,152783803523.5493,30075373347.262325,5935135341.292292,8669851758.375883,10921853182.392767,8117627836.5416,6011626598.50348,4552164450.69036,5878229576.076,73967415.06711285,7318283525.4223995,15753200402.99652,47803548727.53844,12892412007.65196,12643195647.409761,2416279725.0845003,4792903554.251892,0.0,3980920813.9282556,6992283289.240249,4869485411.605921,28258577565.00293,6207257482.02,2490038567.9459996,5902374661.266553,8132819535.3237,48420084385.89569,44546367514.22,16139837560.000002,5576351482.099125,46823653720.71995,412043112.15558404,15392781375.279047,9524003297.16607,202618194469.64493,204623504816.85004,6246082941.14906,8487393457.130324,5015647437.478199,5914853970.60984,5997018843.79818,5745461882.7946205,5018826994.6261,10953881417.79435,5069433643.31646,5796115605.732959,5772986003.1207,13171990032.838001,25435354126.190628,13605959617.16631,6085254885.55068,67540924.51088223,16739049409.07418,6795143125.9811,48292526312.34239,5546121818.4,61996266804.05307,4233379325.1765122,7185776726.205,16432142643.475018
2018-01-03,8634075560.07069,9837390898.408978,3572530297.6521893,16395678935.442505,3278429329.85524,9664330837.351679,65121463480.5504,3271437767.3134074,20014953369.420483,18207120722.337013,34551738290.07205,6365131643.353119,5143447499.16075,32468924529.421383,102316391673.56813,107897707101.99005,6849934319.530401,22705868012.202538,6692560130.551741,7313892573.773609,9114525243.17538,7796921291.632197,4355431874.58232,24586159693.203125,22368840818.739212,5937795658.578722,6268534416.4746,67221155659.44052,4997294500.000001,1129363849.0368001,3972357389.6524353,15197037054.2668,14200975473.35308,6860041024.051101,2568811051.254,4095798138.5144596,65258341196.56675,47487919479.957,4659777864.784559,4095774619.596481,4682577816.0975,152444328336.00513,29946723936.55635,5870927219.708269,8645896165.605778,10905522660.28991,8244416244.765599,6122687638.16594,4747843077.013472,5972112642.969,73708938.36914973,7317548019.540448,15706558802.987644,47641143761.40352,12916529293.60962,12800801295.916704,2375325831.439,4859614733.383146,0.0,4028043456.1385803,6985048645.38175,4965096312.381745,28009401106.604015,6621074647.487999,2535185710.74,5915230364.313145,8138732163.121099,48497268367.382256,44212269757.86335,16073960672.000002,5547336319.915845,46800174390.78603,415150801.998816,15553579661.250626,9462181422.17545,205564772939.00754,207447309183.32254,6209756772.185997,8567137885.24455,5063474921.33475,5928323606.751281,6104012935.56978,5787138808.369297,4990657713.0847,10971227231.59925,5063516548.76413,5890361387.94,5754288072.746221,13141593132.762222,25428812952.4408,13513214163.053888,6085254885.55068,67865484.45567262,16827360940.72877,6828075968.271801,48453700380.38113,5468696164.8,61903458021.41226,4259239919.710272,7193016803.511,16020263273.062439
