,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GSK,GLEN,GVC,HLMA,HL.,HSBA,HSX,IMB,INF,IHG,IAG,ITRK,ITV,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,OCDO,PSON,PSN,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SPX,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2018-12-24,7114264603.112726,7212468476.803198,3291477785.134825,18055061254.971954,2587006270.4834,7746049935.0934,75278337672.63203,4031645403.0941553,14538947821.971638,14358894601.60008,24857277458.000004,4372217318.811354,4020995285.44524,86994642984.32957,98748753116.26407,55756189333.203705,5144986987.170101,20358375148.60533,7778935937.3057995,6782562085.928266,6422577481.691279,7538039730.840228,4747498139.0088005,25726472942.26716,16643772022.584963,6168674735.9498,5462505003.6752,67615803386.48525,4250541902.1999993,1527206800.119426,2859282884.99385,16993899442.81386,11235191775.96,4768604797.87365,1538265367.0375,73372711459.74765,34566994661.70586,3735458881.47306,4953294481.476601,4687216652.249999,129136209624.6882,4275493156.5578003,22035043049.7933,7844693163.50079,7549350367.09526,9357072103.68528,7588833946.0416,4504489243.814716,5241043981.812599,44231718.8888151,5953475714.75943,13232711285.036318,36133744751.87825,13359419840.0,6949184123.114545,3747581683.914405,0.0,7508751261.016577,7833944108.6712,5107640952.858579,25398922675.2048,5332232353.33242,2328802412.1171603,3413567020.48875,7166323413.979549,5755423865.33937,35279377025.166,41688091183.77952,31308393960.85005,5973596973.027249,56958823299.528,3774998693.9339995,15012112636.645742,9289298080.0,188511018543.03876,190254953075.81573,5121221600.035776,6118626363.499439,5764436417.564915,4229168212.7679996,6167199406.014359,6058577620.8493185,4282482779.5076246,12487823797.00911,3872744102.6698637,5381015556.71055,4888854694.26536,4428045894.3715,11036268194.332626,19448091078.012577,5990467443.120064,4614398357.581704,43831928.78248704,17795185154.978703,4829941505.844,109452753525.66083,4972369893.584244,41091640619.82222,3290057301.757002,8156532125.221601,10354278590.91
2018-12-27,7266672810.690648,7077234692.863138,3295628450.68985,17795530130.676704,2544101787.117,7479676337.2037,72234875270.5008,4006843756.7319903,14242075163.59715,14470203862.0776,24809723224.0,4384998705.17172,4017402972.8019,85613269637.80913,96165728004.6841,54505603903.53875,5054589084.965616,19530322913.719574,7611541113.338459,6772411588.94244,6436619739.09864,7266927437.9623995,4702283871.01824,25505644848.342117,16447192038.066242,6100935717.155204,5434152901.58,66914244066.9117,4219427177.9,1520380205.2274487,2787735770.037225,16811463592.649464,11179998939.48,4749515106.9293995,1597585300.9520001,72324109866.82751,33900165254.780346,3782919868.75635,4904878821.13134,4653364531.983749,127339879042.5828,4250747537.00216,21921166858.3215,7669644224.56389,7488012943.68977,9479120870.255089,7576025787.482881,4411131953.787468,5191832301.2322,43826314.8083098,5829782427.58659,13063360611.04424,35488245974.41046,13615805840.0,6586785037.628003,3686736568.8336024,0.0,7422964194.879923,7639654619.141999,5040697854.603131,24426683888.151363,5338874396.62257,2304847060.33932,3345741897.99015,7067498872.179357,5696401637.95356,34660440586.128,40788445535.9712,31043401284.692387,5792028675.97475,56008252208.70144,3779864523.045,15158298003.144913,9293807448.0,186808606261.0421,188386451790.6975,5079294666.009924,6334450926.585841,5698906636.387595,4154576648.72,6319656418.083118,5889501036.081432,4170560946.2055006,12349166489.06175,3820445060.0949836,5316041713.545,4823232483.60408,4409808473.06025,10545994364.320625,19103266768.118736,5971389521.326688,4508830552.52264,43246852.981163524,17753038663.822174,4678137235.408,107231896838.6832,4883990335.727263,40299063991.68585,3180865356.5386744,8075327712.470501,10113084807.26292
2018-12-28,7483054833.795109,7177793147.587799,3358718567.1262302,18210779929.549107,2617843867.9030004,7731906204.232,73927090879.98456,4047261254.5073705,14710821466.29371,14702363176.787857,25499259617.0,4513795752.341562,4092841538.3120403,86973391086.69077,99500898359.48276,56862902102.8187,5119983312.092264,19935984867.173706,7716573159.749341,6981511826.850436,6596350417.10736,7512884982.016513,4808439108.90912,25899980730.35112,17036931991.6224,6185946304.25429,5594814813.452801,67434365631.42313,4304654466.2,1576293268.1522129,2891804300.883225,17194578877.9947,11426067002.12,4860235314.40605,1602743556.075,73843112174.32863,34843338379.8912,3802462628.2259398,5005434423.38688,4761430915.9106245,129774904942.77011,4399221254.3359995,22405140672.07665,7842192464.373121,7701739793.404555,9679406025.651697,7648071679.37568,4481149921.307904,5259971551.266601,44487763.5712395,5909299540.76913,13606450703.501598,36325266367.17089,13892702720.0,6810789266.085,3758235186.159991,0.0,7730367848.536264,7757187767.1288,5043046735.243673,25056355317.3504,5377398247.70544,2316824736.22824,3426953557.8240004,7240441820.329693,5855307634.76151,35833840918.47087,41031958643.64864,31818750226.04259,5937283313.616749,56770217924.36399,3786942092.6610003,15323225083.297825,9654556888.0,191085398091.42383,193327599633.5657,5215301549.5571995,6530851278.994464,5786279677.957355,4272535401.1679997,6460975018.311239,5909629200.934752,4304867146.16805,12570151573.602856,3909353432.4722795,5412518026.12415,4884167393.50384,4490053126.82975,10831987431.827625,19737086690.114086,6171707700.157136,4654849572.604337,44498265.11177216,17991868780.375835,4804284446.052,108414601583.2275,5026757313.803924,41112917844.73864,3317355288.0615845,8214277485.40016,10390823103.5838
2018-12-31,7276080724.738669,7084169758.706219,3398564956.45447,18144339961.729523,2625218075.9816,7717762473.3706,74167031899.23973,4177699542.78246,14667853055.21319,14603774974.650625,25563797506.0,4550173544.290296,4165885228.7266207,87749085350.50609,98164850887.97586,55335638480.75,5127676750.577753,19915074457.201847,7775653685.85546,7046475007.559714,6605126827.986959,7540834702.931751,4820234135.34144,26026168212.593998,16963214497.427881,6223135453.7375,5656244367.992401,67615803386.48525,4311418536.7,1561989926.4737847,2874893164.62075,17377014728.159103,11537602525.84,4886960881.728,1584321216.35,73068910998.24744,35005540127.521736,3763377109.28676,5079920054.687281,4814813105.56125,129116250395.99814,4456961033.29916,22556975594.039047,7879702951.288172,7874592212.7244005,9670017658.992481,7684895135.232,4482945253.808428,5297826690.174601,44274393.00255251,5922552392.96622,13489657135.2312,36779243529.34604,13885865760.0,6961795427.542533,3759741094.748088,0.0,7809005992.494865,7836342744.344399,5008987965.955815,24932378559.26976,5301678954.197729,2340780088.00608,3525121498.2825,7245074220.726577,5841687120.749399,36156203647.1365,40673453235.12351,31730419333.990036,6122482976.6103,56279843948.93761,3824099333.145,15555622332.604202,9771800455.999998,191625187351.5691,194324133652.29544,5252115442.848192,6489844612.008047,5788464003.996599,4237841650.448,6501351761.23356,5923718916.332076,4277770281.2633247,12687143677.18344,3913275860.665396,5371171035.0188,4879480092.74232,4552060359.288,11046482232.457874,20009662096.982548,6122820525.56161,4656822802.60544,44286987.73907201,17804551041.902374,4812836799.316,107980943176.89459,5005002345.716052,40666096121.49397,3290057301.757002,8263000133.05082,10312861476.546362
2019-01-02,7372041448.028473,7184728213.430879,3365359632.014271,17756081399.783825,2582313592.6152005,7816768589.400399,74545886140.16893,4054609890.4665303,14535041602.782503,14785050055.999727,25590971354.0,4544274442.893204,4146726227.96214,86686490468.56729,100411389969.69484,54870819117.511696,5094979637.014429,20073993572.988,7739548919.90172,7005873019.616415,6742038837.708721,7602324088.945281,4847755863.68352,25789566683.3886,17069695322.375523,6193908201.858099,5689321820.436801,66793285563.53696,4314124164.9,1557763939.159704,2867088024.8073006,17180896189.232372,11485859241.64,5024406656.5266,1635903767.58,73519711683.05421,33942217559.721603,3847131792.7278595,5038952957.472059,4835645179.571249,129056372709.92796,4432215413.74352,22604424007.152298,7679647021.074571,7694306602.100616,9472861959.148945,7712112472.16928,4486535918.809476,5153977162.3242,44637122.9693204,5882793836.37495,13448779386.33656,36176305110.83218,14097811520.0,6941667202.696525,3771916525.8859005,0.0,7682708367.349235,7843538651.363999,4974929196.667956,25239057908.206078,5548762964.59131,2313402543.1171203,3617042387.98455,7277501023.504765,5873468320.11099,35408322116.63225,40741095765.03391,31740233877.55143,6015357681.349325,55683850963.419365,3883816326.78,15169543031.337158,9767291087.999998,194365655903.0758,196275679438.97446,5203030251.793536,6468262155.699408,5712012592.623059,4289882276.528,6388575341.34708,6014295658.172015,4356704626.85535,12383830816.04859,3932888001.6309757,5444020495.53775,4963851506.449679,4493700611.092,10918806755.89225,19914424906.630913,6178861920.829654,4711086627.6358,44482013.00617985,17940356402.295635,4924017391.748,108887683481.04521,5078425363.01262,41208665356.86249,3377150877.1097164,8302700068.17358,10354278590.91
2019-01-03,7281725473.16748,7288754201.077079,3330494041.3520603,17384432829.793026,2473711619.0940003,7616399068.8639,75897132932.8164,4046342675.0124755,14363167958.460426,14788230320.5848,25519640002.999996,4564921297.783026,4163490353.63106,84710063988.16115,100688496111.93332,55003624649.8655,5029585409.887781,20082357736.97674,7598412107.537101,6591732742.594754,6548957798.357519,7674993363.324904,4769122354.134721,25694926071.70644,16971405330.116161,6123511111.030338,5566462711.3576,66285259849.36301,4318182607.2,1437160762.734777,2825460612.4689,16879877036.461111,11206445506.96,4913686449.04995,1636640661.169,73843112174.32863,32326207555.550785,3777336223.19361,4889981694.87126,4730182804.895624,128018492818.04483,4236999970.5823603,22903349009.765778,7574617657.71243,7605108306.453344,9100456748.333376,7377499329.822721,4502693911.314193,5044197259.491,45255897.6185127,5900464305.97107,13296947747.58504,36318172974.01191,13906376640.0,6803230584.99799,3820586209.828891,0.0,7418198246.761221,7697221875.2988,5086501027.093701,25258633185.79776,5778577662.430499,2227847715.3391204,3529583677.39425,7308383692.817326,5893142395.90626,34557284512.955,40348769091.5536,31465426657.832367,5884628507.471526,54967150537.796165,3879835193.871,14772218701.87787,9609463207.999998,194448700404.63663,196400246191.31567,5192804170.323816,6174740749.901904,5744777483.2117195,4230902900.3040004,6144922582.33308,6028385373.56934,4390870239.126525,12097850118.407158,3829597392.545587,5284539244.1314,4893541995.02688,4340506272.0775,10867736565.266,19267468820.449142,6009545364.913441,4637090502.5944,44758298.80124927,18670895582.34213,4806422534.368,108322613436.42961,5101540016.605984,41506546505.692276,3348552986.6953926,8273827388.084301,10259262857.958122
2019-01-04,7567726060.227289,7486403577.604858,3350417236.0161805,18233618668.48709,2633262666.6128,8024209975.3676,76894782433.92996,4095027388.2419105,14828008041.967852,15042651487.390558,26341648905.0,4655374185.871769,4254495607.2623405,88673542897.79288,103083484912.70862,57172781678.3109,5106519794.7426605,19852343227.28626,7732984417.00104,6894217552.77234,6684114525.903359,7674993363.324904,4800575757.95424,25821113553.94932,17684007773.996525,6349328457.61739,5826356980.5636015,66297355699.70048,4354708587.9,1525256344.436004,2880096591.1630497,17244748736.789913,11774471782.4,5035860471.093149,1612323172.732,74411513037.78067,34146471612.293373,3841548147.1651196,4994261578.69182,4941107554.246875,131032336350.24391,4206755324.4588,23273446632.049126,7709655410.606611,7828121878.168241,9260058981.540047,7731324710.00736,4542191226.32572,5288362905.4476,45960020.495179795,5966728566.95652,13734923628.599037,37453115879.449776,14446496479.999998,6956742804.201554,3849486838.4770656,0.0,7847133577.4444895,8140969474.840799,5068884422.289637,25555524895.938236,5948613970.6583395,2241536487.7836003,3644707898.4774,7435002636.998821,6071722468.5094795,35692001317.858,40342004838.56256,32015041097.270493,6080722268.288224,57237959254.77072,3972285946.98,15476907135.258493,9974722016.0,196649379695.99808,199306803745.94403,5282793687.257352,6403514786.773487,5679247702.034401,4496310093.312,6391359944.30724,6042475088.966663,4440351470.691675,12414162102.162075,4006106661.2358074,5398735695.7557,5141968935.38744,4457225768.469501,10929020794.017502,19960401481.283424,6246827017.2185545,4790015827.67996,45635912.503234565,18488260787.330505,4956088716.488,109124224429.95409,5173603348.39706,42017199903.68618,3533139370.278756,8445258926.114399,10385950501.893959
2019-01-07,7548910232.131248,7469065912.997159,3286496986.4687953,18383108596.081146,2713038190.3722005,8267010688.4883,75833990559.32819,4118910455.1091805,14894413768.183195,14820032966.43552,26395996601.0,4689785610.68814,4244916106.8801003,89534244752.16328,103083484912.70862,54771214968.246346,5121906671.713637,19902528211.218727,7716573159.749341,6902337950.361001,6884216693.95824,7336801740.250501,4784849056.04448,25955187753.83238,17421901127.97156,6340031364.74915,5949216089.6428,65777234135.18906,4308712908.499999,1545411053.164698,2861884598.265,17144409019.199492,11613492676.0,5142762740.38095,1687486318.81,74205712725.15149,34524942356.76461,3849923615.50923,5098541462.512381,4931993521.867499,128158207418.87527,4234250457.2983994,22110960510.774498,7739663800.138651,7742630643.913308,9335165914.813776,7798567542.4406395,4527828566.321528,5290255662.393,47026873.33861481,6000596967.01575,13734923628.599037,37843252503.194046,14378126880.0,7067492098.360382,3965073332.765636,0.0,7925771721.403089,8001848605.7952,5159316326.950503,25411972860.26592,6077469610.487249,2405801757.1173606,3734843916.5347505,7536915445.730269,6077776030.292641,35962786009.937126,40078198971.911995,32015041097.270493,6142455489.286076,57803775380.26272,4043503991.241,15173291374.067905,10100984320.0,196649379695.99808,198393314228.77512,5233708496.202697,6459629173.175952,5803754286.271309,4447738842.304,6499263309.01344,6074680152.7319765,4360239000.538575,12305836080.328201,4000876756.97832,5453865017.2295,4874792791.980801,4522880485.19,10775810222.138748,19526908063.13117,6168130589.820878,4788042597.678857,45408383.02494207,18965921020.437828,5024507542.6,107888955030.0967,5117856242.671887,41862940023.04219,3600734383.9853406,8625713176.6724,10549182658.5036
2019-01-08,7588423471.132932,7736065947.955738,3353737768.460201,18219084925.526554,2727116223.9768004,8663035152.6075,74482743766.68071,4140037783.491766,15152224234.666304,15099896249.921856,26718686046.0,4712398832.710326,4323946985.033581,89247344134.03981,102885551953.96684,55479511140.79995,5258465204.831049,19321218814.00095,7860992223.5643,7050535206.354046,7038681525.4392,7336801740.250501,4796644082.4768,26136582259.556522,17593908614.42544,6455591950.827999,5963392140.6904,66164301345.98824,4370942357.1,1542485369.6395648,2985465978.644625,17217383359.26525,12018240143.52,5200031813.213699,1651746979.7435,74440913082.44199,34711173992.93299,3992306577.3591,5176751375.3778,4963241632.882499,129555353427.17946,4269994129.9898796,22272285115.35955,8004737907.671671,7943362827.43383,9341424825.91992,7931452187.487361,4718133811.377072,5479531356.933,47965703.840837605,6109564862.85849,13956831408.3128,38091521263.75858,14237969199.999998,7228562998.650954,4185608839.401321,0.0,8357090026.14571,8143368110.513999,4993720241.792292,25581625266.06048,6396287688.41445,2462267943.4508405,3837474036.1050005,7759270664.780701,6174633018.823199,36762245577.02788,40788445535.9712,32348735578.357925,6255027833.458624,58263972495.66288,4158514497.501,15930456605.679,10182152944.0,195901979181.95078,198268747476.4339,5311426715.372568,6474736892.592001,5821228894.58526,4531003844.032001,6563309177.097119,6197461958.337228,4337854633.87815,12214842221.987743,4236222448.5652795,5489305295.319799,5174780040.71808,4679722308.46675,11097552423.084124,20131171615.707043,6270674419.460275,4859078877.7186,45635912.503234565,19490410688.163513,5133550046.716,107744402227.98572,5139611210.75976,41384202462.42289,3685228151.1185703,8764662949.602058,10651507293.99024
2019-01-09,7667449949.1363,7864364666.05272,3383622560.456381,18750604668.083225,2837729345.155801,8816258903.605999,74634285463.0524,4135444886.01729,15331910317.36665,15481528000.130495,26633767771.0,4864792285.468536,4473626678.506081,90713725071.11536,103499144126.06628,55269235714.5731,5221921372.024981,19446681273.832123,7949613012.723479,7267755841.8507,7100116401.5964,7306057047.243735,4837926674.98992,26097148671.35562,18044404412.280838,6498096985.04079,6072075198.722001,66031246992.276024,4418290850.6,1589296306.0416927,2990669405.186925,17340527558.126225,12048136263.28,5146580678.569799,1697434382.2615,75313114407.39424,35221809124.36243,4103979488.6139,5266134132.93828,4907255433.980624,128956576566.47768,4341481475.37284,22841666072.71855,8149778457.0765295,7974948770.225029,9397755025.875217,7931452187.487361,4949731703.944668,5589311259.7662,49203253.139222205,6081586619.3313,14050266262.92912,38169548588.50743,14350779040.0,7545693518.953422,4223625021.098725,0.0,8423813299.807552,8376035770.8144,5085326586.77343,25767590403.181442,6446767217.41959,2551244964.33996,3909761337.7153497,7878941008.366871,6374400557.66748,36865401650.200874,40950787607.756165,32064113815.077465,6334917884.161725,58927863416.24016,4129761870.936,16207833967.754353,9961193912.000002,197272213457.7042,198891581238.14,5346195392.3696165,6569699700.350016,5954472782.979144,4596921970.4,6710893133.9855995,6199474774.822559,4330785886.5117,12349166489.06175,4369585007.131223,5621221885.989249,5306024462.04064,4763614446.4985,11480578852.780998,20200136477.685814,6333870035.400832,4860065492.719152,48463778.876298234,19836948504.339417,5163483283.139999,107652414081.18784,5146409638.28722,40639499590.34845,3852915781.2752876,8950530827.6768,10731905221.8726
