,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GSK,GLEN,GVC,HLMA,HL.,HSBA,HSX,IMB,INF,IHG,IAG,ITRK,ITV,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,OCDO,PSON,PSN,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SPX,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2018-12-24,7428488932.316592,7295689266.920158,3241669798.474525,17864046347.49065,2529353370.9598002,7571610587.8028,74924740381.09811,3976530633.4004555,14402230150.351807,14282568251.558352,25145999593.0,4399746458.66445,4029377348.2797003,85900170255.93259,97323635813.32338,54959356139.0809,5144986987.170101,20492201772.425247,7746113422.8024,6849555366.03471,6526139130.07056,7417855930.904696,4716044735.1892805,25647605765.86536,16742062014.844322,6142105426.435193,5434152901.580001,67131969372.98625,4253247530.3999996,1558739167.0014148,2848876031.90925,16743050148.837812,11140904013.64,4814420056.13985,1519474580.518,73088511028.02162,33755985923.55321,3774544400.41224,5016607268.08194,4704142712.383124,128876739651.71742,4228751430.7304797,22314988687.161476,7744665198.3939905,7415535267.587999,9670017658.992481,7620854342.438399,4472173258.8052845,5214545384.577,44061022.4338655,5971146184.355551,13127597073.592958,35821635452.882835,13807240720.0,6682416969.612814,3755191328.375538,0.0,7480155572.304358,7656445068.8544,5138176401.185625,25144444066.51296,5402638012.20801,2282602805.11704,3423383814.5346003,7101469808.423173,5741803351.327259,34815174695.8875,41999246821.367355,31072844915.37657,5904601020.1473,56189313368.85888,3673258630.7040005,14929649096.569286,9293807448.0,187680573527.43063,188511018543.0387,5021006001.63252,6284811277.075967,5834334850.820724,4197943837.12,6230549123.357999,6034423823.025337,4413254605.78695,12271171753.34136,3884511387.2492123,5349513087.29695,4935727701.88056,4318621366.504001,10908592717.767,19336433682.427906,6011930105.137611,4600585747.5739765,43555642.9874176,17968454063.06665,4765798856.363999,109268777232.06503,5100180331.1004925,41096959926.05132,3199713966.1299334,7995927842.22498,10354278590.91
2018-12-27,7291133387.215501,7226338608.489359,3310570846.6879406,18270991150.385605,2634603431.7180004,7887487243.7074,74406972918.49489,4075737218.8491154,14683477931.969742,14626036826.746128,25258091716.0,4442023352.010277,4096433850.9553804,88004108122.17143,99738417909.97285,55136430182.2193,5154603785.27696,19906710293.213097,7821605206.16022,6930759341.921309,6443640867.8023205,7546424647.1147995,4767156516.396,25829000271.5895,16750252847.532602,6229774604.240948,5542835959.6116,67422269781.085655,4264070043.2,1527206800.119426,2860583741.629425,17185457085.48648,11377773270.2,4783876550.629049,1556687706.7625,73833312159.44153,35119682098.076546,3802462628.2259398,4986813015.56178,4799189050.053749,130214007973.95145,4283741696.4096794,22039787891.104626,7897207845.18186,7597675291.709769,9397755025.875217,7729723690.187519,4518851903.818908,5295933933.229199,44935841.765482195,5956420793.025451,13343665174.8932,36509694589.30454,13561110160.0,6845993510.042725,3793207510.0729427,0.0,7646963756.458963,7896308636.174399,5169886289.832942,25597937997.38688,5413265281.47225,2366446536.3394804,3435877916.0475,7232721153.001552,5781151502.9178,35717790336.15125,42100710616.232956,31543943006.323532,5991753802.7325,57381299339.89536,3772786953.4290004,15413185308.835777,9456144696.0,190587131082.059,192372587865.61636,5176442439.972263,6185531978.056225,5770989395.682648,4314167902.032001,6326617925.48352,6078705785.702641,4289551526.874075,12414162102.162075,3931580525.566603,5465678443.259601,4888854694.26536,4482758158.30525,10995412041.831627,19457943201.1524,6104934973.88032,4642023577.59716,43945693.521633275,18141722971.154602,4825665329.212,109203071412.92369,4976448950.10072,41394841074.881096,3338153753.8174567,8210668400.389,10434676518.79236
2018-12-28,7309949215.311541,7080702225.784679,3322192710.2420106,17907647576.372253,2585665505.3782,7573967876.279699,72752642733.10405,4056447049.4563203,14277231136.299393,14565611799.62976,24670457253.0,4415477395.723362,4020995285.4452405,86920261342.59384,97571052011.75058,54937221883.68859,5077669400.422081,19463409601.809616,7696879651.047299,6880006856.992185,6487522922.20032,7292082186.786116,4718010572.928,25679152636.42608,16774825345.59744,6142105426.435193,5481406405.0720005,67337598828.72332,4239719389.3999996,1537609230.4310098,2809850332.842,16893559725.223442,11268537448.0,4791512427.00675,1620429002.211,73245311266.21529,34302665887.78944,3799670805.4445696,4975640170.86672,4713256744.7625,127898737445.90448,4300238776.11344,21987594636.68005,7692150516.712921,7521471485.696399,9579263447.953392,7638465560.456639,4407541288.78642,5241043981.8126,43783640.694572404,5853343053.714749,13098398681.525358,35264804089.90238,13708104800.0,6554045090.747317,3682186802.4610515,0.0,7599304275.271934,7754789131.4556,5044221175.563945,24531085368.640316,5345516439.91272,2323669122.45048,3368052793.5488997,7127720077.338849,5759964036.67674,34918330769.0605,40551696681.2848,31396724852.902607,5808369822.7094755,56664598914.272156,3778095130.641,15308231712.374832,9338901128.0,188095796035.23468,190379519828.15695,5091565963.773587,6327976189.693247,5701090962.42684,4192739774.512,6383702286.1668,5897552302.02276,4169382821.644425,12427161224.78214,3845287105.318052,5361326513.32705,4832607085.12712,4486405642.5675,10530673307.13275,19247764574.16949,5991659813.232151,4572960527.55852,43571895.09300992,17518891490.73035,4725175178.36,107744402227.98572,4926140586.397516,40469281791.01714,3249760274.355,8089764052.515141,10147193019.091799
2018-12-31,7460475840.079861,7129247686.686239,3370340430.6803,18457853559.878185,2637955344.481,7717762473.3706,74482743766.68073,4057365628.9512153,14648321959.267502,14769148733.074368,25152793055.0,4517728486.60629,4116790289.2676406,87589696118.21529,99817591093.46957,56940371996.69175,5150757066.034217,20078175654.982372,7723137662.65002,7036324510.573891,6620924367.57024,7501705093.650415,4830063324.03504,25852660424.51004,17192557812.699722,6240407022.041989,5613716214.849601,67736761889.86,4314124164.9,1592872141.4612997,2893105157.5188003,17194578877.9947,11260488492.68,4902232634.483399,1607901811.198,73402111504.40895,35233824068.631355,3835964501.60238,5061298646.86218,4758826906.659374,127918696674.59453,4432215413.74352,22481058133.05785,7832189667.862441,7744502183.766558,9676276570.098623,7678491055.952641,4488331251.31,5322432530.4648,44167707.718209,5937277784.29632,13664847487.636799,36694122811.4382,13937142960.0,6863616929.962773,3753669399.483311,0.0,7811388966.554217,7790768666.5536,5010162406.276087,24798614162.39328,5384040290.995589,2340780088.00608,3447479581.73805,7291398224.695417,5852280853.869929,36143309137.989876,40314947826.5984,31808935682.481197,5969965607.0862,57245503469.77728,3801097231.8929996,15300735026.913338,9695141200.0,191874320856.25153,194075000147.613,5258251091.730024,6558908472.195696,5770989395.682648,4319371964.64,6529893941.5752,5885475403.110767,4301332772.484825,12643813268.44989,3955115094.7253,5386922269.7256,4959164205.68816,4526527969.45225,10826880412.765,19868448331.978405,6133551856.570385,4676555102.61648,44693290.378879994,18005917610.76134,4838493859.108,107271320330.16801,5015879829.759988,40639499590.34845,3384950301.7681675,8228713825.444799,10534564853.43408
2019-01-02,7229041154.4985695,7052961962.412359,3362039099.57025,17803835126.654152,2576280149.6418004,7663544838.401899,73964976304.07748,4142793521.97645,14441292342.243187,14502006507.92832,25210537482.0,4502980733.11356,4120382601.91098,85124475992.11728,97284049221.57504,55324571353.05385,5100749715.878544,19823068653.32565,7703444153.94798,6965271031.673115,6606882110.16288,7456985540.186032,4792712406.99936,25844773706.869858,16881306170.545082,6156719052.374891,5590089463.1036,67494844883.1105,4272186927.8,1561989926.4737847,2891804300.883225,17272114114.31457,11395021031.6,4902232634.483399,1582110535.583,72049709449.98862,33960239976.12499,3768960754.8495,5020331549.64696,4774450962.166874,127020531383.54184,4407469794.18788,23126356551.398052,7839691765.24545,7770509525.312169,9419661214.74672,7761744086.58432,4447038603.797948,5246722252.6488,43783640.694572404,5885738914.64097,13402061959.0284,35935129743.42662,13810659200.0,6755414619.005585,3758235186.1599903,0.0,7727984874.476915,7781174123.8608,4977278077.308498,24361432962.84576,5297693728.2236395,2340780088.00608,3520659319.17075,7204926750.620249,5787205064.700959,35782262881.88438,40585517946.24,31298579417.28866,6086169317.1998,55087857977.90112,3809059497.711,15383198566.989792,9650047520.0,189507552561.76843,191791276354.6907,5170306791.090432,6511427068.316687,5712012592.62306,4220494775.088,6473505731.631959,5879436953.654772,4241248419.87,12349166489.06175,3894971195.764188,5331792948.2518,4884167393.5038395,4508290548.141,10903485698.704374,19572884637.78368,6067971500.405654,4643010192.5977125,43880685.09926401,17738989833.436665,4780765474.576,108230625289.63171,4897587190.782184,40304383297.91494,3296556822.305712,8284654643.11778,10173992328.38592
2019-01-03,7343817705.884413,7222871075.567819,3337135106.2401,17554685247.33071,2551475995.1956005,7734263492.7089,74217545798.03029,4007762336.2268853,14367074177.649565,14711903970.543072,25376977301.0,4496098448.150287,4098828726.05094,85655773433.08667,99184205625.49594,54892953372.90399,5014198532.916804,20082357736.97674,7710008656.8486595,6890157353.97801,6726241298.12544,7588349228.487659,4835960837.251201,25773793248.108242,17118840318.505203,6160700260.513549,5618441565.1988,66466697604.425125,4293831953.3999996,1533708319.064166,2856681171.7227,16419226514.796001,11388121927.04,5012952841.96005,1654326107.305,72941510804.71507,33605799120.191612,3813629919.3514194,5027780112.777,4790075017.674375,128437636620.53609,4404720280.903919,22599679165.840977,7662142127.1808815,7683165643.162885,9404013936.98136,7604844144.24,4439857273.795853,5074481370.6174,44509100.628108196,5878376218.975921,13349504853.306719,36126651358.71926,13957653840.0,6891303418.289102,3806904870.102981,0.0,7582623456.856472,7790768666.5536,4939695987.059827,25206432445.55328,5911418528.2335,2315113639.67268,3584022262.5576,7271324489.642252,5814446092.72518,35060170369.67337,40544932428.29376,31504684832.077953,6013541998.3788,55223653848.019196,3901510250.82,15023357664.837986,9690631832.0,193618255389.02856,195611323426.48798,5162125925.914657,6407831278.035216,5679247702.034399,4232637587.84,6323833322.523359,6036436639.510668,4366129623.34395,12344833448.188396,3922428193.1159997,5382984461.048901,4963851506.44968,4471815705.518499,10883057622.453875,19592588884.06333,6108512084.2165785,4658796032.6065445,44010701.94400256,17888844024.21543,4915465038.483999,108493448566.19711,5067547878.968684,41219303969.3207,3308255959.2933903,8286459185.62336,10305552574.011599
2019-01-04,7370159865.218868,7347702260.743259,3360378833.3482404,17816292620.620327,2540079491.8014,7781409262.2469,76238101749.65268,4057365628.9512153,14507698068.458532,14855015876.871311,25991785612.0,4588517703.371393,4207795542.89892,85283865224.4081,102351132965.3641,55866860610.16519,5075746040.800708,20157635212.87545,7673903890.894919,6711508607.027491,6494544050.904,7728097833.06386,4780917380.56704,25868433859.7904,17200748645.388004,6181952518.283192,5665695068.690801,65317591822.365,4356061402.0,1462841762.5665,2838469178.8246503,17021264820.338524,11260488492.68,4944229954.560749,1652483873.3325,73725511995.6834,33107178933.031105,3822005387.69553,4923500228.95644,4800491054.679375,129575312655.8695,4275493156.5578,23050439090.41685,7602125348.1168,7724057199.91309,9216246603.797039,7359888111.80448,4513465906.317336,5146406134.5426,46002694.6089172,5950530636.493409,13483817456.81768,36899831213.04881,14220876800.0,6896356876.843459,3854052625.1537447,0.0,7477772598.2450075,7821950930.305201,5040697854.603131,25444598322.918716,5862267407.886389,2226136618.7835603,3600978543.1822505,7359340097.183049,5980919041.76208,34995697823.94025,40558460934.27584,31661717529.060272,5975412655.997775,55940354273.6424,3889124503.992,15045847721.222471,9771800456.0,196815468699.11972,199597459501.40686,5262341524.317912,6261070575.136463,5639929833.328008,4305494464.352,6235422178.5382805,6058577620.84932,4435638972.447375,12180177895.000906,3820445060.0949836,5325886235.23675,4888854694.26536,4366038661.91325,10974983965.581125,19618861212.43619,6186016141.502168,4707140167.633593,44920819.85717248,18680261469.265797,4876979448.796,109097942102.29755,5164085549.858616,41724638061.085495,3409648479.8532667,8438040756.09208,10356714891.754921
2019-01-07,7584660305.513725,7559221768.957198,3343776171.1281404,18513912282.725956,2658737203.6116004,8238723226.765499,76806383111.04648,4124421932.0785503,14929569740.885437,15141239689.52779,26351839098.0,4683886509.291048,4297603358.98242,89736137779.73166,103796043564.17892,57715070935.42225,5131523469.820497,20069811490.99363,7782218188.75614,6928729242.524145,6775389199.0512,7521269898.291084,4802541595.69296,25868433859.7904,17888778591.20352,6410428455.576914,5859434433.008,66345739101.05037,4356061402.0,1545085977.2174609,2893105157.5188003,17326844869.36389,11868759544.72,5093129543.9258995,1628534831.69,74391913008.00647,34735203881.47085,3875050020.54156,5009158704.9519005,4869497299.8375,129734986485.39,4223252404.16256,23197529171.067924,7764670791.41535,7644128323.350302,9366460470.344498,7801769582.080319,4556553886.329912,5347038370.755,46088042.836392,5960838410.42448,13933472694.658718,37928373221.10188,14596909600.0,6991988808.82827,3863168178.2029753,0.0,7959133358.23401,8176949009.9388,5066535541.649094,25568575080.99936,5967211691.870759,2272336225.78368,3681297767.19375,7489047308.295801,6074749249.401059,35846735427.6175,40301419320.61632,32230961055.62118,6191478929.490251,57886761745.334885,4020944238.09,15638085872.680656,10028834432.0,198434836479.5555,200967693777.16025,5297110201.31496,6468262155.699407,5716381244.701548,4531003844.032001,6460278867.5712,6080718602.187972,4441529595.25275,12370831693.428526,4027026278.26576,5491274199.65815,5146656236.14896,4504643063.87875,10959662908.39325,19930845111.863953,6225364355.201007,4776203217.672233,45489643.552903675,18572553769.643562,5005264747.756,108848259989.56041,5193998630.97944,42182098396.788376,3570836589.4612737,8571576901.505,10534564853.43408
2019-01-08,7573370808.656101,7472533445.918698,3288987385.8018103,18241923664.464535,2664770646.5850005,8318871034.9801,75177309875.05092,4114317557.634705,14980350590.34423,14842294818.531023,26511485455.0,4697651079.217596,4254495607.26234,88609787204.87654,103261624575.57622,55047893160.6501,5135370189.06324,19885799883.241238,7719855411.19968,6894217552.77234,6887727258.310081,7283697270.511544,4796644082.476801,25955187753.83238,17397328629.906723,6314785321.008409,5949216089.6428,65728850733.83915,4310065722.6,1539884762.0616686,2843672605.36695,17235626944.281693,11634189989.68,5135126864.003249,1665379511.14,73980312382.7481,34290650943.520508,3844339969.94649,5146957122.857639,4921577484.862499,128717065822.19693,4236999970.58236,22091981145.529198,7752167295.777,7751935375.070497,9388366659.216002,7760143066.76448,4533214563.8231,5267542579.0482,48200411.4663933,6016794897.47886,13781641055.9072,38020587332.16871,14357616000.0,7110296784.074108,3965073332.7656355,0.0,7928154695.4624405,8018639055.5076,4932649345.1382,25415235406.5312,6065513932.56498,2388690791.5617604,3783927886.7640004,7533827178.799012,6080802811.18422,35975680519.08375,39902328394.14496,32034670184.39328,6166059367.902901,57539727855.03313,4054562693.766,15222019829.567633,10132549896.0,197355257959.265,198600925482.67715,5229618063.614808,6509268822.685824,5819044568.546016,4428657279.408,6532678544.53536,6084744235.158636,4346101505.8056755,12227841344.607811,4013951517.62204,5276663626.778,4949789604.16512,4552060359.288,10826880412.765,19599156966.156544,6164553479.48462,4770283527.6689205,45587156.186457604,18919091585.81946,5045888425.76,106929650070.633,5101540016.605984,41224623275.5498,3573436397.680758,8632931346.694721,10544310056.813759
2019-01-09,7611002464.848181,7767273744.249599,3381962294.23437,18540903519.652664,2790132183.9212,8853975519.2364,74912111906.40048,4166676588.84372,15257692152.773033,15220746304.154593,27004011450.0,4754675726.056151,4333526485.41582,88992321362.3745,104469015623.90092,56232075824.138145,5279622160.666141,19429952945.854633,7936484006.92212,7166250871.99245,7082563579.8372,7389906209.989455,4826131648.5576,26254883024.159218,17774106933.567604,6537944076.888791,5991744242.785601,66696518760.83715,4387176126.3,1576293268.1522129,3027093390.983025,17399819209.42965,12096429995.2,5192395936.8359995,1653957660.5105,74970113886.3456,35323936150.64832,4014641159.6100597,5251237006.6782,4999697762.4,130214007973.95145,4269994129.9898796,22680341468.1335,8074757483.24643,7997249050.378302,9313259725.942272,8008301138.83968,4773789118.893315,5559027148.6398,48413782.0350803,6134598028.119659,14026907549.27504,38375256990.11805,14326849680.0,7359482695.93147,4228190807.7754054,0.0,8559642821.190587,8253705351.4812,4980801398.269312,25862204244.87456,6472006981.922159,2491356584.89536,3891020185.4460006,7836477338.0621,6283597130.920079,36994346741.66712,40957551860.7472,32633357341.63838,6316761054.456474,59018393996.31888,4195671737.985,16170350540.446873,10245284096.0,198144180724.09268,200386382266.23456,5346195392.369616,6550275489.67224,5657404441.64196,4527534468.96,6615520482.60012,6219602939.67588,4354348377.7332,12336167366.441685,4323823344.878203,5532621190.7635,5146656236.14896,4727139603.875999,11373331452.465874,20436587433.041584,6259943088.4515,4890650557.736264,46383509.36048127,19949339147.423492,5129273870.084,107888955030.0967,5183121146.935504,41554420261.754196,3729424890.849798,8811581054.747139,10792812742.9956
