,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GFS,GSK,GLEN,HLMA,HL.,HSBA,IMB,INF,IHG,IAG,ITRK,ITV,JE.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MDC,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,PSON,PSN,PRU,RB.,REL,RTO,RIO,RMG,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2018-03-19,8358938099.127617,8658429705.08538,3482614511.7486444,17564578305.8874,3177575269.2567406,9502776404.69136,61106522303.90399,3196875657.0194397,20452656127.00224,18435264246.877262,36807693711.07332,5138893418.645888,4590755152.50537,29193439912.94647,90856412372.1612,88084221537.73318,6331506713.854561,18813195339.038593,6643518410.005441,6446672769.0508,8738649718.752,7573673724.226837,4562397308.48804,24114105427.093628,20298115726.149693,6090859161.375358,5729667791.015399,59130410018.02704,5212858750.0,1290298197.524544,4331594411.1783,14633709307.354849,13635737017.776272,5980047164.067349,2178902230.974375,3822539084.4183197,63246953967.90545,44967083646.555,4338795541.55712,4481134696.059999,138905259091.59702,23004420551.42308,5926903530.8328,8305155750.415383,10203310209.866928,7803826526.1872,5214494942.86163,4309616692.313808,5985524509.667999,72696571.30212751,6890219102.126335,15216822002.894493,47401066854.94321,13640047872.339418,5139636434.924173,2155664038.2495,4133330110.2101097,0.0,4195800062.4073377,6943817208.0996,4838445034.64406,24735688364.681835,6337526675.26034,2994383051.891,5895887535.3832445,7485386791.5084,48330036407.49473,37189665937.97455,13937667304.000002,4803822788.9692955,41548997381.28104,5173854000.0,380921571.79195595,16306408000.117546,8847397220.87984,180680938068.30682,182840305749.19675,6302590315.091604,7222258881.372198,4853449883.5299,5706074610.41752,6114712344.746941,6140400368.002264,4096283024.1452503,11448237111.234,4821785209.310873,6125975843.4576,7194028711.58118,12356339880.804573,24686389731.835777,12207564360.020178,5497390731.2877,60059817.783463515,16586511308.943525,6731472964.21908,45080983771.42272,4687647904.8,52672961667.9089,4145453303.7617283,6917893865.882999,14397335604.571081
2018-03-20,8463752369.963073,8648027106.320759,3507642617.103239,17674421686.44339,3175558188.0447707,9563057909.41536,61364940809.7792,3133714128.37384,20476530822.87034,18542998689.02127,36629591967.31006,5207126070.259168,4656493889.77275,29597093986.35031,91676540944.96046,87166222206.57071,6376452594.847973,18629814613.536224,6731793506.988781,6479485175.360339,8794016031.648,7409028643.265385,4523934705.726801,24043297287.177197,20331514517.96565,6109492270.677364,5666519358.344399,59216141764.11781,5265732999.999999,1312258050.1447039,4356235217.708955,14720542685.505926,13734733452.44035,5807959475.89275,2139452632.6872602,3824082920.8821397,63033183344.56947,44845304137.695,4353553349.5216,4543517081.619999,139604178595.36438,22608942733.326954,5918671720.37331,8318035048.684614,10275164507.119514,7906842107.869201,5189416643.58301,4188928677.2762,6087071500.389,72739650.75178802,6966711713.849344,15415048802.932196,47923587180.76859,13905338017.873682,5039978114.3448,2125134772.0773995,4124226597.6161876,0.0,4224073647.7335334,6974606173.289399,4852388680.27704,24587125671.800865,6395397485.843519,3012059457.1559997,5886641501.61108,7541556755.583698,48960372256.301544,36907975672.8111,13867084924.0,4885427932.609769,42089715331.41815,5181749999.999999,381101379.00073195,16507405857.582016,9050035588.90465,182591147939.86328,185165778636.30896,6357079568.5362,7211482607.302709,4855529339.34975,5733013882.700399,6160184833.74987,6174138831.562717,4051681661.7046995,11400536123.270525,4809940416.094112,6118122028.273681,7109888024.896021,12280347630.61512,24519589801.215267,12279605921.65964,5581019941.517579,60984813.626116164,16610596272.122053,6885159561.57568,44979503802.6576,4600713837.599999,52169142562.14457,3863572823.343744,6897983653.2915,14089962940.08408
2018-03-21,8291557496.44768,8381027071.36218,3509496550.83321,18030894544.0968,3266999202.98741,9440083639.7784,61232580111.647995,3057920293.9991193,20412864967.22208,18460613527.381737,35866298779.75324,5224671609.24544,4660146041.843161,30143708877.418007,93415608761.98062,84685438299.73878,6337369220.071093,18500614556.93228,6663135098.223961,6479485175.360339,8613152742.8544,7395075670.302551,4485472102.96556,23823005296.3261,20239667840.471764,6118808500.490162,5628630298.7418,58322082126.31417,5245396749.999999,1356177755.385024,4251187568.8151107,14556016284.798622,13844144796.865646,5835337062.6478,2172480203.34624,3753066443.54642,62974882265.47783,45198464713.38899,4368311157.48608,4517524420.969999,138585753032.73193,22189640950.285275,5910439909.913821,8242530066.341723,10040004988.838327,7852957034.373999,5119555667.021141,4138544360.318752,6075575614.646999,64963810.088064164,6901987196.237567,15292614602.908909,47422250111.395584,14298105246.327,4944410719.324548,2148962492.0166,4092380274.612185,0.0,4212764213.603055,7054295259.663,4831473211.82757,24545140562.9432,6229860050.919539,3036806424.527,5874313456.581529,7571119894.570701,48806004293.32846,36855568181.6179,13744742132.0,4967033076.250245,42739727335.3064,5189645999.999999,377864849.242764,16302753493.618193,8995082811.135208,184086094795.864,187698883031.19904,6423677544.968485,7140359198.444075,4824337502.051999,5701023496.86448,6117387197.04123,6053077285.8458,4050507941.640475,11439564204.33155,4823757574.161651,6131866204.845541,6997700442.649139,12396869080.905611,24434554542.467552,12351618838.542984,5531826288.44118,60757621.66476287,16522284740.467466,6768796852.1485405,44579553337.52448,4610222251.2,52190355998.17675,3814437693.7296004,6691641450.070499,13647346303.222801
2018-03-22,8154924607.680033,8422637466.420658,3492811147.2634797,17577013405.572987,3195729000.16447,9225481482.96096,60930041373.0624,3020925684.3638396,20054744529.200638,18118398240.57136,35111486627.61372,5066761758.368992,4548146711.68392,29332196000.679043,91557968139.25455,84914938132.52939,6272881651.68924,18242214443.7244,6558512761.05852,6392628805.717441,8642681443.0656,7361588535.191746,4631996303.96076,23437494312.336674,19939078714.12812,5980388054.343595,5569691761.5822,58211855595.62605,5195234000.0,1367785106.05568,4135764843.4873047,14249814372.37115,13573220903.67423,5819692727.3592005,2127526009.949295,3680506129.74688,61886595455.76737,43743199582.51199,4279764309.6992006,4392759649.849999,135370723315.40198,22489822908.599197,5915378996.189515,8124646096.356559,9971416796.006317,7646925871.01,5185834029.400351,4204161145.193568,5941456947.657,63046774.57817102,6847559760.97312,15065236802.865656,46645530708.14164,14411801022.98454,4635313879.914382,2113220912.1078002,4022634591.2829566,0.0,4178835911.2116203,6914839358.5092,4794290156.806291,24454711097.711304,6229860050.919539,2951959679.255,5868149434.0667515,7358265293.864301,47661108567.94462,38617770072.98925,13678865244.000002,4945271704.612785,41232619857.26464,5185698000.0,377505234.825212,16109064649.152431,8871439061.153969,183047937256.9746,186868357000.08752,6357079568.5362,7000267635.540705,4761953827.4565,5487193023.11912,5935497241.0295105,5890338814.554209,4017643779.8421745,11361508042.2095,4703390297.703767,6031730061.250561,7095864577.11516,12290479930.640383,23780437167.485157,12187942702.078615,5453116443.51894,59589205.86351743,16265378466.563206,6702931167.56714,44752666225.41792,4546380045.6,51007706939.38259,3670911394.067232,6648200986.2345,13499807424.269041
2018-03-23,8061340437.291233,8481585526.08684,3439047069.0943494,17177017699.020031,3163455700.7729506,9201368881.07136,60356478347.827194,3069650292.17616,19621020887.596897,17934615956.91394,34661991750.496925,5117448870.995999,4571277008.129849,29319581810.885166,91389989997.83784,85712723265.56346,6220119095.740453,18275556393.81574,6520914108.639691,6381047956.43172,8459972610.5088005,7517861832.375498,4551407993.4134,23075586041.652725,19863931432.542213,5961755594.718,5506543328.9112,57783196865.17226,5088129750.0,1374373061.8417282,4130577305.270325,14080717793.866423,13588843021.505554,5768848637.67125,2216516964.2248797,3705207513.1679997,63917416377.459206,43657953926.31,4253938145.7613597,4321279833.062499,133114211774.6673,22623237112.29428,5862695409.248779,7955193838.855383,9781982739.61314,7459912968.879601,5209121021.587641,4118624979.19604,5912717233.301999,63908363.57138143,6801222890.410144,14820368402.81908,45727589595.205154,14208526755.62712,4860019564.233847,2085670110.9280999,4069637464.2021046,0.0,4131713269.0012956,6887672624.5182,4782670452.112141,24393348246.30394,6707630696.431838,2962565522.4139996,5861985411.551975,7376003177.2565,46979316731.480095,38421241981.014755,13528289500.0,4863666560.972309,41031288705.61783,5223204000.000001,382719643.879716,15736304986.218325,8744360762.56214,182632674241.41885,186743778095.42078,6302590315.091604,6961473048.890539,4730761990.15875,5418161137.894239,5841877410.729361,5848661888.979532,4002385419.00725,11266106066.282549,4684642227.509287,5766663798.79326,7147283885.64498,12477927481.10769,23335637352.497124,12020972418.660557,5369487233.28906,59897537.81106832,16289463429.741734,6637065482.985741,44585522747.451836,4515138115.2,51341818556.88945,3720046523.6813755,6630100792.9695,13462922704.530598
2018-03-26,8068827170.922338,8283936149.559059,3423288632.3896046,17135567366.734753,3141940167.84527,9206191401.44928,60003516486.144005,3049799526.0304,19660812047.377056,17744496353.1304,34924903848.43317,5138893418.645888,4578581312.27067,28970589226.588104,92793101532.02457,85242795036.51599,6204485745.8297,18183866031.064552,6480046008.18444,6381047956.43172,8293873671.8208,7540186589.116034,4575218176.07512,22973307617.329,19521593816.428623,5885886253.389358,5451814687.263,57672970334.48412,5054236000.0,1391313519.57728,4092967653.19722,13824787837.210625,13375204834.158445,5596760949.496651,2317434541.23843,3682049966.2107,62586208404.86695,42902920971.378,4235490885.80576,4238103318.9824996,132834643973.16035,22156287399.361504,5780377304.653879,7861246738.678058,9768918321.930853,7394933909.6648,5203747100.31365,4110422881.086688,5820750147.366,62077486.96080932,6746059949.263745,14913651602.836824,45642856569.39564,14050041733.619638,4702455668.4723015,2058863925.9965,4037807112.272827,0.0,4165641571.39273,6891294855.717001,4743163456.15203,24351363137.446278,6560934920.7675,2950192038.7285,5800345186.404217,7390784746.75,46361844879.58771,37969227369.473404,13453001628.0,4802009341.33284,40680397269.89055,5203464000.0,385326848.406968,15853249194.19765,8878308158.375149,183463200272.53036,187366672618.75443,6349007086.544409,6892504894.845804,4685013962.12205,5357547775.25776,5884675047.438001,5799046501.390633,4019991219.970625,11318143507.697248,4598801940.052096,5752919622.2214,6852791482.246921,12437398281.006653,23106696271.25328,11693591500.975706,5310454849.597379,59654117.85247552,16273406787.622715,6676584893.73458,44113939363.1904,4455370944.0,50620561731.79526,3576520224.0190086,6626480754.316501,13450627797.95112
2018-03-27,8121234306.340065,8401832268.891419,3421434698.659635,17419502142.888924,3186315954.50861,9358100793.35376,61339729248.2304,3080477982.8011193,19831914034.43174,18181771441.83254,34967309025.51965,5181782513.945664,4594407304.57578,29496180467.999355,93939305320.51512,86248222875.40825,6239660783.128893,18513117788.216537,6623901721.786921,6446672769.0508,8537485448.563201,7668553940.374116,4639322514.01052,23193599608.1801,19863931432.542213,5999021293.580884,5594951134.6506,57881176003.561676,5067793500.0,1419861327.983488,4155218111.80098,14126419571.840675,14271422158.801886,5678893709.761801,2295416160.79911,3737628078.9082203,65637298210.66236,44266851470.61,4309279925.6281595,4275792676.924999,134192544723.33696,22299231189.0348,5864341771.340676,7999394553.228279,9853837036.865725,7507458621.963601,5198373179.03966,4126827077.305392,5876313595.119,62249804.75945141,6832849643.33408,15065236802.865656,45918238903.27658,14353230471.37308,4837667506.119645,2100562435.8901005,4043860149.5940504,0.0,4216534024.979881,6994528444.8828,4782670452.112141,24658177394.48307,6455959962.035218,3020897659.7885,5832706304.60679,7467648908.1161995,47095092703.70993,38368834489.821556,13683570736.0,4847345532.244215,41410941734.43751,5250839999.999999,389552317.813204,15977502415.175686,8847397220.87984,187698883031.19904,191602355377.4231,6365152050.527992,6995957125.912909,4766112739.096199,5401324092.71744,6085288969.509751,5884384968.04354,4089240703.7599,11569657807.868298,4650104634.396493,5902142110.71588,6988351477.461901,12812293381.941273,23522060804.36711,11929309199.079535,5371946915.94288,59929993.805547364,16498199777.288939,6764405806.50978,44639247436.79807,4539588321.6,51400155505.97796,3492473291.7842884,6713361681.9885,13696525929.54072
2018-03-28,8128721039.971169,8675767369.693079,3447389770.8792143,16754224309.710178,3061929279.77046,9346044492.40896,62322980148.633606,3153564894.5196004,19808039338.56365,18238807322.967606,34941865919.26776,5187631026.941089,4604146376.76354,28949565576.931656,93158701016.28447,89264506392.08496,6298285845.294212,18817363082.80001,6757949091.28014,6552830554.1699,8393533035.0336,7894592102.372043,4730900139.63252,23366686172.42025,20156170860.93186,6049604709.213358,5569691761.5822,58897709564.35213,5119312000.0,1333904190.584576,4061842423.8953404,14117279216.245825,14172402770.760687,5698449128.87255,2261471157.6218247,3804013046.85248,67891606602.20547,43006433553.909,4279764309.6992006,4247200750.2099996,133733254763.7184,22937713449.575542,5900561737.3624325,8001231503.302057,9749321695.407421,7421876446.4124,5194790564.857,4058866835.827904,5924213119.044001,62572900.63190531,6876979996.2512,15006934802.854565,45833505877.467064,14225753388.454018,4987133477.9986515,2128857853.3178997,4051446410.0889854,0.0,4208994402.2262287,6954683901.696,4845416857.46055,26008160125.444942,6503064110.18432,3004988895.05,5789558147.003358,7520862558.2928,47313780651.25516,39285965585.70255,13824735496.0,4918069990.06596,40530836985.810074,5288345999.999999,390631161.06586,15948266363.180855,8826789929.216301,185331883842.53125,189775198108.97778,6373224532.519785,6937765245.937661,4876323897.548249,5365966297.84616,5876650490.555131,5924077278.11466,4338069357.3756,11704087864.856274,4593871027.925155,5937484279.043519,6843442517.05968,13111196232.68644,23387966742.495712,11863827286.591341,5362108185.3276005,60189641.76137968,16506228098.348448,6727081918.580319,46746449141.15616,4917208176.0,51410762223.99404,3435579983.8100157,6715171701.315,13997751140.737978
2018-03-29,8038880236.397922,8637624507.556137,3418653798.064679,17212250481.462524,3096219660.37395,9355689533.1648,61711599781.075195,3163490277.5924797,19732436134.981342,18422589606.625027,35026676273.44074,5170085487.954816,4612668064.92783,29508794657.793224,94710028557.60359,90291791357.90962,6272881651.68924,18963234114.449627,6849493636.299901,6547040129.527041,8452590435.456001,7936451021.260547,4824309317.76696,22902499477.41258,20114422371.161915,6080217461.7467985,5523382910.9568,59081420448.83232,5169474750.0,1363079423.35136,4161702534.5722046,14053296727.081875,13948372873.83999,5710182380.339001,2327526298.939785,3830258266.73742,67726420211.44584,43085590234.668,4349863897.530479,4244601484.1449995,132874582230.51846,23118775583.161724,5915378996.189515,7861246738.678058,10036738884.417757,7385424779.047999,5164338344.30439,4091675228.2653117,5828414071.194,63003695.128510505,6892425619.772192,15030255602.859003,45656978740.363884,14215417408.757881,5016613446.71849,2237571825.5404997,4096932030.9091463,0.0,4354132140.23403,6936572745.702,4961613904.40205,25908041788.9382,6404818315.47334,3004988895.05,5771066079.459031,7479474163.7109995,45757237024.609726,39528350232.4711,13787091560.000002,4927137228.248234,41543245062.66255,5337695999.999999,390810968.27463603,15926339324.184734,8888611804.206919,185497989048.75354,189110777284.0886,6357079568.5362,6888194385.218009,4965740497.801801,5374384820.43456,5914098422.67519,5965754203.689337,4328679596.8618,11543639087.16095,4643201357.418776,5943374640.43146,6735929417.40642,12928814832.23176,23309472657.497826,11775458213.964008,5344890406.750859,59913765.80830783,16530313061.526972,6709517736.02528,47224001935.34496,4858799349.6,51500919327.13082,3491180262.0576005,6697071508.05,13923981701.261099
2018-04-03,8031393502.766816,8613351777.10536,3429777400.4444995,16992563720.350536,3109666868.45375,9290585508.06288,62096076094.694405,3117472592.4363995,19815997570.51968,18194446082.084778,35086043521.361824,5131095401.318655,4605363760.78701,29609708176.144184,94759433893.31439,90707076769.62599,6265064976.733865,18779853388.947258,6764487987.352981,6568271686.55086,8386150859.980801,7771805940.299094,4853614157.966001,22658604773.256,20147821162.977875,6048266635.675202,5498123537.8884,58420061264.703606,5183032250.000001,1340492146.370624,4159108765.463716,13911621215.361702,13703462808.053486,5631960703.896,2276150077.914705,3759241789.4017,66949072490.224075,43383950031.375,4290832665.6725597,4253698915.3724995,132515137914.29526,23285543337.780575,5826475443.227023,7793092181.344614,9955086273.903458,7339463981.066799,5103433903.199169,4111594609.388024,5811170242.580999,62422122.55809349,6890219102.126335,15012765002.855677,45988849758.11785,14077604346.142681,5139636434.924173,2134814783.3027003,4072671968.4000783,0.0,4290045346.8279877,6882239277.72,4933726613.13609,25694886620.89159,6414239145.103159,3015594738.2089996,5743327978.142538,7491299419.3058,44946805219.00095,39292516522.1017,13815324512.0,4885427932.609769,41767585488.78328,5321904000.000001,390721064.67024803,15615706271.739641,8895480901.428099,185539515350.3091,188612461665.4217,6342952725.050565,6948541520.007153,4938707572.14375,5327241093.93952,5724183909.780601,5955831126.171556,4272341033.7790003,11452573564.685225,4614591462.970411,5890361387.94,6843442517.05968,12771764181.840233,23024931599.38048,11647788535.941313,5276019292.443899,59978677.79726593,16337633356.09878,6665607279.637679,46686755041.88256,4775940316.8,51416065583.00209,3452389370.2569604,6570370155.195,13739558102.5689
