,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GFS,GSK,GLEN,HLMA,HL.,HSBA,IMB,INF,IHG,IAG,ITRK,ITV,JE.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MDC,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,PSON,PSN,PRU,RB.,REL,RTO,RIO,RMG,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2018-03-19,8482469204.0408325,8672299836.77154,3510423517.6981945,18175970707.095284,3230019380.76796,9582347990.92704,62020441410.048,3170708738.00912,20643653693.947006,18549336009.147385,36468452294.3814,5154489453.300351,4521364263.16758,30097456848.173817,93336560224.84335,90925648038.9504,6182989889.702415,18971569601.97246,6682751786.44248,6437022061.3127,8677746774.5664,7715994048.447755,4637490961.49808,24169178424.8064,20690551529.98722,6052255388.974318,5855964656.3574,59350863079.40329,5261665750.000001,1321983127.7336318,4301766066.430665,14670270729.734251,13713902892.48639,5995691499.355949,2194498583.78556,3859591159.55,64276939698.52428,46617195991.608,4405205677.39728,4509726622.775,141381431047.80145,23371309611.58455,6014160721.703395,8316197223.706058,10298027238.063519,7851372179.2712,5295103761.97148,4390465945.105991,5991272452.5390005,74010494.51677337,6681335431.651968,15304275002.911125,47641143761.40352,13781306261.52,6092822090.198994,2245017988.0215,4180332983.1292586,0.0,4225958553.4219456,7054295259.663,4905839321.87013,25216902304.665855,6400780817.060559,3052715189.2655,5931330664.843205,7473561535.9136,49153332210.01792,37097952828.38645,13947078288.0,5017809610.070985,42584414732.60744,5086998000.0,376426391.572556,16445279247.093,8964171873.6399,183172516161.64133,185954778365.86487,6344970845.5485115,7392524011.67014,4907515734.846,5743116109.806479,6339399937.467301,6070938825.377804,4163185067.8060746,11526293273.35605,4890849791.424361,6263417609.1762,7409054910.8877,12548853581.284512,25101754264.949604,12266486623.357107,5605616768.05578,59816397.82487072,16835389261.788275,6784165511.8842,45683894174.086075,4720248180.0,53577184378.78067,4157090571.30192,6859973247.435,14501842310.49666
2018-03-20,8411345234.545344,8654962172.16384,3500226882.183359,17691001819.357506,3177575269.25674,9565469169.60432,61295609015.52,3198680272.1236,20556113142.430656,18428926926.751144,36646554038.14466,5175934000.95024,4600494224.69313,29420495329.236134,91498681736.4016,88106078664.66565,6335415051.332249,18875711495.459858,6646787858.041861,6465974184.527,8788479400.3584,7462049940.524158,4573386623.56268,24161310853.704575,20381612705.68959,6116157820.729203,5763346955.106599,59105915233.42969,5234550750.000001,1300023275.1134717,4344563256.72075,14697691796.518799,13672216351.09628,6019158002.28885,2174315068.38285,3836433612.5927,63499591977.30252,45058418278.2,4360932253.5038395,4509726622.775,139344579922.5365,23066362860.281513,5948306238.027474,8343826716.623719,10206576314.2875,7852957034.374001,5230616706.683599,4315475333.820488,6016180204.98,73041206.89941166,6923316866.814175,15257633402.902254,47358700342.03844,13719290383.343159,5086243530.204121,2176513293.1963,4137881866.5070715,0.0,4222188742.04512,6970983942.090599,4838445034.64406,24612962661.86712,6341564173.6731205,3001453613.997,5882018484.724998,7526775186.0902,48715956314.92747,36803160690.424706,14003544192.0,4829211055.879665,41802099400.494156,5181750000.0,381550897.02267206,16353916584.60915,8892046352.817509,182300463828.97424,184501357811.41974,6324789640.569032,7215793116.930504,4849290971.8902,5741432405.2888,6189608208.987061,6166200369.548492,4081024663.3103247,11504611006.099924,4855336619.99828,6149537289.00936,7395031463.106839,12325942980.728792,24820483793.70717,12273046272.508371,5534285971.095,60303237.742056325,16586511308.943527,6770992374.96792,45063075541.64063,4683572870.4,52773725489.06177,4202346611.7360005,6925133943.189,14483399950.62744
2018-03-21,8443163852.477536,8634156974.634598,3514131385.158135,17635043870.772377,3195729000.16447,9543767827.903679,61566633302.1696,3140030281.2383995,20516321982.650497,18536661368.89515,36561743683.97168,5222722104.913631,4643102665.51458,29622322365.938053,92022378294.93608,87155293643.10449,6388177607.281035,18646485588.581898,6718715714.843101,6469834467.62224,8773715050.2528,7417400427.043087,4533092468.2890005,24074767571.584503,20306465424.103683,6097511977.769519,5641259985.276,59056925664.23497,5267088750.0,1313826611.046144,4353641448.600465,14720542685.505926,13713902892.48639,5831425978.82565,2150461822.90692,3822539084.4183197,63169219195.78327,44778325407.822,4346174445.53936,4540917815.554999,139843808139.51318,22623237112.29428,5930196255.016597,8319889846.815884,10262100089.437223,7902087542.5608,5187625336.491681,4198302503.686888,6079407576.561,68711722.20852941,6970389243.259106,15444199802.937742,47867098496.895584,13946681936.65824,5057269655.367884,2125134772.0773995,4115123085.022265,0.0,4246692515.994489,6976417288.8888,4859360503.09353,24612962661.86712,6379247492.1924,3004988895.05,5878936473.467609,7559294638.9759,49256244185.33332,36907975672.811104,13867084924.0,4883614484.973315,41922898091.48224,5187672000.0,381910511.440224,16474515299.087835,9070642880.56819,183338621367.86365,185830199461.19815,6371206412.021837,7211482607.302709,4849290971.8902,5729646473.66504,6160184833.74987,6148338830.016489,4059897702.154275,11404872576.72175,4815868114.758544,6118122028.273681,7109888024.896021,12310744530.6909,24568648604.338943,12259955618.961958,5578560258.86376,60919901.637158066,16570454666.824512,6878572993.11754,44913840293.45664,4615655630.4,52110805613.05606,3888140388.150816,6897983653.2915,14034635860.476418
2018-03-22,8235406994.2144,8356754340.911399,3491884180.3984942,17995661761.654312,3248845472.07968,9358100793.35376,60791377784.54401,3053408756.23872,20190034472.453182,18314855164.48102,35560981504.730515,5175934000.95024,4634580977.35029,30164732527.074463,92832625800.5932,83931367420.5696,6306102520.249589,18379749987.851177,6627171169.823341,6442812485.955561,8554095342.432001,7347635562.228911,4465325025.32872,23626316018.78047,20039275089.576004,6073551911.69496,5594951134.6505995,57966907749.65244,5226416250.0,1348021238.697536,4217468570.40474,14496603973.4321,13766004343.63772,5804048392.0706005,2168810473.27302,3723733550.7338405,62566774711.8364,45058418278.2,4312969377.61928,4473336897.865,137048130124.44366,22089580297.51396,5898915375.2705345,8178050284.060614,9971416796.006317,7818090222.1124,5087312139.3772,4103392511.2786717,6027676090.721999,64576095.041119486,6876979996.2512,15129369002.877857,46984462811.37974,14163737510.27718,4834630521.073127,2124390155.8293,4063584426.8808827,0.0,4203339685.1609898,7050673028.4642,4805909861.50044,24377200127.512535,6182755902.770439,3004988895.05,5838870327.121565,7520862558.2928,48497268367.38225,39128743112.122955,13645926800.0,5168325763.8967495,42457863723.00088,5165958000.0,377595138.4296,16229663363.631113,8905784547.25987,183587779177.1971,187159041110.97656,6381297014.511578,7058459515.515949,4786907297.2947,5552857499.3086405,6074589560.33259,5928046509.121773,4022338660.099075,11344162228.4046,4783302886.496526,6059218414.3942795,6964979064.4938,12341141430.766682,24205613461.223717,12194473706.473764,5492471365.98006,60449289.717212,16409888245.634354,6735864009.857841,44454195729.04992,4568113562.4,51978221637.854935,3785991039.7424645,6640960908.9285,13548987050.58696
2018-03-23,8061340437.291233,8370624472.597559,3477979677.4237194,17338673994.93263,3166145142.3889103,9136264855.96944,60551867949.8304,3011902608.8430395,19911496353.99206,17947290597.166176,34789207281.75639,5035569689.060064,4527451183.28493,29033660175.55745,91024390513.57791,84663581172.80634,6233798276.912361,18108846643.35904,6524183556.676111,6338584842.384081,8635299268.0128,7361588535.191747,4586207491.14976,23248672605.892876,19822182942.772263,5937795658.578722,5523382910.9567995,57746454688.276215,5177609249.999999,1359942301.54848,4107233383.2939153,14112709038.4484,13479432911.13279,5788404056.782001,2128443442.4676,3643454054.6152,64665613559.135155,43134302038.212,4242869789.788,4349871759.777499,134292390366.7323,22394527048.817,5890683564.811045,8076753458.797661,9801579366.136572,7612059058.7484,5146425273.39109,4164322382.948144,5887809480.861,62572900.63190531,6799016372.764288,14948632802.843477,46271293177.48292,14291214593.19624,4606846098.961747,2089393192.1686006,3978666222.5617833,0.0,4207109496.5378156,6871372584.1236,4761754983.66267,24286770662.28064,6228514218.115279,2930747992.9370003,5821919265.205932,7308007957.5864,47275188660.51187,38421241981.01475,13612988356.0,4896308618.4285,40743672774.69383,5148192000.0,376606198.781332,15992120441.173105,8809617186.16335,182591147939.86328,186120883572.0872,6318735279.07519,6911902188.170885,4734920901.7984495,5431630774.03568,5884675047.438001,5838738811.461752,3992995658.4934497,11292124786.9899,4657018515.486312,5497670628.744,6988351477.4619,12234752280.50145,23665966626.863235,12066804028.451069,5403922790.442539,59102365.946331844,16161010292.789604,6643652051.443879,44376593399.99424,4520571494.4,50678898680.88376,3648929888.713536,6619240677.010501,13383005811.763979
2018-03-26,8095030738.631201,8512793322.380699,3454805505.799094,17131422333.506227,3158749177.94502,9213425182.01616,60627502634.4768,3080477982.80112,19672749395.311104,17966302557.54453,34763764175.50449,5129145896.986848,4584668232.38802,29168211533.35873,91874162287.80367,86007794479.1514,6237706614.390048,18292227368.86141,6522548832.657901,6381047956.43172,8399069666.3232,7545767778.301168,4577049728.58756,23122791468.263676,19972477505.94408,5992368477.186723,5544432388.5138,58101629064.93793,5105754500.000001,1380019881.086912,4120202228.836365,14089858149.461275,13620114899.944952,5788404056.782001,2270645482.804875,3717558204.8785596,64179771233.37156,43383950031.375,4272385405.71696,4339474695.517499,133673347377.6812,22675649835.17449,5880805392.259657,7988335231.880115,9804845470.557144,7474176664.8048,5228825399.592269,4140887816.921424,5951036852.441999,64145300.54451428,6793132325.708672,14884500602.83128,45932361074.244835,14273987960.36934,4899663585.116035,2102796284.6343997,4074189220.499065,0.0,4201454779.472577,6914839358.5092,4787318333.9897995,24467629592.74443,6750697346.1681595,2987312489.785,5860444405.923282,7390784746.75,47107956700.624344,38585015390.9935,13561227944.0,4870920351.51813,41083059573.18416,5231100000.0,384248005.15431195,15816704129.204113,8878308158.375149,183297095066.30807,186992935904.75427,6316717158.577241,6978715087.401725,4741159269.257999,5438365592.1064,5873975638.260839,5864538813.007981,4011775179.52105,11287788333.538673,4699445568.002213,5803969420.91688,7011723890.43,12508324381.183472,23420672611.24484,12014412769.509293,5381785646.55816,60043589.786224,16321576713.979765,6639261005.8051195,44728788585.70847,4546380045.6,51490312609.11474,3725218642.5881286,6637340870.2755,13456775251.24086
2018-03-27,8162411341.311138,8387962137.205258,3456659439.529064,17599811088.32989,3193039558.54851,9389447175.81024,61100219413.5168,3067845677.072,19943329281.816193,17966302557.54453,35298069406.79428,5199328052.931935,4655276505.74928,29592889256.419018,94047997059.07889,85800151773.29321,6265064976.733866,18429762912.988186,6532357176.76716,6485275600.003201,8354776616.0064,7612742048.522778,4641154066.522961,23201467179.281925,20039275089.576004,5968408411.112162,5506543328.9112,57844433826.66564,5104398750.0,1403548294.608512,4131874189.82457,14030445838.094751,13922309437.523228,5624138536.2517,2347709814.342495,3740715751.83586,64131187000.7952,44029381428.333,4298211569.654799,4295287172.412499,133992853436.5463,22408821427.784332,5829768167.410819,7977294633.494221,9824442097.080578,7493194926.0384,5273608076.87552,4173696209.358832,5906969290.431,62745218.43054739,6816668513.931135,15111878402.874529,46186560151.6734,14294659919.76162,4816326792.282841,2077479332.199,4075706472.5980525,0.0,4239152893.2408366,6987283982.4852,4798938038.68395,24554829434.21804,6624189062.567719,3008524176.1029997,5857362394.6658945,7473561535.9136,47172276685.19647,38270570443.834305,13584755404.0,4854599322.790035,41572006655.75496,5246892000.0,389372510.60442793,16068865077.659536,8977910068.08226,186743778095.42078,190481145235.42255,6411568821.980797,7000267635.540705,4741159269.257999,5419844842.41192,6015742809.858211,5856600350.993757,4061071422.2184997,11439564204.33155,4685628409.934676,5821640505.0807,6899536308.18312,12543787431.271883,23489354935.61799,11873652437.940178,5381785646.55816,60270781.74757729,16522284740.467466,6740255055.4966,44627308616.94336,4496121288.0,51426672301.01818,3610138996.912896,6700691546.703,13635051396.64332
2018-03-28,8018291718.912384,8530130986.988399,3404749295.089905,17210177964.848255,3149336132.2891603,9247182824.661598,60829195126.867195,3075064137.4886403,19756310830.84944,18074036999.688538,34780726246.3391,5150590444.636735,4566407472.03597,29151392613.633568,92901793270.58832,85701794702.09723,6220119095.740453,18383917731.612595,6587937793.3863,6547040129.52704,8461818154.272,7635066805.263311,4600859911.24928,23028380615.04177,19546642910.290592,5951100641.690635,5544432388.5138,57636228157.58809,5046101500.0,1397274051.0027518,4103342729.6311803,14016735304.702477,14240151514.415022,5631960703.896,2275232645.3964,3861134996.0138197,65637298210.66236,43767555484.284,4265006501.7347198,4227706254.7224994,133194088289.38356,22299231189.034805,5824829081.135124,7938605644.247439,9755853904.248564,7448818983.16,5166129651.39572,4064725477.3345838,5834162014.065,61926708.886997506,6796809855.118431,14919481802.837934,45614612227.45912,14263651980.6732,4884438594.117663,2075990099.7028,4018082834.9859953,0.0,4207109496.5378156,6938383861.3014,4738515574.27437,24735688364.681835,6437118302.775579,2987312489.785,5814214237.062462,7417391571.8383,46529076839.47523,38270570443.834305,13575344420.0,4796568998.423474,40760929730.54928,5203464000.000001,388113860.142996,15845940181.198946,8764968054.22568,185747146858.087,189567566601.1999,6320753399.573137,6879573365.962416,4745318180.897699,5333975912.01024,6015742809.858211,5836754195.958197,4081024663.3103247,11461246471.587675,4613605280.545023,5876617211.368139,6899536308.18312,12771764181.840233,23302931483.748,11795079871.90557,5322753262.86648,59670345.84971504,16361718319.277306,6722690872.94156,44836237964.400955,4545021700.8,50954673349.30212,3462733608.0704646,6651821024.8875,13671936116.38176
2018-03-29,8066955487.514561,8696572567.222319,3453878538.9341097,16837124974.280737,3065963442.1944,9333988191.46416,62411220614.054405,3149053356.7591996,19827934918.45373,18308517844.3549,35128448698.44832,5175934000.95024,4589537768.4819,29164006803.42744,93465014097.69145,89865577382.72705,6243569120.606581,18892382470.50553,6748140747.17088,6537389421.78894,8373232053.6384,7916916859.112578,4776688952.44352,22658604773.256,20122772069.115902,6066899095.300797,5565481866.0708,59056925664.23497,5120667750.0,1334531614.945152,4065733077.558075,14085287971.66385,14250567411.418268,5686715877.4061,2269728050.28657,3816363738.5630403,67745853904.47639,43207369743.528,4298211569.654799,4240702585.047499,133653378249.0021,23018714930.39041,5954891686.395067,7929402170.916279,9746055590.986849,7420291591.3096,5192999257.76567,4072927575.4439363,5908885271.3880005,62292884.20911192,6868889431.549727,15018595202.856787,45932361074.244835,14263651980.6732,5083713060.786108,2107263982.123,4059032670.583921,0.0,4208994402.226229,6934761630.1026,4880275971.543,26011389749.203228,6513830772.6184,3017362378.7355,5792640158.260745,7541556755.5837,46966452734.565674,39515248359.672806,13876495908.0,4912629647.156594,40737920456.075356,5306112000.0,391260486.2965759,15959229882.678917,8864569963.932789,185290357540.97568,189858250712.0889,6389369496.503369,6955007284.448845,4886721176.6475,5349129252.66936,5871300785.96655,5928046509.121773,4350980278.082075,11764798213.173426,4598801940.052096,5949265001.8194,6810721138.90434,13242916133.014822,23446837306.244125,11876946584.893875,5369487233.28906,60092273.77794255,16498199777.28894,6749037146.77412,47062827867.306244,4891399624.8,51691840251.420456,3431700894.6299524,6689831430.744,14003898594.02772
2018-04-03,7945296066.009121,8554403717.439178,3391771758.980115,17392559426.903492,3095547299.96996,9131442335.59152,61081310742.355194,3149053356.7591996,19557355031.94864,18188108761.95866,34823131423.42559,5138893418.645888,4577363928.2472,29626527095.86934,94472882946.19176,89395649153.6796,6239660783.128893,18784021132.708675,6797182467.71718,6500716732.38416,8415679560.192,7872267345.631508,4780352057.4684,22784485910.8852,19880630828.45019,6024306569.600641,5472864164.82,58542535187.69041,5105754500.000001,1351472072.680704,4122795997.944855,13971033526.728226,13792042358.472292,5631960703.896,2355049274.488935,3771592481.1122603,66939355643.7088,43116035111.882996,4309279925.6281595,4197814694.9749994,132195631855.43016,22851947175.77156,5854463598.789289,7782050708.053942,9876699767.809729,7312521444.3192005,5096268674.83385,4054179922.62256,5765186699.613001,62551360.90707504,6849766278.618976,14901991202.834604,45332168808.094055,14053487060.18502,4967817561.441159,2214488721.8493996,4065101678.97987,0.0,4333398177.661487,6900350433.714001,4917459026.56428,25707805115.924717,6363097498.541279,2967868443.9934998,5727917921.855598,7438085769.129199,45101173181.97405,38748788800.97225,13702392704.0,4872733799.154585,42204761703.78775,5298215999.999999,389012896.186876,15769195544.71251,8795878991.72099,184293726303.64188,187781935634.31015,6324789640.569032,6804139447.475986,4926230837.224649,5298618117.13896,5804429478.609301,5932015740.128884,4299336595.256175,11417881937.075424,4597815757.626709,5882507572.756081,6591020457.0042,12837624132.004421,23109966858.128197,11556096671.604172,5251422465.9057,59297101.91320608,16369746640.336811,6672193848.09582,46680785631.95519,4820765695.2,51363031992.92163,3447217251.3502083,6637340870.2755,13930129154.55084
