,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GSK,GLEN,HIK,HLMA,HL.,HSBA,HSX,IMB,INF,IHG,IAG,ITRK,ITV,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,OCDO,PSON,PSN,PHNX,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SPX,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WTB,WPP
2019-03-18,9144492454.67544,8020403647.522019,3611079032.8717504,20546560048.206356,3149457232.1148005,8983850212.6786,80190814330.01399,4540661410.597584,17031115664.641682,15465626677.205137,28230231341.0,6028881627.828024,4725088563.53988,93954639461.02869,111343942805.61407,69944247039.668,5826702979.196737,18919738942.541187,8136701345.39286,7570240652.028285,7345855906.225202,6913554732.576639,5187845792.48208,27493097693.66748,19453227634.665005,6446294857.959761,6015370994.5316,74631396582.22075,4931007394.5,3202785709.2314997,3246938162.3952003,18663187471.818123,12275806713.76,4367056733.4288,1487788156.191,74117512591.16754,36917915663.156975,2105504136.7278597,6212101650.45336,4714558749.388124,125064526971.91597,4418467847.323719,25048017282.484673,9017521054.378021,7716404026.81148,8493342371.037407,7720117571.26848,4872532406.422135,6026538114.1536,51208334.7788484,6810493490.17125,16683961227.426638,46369511080.29605,16343752880.0,9342074109.194098,4171927499.675411,0.0,8983812203.755156,8416812577.2588005,5287330321.860043,29999921748.844532,6924536682.060239,2244958680.8947206,5120350530.733126,6384991880.371781,6913167556.368721,4980629868.20022,42152150400.31713,42486273036.72224,32819833669.304886,6360337445.749075,64382330865.98304,4402248301.152,17024972683.057417,12130199920.0,197735270085.58618,198757686166.69052,5389144934.54244,7348826373.091919,5130981866.184155,4754778536.176,7069803614.7984,6887858012.806104,4886860679.3391,12873464434.737705,4563091464.65828,5690133537.8315,5193529243.764159,5113772935.6745,12512196703.43125,20288805585.944225,6231755911.585087,5278390252.9532,59596471.20703744,22047297818.326244,3479952543.1215997,111437819897.166,5911912577.879216,38341559299.37586,9023842476.57,10519947048.364561
2019-03-19,9159545117.152273,8100156904.717439,3621040630.20381,20819586790.96496,3236606963.9528003,9128038334.135,80418126874.57152,4582368763.809942,16964709938.426338,15424283237.5992,28634442330.0,6032814362.092752,4747839876.9477005,94624074236.65013,112248361113.60193,70774281616.87924,5832400537.520594,19070293894.3386,8146548099.743879,7694076715.25535,7384472114.09544,6990308835.282055,5162289901.87872,27445777387.8264,19420464303.91188,6495439042.676001,6204385008.4996,74123370868.0468,4899892670.2,3080774825.0702996,3239133022.58175,18617578509.277023,12372394177.6,4359598054.123199,1480050773.5065,73656911891.47368,38028541504.374855,2157099902.56662,6212101650.45336,4705444717.008749,124465750111.21416,4423966873.89164,25133424426.088524,9350114038.358131,7772624021.352189,8643556237.584864,7684895135.232,4933573711.439952,6092784607.2426,51502273.5598668,6847306968.4965,16625564443.291437,46412071439.24998,16429214879.999998,9337186086.970974,4214509468.0494947,0.0,9083897114.247917,8572723896.016801,5335482374.991153,29938932524.597958,6961216028.84376,2301424867.2282004,5394774546.105751,6449845485.928157,6976729955.091901,5020732711.136125,41945838253.97113,42168353146.14336,32309477404.112343,6300419907.72175,64955691206.4816,4473908693.514,17219886505.056313,12193331071.999998,198348719734.24878,199452929101.8415,5374828420.484832,7389833040.078336,5174668386.969036,4761717286.32,7089678564.719519,6895909278.747433,4889216928.46125,12938460047.83803,4659844693.421808,5680289016.13975,5362272071.17888,5168485199.60825,12537731798.744375,20055638671.63506,6296145649.540596,5253724877.9394,60132790.691584006,22187786122.18134,3526990486.0736,111215780171.6325,5939106287.989057,38719230041.64219,9023842476.57,10646634692.3004
2019-03-20,9084281804.768112,8006533515.835859,3562931312.4334607,20691897477.811695,3211802809.5066004,8855941395.2576,80834866539.59363,4582368763.809942,16702993252.75409,15402021385.503696,27927922282.0,5849942218.782901,4595765308.37964,93912135665.75113,111786102867.29703,70486536296.77934,5762130651.526368,19066111812.344227,8087467573.63776,7679866019.475195,7284421030.067999,6862385330.773029,5081690554.591201,27532531281.868378,19477800132.729843,6492781100.311209,6308342716.182001,74389479575.47125,4840368849.8,3043154802.45393,3158479911.1761003,18553725961.719482,12252809698.56,4340951355.8592,1474892518.3835,74705513484.39378,37648434264.599754,2179590364.5989,6182307397.933201,4650760522.732499,124525627797.28433,4363477581.64452,24796540692.984447,9202572789.825602,7660184032.27077,8408847071.104465,7601642104.60032,4791742443.898556,6071964280.8432,48226955.7142332,6825218881.50135,16170069527.036877,46142522499.20849,16104459280.0,9388758611.800142,4100444902.6531506,0.0,8883727293.262392,8491170283.128,5275585918.657332,29972815426.957165,6788299108.29288,2246669777.45028,5421547620.776251,6330947209.074801,6695239332.17496,5012855366.988,41571897488.719,42580972578.596794,31799121138.9198,6267737614.2523,63431759775.15649,4474793389.716001,17268614960.556038,11949825200.0,198226029804.51624,199780102247.79492,5297110201.31496,7353142864.353647,5100401301.63474,4678452284.592,7105294596.800401,6879806746.864776,4868010686.3619,12981790456.571579,4653307313.099948,5658631068.4179,5437268883.363199,5168485199.60825,12471340550.930248,19993241891.749504,6235268079.109933,5142730690.3773,58052521.17576704,21963004836.013187,3468834483.8784003,112117000234.09201,5926869118.439628,38708591429.18398,8923815719.11,10527255950.89932
2019-03-21,9118150295.340984,8238858221.57904,3586175039.5416,20954542975.598488,3275489152.0036006,9007106361.3006,82400797402.10101,4624076117.022301,16581900457.89081,15475167470.960354,27272353199.000004,5749657495.032335,4545472931.37288,95431646346.92363,113313564898.56537,70386932147.51399,5727945301.583233,19066111812.344227,8176088362.79694,7669715522.48937,7437130579.373039,6831115140.781935,5201606656.653121,27721812505.2327,19649807619.18372,6587088909.946909,6303617365.8328,75937748418.66805,4844427292.1,3090942398.7503996,3059614806.8724003,19091911719.70446,12314901639.6,4426726167.8736,1533107111.9145002,76734116566.02432,37874122938.216225,2331070241.22808,6219550213.5834,4676800615.244999,125743140747.378,4385473687.9162,24891437519.21095,9322606347.95376,7795279840.047699,8386940882.23296,7636864540.636801,4743268466.384407,6104141148.915,47576091.2705496,6829636498.900379,16117512421.3152,44844431551.113914,15868584160.0,9577777481.998241,4100444902.6531506,0.0,8959982463.16164,8517555275.533199,5277934799.2978735,30033804651.20374,6963835982.185439,2207314556.6724,5550950815.016999,6448301352.462528,6537846725.812799,4851727873.0491,41571897488.719,44224686055.419525,32123001076.44584,6394835422.189049,64616201531.18641,4480986263.13,17336085129.709503,11223816952.0,200966104901.87598,202274797485.6896,5286884119.84524,7486954093.467216,5168115408.851304,4676717597.056001,7233062132.007599,6787217188.539503,4926916914.41565,13259105072.466301,4670304501.936784,5688164633.49315,5357584770.417359,5215902495.0175,12588801989.370625,19914424906.630913,6279755534.424648,5073667640.33866,57402436.952074245,21841248306.005436,3452585012.6768,114925149704.07451,5929588489.450613,39033069109.15928,8930960487.5,10322606679.92604
2019-03-22,9029715903.289597,8096689371.795899,3556290247.5454206,20370078883.685585,3142083024.0362,8651287287.384,80203442804.71164,4644023112.036907,16011592456.276663,14947243549.838402,26399393332.0,5765388432.0912485,4526313930.6084,93518975559.43379,110962077297.79701,68317379268.33395,5604498204.566354,18877918122.59746,8100596579.43912,7466705582.77287,7259847079.60512,6782788483.52297,5095451418.76224,27445777387.8264,19019113502.18616,6504736135.544238,6180758256.753601,74643492432.55823,4803842869.1,3021802897.7257195,3011483111.356125,18508116999.178383,12117127308.88,4348410035.1648,1535686239.476,76195115747.2336,36983246594.99332,2274844086.1473794,6238171621.4085,4618210407.091874,122350071870.0678,4308487315.96532,24564043468.729527,9267590967.145021,7616550603.672009,8158490626.858704,7579227827.12256,4669659833.862925,5867546530.74,47996003.8148616,6725086220.45667,15702895253.955278,44198932773.64613,15704497120.0,9521316527.576818,4083703684.8386593,0.0,8645429887.327242,8198536730.997601,5269713717.055977,30030416360.967823,7047674489.119201,2073849025.3387203,5497404665.676,6556390695.056489,6471257546.19804,4739296688.389512,40217974028.32338,43345333166.58432,31700975703.30585,6293157175.839649,63839147385.51072,4457984161.878,16942509142.980963,11192251376.0,195608644636.88907,196794647290.97012,5164171142.2086,7398466022.601792,5172484060.929792,4626411658.512,7004500207.91472,6654371300.507591,4879791931.972651,13029453906.178484,4475490568.345356,5636973120.69605,5123219732.34136,5153895262.55925,12486661608.118126,19001461495.67389,6076049817.983581,4967606527.77932,56719848.517196804,21841248306.005436,3358509126.7728004,113096587258.50449,5871122012.714456,38368155830.52138,8834506114.235,10037559481.070398
2019-03-25,8945044676.857416,8023871180.44356,3564591578.6554704,20316096409.832172,3144764554.2466,8500122321.341,80519154672.15265,4647649838.403199,15976436483.57442,14540169682.949184,26416376986.999996,5800783040.4738,4535893430.990641,94177784386.23584,110178248097.54088,68029633948.23404,5606397390.674304,18526623235.070175,8038233801.882659,7489036676.1416855,7286176312.243919,6711719869.906846,5111178120.672,27485210976.027298,19125594327.133804,6495439042.676001,6119328702.214001,74740259235.25801,4798431612.7,3023836412.4617395,3004978828.1782503,18270950393.96466,11889456858.4,4326033997.248,1565898876.625,75940315360.16888,36834767204.45617,2257645497.53446,6167410271.6731205,4610398379.338124,122589582614.34851,4289240722.9776,24279352990.050026,9055031541.293072,7610676872.8991,8152231715.75256,7596839045.1407995,4556553886.329912,5816442093.214199,47723060.6610588,6692690359.530449,15679536540.301199,44000317765.1945,15513062240.0,9513943146.275164,4079137898.16198,0.0,8550110924.953182,8021037691.1807995,5255620433.212725,29816954076.1048,7042434582.43584,2007116259.6718802,5602265874.802125,6375727079.578012,6522712821.3549,4694897112.281904,39818244244.778,42716257638.417595,31524313919.20075,6300419907.72175,64872704841.40945,4427019794.808,16773833720.097301,11178723272.0,194913401701.73804,195485954707.15652,5143718979.26916,7350984618.722784,5128797540.144913,4636819783.728,6899446901.1888,6650345667.536927,4780829468.84235,12960125252.204805,4315978488.491972,5520807764.733399,5052910220.91856,5099182998.6255,12435591417.491875,19070426357.65266,6035074530.193711,4895583632.739025,57028638.52345088,21803784758.310745,3296932183.2720003,113096587258.50449,5693003211.495004,37681965326.96707,8854154227.3075,9806110900.803
2019-03-26,9005255326.764746,8218053024.0498,3549649182.6573806,20696049975.80042,3156161057.6408,8397795267.4042,80973779761.26768,4678477012.516681,15820187716.008902,14438401216.22688,26035943115.0,5846009484.518171,4527511368.156179,94974730547.68994,110660604528.46771,68250976502.15705,5638683554.509488,18626993202.935116,7992282281.577899,7623023236.354575,6670072268.495999,6717405358.996136,5172119090.572321,27603511740.63,18666907696.590126,6569829919.474859,6223286409.8964,75720023112.59349,4755141561.5,3102126729.79851,2921724003.50145,18562847754.227703,11038567296.0,4422996828.220799,1606428024.02,76518516238.50803,36656591935.8116,2304610874.1312795,6163685990.108101,4672894601.368124,122230316497.92743,4300238776.11344,24421698229.389774,9172564400.293562,7620746125.652658,7976982204.780529,7652874738.8352,4551167888.828341,5878903072.4124,48289942.59588,6697107976.92948,15708734932.368801,43595994355.13226,15728426479.999998,9585150863.299892,4097401044.868698,0.0,8638280965.149189,7982659520.409599,5269713717.055977,30128676777.809536,7181292109.544879,2020805032.1163602,5832068099.05725,6425139350.478109,6537846725.812799,4695613234.477188,39869822281.3645,43210048106.76352,31887452030.97236,6294972858.810176,65068854431.58,4477447478.3220005,16710111893.674587,11156176432.0,195649541280.1332,196262990928.79587,5129402465.211552,7432997952.695615,5139719170.341132,4702737910.096,6970428865.1928005,6662422566.448919,4813816956.55245,13072784314.912033,4254527113.4664874,5449927208.552799,4921665799.596001,5153895262.55925,12481554589.0555,18906224305.32226,6040928142.73512,4940474615.26414,56914873.78430464,21419783394.440155,3325154949.0432,113645155992.1755,5703880695.538939,37857502432.52747,8948822408.475,9757384883.9046
2019-03-27,9131321375.008213,8308208880.009839,3547988916.4353704,20577703783.121788,3095156245.3542004,8414074571.4396,80266585178.19983,4711117549.813309,16050654648.168045,14832754024.775806,26416376986.999996,6005285222.2396555,4535893430.990641,95410394449.28485,109695891666.614,68394849162.207,5651977857.265153,18819368974.676247,8074338567.8364,7700167013.446844,6548957798.357519,6612223810.84427,5146563199.968961,27571964870.069283,18683289361.96668,6507394726.250907,6171307556.055201,74970080391.67004,4767316888.4,3125512149.262739,3010182254.72055,18471629829.1455,11220243716.08,4508771640.2352,1574004706.1039999,76685116491.5888,36668470287.05456,2304610874.1312795,6171134553.23814,4635136467.224999,122370031098.75787,4289240722.9776,24293587513.983997,9167563002.038221,7576273592.65777,8058348049.1604,7595238025.320959,4504489243.814716,5890259614.0848,48226955.7142332,6710360829.12657,15971520460.977198,44262773312.07701,15895932000.0,9860125027.864294,4111082384.5946083,0.0,8538196054.6564245,7953875892.3312,5323737971.788444,29959262266.01348,7092213695.92776,1875361824.89376,5760673233.269251,6377271213.043641,6652864399.69284,4762212598.6386,40243763046.61662,43176226841.80832,31740233877.55143,6291341492.869124,65400799891.868645,4468600516.302,16713860236.405333,11336551152.0,194218158766.58707,194995194988.22644,5133492897.79944,7361775846.877105,5200880299.439964,4706207285.168,6956232472.391999,6702678896.15556,4783185717.964499,12981790456.571579,4326438297.0069475,5426300356.4925995,4954476904.92664,5142952809.7725,12461126512.805,19037585947.18658,6072537650.4587345,4967606527.77932,58117529.59813632,21372953959.82179,3333707302.3072004,113566789030.2225,5717477550.59386,37447915852.88653,8963111945.255,9832910210.097118
2019-03-28,9135084540.62742,8335949143.382158,3572892909.7655206,20681516232.839886,3125323460.2212,8500122321.341,82034571635.86943,4767331808.490834,15902218318.9808,14915440903.98768,25998579074.0,5836177648.856351,4501167742.1050205,96589874768.23691,110660604528.46771,69767172996.5296,5543724249.111887,18714816924.81694,8274555906.30714,7797611784.510765,6519118001.366879,6532626963.594211,5130836498.0592,27926867163.877377,18797961019.602604,6640227010.302622,6341420168.6264,75768406513.9434,4774080958.9,3131612693.4707994,2908715437.1457,18690552849.34278,11182298641.0,4404350129.9567995,1584321216.35,77910118352.4768,37012942473.10075,2345622893.13132,6215825932.01838,4748410869.654374,123308114847.19069,4289240722.9776,24853478788.720352,9170063701.16589,7633332691.59461,8005147304.758178,7686496155.05184,4518851903.818908,6028430871.099,48919811.412348,6685327663.8654,15924803033.669039,43936477226.76362,16087366880.0,9769281711.27487,4174955337.1557355,0.0,8545344976.83448,8059415861.952,5284981441.2195,28973269807.360474,7199631782.93664,1942094590.5606,6068563591.98,6408153882.356201,6577194877.403339,4770089942.786724,39328252897.20625,43223576612.7456,31926710205.217934,6302235590.692275,66140132962.51152,4499564883.372,16860045602.904507,11160685800.0,195526851350.4007,196222094285.55164,5135538114.093384,7540910234.238814,5080742367.281544,4570901657.36,7095357121.83984,6722807061.00888,4712498244.3,13142112968.885715,4279369158.6895556,5520807764.733399,4912291198.07296,5172132683.8705,12287487864.675749,19165663548.004288,6044440310.259966,5024336890.31106,57906252.225436166,21447881055.21117,3291800771.3136,114951272024.72551,5603263968.132532,36905346617.518,9045276781.74,9840219112.631878
2019-03-29,9264913754.490097,8457312795.63606,3602777701.7617006,21317886549.61184,3237947729.058,8616403064.451,77475692270.02141,4729251181.644769,16109247936.005112,15341596358.387327,26270317554.0,5891235928.562544,4417347113.76042,98215644937.60329,112248361113.60193,70696811723.0062,5593103087.91864,18647903612.906975,8310660672.26088,7935658543.517984,6608637392.3388,6492828539.969181,5140665686.7528,28463163963.40962,19453227634.665005,6692029137.383651,6270539913.388401,75913556717.9931,4775433773.0,3153981355.5670195,2907414580.510125,18964206624.589382,11231742223.68,4434184847.1792,1604217343.2529998,78243318858.63834,37767217777.02947,2370097807.69586,6226998776.71344,4852571239.704374,124405872425.14397,4289240722.9776,24905672043.144928,9305101454.060072,7744933576.2799,8011406215.86432,7776153264.962881,4563735216.332008,5947042322.446799,49297732.70222881,6725086220.45667,16076634672.420559,44078345089.94336,16241198480.0,9803664480.812004,4241888167.8054433,0.0,8728833979.404545,8145766746.1872,5344877897.553322,28827573327.215866,7309669823.2872,1954072266.4495199,6115416472.653376,6456022019.7906685,6568114534.7286,4851727873.0491,39650615625.87187,43169462588.81728,32221146512.05979,6414807934.864824,67309486288.52832,4511950630.2,16927515772.057972,11138138960.0,197408096939.63272,198594099593.71384,5192804170.323816,7566809181.809185,5148456474.498108,4687125722.272,7268553114.0096,6777153106.112844,4655948265.3684,13198442500.239328,4391812100.225548,5650755451.064501,5048222920.157041,5245082369.1154995,12124063254.671751,19418534708.593105,6180244121.220678,5071201102.83728,57028638.52345088,21738223549.845036,3145555530.4992,114807599261.14502,5536639378.363424,37181950541.43137,9070283471.105,9876763625.30568
