,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GSK,GLEN,HIK,HLMA,HL.,HSBA,HSX,IMB,INF,IHG,IAG,ITRK,ITV,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,OCDO,PSON,PSN,PHNX,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SPX,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WTB,WPP
2019-03-18,8984557915.8591,7933715324.48352,3635983026.2019005,20282876425.92238,3114597339.3796,9018734435.6116,79433105848.1556,4567861858.344775,17031115664.641682,15192123922.888943,28192867300.0,6015117057.901476,4729878313.731,92360747138.12051,109916971697.45549,68582990333.04154,5811509490.33312,18903010614.563698,8080903070.73708,7511367769.510501,7305484416.179041,6862385330.773029,5132802335.79792,27430003952.54604,19518754296.17124,6471528323.868061,5972842841.3888,74341096174.12135,4918832067.6,3151947840.831,3274256151.742275,18480751621.653725,12312601938.08,4393162110.9984,1476366305.5614998,73647111876.58656,36288363047.27946,2116749367.7439997,6212101650.45336,4723672781.767499,124525627797.28433,4423966873.89164,24715878390.691925,8980010567.46297,7640884631.159779,8596614404.288784,7489570717.21152,4868941741.421087,6028430871.099,50536474.7079492,6781042707.51105,16625564443.291441,46107055533.41355,16237780000.0,9192325216.01799,4106516597.9179287,0.0,8948067592.864883,8467183926.396,5188677334.957278,29786459463.981514,6830218361.75976,2274047322.33924,5024413679.8305,6372638812.646756,6943435365.28452,5028610055.284248,42036099817.9975,42614793843.551994,32849277299.989067,6338549250.102775,63884412675.55008,4352705313.84,17193648105.94108,12130199920.0,195199678204.4473,195976714426.08664,5360511906.427224,7389833040.078336,4897258979.985047,4770390724.0,7055607221.997601,6867729847.952784,4827954451.28535,12825800985.1308,4586626033.816977,5581843799.22225,5113845130.818319,5201312557.9685,12338558055.302,20111467369.42739,6204829293.894601,5278390252.9532,59628975.418222085,21485344602.90587,3487649661.0592,111672920783.025,5809936164.967317,38299004849.543045,9123869234.03,10415186112.032999
2019-03-19,9097452884.43534,8030806246.286639,3616059831.5377803,20577703783.121788,3217836252.48,8976873368.092,79963501785.45648,4540661410.597585,16980334815.182886,15417922708.429058,28284579037.0,6044612564.886936,4725088563.539881,94071524898.04195,111102764590.15065,69634367464.1758,5819106234.764928,18969923926.47366,8117007836.690821,7588511546.60277,7338834777.52152,6907869243.4873495,5174084928.31104,27445777387.8264,19494181798.1064,6442300942.320286,5996469593.134801,74353192024.45883,4929654580.4,3024853169.8297496,3271654438.4711246,18416899074.09618,12239011489.44,4363327393.776,1486314369.0129998,74088112546.50624,37060455878.07264,2145854671.5504797,6197204524.19328,4708048726.259999,124825016227.63524,4415718334.039761,24995824028.060097,9202572789.8256,7694587312.512099,8483954004.378193,7641667600.096319,4881509068.924755,6028430871.099,51187339.15163281,6810493490.17125,16672281870.5996,46525565729.79377,16282220240.0,9347003275.699623,4168883641.8909583,0.0,8955216515.042936,8371238499.468,5282632560.5789585,29898273041.7669,6916676822.0352,2250091970.5614,5069035470.948,6360285744.921732,6928301460.82662,5009274756.01158,42023205308.850876,42371280735.87456,32486139188.217453,6334917884.161725,64555847811.13392,4381900288.506,17006230969.403677,12184312336.0,197571683512.60947,198226029804.51624,5358466690.13328,7355301109.984513,5139719170.341132,4761717286.32,7086839286.15936,6865717031.467452,4872723184.6062,12838800107.750864,4559169036.465163,5680289016.13975,5193529243.76416,5099182998.6255,12491768627.18075,20236260929.198498,6368730445.054081,5280856790.45458,59612723.31262977,21991102496.78421,3503899132.2608004,111254963652.60901,5881999496.758392,38426668199.04151,9052421550.13,10524819650.0544
2019-03-20,9150137203.104254,8110559503.4820595,3624361162.64783,20307791413.854725,3162864883.1668,9090828496.3398,80481269248.05972,4589622216.542526,16894397993.02185,15417922708.429058,28607268482.0,6021016159.298567,4747839876.9477005,92371373086.93987,111766004682.67506,70065985444.32564,5828602165.304688,19128843042.259815,8149830351.19422,7673775721.2837,7386227396.271359,6936296688.9338,5172119090.572321,27445777387.8264,19453227634.665,6406447766.111759,6209110358.8488,74462054677.49611,4910715183.0,3057389405.60607,3246938162.3952003,18608456716.768803,12381592983.68,4367056733.4288,1470102710.055,73745112025.4576,37464319820.33369,2163714744.34082,6208377368.88834,4709350730.885624,124924812371.08554,4434964927.02748,25052762123.796,9362617533.99648,7781854169.7096195,8606002770.948,7694501254.15104,4929983046.438905,6092784607.2426,51502273.55986681,6832581577.1664,16555488302.329199,46490098763.99884,16408704000.0,9329812298.30019,4226668878.883178,0.0,9055301425.5357,8543940267.938399,5341354576.592508,29935544234.362038,6963835982.185439,2301424867.2282,5439396337.22325,6423595217.012481,6976729955.0919,5038635766.018224,41829787671.6515,42195410158.10752,32329106491.23513,6296788541.7807,62013447353.9232,4473023997.312,17249873246.902298,12211368544.0,197530786869.36526,198512306307.22546,5366647555.309055,7398466022.601793,5155009452.61584,4766921348.9279995,7095357121.83984,6918050260.086082,4882148181.0948,12942793088.711384,4662459645.550551,5682257920.4781,5329460965.84824,5172132683.8705,12512196703.43125,20029366343.26219,6305511429.6068535,5251258340.43802,60132790.691584006,22253347330.647045,3545805663.2544003,111477003378.1425,5914631948.890201,38921363678.348114,9091717776.275,10695360709.1988
2019-03-21,9037242234.528013,8023871180.44356,3541347851.5473304,21001258577.971634,3254707292.8730006,8881523158.741798,80822238064.896,4605942485.190841,16640493745.72788,15408381914.67384,27815830159.0,5847975851.650536,4581396057.80628,95527279886.29813,112127772005.87021,69789307251.92189,5746937162.662753,19028473074.394875,8113725585.240479,7687986417.063855,7265112926.132879,6859542586.228385,5089553905.546081,27035668070.53704,19445036801.976723,6512710610.98049,6331969467.928,74534629779.52095,4836310407.5,3050272104.03,3207912463.32795,18571969546.735924,12255109400.08,4352139374.8176,1496630879.2589998,74685913454.61958,38188899246.15498,2169006617.7601795,6130167456.02292,4654666536.609374,124745179312.875,4360728068.360559,24943630773.63552,9230080480.22997,7685357164.154669,8349387415.596096,7624056382.07808,4775584451.393841,6098462878.0788,48226955.71423319,6817856185.8363,16099993386.07464,45745292482.30522,15940372240.0,9415726855.753222,4097401044.868698,0.0,8883727293.262392,8491170283.128,5263841515.454621,29918602783.18243,6631101907.79208,2236403198.11692,5408161083.441,6330947209.074801,6661944742.367579,4960578446.732268,41275323778.34663,42668907867.480316,31799121138.9198,6245949418.606,64653922606.2192,4494256706.16,17208641476.86407,11408701040.0,199575619031.57404,201415967977.56192,5282793687.257352,7335876899.306736,5100401301.63474,4701003222.56,7098196400.4,6783191555.56884,4875079433.728351,12986123497.444935,4665074597.6792965,5654693259.7411995,5451330785.64776,5157542746.8215,12471340550.930248,19924277029.77074,6220048686.502266,5115598777.862121,57646218.53595904,21972370722.93686,3479097307.7952003,112848425212.32,5898315722.824297,38522415711.165375,8916670950.72,10561364162.728199
2019-03-22,9125676626.579401,8235390688.657498,3586175039.5416,20970114843.056202,3284204125.1874003,9009431976.1628,81680974344.33551,4634956296.121176,16624868868.97133,15535592498.07672,27251972813.0,5765388432.091248,4573013994.97182,95633539374.49199,113172877606.2117,70054918316.6295,5750735534.878657,19153935534.22605,8182652865.697619,7694076715.25535,7444151708.07672,6833957885.32658,5195709143.43696,27713925787.592518,19682570949.936844,6584430319.240239,6298892015.483601,75780502364.28088,4855249804.9,3090942398.7503996,3076525943.134875,19110155304.7209,12303403132.0,4445372866.1376,1548950324.0779998,76195115747.2336,38105750787.45418,2330408757.0506597,6238171621.4085,4688518656.875625,125503630003.09729,4412968820.755799,24839244264.786377,9322606347.95376,7786888796.086399,8402588159.998321,7606445164.05984,4782765781.395936,6117390447.532801,47282152.48953119,6839944272.83145,16187588562.27744,44816057978.47797,15916442880.0,9597413081.562935,4115648171.2712874,0.0,9007641944.34867,8517555275.533199,5294376963.781668,30003310039.080456,6992655468.94392,2214158942.89464,5588879337.466875,6562567228.919001,6543900287.59596,4873927661.102904,41597686507.01225,44001465706.715195,32181888337.81421,6409360885.95325,64729364756.284805,4476562782.12,17358575186.09399,11291457472.0,199943688820.7716,201375071334.31775,5295064985.021015,7530119006.084496,5185590017.1652565,4701003222.56,7233062132.0076,6803319720.422159,4924560665.2935,13224440745.47946,4682071786.516132,5906713015.05,5343522868.1328,5252377337.64,12593909008.43325,19943981276.050385,6279755534.424648,5083533790.34418,57824991.69747457,21888077740.623802,3474821131.1632,114154541244.87,5928228803.94512,38953279515.72274,8959539561.06,10332351883.30572
2019-03-25,9046650148.576033,8103624437.63898,3561271046.21145,20139615245.311405,3117278869.59,8558262692.896,80127671956.5258,4636769659.304322,15902218318.9808,14870917199.796673,26392599870.0,5741792026.50288,4510747242.48726,92775159142.07661,110359131759.13841,67520546074.21115,5619691693.429968,18890464368.58058,8034951550.43232,7422043396.03524,7258091797.4292,6728776337.174716,5063998014.94272,27351136776.144238,19010922669.497883,6490122509.604537,6185483607.1028,73905645561.97224,4802490055.0,3038071015.61388,2988067691.9157753,18416899074.09618,12103329099.76,4370786073.0816,1544160515.7495,75793315136.86234,36585321828.35376,2274182601.9699597,6193480242.628261,4628626444.096874,122589582614.34851,4316735855.8172,24516595055.616276,9242583975.868322,7578790905.84616,8158490626.858704,7582429866.76224,4646320511.3561125,5833476905.7228,47345139.371178,6739811611.78677,15650338148.233599,44120905448.89728,15608779680.0,9428029403.5604,4085225613.7308855,0.0,8590621483.962156,8136172203.494399,5257969313.853267,29888108171.059147,6995275422.2856,2073849025.33872,5417085441.6645,6493081222.965741,6465203984.414879,4743593421.561215,39895611299.657745,43379154431.53952,31612644811.253296,6298604224.7512245,63492113495.20896,4439405541.636,16897529030.211987,11165195168.0,195322368134.1798,195690437923.37738,5168261574.796488,7329402162.4141445,5133166192.2234,4610799470.688,6998821650.794399,6648332851.051597,4877435682.8505,12990456538.31829,4387889672.032432,5568061468.8538,5146656236.14896,5153895262.55925,12440698436.554499,19080278480.792484,6093610655.60781,4965139990.27794,56606083.77805056,21728857662.921364,3376469068.6271996,112913731013.9475,5815374906.989284,38352197911.83407,8847009458.9175,10030250578.535639
2019-03-26,9024071154.860785,8055078976.737419,3579533974.65356,20417832610.55591,3094485862.8016005,8209420463.566,80430755349.26917,4658530017.502074,16042842209.789766,14591053916.310337,26419773718.0,5877471358.635996,4592172995.7363,94698455878.38586,110419426313.0043,68029633948.23404,5634885182.293584,18534987399.058918,8008693538.829599,7529638664.084986,7326547802.290081,6703191636.27291,5111178120.672,27508871128.94784,19084640163.6924,6518027144.051952,6157131505.0076,74716067534.58307,4802490055.0,3080774825.0702996,3027093390.983025,18353046526.538643,10912083712.4,4359598054.1232,1595374620.185,76273515866.33043,36917915663.156975,2266244791.84092,6200928805.7583,4636438471.850624,122769215672.55907,4316735855.8172,24227159735.62545,9112547621.22948,7676966120.193369,8180396815.730207,7628859441.5376005,4576302543.835676,5852404475.1768,46820248.690788,6717723524.79162,15708734932.3688,43766235790.94794,15622453600.0,9516428505.353693,4097401044.868698,0.0,8616834198.615025,8028233598.2004,5280283679.9384165,29837283817.52033,7039814629.09416,2024227225.2274802,5843223546.836625,6408153882.356201,6646810837.90968,4729987099.85082,39972978354.5375,42804192927.30112,31632273898.376087,6322208103.36805,64955691206.4816,4443829022.646,16492708015.2912,11232835688.0,195567747993.6449,196467474145.01672,5174397223.67832,7366092338.138833,5124428888.066424,4645493221.408,6933518243.91072,6658396933.478257,4790254465.33095,12994789579.191645,4336898105.521923,5528683382.086801,5099783228.53376,5124715388.46125,12425377379.366627,19165663548.00429,6066684037.917325,4917289162.751168,57857495.9086592,21859980079.852787,3316602595.7791996,113514544388.9205,5690283840.48402,37501108915.17756,8877374724.575,9874327324.46076
2019-03-27,9067347559.481676,8211117958.206718,3536367052.8813004,20809205545.99315,3179624446.9818,8483843017.305599,81213720780.52284,4691170554.798702,15910030757.359077,14508367037.098461,26260127361.0,5877471358.635996,4510747242.48726,95134119779.98076,110841488190.06528,68582990333.04154,5613994135.106113,18794276482.710014,8038233801.88266,7690016516.46102,6671827550.67192,6714562614.45149,5191777467.95952,27666605481.751442,18757006856.1612,6614993544.3943205,6261089212.69,75538585357.53137,4768669702.5,3126528906.63075,2941236853.035075,18681431056.834564,11263938044.96,4445372866.1376,1616007640.677,76655716446.92749,36834767204.45617,2317179073.5022597,6167410271.6731205,4715860754.013749,122888971044.69942,4300238776.11344,24293587513.983997,9167563002.038221,7669414180.6282,7989500026.992816,7644869639.736,4495512581.312096,5924329239.101999,49276737.0750132,6705943211.72754,15714574610.782322,43794609363.583885,15810470000.0,9639168417.663454,4117170100.1635146,0.0,8740748849.701302,7989855427.4292,5296725844.42221,30223548904.41532,7194391876.25328,2020805032.1163602,5876689890.174749,6401977348.493689,6504552136.00542,4755767498.881043,40037450900.27062,43460325467.432,32005226553.709095,6338549250.102775,65544139976.99328,4477447478.3220005,16848800574.712261,11124610856.0,195608644636.88907,197040027150.43515,5143718979.26916,7445947426.4808,5170299734.890548,4723554160.528,7015857322.15536,6676512281.846243,4724279489.91075,13059785192.29197,4261064493.7883477,5459771730.24455,4973226107.97272,5164837715.346,12542838817.807,19050722111.373013,6085415598.049835,4967606527.77932,56996134.31226624,21466612829.058517,3353377714.8144,114115357763.8935,5684845098.462052,38261769705.93932,9005980555.595,9750075981.369839
2019-03-28,9101216050.05455,8332481610.460619,3549649182.6573806,20750032449.653828,3129345755.5368,8421051416.0262,80266585178.19984,4727437818.461622,16011592456.276663,14867736935.2116,26416376987.0,5997419753.7102,4546670368.92066,95941691890.25426,109736088035.85791,69280219377.89899,5625389251.753824,18798458564.704388,8107161082.3398,7685956317.66669,6499809897.43176,6549683430.86208,5115109796.149441,27666605481.751442,18765197688.849483,6528646984.020552,6204385008.4996,74994272092.345,4752435933.3,3133646208.20682,2968554842.38215,18462508036.637283,11155852073.52,4527418338.4992,1576215386.871,76724316551.13722,36888219785.049545,2318502041.8570995,6171134553.23814,4652062527.358125,122869011816.00935,4300238776.11344,24777561327.73915,9125051116.86783,7552778669.566129,8099030971.350337,7606445164.05984,4470377926.30476,5920543725.2112,48289942.595879994,6710360829.12657,15936482390.496078,44482668500.00561,15926698320.0,9889618553.070906,4108038526.810155,0.0,8502451443.766152,8006645877.141601,5283807000.899228,29830507237.04848,7084353835.9027195,1868517438.67152,5760673233.269251,6383447746.906153,6674051865.9339,4771522187.177292,39663510135.0185,43128877070.87104,31799121138.9198,6245949418.606,66011881307.4,4485409744.14,16751343663.712812,11323023048.0,193931882263.8779,195076988274.71475,5145764195.563104,7361775846.877105,5176852713.00828,4600391345.472,6990303815.113919,6710730162.096888,4773760721.475901,13003455660.938354,4342128009.779412,5430238165.1693,4940415002.64208,5157542746.8215,12404949303.116125,19054006152.41962,6073708372.967015,4952807302.77104,58150033.809320964,21372953959.82179,3343970126.2239995,113658217152.50099,5642694847.7918005,37479831690.26114,8984546250.425,9842655413.476799
2019-03-29,9125676626.579401,8433040065.18528,3577873708.4315505,21110261650.175636,3206439749.0858,8569890767.207,78296543125.368,4765518445.307689,15999873798.709251,14924981697.742897,26229556782.0,5871572257.238904,4543078056.27732,98587553146.28186,111163059144.01651,70176656721.28716,5587405529.594784,18819368974.67625,8294249415.00918,7884906058.58886,6529649694.4223995,6518413240.870985,5160324064.14,28053054646.12026,18920823509.926804,6632251886.524492,6388673672.118401,76082898622.71776,4778139401.2,3133646208.20682,2915219720.323575,18717918226.867443,11231742223.68,4426726167.8736,1590584811.8565,77665117980.2992,37654373440.22124,2340331019.71196,6215825932.01838,4773148957.541249,124445790882.52411,4283741696.4096794,25024293075.92805,9125051116.86783,7657666719.082379,8073995326.92576,7686496155.05184,4527828566.3215275,6109819419.7512,49087776.43007279,6735393994.38774,15994879174.631279,44191839380.48714,16101040800.0,9796290692.141216,4199306199.431359,0.0,8576323639.606049,8143368110.514,5310819128.265462,28990211258.540077,7204871689.62,1952361169.8939602,6113185383.0975,6411242149.287457,6628650152.5602,4808760541.33206,39766666208.1915,43325040407.6112,32113186532.884445,6313129688.515425,67581078028.76448,4485409744.14,16953754171.173206,11232835688.0,197080923793.67932,197939753301.80704,5151899844.444937,7625081813.842512,5128797540.144912,4621207595.903999,7169178364.404,6736896776.406203,4736060735.521501,13163778173.252491,4305518679.976996,5534590095.10185,4921665799.596,5204960042.23075,12369200169.67775,19362706010.80077,6114683660.756886,5051468802.826241,58085025.386951685,21550905811.37157,3034374938.0671997,115134128269.2825,5608702710.154499,36985136210.95455,9052421550.13,9901126633.754879
