,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GSK,GLEN,GVC,HLMA,HL.,HSBA,HSX,IMB,INF,IHG,IAG,ITRK,ITV,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,OCDO,PFG,PSON,PSN,PRU,RB.,REL,RMG,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SPX,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2017-06-19,8516159505.380801,10326313040.346119,3880283296.8272095,12875494041.431232,2647419090.710625,7749790247.31744,67075359500.582405,3705119963.5693316,21733059790.55088,21435985326.594135,34687434856.74882,5599951193.118481,24566134623.561825,91678766060.80685,98503399676.73744,6484443917.772871,24239597716.404186,7800903014.89812,7370336420.4426,8289784380.6813,11056371353.245867,4338947901.97036,28433624888.612892,23804988866.825493,5233663109.854318,6323263058.1228,59176636193.77511,5042034249.999999,548996315.5040001,3545682371.30583,15080887275.4968,12739024655.799028,6805285850.540999,2866059187.18482,82496026914.65927,34487956909.152,2341141178.113955,4253938145.7613597,3201764555.2200007,138186370459.15057,3468187465.26447,34154036145.940483,5675833311.818356,8120953298.265778,9907263588.9749,6990795858.4508,6466618599.7013,5502822093.0738,68008402.61483102,8936174492.545025,15199331402.891165,48721489840.47492,12837286782.605879,6979053802.44016,5255361994.02316,0.0,4563589066.356229,7610307748.6788,5336422368.883201,36836947271.484924,5689986025.185,1180391773.046976,3035762325.1428785,5833452842.166915,6746308316.8334,46490484848.73196,50357433449.466,16436401707.0,4405968000.0,5097601306.075006,36663220736.978424,386998788.124832,16719367234.54455,8620717012.5809,173970903795.2859,178145223293.54965,6357079568.5362015,7748141055.96331,5315089075.536599,2799514711.5980797,0.0,5021077223.99668,5662025589.8214,11951265711.576101,4014102694.1617293,6396932467.302839,5441097738.97368,3963816510.5,14801344953.551521,24728907361.20964,8769700979.722567,6080335520.243039,58290966.08435584,13961250322.484411,5106786077.87788,52203995365.168076,6601555728.0,59238520119.869354,2346205866.7550397,7091655721.226999,20798809711.59376
2017-06-20,8478725837.225281,10367923435.404598,3848766423.41772,12892483629.589842,2660866298.7904253,7831773093.74208,67617408073.8816,3674689660.2348895,21692701276.548,21499358527.855316,34992752131.77155,5609698714.777519,24765859295.2981,92196008407.11543,99267405121.56062,6438382358.767381,24089558940.993153,7813980807.043801,7447022001.695761,8346068076.7674,11111187274.679907,4362758084.63208,28433624888.612892,24155676180.89307,5285585508.571922,6272744311.986,59576985529.54694,4963400750.000001,566877909.780416,3509369603.78697,15201683045.4176,12447697528.704517,6660575749.12145,2814682966.15974,82568903263.52382,35035964699.021996,2344062127.805925,4257627597.75248,3187762669.410001,138186370459.15057,3454629265.63482,34306509521.592003,5671717406.588611,8106220076.770058,9999152205.736052,7035171801.329201,6377053245.1348,5511869811.0828,68118985.3833104,8827374685.477257,15245973002.900036,48516718361.435234,12968209192.09032,6961687882.324943,5331176685.748336,0.0,4744960129.21021,7661018985.462,5443150816.260865,36890881308.48564,5713435664.56152,1291615369.0903678,3016754993.9739366,5727906722.545245,6769958828.022999,46670580805.5339,50439407733.819,16350547026.0,4384254000.0,5204594716.625851,36740481536.067535,388461230.40400004,16902092559.51225,8620717012.5809,174298301402.99286,178022449190.65955,6352034267.29133,7699647822.650605,5410744043.2497,2821832271.48008,0.0,5026038762.75557,5633856308.28,11916574083.9663,3993008900.24957,6412640097.67068,5462132910.64497,3989040797.385,14701470831.057922,24928413160.57927,8974432195.044966,6090174250.858319,58875173.984978564,13913080396.127365,5115568169.155399,52440431994.972,6492888144.0,59092677747.148094,2344447091.74248,7111565933.8185,20861007109.05666
2017-06-21,8417896126.472561,10336715639.110739,3828373152.388049,12551384975.020864,2544884129.1021504,7696742523.16032,68386360701.12,3636882313.6678557,21733059790.55088,21483515227.54002,34246421015.04932,5546339823.99376,23903889659.38365,89873297493.50334,99107497005.20229,6366731044.758841,23801984621.455345,7715897365.951201,7447022001.695761,8370189660.8043,11407193250.423725,4377410504.7316,28859023226.26419,23946933732.04332,5260286849.218078,6167496924.201,59664561946.74704,4964756500.0,540839798.8165121,3441931606.96623,15155223133.9096,13001220901.794228,6754441760.85305,2792664585.72042,82155937286.62476,33678123175.232998,2332378329.038045,4228111981.8235197,3171427135.9650006,137786987885.5692,3516996983.9312105,34020621942.245407,5700528743.196826,8097016428.457942,9882203057.13095,6995550423.7592,6305400961.481601,5488345744.2594,66924691.483732894,8752069844.247946,15269293802.904472,47295150572.681305,12937201253.0019,7031128438.169072,5155287239.788916,0.0,4743128098.27229,7534240893.504001,5498738549.270064,36747057209.81708,5542391236.168079,1255655860.595136,2513443454.65442,5776620316.2167845,6752220944.630799,46606260820.96178,50546604874.896,16369625844.0,4353657000.0,5195527478.443575,35670716625.602936,387272996.052176,16892956293.263865,8527984200.094971,170451379512.43607,173807204991.4324,6326807761.066981,7764305467.067545,5300532884.79765,2805763628.3650403,0.0,5001231068.961121,5504747101.21525,11968611525.381,4001794045.049528,6314467407.871679,5520563943.06522,3927781814.95,14981118374.040003,24627519168.087364,8945179254.086401,6006545040.62844,58193598.10091873,13459480256.265163,5005792028.1864,52203995365.168076,6414783318.0,59013127362.02742,2296960166.40336,7240077306.0,20811249191.08634
2017-06-22,8389820875.355921,10243092250.229158,3782024809.1387997,12704291268.448338,2565054941.2218504,7682274962.02656,68348543358.7968,3592620054.272304,21551446477.537918,21420142026.27884,33898698562.94011,5536592302.33472,23893377834.555424,88916887117.31012,98805448340.96986,6346259240.7564,23589429689.62305,7732244606.133301,7506666342.670441,8281743852.669001,11390748473.993513,4382905162.26892,28348545221.082638,23921884638.18135,5277594358.76904,6138027655.6212,59101570693.317894,4932218500.0,558407680.91264,3462681759.8341503,14987967452.4808,13051551541.183372,6777908263.785951,2858719727.03838,82180229402.91293,34110440431.686,2319234055.42418,4242869789.788,3101417706.915,137088068381.80182,3479034024.96819,34211213661.809803,5700528743.196826,8104383126.69628,10074333801.2679,7036756656.431999,6394966316.0481,5428630805.4,66703525.946774095,8568043638.4938135,15193501202.890057,47605838333.98288,13009553110.87488,7097678861.624916,5162857529.2091255,0.0,4768776531.403156,7613929979.8776,5500962058.590432,36261650876.81069,5496871347.966599,1261091600.2513921,2495503575.1577787,5776620316.2167845,6678313097.1633,46284660898.10115,49575524891.022,16341007617.0,4319112000.0,5173766106.806115,35819295085.38969,383342682.426912,17030000286.989641,8476465970.936121,168159596258.48734,171392647634.59357,6321762459.82211,7696953754.133232,5273499959.139599,2791480390.0405602,0.0,4915892602.308212,5457798298.64625,12029321873.698149,4009710121.7617493,6377297929.3430395,5625739801.42167,3931385284.505,14861269427.04768,24408389847.468258,8830431345.036951,5927835195.7062,58193598.10091873,13455466095.735407,5049702484.574,52191870409.79352,6217823322.0,59066160952.10787,2293442616.3782396,7214737035.429,20786370232.10118
2017-06-23,8422575334.992001,10236157184.38608,3730114664.6996393,12776170295.273218,2580183050.311625,7624404717.49152,69092284424.48639,3542825012.4523077,21289116136.5192,20897313115.874104,33228696764.973564,5541466063.16424,24019519732.494125,88526515535.19043,97135296903.44942,6351377191.75701,23439390914.21202,7650508405.2228,7498145722.531201,8386270716.8289,11346895736.84628,4377410504.7316,28246449620.04632,23554497928.20579,5228349016.674723,6053829745.3932,58175762854.345505,4849517750.0,592916020.74432,3467869298.0511303,14932215558.671198,12919124120.854399,6817019102.00745,2862389457.1116,83564880031.3392,34220041989.66,2309010731.502285,4202285817.8856797,3101417706.915,136309272363.31818,3479034024.96819,34120682595.016712,5708760553.656316,8100691203.510277,9949031142.048151,6973362452.32,6491696898.979919,5309200927.6812,66880458.37634111,8509447058.912254,14977783802.849022,47203356461.38766,12933755926.436522,7048494358.284289,5147700979.293981,0.0,4776104655.154833,7454551807.130401,5365327990.047985,36009958704.14071,5536873673.96184,1271544945.7441921,2567248672.019346,5723847256.40595,6734483061.2386,46091700944.38477,49562913462.66,16102522392.0,4240152000.0,5146564392.25929,36247201049.57553,385079332.633424,16984318955.747715,8466162325.104349,168486993866.1943,171801894644.2273,6215811133.67984,7672707137.47688,5209036828.72425,2795051199.6216803,0.0,4912915679.052878,5399112295.435,11968611525.381,3963999029.6251903,6389078652.118919,5658461179.57701,3920574875.84,14981118374.040003,24277566372.47178,8751688569.91295,5863883446.70688,58518158.045709126,13387225366.72959,4935535297.96624,51997871123.80056,6109155738.0,59158969734.748665,2291683841.3656797,7147766320.348499,20674414916.667957
2017-06-26,8530197130.939121,10201481855.17068,3782024809.1387997,12742191118.956001,2603715664.4512753,7817305532.60832,68272908674.1504,3588009402.251934,21390012421.526398,20596290409.8835,33644267500.421165,5541466063.16424,24135149805.6046,89317017988.98279,97845999642.81982,6366731044.758841,23902010471.729366,7663586197.368481,7506666342.670441,8370189660.8043,11434601211.140745,4359094979.607201,28433624888.612892,23704792491.377613,5265614325.73176,6007520894.7678,58000610019.94532,4924084000.0,604837083.5952641,3473056836.2681103,15053011328.592,12913830265.740284,6797463682.896701,2954132708.9421,83079037705.57559,34104351456.242996,2259354586.738795,4161701845.98336,3131755126.1700006,136349210620.67628,3441071066.0051703,34306509521.592003,5741687795.494276,8104383126.69628,10040919758.809301,6982871582.936799,6620671009.555681,5334534538.1064005,67344906.0039546,8634955127.627775,15030255602.859003,47302211658.16543,13002662457.744118,7143994356.025238,5231101931.514092,0.0,4739464036.396453,7476285194.323199,5374222027.329455,35956024667.14,5612740154.297639,1265691072.2682242,2550375955.772505,5784739248.495375,6758133572.4282,46348980882.67327,49821447744.08101,16236074118.0,4272723000.0,5142937496.986381,36443324616.49403,390289283.25295997,17212725611.95734,8445555033.440809,169837508997.98553,172292991055.78772,6281400049.863151,7753529192.998055,5304691796.437349,2826295783.45648,0.0,4921846448.818881,5429629017.10485,11925246990.86875,3964877544.105186,6400859374.8948,5590681181.969521,3953006101.835,15080992496.533602,24293919306.846336,8805686427.954235,5888480273.245079,58745350.007062405,13407296169.378359,4997009936.90888,51961496257.67687,6163489530.0,59450654480.19117,2296960166.40336,7187586745.5315,20674414916.667957
2017-06-27,8567630799.094641,10263897447.758398,3778316941.678859,12918621457.52616,2536479624.052275,7749790247.31744,68285514454.9248,3581554489.4234157,21349653907.52352,20580447109.568207,33983508917.113087,5507349737.3576,24219244404.2304,89307258699.42978,97099761766.4809,6341141289.755791,23939520165.582123,7621083372.8950205,7498145722.531201,8281743852.669001,11429119618.99734,4322463929.3584,27274578033.25835,23596246417.975742,5277594358.76904,5999101103.745,58325893855.25994,4909170750.000001,616758146.446208,3535307294.87187,15071595293.1952,12826439880.591833,6750530677.030901,2849545401.85533,82714655961.2529,34098262480.8,2247670787.970915,4165391297.97448,3103751354.5500007,137627234856.1367,3443782705.9311004,34211213661.809803,5659369690.899376,8067549110.561723,10233050502.94625,6948004770.6752,6531105654.989181,5298343666.0704,66504476.96351116,8601460161.789322,15164350202.884512,46709080477.49879,12950982559.26342,7034041472.822014,5187133562.792919,0.0,4633206241.997151,7429196188.7388,5349763424.8054085,36045914728.807846,5467904146.38384,1262764135.53024,2525052316.065996,5711668857.988065,6737439375.1373,46670580805.5339,50130427738.95,16283771163.0,4256931000.0,5132056811.16765,36853401165.50546,387455801.337072,16920365092.009022,8576067880.643229,169019014978.71814,171760969943.26392,6246082941.14906,7748141055.96331,5292215061.5182495,2797729306.80752,0.0,4941692603.854441,5406154615.82035,11881882456.356499,3929727518.5130944,6377297929.3430395,5492517047.5035,3945799162.725,15001093198.538721,24333166349.345284,8823679152.070068,5873722177.32216,58453246.056751035,13367154564.08082,5036529347.65772,52379807218.0992,6187260564.0,58986610566.987175,2295201391.3908,7292567866.4685,20587338560.2199
2017-06-28,8548913965.016881,10250027316.072239,3689328122.6403,13147327451.96896,2607077466.4712253,7561711952.57856,67062753719.808,3481042275.37935,21369833164.52496,20390327505.784664,34254902050.46662,5497602215.69856,24587158273.218277,89365814436.74776,96104777931.36235,6259254073.74603,24160410584.937252,7552424964.1302,7485364792.32234,8281743852.669001,11209855933.261179,4285832879.1096,27241855084.208252,23187111218.230236,5241654259.6572,5935952671.074,58238317438.05985,4806133750.0,607033068.85728,3436744068.74925,15015843399.385601,12532453907.929083,6547545426.661316,2851380266.8919396,82301689984.35384,35042053674.465,2196554168.3614397,4176459653.9478397,3092083116.375,137227852282.55531,3394973187.2643604,34096858630.071163,5651137880.439885,7966235312.146057,10132808375.57045,6905213682.8996,6473783828.06662,5285676860.8578,66592943.17829469,8492738797.2645035,15100218002.872313,47132745606.54639,12837286782.605879,6932759876.191987,5093111845.879896,0.0,4580077344.7975,7306040327.9796,5367551499.368352,35513765563.73418,5456869021.97136,1240184909.2657921,2528210686.651655,5727906722.545245,6731526747.3399,46284660898.10115,49815142029.9,16121601210.0,4209555000.0,5083093724.983365,37590350326.047745,385353540.56076795,16774184832.03486,8637889755.633848,170369530110.50934,173725355589.50568,6190584627.455491,7624213904.164175,5288056149.87855,2770948234.94912,0.0,4886123369.754872,5312257010.68235,11621695249.283,3902474676.8487067,6330175038.23952,5506540495.28436,3913367936.73,14841294602.548962,24620977994.33754,8756196593.788801,5804851063.015201,58258510.08987679,13567862590.56852,4948708434.88252,51919058913.86592,6102364014.0,58747959411.62514,2340929541.71736,7185776726.205,20350988449.860878
2017-06-29,8619102092.80848,10305507842.81688,3683766321.4503894,13532860414.02968,2709612428.0797005,7682274962.02656,66029079696.3072,3548357794.876752,21571625734.53936,20422014106.415253,34865536600.51208,5580456149.800401,25228379587.74,88965683565.07506,94878815705.9484,6141541200.732,24548010754.749077,7689741781.65984,7285130219.0502,8257622268.632099,11138595235.396927,4225391646.19908,26996432966.3325,23362454875.264023,5221683076.817038,5868594342.891599,57938055436.23098,4835960250.0,630875194.559168,3532713525.76338,15006551417.084,12603961975.018682,6511954563.879749,2856884862.00177,80795578774.48668,35650951218.765,2222842715.58917,4176459653.9478397,3054744754.215,141441338433.83862,3424801226.4495907,33696616018.985924,5700528743.196826,7947810167.4643345,10383413694.00995,6827555782.8624,6566931796.815782,5381582671.753201,67057390.80590817,8450850479.330697,15158520002.8834,47443433367.84797,12892412007.65196,6866210119.7923975,5196221104.312116,0.0,4591069530.425014,7353129333.564,5398680629.853505,34942064771.52665,5481698051.89944,1243948113.6432002,2556706829.64632,5719787790.266655,6734483061.2386,46323252888.84442,49424187750.678,16007128302.0,4097037000.0,5021436505.343894,38505593638.33413,386998788.124832,16655413370.805855,8713449825.066828,170533228914.36282,173070560374.09177,6140131615.006791,7613437630.094685,5394108396.690899,2773626342.13496,0.0,4825592596.896415,5270003088.370251,11647713969.990349,4021130810.001696,6314467407.871679,5492517047.5035,3942195693.17,14761395304.554083,25190060110.572227,8956419785.235352,5854044716.091599,58323422.07883488,13804698061.824003,4970663663.076321,51646247417.938324,6102364014.0,58389982678.582054,2270578541.2149596,7180346668.2255,20599778039.71248
2017-06-30,8427254543.51144,10121728597.975258,3689328122.6403,13402171274.348082,2697846121.0098753,7619582197.1136,64932376768.9344,3457989015.2775,21390012421.526398,20136834700.739944,34933384883.85046,5507349737.3576,24923536667.721474,87052862812.68864,93013221015.10109,6126187347.730171,24368797773.008125,7555694412.166621,7042292545.081861,8120933292.423,11100224090.3931,4115498495.45268,26505588730.581,22819724508.254673,5137835839.084317,5826495387.7776,57199911348.40165,4834604500.000001,641541408.6889601,3486025681.81056,14662748071.924799,12455650982.10337,6363333378.63805,2739453499.65873,79678141425.23041,35194278060.54,2225763665.28114,4036260478.28528,3047743811.31,143777726489.28958,3403108107.0421505,33501259506.43241,5527660723.547535,7853880040.43972,10166222418.02905,6654806576.6572,6534688269.17184,5294724578.8668,67787237.07787222,8450850479.330697,15076897202.867876,47521105308.17337,12430738247.89104,6573972998.097281,5162857529.2091255,0.0,4424354715.074385,7168395542.4252,5300846219.757312,34388341991.65269,5470662927.486959,1215933147.722496,2560917942.356781,5634539001.34146,6607361563.5945,45667189046.20875,49499856320.85,15692327805.0,4078284000.0,4957965838.067969,38481821084.76825,384165306.208944,16326507785.863995,8665366144.51857,167791273949.81702,170615078316.28955,6155267518.7414,7392524011.67014,5317168531.356449,2751308782.25296,0.0,4802769518.60552,5216011965.4159,11465582925.038898,4225928594.1555696,6196660180.11288,5534587390.846081,3837695076.075,14691483418.808561,25402648257.44151,8936182892.028484,5745818679.32352,57479566.22237983,13836811346.062037,4847714385.19104,50264002505.23848,6044634360.0,57780096392.656815,2244196916.02656,7131476146.41,20139517298.48702
