,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GSK,GLEN,GVC,HLMA,HL.,HSBA,HSX,IMB,INF,IHG,IAG,ITRK,ITV,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,OCDO,PFG,PSON,PSN,PRU,RB.,REL,RMG,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SPX,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2017-06-19,8460009003.147521,10350585770.796898,3850620357.1476893,12888562955.399391,2664228100.810375,7822128052.986239,67365292458.39359,3681144573.0634074,21672522019.54656,21435985326.594135,35069081450.52723,5590203671.459439,24786882944.95455,92254564144.43336,98912053751.87541,6433264407.76677,24147907353.653,7804172462.93454,7421460141.278041,8305865436.705901,11100224090.3931,4351768769.55744,28399593021.600792,23946933732.043324,5285585508.571922,6285373998.5202,59414343611.88964,4968823749.999999,568132758.501568,3498994527.35301,15192391063.116001,12935031027.652107,6668397916.765751,2818352696.23296,82374566333.21838,35066409576.237,2336759753.576,4261317049.7436004,3192429964.68,138106493944.4343,3454629265.63482,34144506559.962265,5659369690.899376,8095178603.479384,9957384652.662802,7033586946.2264,6362722788.4041605,5504631636.675599,68118985.3833104,8844161389.66796,15193501202.890057,48509657275.95111,12926865273.305761,6944344419.770212,5316004164.758465,0.0,4651526551.376341,7664641216.660801,5436480288.29976,36693123172.816376,5721712007.870879,1281162023.597568,3012544169.6859756,5727906722.545244,6734483061.2386,46554804833.304085,50332210592.742004,16341007617.0,4381293000.0,5193714030.807119,36704822705.71872,388095619.8342081,16892956293.263865,8589806075.085589,174380150804.9196,178022449190.65955,6352034267.29133,7678095274.511624,5364996015.213,2812905247.5272803,0.0,5031000301.514461,5624466547.7662,11890555363.25895,3984214309.057353,6404786282.48676,5462132910.64497,3985437327.83,14681496006.559202,24885895531.20541,8967680002.078083,6090174250.85832,58615526.02914624,13732443172.288435,5098003986.60036,52270682619.72816,6526846764.0,59079419349.62799,2333894441.66712,7095275759.88,20848567629.56408
2017-06-20,8436612960.550321,10347118237.875359,3828373152.388049,12538316061.052706,2539841426.0722256,7672629921.2707205,68272908674.1504,3642415096.0923,21733059790.55088,21404298725.963543,34399079652.56069,5541466063.16424,23966960608.353004,89834260335.29135,98840983477.93839,6371848995.759451,23864500777.87661,7702819573.80552,7476844172.183101,8386270716.8289,11078297721.819483,4375578952.219159,28552736423.155254,24063829503.399185,5277594358.76904,6159077133.1782,59802182030.9186,4983737000.0,543349496.258816,3447119145.18321,15173807098.5128,12932371429.36737,6773997179.9638,2796334315.79364,82253105751.77748,33684212150.676003,2333838803.8840303,4228111981.8235197,3178428078.87,137447512698.02502,3503438784.301561,34030151528.22362,5708760553.656315,8117279398.11822,9873849546.5163,7016153540.0956,6298235733.116281,5504631636.675599,66836225.26894937,8760463196.343294,15240142802.898926,47316333829.13369,12950982559.26342,7025347728.68833,5179547302.297983,0.0,4744960129.21021,7537863124.702799,5503185567.9108,36603233111.14851,5550667579.47744,1259419064.9725442,3023086012.0590014,5780679782.35608,6728570433.4412,46696308799.36275,50420490591.27601,16379165253.0,4355631000.0,5191900583.170666,35658830348.81999,387272996.052176,16911228825.760635,8527984200.094971,171106174727.84998,173970903795.2859,6346988966.04646,7758917330.032801,5300532884.79765,2812905247.5272803,0.0,5006192607.720011,5495357340.70145,11942592804.67365,4001794045.049528,6353736483.791281,5541599114.73651,3938592223.615,14731433067.806002,24650413276.211746,8963171978.202234,6036061232.474279,58193598.10091873,13495607701.032948,5014574119.463921,52349494829.662796,6374032974.0,58960093771.94695,2303995266.4536,6974004465.004499,20811249191.08634
2017-06-21,8389820875.355922,10243092250.229158,3778316941.678859,12751339358.733713,2573459446.271725,7667807400.8928,68071216181.76,3583398750.2315645,21571625734.539364,21435985326.594135,33949584775.443897,5517097259.016641,23977472433.181225,89141350777.02893,98663307793.09578,6351377191.75701,23606100664.66872,7715897365.951201,7502406032.600821,8434513884.9027,11314006183.985857,4382905162.26892,28365562790.736137,24005381617.721256,5294901738.38472,6125397969.087,59414343611.88964,4932218500.0,550564876.40544,3454900452.5086803,15164515116.211199,13019762065.421318,6805285850.540999,2840371076.6722803,81767263426.01389,34274842768.646996,2311931681.194255,4235490885.80576,3101417706.915,137267790539.91344,3479034024.96819,33801441464.74634,5700528743.196826,8111749649.953661,10065980290.653252,7038341511.5348,6394966316.0481,5432249892.6036,66460243.8561194,8660056741.370878,15164350202.884512,47429311196.879715,12954427885.828798,7068750855.491962,5158321743.986892,0.0,4748624191.086047,7624796673.474,5507632586.551537,36243672864.47712,5489974395.208799,1255237726.775424,2491278185.53357,5776620316.2167845,6675356783.2646,46284660898.10114,49676416317.918,16312389390.0,4329969000.0,5175579554.44257,35896555884.4788,384073903.56649595,17039136553.238026,8476465970.936121,168978090277.75473,171638195840.3738,6341943664.801591,7672707137.47688,5269341047.4999,2791480390.0405602,0.0,4935738757.343773,5460145738.7747,11985957339.185898,4017616752.0817122,6361590298.975201,5623402560.12486,3938592223.615,14851282014.798323,24323354588.720547,8823679152.070068,5927835195.7062,58193598.10091873,13479551058.913933,5054093530.21276,52210057842.85536,6370637112.0,59079419349.62799,2300477716.42848,7211116996.776,20736612314.13086
2017-06-22,8422575334.992001,10246559783.150698,3717137128.58985,12790546100.638193,2603715664.4512753,7624404717.49152,69432640505.3952,3541902882.0482345,21349653907.52352,21055746119.027054,33245658835.80816,5541466063.16424,24124637980.77638,89151110066.58191,97455113136.16609,6336023338.75518,23506074814.394703,7640700061.113542,7515186962.80968,8386270716.8289,11314006183.985857,4390231372.31868,28246449620.046318,23713142189.3316,5242992723.001203,6062249536.415999,58451003022.68865,4838671749.999999,594798293.826048,3467869298.0511303,14950799523.274399,12937666288.103481,6848307772.584651,2862389457.1116,83662048496.49193,34323554572.191006,2282722184.274555,4183838557.93008,3106085002.1850004,136548901907.46698,3484457304.8200507,34149271352.95137,5708760553.656315,8091486855.274337,9957384652.662802,7003474699.273199,6337644489.12554,5316439102.0884,66659292.83938232,8509447058.912256,14989444202.851242,47309272743.64956,12930310599.87114,7060078679.510429,5138613437.774784,0.0,4785264809.844427,7469040731.925599,5358657462.086881,35991980691.80714,5512044644.03376,1265272938.448512,2582030325.1415787,5736025654.823835,6719701491.7451,46181748922.78575,49493550606.66901,16159758846.000002,4242126000.0,5153818182.80511,36116452004.96319,385719151.13056,17002591488.244484,8476465970.936121,169059939679.68152,171679120541.33716,6225901736.169581,7696953754.133232,5206957372.9044,2792373092.4358397,0.0,4909938755.7975445,5406154615.820351,11985957339.185898,3971036591.857415,6412640097.67068,5653786696.98339,3934988754.06,14941168725.04256,24280836959.34669,8767437124.93775,5878641542.629799,58453246.05675104,13367154564.080818,4944317389.24376,52161558021.35712,6102364014.0,59437396082.67107,2293442616.3782396,7133286165.7365,20686854396.160538
2017-06-23,8502121879.82248,10166806525.95528,3774609074.2189198,12714746399.622864,2595311159.4014,7812483012.230399,68083821962.53439,3577865967.80712,21329474650.522083,20596290409.8835,33508570933.7444,5507349737.3576,24040543382.150578,89073035750.15799,97401810430.71332,6361613093.758231,23831158827.785267,7650508405.222801,7476844172.183101,8346068076.7674,11429119618.99734,4327958586.89572,28382577088.094738,23562847626.159786,5248306816.180798,6011730790.2792,57675326184.63071,4887478749.999999,595112006.006336,3467869298.0511303,15043719346.2904,12884699384.640972,6777908263.785951,2944958383.75905,83006161356.71106,34037372726.37,2260815061.5847797,4180149105.938959,3122420535.63,135929858918.41588,3441071066.0051703,34068269872.136505,5721108269.345551,8080428233.849997,9999152205.73605,6976532162.5256,6549018725.90248,5321867732.8938,66968924.59112465,8609853513.884672,15006934802.854565,47083318008.15751,12930310599.87114,7117934914.128421,5199255608.51009,0.0,4741296067.334372,7454551807.130401,5351986934.125775,35956024667.14,5582393562.163319,1261509734.071104,2574646709.142961,5764441917.798901,6734483061.2386,46233204910.44346,49537690605.936005,16226534709.000002,4260879000.0,5137497154.077015,36282859879.92435,388461230.40400004,17212725611.95734,8435251387.609039,169141789081.60822,171597271139.41043,6266264146.128541,7705035959.68535,5269341047.4999,2818261461.89896,0.0,4910931063.549322,5420239256.59105,11873209549.45405,3963120515.1451955,6389078652.118919,5513552219.17479,3953006101.835,15061017672.034883,24169637005.59968,8767437124.93775,5878641542.629799,58323422.07883488,13371168724.610573,4975054708.71508,51961496257.67689,6163489530.0,59318070504.99003,2300477716.42848,7165866513.6135,20637096478.190216
2017-06-26,8562951590.5752,10324232173.839903,3782395595.8847938,12753848590.2156,2589673417.413944,7771250462.999184,68541285746.83737,3588276820.0691156,21421734213.532658,20623224020.419502,33495849380.618454,5540140400.218611,24100250547.174892,89337512497.04407,97620530975.51138,6343116818.842027,24041796597.48731,7653287762.998562,7563924483.975127,8401033447.880603,11460748405.664783,4346145720.188998,28618018706.5102,23663545818.4547,5305127515.174317,6015039936.54698,58158500291.42369,4929127389.999999,609831381.5054489,3543088602.19734,15094825248.949202,12739024655.799028,6780380225.204903,2881563796.744175,83039203493.28624,33783949568.432343,2259722626.3999834,4180406998.633139,3116866454.2587,137714499948.46417,3455307175.6163025,34268867656.97804,5684419090.127604,8108827642.973092,10215341060.443193,6967023031.9088,6621853272.235958,5328164944.628063,66683621.04844779,8653153797.591526,15208135004.89284,46942802407.02338,12956564332.831993,7084003763.752595,5217031414.680327,0.0,4666329361.354726,7476285194.323199,5361903785.694617,36034768361.16103,5571923849.937924,1281024039.4370632,2528138581.026668,5746044417.255614,6745273311.337464,47001700086.11119,50225013451.665,16297984882.410002,4266524640.0,5144261313.760992,36662030920.672455,388545320.83505213,17001129685.644743,8598186373.695429,170581528246.4398,173041904898.4772,6280148815.154423,7730909793.726196,5305481989.648892,2808629203.0538883,0.0,4939856834.513651,5417046503.2723465,11910329590.996536,3942140077.9401317,6413385817.422394,5491629129.5348425,3946577584.2182713,15042141462.88359,24422518782.767876,8897480818.055037,5885381073.101266,58258510.0898768,13366753148.027843,5057167262.159893,52781873163.310684,6199825253.4,59698056177.9165,2307924369.831659,7313129867.019473,20692204616.2903
2017-06-27,8567630799.094641,10173810942.456789,3702565209.4722853,13075317736.0044,2592161150.9087067,7708508990.630406,67617783726.14868,3510891636.559225,21355142665.427914,20439441736.762077,34367021338.683304,5453962561.231037,24539855061.491264,89826648089.44002,96750804944.69318,6262120126.306372,24006037356.014347,7560729362.142708,7505686471.354428,8276308616.543246,11337248134.67389,4340504904.761186,27148594679.415462,23255410912.52408,5283636479.335922,5952404942.73255,58320138833.55822,4809455337.5,610678404.3922266,3479463445.96608,15046506940.980879,12613019412.611198,6624774078.921871,2879251683.3115425,82594652906.78929,34916499000.83034,2190718110.876884,4176312075.868195,3113576011.0933504,137399187406.62167,3395759562.8428802,34092093837.08205,5643399978.607965,7995702630.042276,10291491663.206343,6930460741.658224,6495100382.453446,5286219723.93834,66444762.2685323,8526156104.985439,15072932666.86712,46653297902.17418,12776166689.33604,7007114857.797461,5111430668.590825,0.0,4606018902.878432,7302055873.66092,5381181611.502209,35423875502.06633,5475021663.690834,1240803747.3189657,2514467354.5292277,5730058239.5990715,6677869945.709884,46128746682.69894,49904558318.12942,16163002245.06,4210709789.9999995,5118909315.80335,37432142793.43913,387017982.6797461,16960948386.684345,8630093330.28781,170026589301.3765,173970903795.2859,6188586688.162522,7631746519.738748,5279696737.482753,2770832272.907973,0.0,4916567371.579422,5332632556.2532835,11732188083.220215,3922359332.5518384,6338421544.182635,5477839172.1595335,3929525822.145229,15001093198.538721,24757819349.183853,8758381705.79849,5814886568.2427845,57862546.95723251,13554214444.767359,4924074668.849077,52229091597.802345,6135018622.992,58919788243.48581,2342540579.6288652,7233235432.94583,20378977278.719185
2017-06-28,8567630799.094641,10308975375.738419,3678204520.26048,13225740935.777922,2649099991.7206,7653339839.759039,66054291257.855995,3515161100.3300877,21430370935.529278,20295267703.892895,34509333112.98556,5570708628.14136,24786882944.95455,88868090669.54515,95074258959.27525,6182484808.736881,24514668804.657738,7660316749.332061,7263828668.702101,8241541212.6075,11149558419.683735,4278506669.05984,26947348542.757355,23187111218.230236,5209716167.243279,5860174551.8688,57837968102.28802,4810201000.0,615503297.725056,3527525987.5464,14987967452.480799,12585419807.7696,6547545426.661316,2853215131.92855,80819870890.77486,34591469491.683,2209698441.975305,4161701845.9833593,3047743811.31,137068099253.12276,3411243026.81994,33639438503.1166,5692296932.737335,7909139201.256,10525423374.459,6870346870.6380005,6552601340.08514,5274819599.247,67101623.913299926,8417433171.60976,15111878402.874529,47026829324.284485,12851068088.8674,6871991496.329391,5167409285.506086,0.0,4536108602.287443,7324151483.973599,5378669045.970192,34927682361.6598,5451351459.76512,1236003571.0686722,2546150421.937046,5707609391.848769,6722657805.643799,46117428938.21362,49417882036.497,15978510075.0,4222386000.0,5017809610.070985,37507146388.56717,386267566.98524797,16628004572.060701,8661931595.907978,169755659596.05878,172988710972.165,6130041012.517051,7570332533.816725,5373313838.492399,2768270127.76328,0.0,4814677211.626856,5265308208.11335,11647713969.990349,3903353191.3287024,6306613592.68776,5448109462.86411,3920574875.84,14751407892.304722,24970930789.953125,8906929951.069918,5819609158.938119,58193598.10091873,13788641419.70499,4935535297.96624,51803871837.807594,6098968152.0,58257398703.380905,2323341791.5917597,7173106590.919499,20525141162.757
2017-06-29,8427254543.51144,10125196130.896797,3702305658.7500896,13447912473.23664,2704569725.0497756,7624404717.49152,65171886603.647995,3463521797.701944,21410191678.52784,20136834700.739944,34857055565.09478,5492728454.86904,25007631266.347275,87814087397.822,93013221015.10109,6141541200.732,24439649416.95222,7532808275.911679,7042292545.081861,8137014348.4476,11111187274.679907,4122824705.5024395,26571034628.6812,22961669373.472504,5137835839.084317,5830705283.2890005,57199911348.40164,4835960249.999999,640286559.967808,3493806989.13603,14653456089.623201,12426521104.626053,6390710965.393101,2757802150.0248303,79993938936.97675,35364769372.944,2198014643.207425,4036260478.28528,3038409220.77,142879115698.73154,3405819746.9680805,33344021337.791782,5531776628.77728,7839146818.944,10149515396.799751,6683333968.5076,6549018725.90248,5294724578.866799,67765120.52417631,8450850479.330698,15076897202.867876,47415189025.91147,12489308799.5025,6611594748.363918,5162857529.209125,0.0,4409698467.571033,7179262236.021599,5325304822.281361,34409915606.45298,5484456833.00256,1213006210.984512,2561984961.3953314,5642657933.62005,6595536307.9997,45808693012.26743,48472024909.347,15730485441.000002,4097037000.0,4945271704.612785,38422389700.853546,384439514.136288,16381325383.354307,8685973436.18211,168732542071.97452,171433572335.55695,6160312819.986271,7354807052.426925,5315089075.5366,2748630675.06712,0.0,4819638750.385746,5223054285.80125,11474255831.94135,4231199681.035544,6200587087.70484,5515889460.471601,3830488136.965,14701470831.057922,25340507106.81818,8886673372.16927,5760576775.246441,57349742.24446368,13808712222.35376,4869669613.38484,50397377014.358635,6102364014.0,57939197162.898186,2267060991.18984,7129666127.0835,20251472613.92024
2017-06-30,8445971377.5892,10180676657.64144,3713429261.129909,13382567903.39584,2687760714.950025,7662984880.514879,64730684276.54401,3504095535.4811993,21228578365.51488,20073461499.478767,34390598617.14339,5492728454.86904,24723811995.9852,86428268281.29716,92995453446.61684,6197838661.738711,24568849473.556168,7480497107.328961,7076375025.638821,8169176460.4968,10974147471.094809,4135645573.0895205,26505588730.581,22828074206.208664,5171112394.84224,5885433924.9372,56762029262.40119,4818335500.0,649070501.015872,3524932218.43791,14634872125.02,12482146602.751307,6398533133.0374,2726609444.40246,79459512378.63678,34975074944.591995,2209698441.975305,4058397190.2320004,3038409220.77,142120288808.92694,3435647786.15331,32862777245.89167,5507081197.398809,7859409788.6042795,10191282949.873001,6683333968.5076,6498862127.345241,5195199680.767799,66504476.963511154,8475952093.073801,15059406602.864548,46709080477.49879,12561660657.375479,6571082198.652741,5053695233.455685,0.0,4442675024.453575,7295173634.3832,5363104480.727616,34222944278.183853,5318929966.81536,1210079274.246528,2567248672.019346,5614241670.644985,6628055760.885399,45306997132.60484,49083679184.90401,15835418940.0,4157244000.0,4956152390.431515,38535309330.29148,388461230.40400004,16280826454.62207,8490204165.378479,166563532920.91592,168814391473.90125,6210765832.434971,7414076559.80912,5233990298.562449,2770948234.94912,0.0,4854369521.697976,5122114360.277901,11491601645.74625,4162637766.0268354,6271271424.36012,5600030147.15676,3855712423.85,14511709998.32008,25419001191.816063,8978920533.227036,5814689793.63048,57187462.27206847,13551805948.449505,4913580069.77244,50379189581.2968,5891820570.0,57740321200.096466,2252990791.0893598,7180346668.2255,20077319901.02412
