,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GSK,GLEN,GVC,HLMA,HL.,HSBA,IMB,INF,IHG,IAG,ITRK,ITV,JE.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,OCDO,PSON,PSN,PRU,RB.,REL,RTO,RIO,RMG,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2018-06-18,8969505253.382269,9577325929.29348,3124621029.8228207,17990697536.146732,3417275061.8785005,11387970415.0296,67979079297.39611,3897532796.8394856,20324678363.724255,20239203819.398205,33111333788.000004,5466500627.97192,5248127771.3682,35395908591.33252,113178065808.53836,80458018351.0105,6698507604.95717,17447646080.522068,7568871844.48404,8357935740.416599,8638585498.02024,8510690018.690581,5158358226.40128,25276930036.7769,23438443742.611744,6490122509.604539,5963379544.454801,67160624395.7868,4717262766.7,1749558748.029534,4592023923.57975,17135287226.691273,14433533246.336,6719524956.211499,2141596993.03125,76087315583.47545,46769135499.6357,5739987638.49672,5333171201.10864,5236662604.263749,144644530316.86484,24630471247.088078,6875208095.766049,9106789510.212618,11611930058.127464,9260298637.954561,6066428519.270596,4614905959.01138,7156514010.5574,65206045.790747195,7001923577.46255,15486827152.655037,44236837780.44336,15024219600.0,7073095514.460631,4538472058.140066,0.0,10187464582.37673,7403840570.347201,5766501972.53061,26640771827.281918,8184698546.01984,3040618579.23012,4352307148.41804,6707715774.688032,8055195310.10244,47129430930.914375,41302528763.29024,14690006328.0,6353074713.866975,48516697962.37119,5025816000.000001,463289087.300832,17144823133.09503,11476341560.0,212510879494.11282,220856851900.9742,6828977205.479016,7076887423.603055,6771410721.6564,5512836989.407999,7502439982.818059,6624789108.405936,4390870239.126525,11716542521.551918,5456019465.681695,6938418888.345401,7176257465.887119,13580918533.419024,23316691430.9168,11754788129.090454,5904890778.30372,60685362.28172288,24004768185.3739,7451237781.26,46834258957.74202,5237508567.155184,49230179150.35012,4036202260.7489104,7385992475.33894,14684803342.755299
2018-06-19,8890478775.3789,9584260995.136559,3148694890.0419655,17581676484.257416,3363644457.6705,10883865485.1906,67726509803.44332,3903044273.8088555,20420587188.09102,20029306356.78346,32778454150.0,5372115005.618448,5144906300.983471,34620107855.08414,112960339553.92244,81697536652.9793,6647702121.3723135,17451828162.51644,7522920324.179279,8049097468.2534,8602576387.982641,8608514041.89392,5115109796.149441,25371570648.45906,23169519325.34262,6422384139.151821,5907526566.012501,67025984908.2064,4747024676.9,1676091583.9539719,4605032489.9355,16993899442.81386,14703089894.4,6659169941.634749,2101067845.63625,75950115375.056,45681481185.690674,5700902119.55754,5258685569.80824,5241870622.76625,144464897258.65427,24872458153.96565,6733620955.862821,8995291817.21389,11592539136.794659,9058570140.654718,6100539836.780553,4729838813.899084,7050519621.615,64971338.1651915,6976890412.201381,15615300077.752478,44208098564.73412,14938757600.000002,6998199453.821958,4523252769.217802,0.0,10001451428.643312,7298795865.582001,5764153091.890068,26634330634.8672,8060932558.80192,3016663227.45228,4306015664.670528,6607347099.422212,7831522726.51944,47026274857.74138,41769262219.672,14513400210.0,6320392420.397526,46944292063.168,5103504000.0,462035017.845648,16945163773.770655,11620641336.0,212718490748.01483,221064463154.87625,6878062396.533673,6927968475.07344,6784516677.891865,5483347301.2960005,7434111749.82336,6586944552.4649515,4406185858.420501,11798870298.145664,5211808626.333531,6824222436.7211,7101260653.702801,13631423994.681274,23329827595.103233,11710779565.11985,5867892715.78302,59726488.051776,23976670524.602882,7399923661.676,47025419198.38587,5267421648.276008,49426993480.826935,4040101973.0781364,7301178977.576679,14721347855.4291
2018-06-20,8796399634.8987,9733364910.76278,3165297552.2620654,17504855271.466022,3375376152.3410006,11095109455.7898,67928565398.60557,3886509842.900746,20372632775.90764,20137435352.675907,32897339734.999996,5289527586.05916,4841460050.69583,34544214304.798965,111713361913.84933,83645351127.5017,6698507604.95717,17924403427.880535,7532767078.5303,8172632777.118679,8613379120.99392,8672798399.998972,5079724716.85248,25481984695.42158,23236750429.6599,6440978324.888301,5881748268.2699,67062704768.4556,4740260606.4,1705998571.0997758,4672677034.9854,17034947509.100853,14874625943.167997,6703430285.657701,2118569068.375,75950115375.056,46013307925.5383,5700902119.55754,5269858414.5033,5163750345.228749,145083633348.04614,25669591494.268246,6733620955.862821,9069623024.01183,11692725563.680813,9077782378.4928,6217236449.314611,4827179905.283568,7111087843.867801,64395237.6297366,7105737586.339755,15591941364.098398,44308685819.71645,15215654480.0,7104073513.351806,4465467532.22558,0.0,10023080865.123941,7324151483.973599,5811130704.700909,26808242830.06464,7886045837.73312,3023507613.6745205,4545188330.69934,6703083374.291149,7783805908.688401,46781279183.9555,42012775327.34944,14558683830.0,6396651105.159575,46961383431.637596,4967052000.0,469201129.0181279,17141125737.551985,11629660072.0,210808467212.1162,219652706628.3425,6927147587.588327,6951709177.012944,6919944892.324993,5507632926.8,7495607159.51859,6648690933.210769,4483942079.451449,11924528483.47296,5233648793.581803,6849818193.11965,7246566977.30992,13585969079.545252,23484177524.29381,11676958717.169357,5828428115.7609415,59693983.84059136,24295110680.007763,7451237781.26,47228164908.159645,5355801206.132988,49533379605.409004,4032302548.4196844,7256065414.9371805,14897979666.685799
2018-06-21,8651517758.559193,9729897377.841238,3122130630.489805,17151892942.424484,3380404021.4855003,10783044499.2228,66362634536.09819,3885591263.405851,20100891106.86846,19730361485.78669,32302911810.0,5090924505.690395,4700929615.1118,34451455521.117096,110743490416.01472,84973406451.0397,6632069664.884665,17987134657.796124,7483533306.7752,8126307036.294201,8469342680.843519,8678388344.18202,5022715422.4296,25284816754.41708,22782940475.51826,6342689955.45582,5830191672.784699,66830145653.54399,4646916433.5,1676741735.8484457,4641456475.7316,16651832223.755613,14722694014.2592,6663193609.273199,2101988962.6225,75381714511.60396,45669191306.43706,5717653056.245759,5176751375.3778,5116878178.706249,141331298354.31485,25375411332.9661,6710571886.576249,8902350265.299755,11611930058.127464,9026549744.25792,6235189774.319852,4801378652.145512,6946417989.617999,64011170.60609999,6944494551.27516,15486827152.655037,44085956897.969864,15212236000.000002,7055014303.489573,4456335958.872221,0.0,9646728670.360981,7237217935.2024,5801735182.138741,26534492152.439037,7985596740.495358,3023507613.6745205,4719915989.9424,6642862169.131657,7545221819.533199,45994714126.011375,41654269918.82432,14558683830.0,6313129688.515425,46744892764.355995,4925220000.0,470096892.91468793,17118941364.29372,11584566392.0,209562799688.70407,217327460584.6398,6835112854.360848,6848113386.731472,6782332351.852619,5410490424.784,7393114810.026541,6573001821.3288,4436817097.0084505,11985191055.699928,5144303624.7801285,6737590645.8337,7124697157.510401,13464755972.51585,23090092598.70085,11490795976.173922,5761831603.2236805,57938756.4366208,23976670524.602882,7329366747.247999,47262921315.54943,5025397628.298432,49044003432.331505,4008904274.444328,7205538224.78094,14721347855.4291
2018-06-22,8771939058.373848,9830455832.565899,3174429016.483121,17616972717.16157,3447442276.7455,10811850495.2136,66034294193.959564,3922334443.2016506,20572442826.671738,19876653656.7,32951687431.0,5189242862.308596,4749431269.870891,35126064856.98525,114128144010.49883,86567072839.2853,6718048175.566729,18296608725.37969,7536049329.980639,8346354305.21048,8539560445.416841,8832111809.21584,4983398667.6552,25584512024.74392,22917402684.15282,6391834140.172061,5907526566.012501,67246304069.7016,4711851510.3,1696896444.5771399,4658367611.994076,16920925102.7481,14891779548.0448,6723548623.84995,2160940449.7425,75754115077.31392,47580267530.37434,5779073157.4359,5165578530.68274,5202810483.997499,143886079626.64255,25887854194.5892,6791243629.07925,8974846127.118969,11741202867.012823,9096994616.33088,6341114391.850768,4834216610.684856,6984273128.526,64587271.1415549,7012967620.960125,15737933324.436401,44632001996.44537,15249839280.0,7044688303.859182,4518686982.5411215,0.0,9599143910.103594,7298795865.582001,5860457198.15229,26859772369.382397,8085147643.257599,3047462965.45236,4826567937.792061,6686097906.169241,7682407670.797441,46781279183.9555,42729786144.39968,14789630292.0,6447490228.334275,47650735293.2448,5017848000.0,476904698.52854395,17381456447.849846,11791997320.0,216663104572.1533,224842987975.89313,6972142346.055096,6820056193.530239,6935235174.5997,5476408551.151999,7379449163.4276,6594911827.399897,4547560805.749499,12093517077.533804,5140334625.162954,6804533393.3376,7185632067.41016,13646575633.059948,23352815882.429493,11643108253.76532,5833361190.763701,58865126.45538303,24510526079.252243,7406337926.624001,47888536648.56565,5102899702.111476,49809983529.322365,4232487781.319953,7324638030.1492195,14867525906.1243
2018-06-25,8502872716.600476,9833923365.487438,3137073026.4878955,16819693103.326565,3335823581.737601,10624611521.2734,65680696902.42564,3915904386.7373853,20060929096.71564,19412335027.279488,32347069313.0,5144016418.264224,4672326075.12567,33789495110.296463,110248658019.16031,84176573256.9169,6622299379.579884,18137689609.59353,7470404300.973841,8207377082.737039,7588919940.4242,8812547004.575172,4914594346.8,25497758130.701942,22303918857.25764,6294867739.829689,5860266353.484401,65642870172.153206,4661797388.6,1634481862.7076359,4485353679.4626,16679197601.280272,14578113630.2976,6606862262.3349,2110279015.49875,73549111727.71553,45349654445.84304,5728820347.371241,5091092899.38234,5086932072.3168745,140173663090.29138,25745508955.249447,6736913680.046617,8781547841.14384,11275820755.025528,8924084475.78816,6355477051.854961,4823661552.582924,6823388788.167,64203204.11791829,6996769690.497014,15428430368.519838,43999739250.842155,15041312000.0,6677965354.330052,4494368160.873755,0.0,9196836391.563875,7150284386.4312,5815828465.981992,26756713290.74688,8020574084.70912,3030351999.8967605,4697224086.1446,6656759370.3223095,7524345711.7321205,44976047903.428,41113129679.54112,14504343486.0,6322208103.36805,46061238025.57199,4900320000.0,479233684.6596001,16934071587.141523,11593585128.0,210891511713.677,217908772095.56546,6843293719.536625,6725093385.772224,6834756176.7944765,5363653861.312,7133467524.64668,6573001821.3288,4545204556.62735,12015522341.813416,5072829623.609551,6576140490.089001,7063762247.61064,13555665802.7879,22751836370.900223,11358799899.715654,5682902403.179521,57938756.4366208,24454330757.710205,7083486590.908001,47662620000.53202,5105619073.122459,48985491063.81138,4186991137.4789824,7145988322.096799,14672621838.5307
2018-06-26,8538622789.982953,9830455832.565899,3166127685.3730707,16985793022.875523,3349901615.3422,10619810521.941599,65781724700.00676,3856196719.569211,20180815127.174103,19495021906.49136,32109298143.0,5144016418.264224,4679787868.16553,34636973088.48084,111515428955.10757,83136263253.4788,6634023721.945621,18066594215.689198,7522920324.179279,8303889042.788039,7826580066.672359,8846086669.67346,4965706128.00672,24922027742.9688,22715709371.200985,6298849077.6367235,5890341034.1841,65850949380.232,4688853670.6,1646834748.702642,4429416844.132875,16679197601.280272,14658980624.716803,6614909597.611799,2111200132.485,73745112025.45761,45134581558.904755,5846076904.188779,5094817180.94736,5142918271.218749,141311339125.62482,25679081176.8909,6684230093.105882,8686769884.8888,10878306867.703045,8917680396.508799,6315979736.843432,4767367909.372621,6865029440.965801,64011170.60609999,7003396116.59556,15475147795.828001,44129065721.53372,15359230640.0,6528216936.45363,4543021824.512618,0.0,9270376475.598019,7211862316.810801,5829921749.825244,26824345811.10144,8214294760.354559,3059440641.3412805,4633686755.51076,6635141501.803516,7575044830.677599,45337094159.53349,41809847737.61824,14291510472.0,6264106248.31125,46784772624.118385,4991952000.0,471530115.149184,17192889275.154602,11616131968.0,213756547017.52496,220441629393.17017,6869881531.357896,6709985666.356175,6684037680.08664,5393143549.424,7167631641.14403,6569018183.861328,4584082667.142825,12067518832.293674,5185999459.468084,6542669116.3370495,7091886052.179761,13621322902.428823,22689439591.01467,11294475134.61192,5692768553.18504,58296302.75965184,24089061167.686954,7053553354.484,47859572975.74083,5161366178.847632,48559946565.483116,4210389411.4543376,7025083974.2229395,14617805069.52
2018-06-27,8555557035.269388,9747235042.448938,3190201545.592215,17222485408.23279,3377052108.7225,10773442500.559198,66160578940.93597,3830476493.71215,20124868312.960155,19851211540.019424,31929271400.0,5126319114.0729475,4677300603.81891,35589858775.394615,115256361875.32684,83711753893.6786,6608620980.153193,18254787905.435963,7424452780.669081,8280726172.375799,8064240192.92052,8890806223.137846,4983398667.6552,25403117519.01978,23035057116.70806,6440978324.888301,5959083161.4977,66365027423.7208,4656386132.2,1669590065.0092318,4394293714.97235,16911803310.239883,14835417703.4496,6699406618.019249,2105673430.5675,74372312978.23225,45368089264.72346,5851660549.75152,5146957122.857639,5159844331.351875,141790360614.18625,25944792290.325096,6830756319.284802,8876342923.754145,10816902283.482498,9087388497.41184,6272891756.830855,4428433265.877248,6974809343.799,63904485.3217565,7027693012.290225,15504346187.895601,44430827486.48071,15243002320.0,6832898195.25742,4556719184.542656,0.0,9300657686.6709,7313284790.3772,5869852720.714458,26924184293.5296,8163174026.503679,3045751868.8968,4815221985.893161,6763304579.45064,7601885540.70756,45582089833.319374,42127767628.19712,14440946418.0,6329470835.25015,47702009398.653595,5025816000.000001,467230448.44569606,17769682979.86947,11489869664.0,219279006371.31882,226628444759.4505,6900559775.7670555,6802790228.483328,6906838936.089529,5431306675.216,7276956813.93555,6612838196.003519,4586438916.264975,12132514445.394001,5229679793.964628,6686399133.0366,7120009856.748879,13621322902.428823,22787960822.412914,11206487622.124258,5692768553.18504,58166285.91491328,24051597619.992264,7205357624.92,48259271660.72342,5127374041.210332,48868466326.7711,4309182123.79473,7266892669.970659,14721347855.4291
2018-06-28,8405030410.501068,9501040205.0196,3169448217.8170905,16983716773.881163,3288226420.5030003,10677422513.923199,65971151820.47137,3831395073.207045,20036951890.62395,20099272177.65504,32255357575.999996,5041765327.381296,4638748006.4463005,35585642467.04544,115295948467.07521,85814508155.9471,6546091154.2026005,18171146265.54851,7490097809.67588,8257563301.963559,7949011040.800199,8890806223.137846,4889038456.19664,25545078436.54302,22505612170.209484,6332056889.3129,5868859119.398602,66977025094.5408,4633388292.5,1648135052.4915895,4344861162.8205,16998460339.06797,14857472338.2912,6631004268.1656,2101988962.6225,73862712204.10284,44096086761.97421,5806991385.249599,5061298646.86218,5089536081.568125,141670605242.04587,26680242693.580475,6807707249.998231,8759247560.99057,10671470373.48647,9058570140.654718,6193897126.8078,4519910436.093991,6768498836.750401,63456407.12751379,7060825142.78295,15334995513.90352,44940948565.31967,15089170720.0,6579847363.070303,4508049500.599665,0.0,9006497350.53433,7335018177.57,5909783691.603672,27001478602.506237,8182007981.080319,3020085420.5634003,4683608943.86592,6767936979.847525,7497505001.70216,44640790665.61575,41850433255.564476,14567740554.0,6235055320.782849,47673523784.5376,5039760000.0,465618073.43188787,17740103815.525116,11480850928.0,219860317882.2445,226586922508.6701,6888288478.003392,6697036192.570992,6987658999.541555,5374061986.528,7235959874.138729,6614830014.737256,4660660763.6126995,12089184036.66045,5134381125.737191,6633238715.90115,7077824149.895199,13712232732.700876,22810949109.739174,11006790618.857916,5636038190.653299,57711226.95832832,24079695280.763287,7121972180.596,48253478926.15845,5192638945.473948,48820592570.70917,4193490658.027693,7209147309.7921,14562988300.5093
2018-06-29,8472767391.646812,9494105139.17652,3166957818.4840755,17594133978.223587,3318393635.37,10912671481.1814,66337377586.70292,3912230068.7578053,20140853117.021282,20569951336.245693,32099107950.0,5067328100.102028,4707147775.978351,35965110218.47128,114464630040.3598,84774198152.50899,6567585781.8731165,18217149167.48661,7532767078.5303,8338633348.406399,7826580066.672359,8812547004.575172,4975535316.70032,25529305001.26266,22480400506.090504,6378543131.664347,5924712097.8409,66634306398.8816,4638799548.9,1652686115.7529078,4352666302.63395,17098800056.658392,15070667141.76,6679288279.827,2106594547.55375,74960313871.4585,44489362898.08991,5868411486.43974,5102265744.0774,5133804238.839375,141850238300.25644,26779884361.1183,6873561733.67415,8772260236.341913,10729643137.484882,9151429290.205439,6247757101.823521,4567994589.66946,6849887385.4026,63371058.900039,7045363481.886345,15533544579.963202,45300188761.685135,15284024080.0,6835511830.018639,4488280445.30485,0.0,9201162278.86,7429196188.7388,5919179214.16584,27001478602.506237,8138958942.048,3064573931.0079603,4663186230.447901,6832790585.403901,7554168722.87652,44731052229.64213,42202174411.09856,14694534690.0,6369415860.601701,47867225960.5264,5033784000.0,475650629.0733601,18268831378.180405,11548491448.000002,218323994603.3695,225341254985.25793,6947599750.527768,6783366017.805552,7016055238.051727,5478143238.688,7242792697.438199,6666617301.814392,4664195137.295925,12115182281.90058,5174092460.616559,6686399133.0366,7185632067.41016,13686980002.069748,22745268288.80701,11023701042.833158,5660703565.6671,58150033.809320964,24042231733.068592,7109143650.7,48566286592.66655,5188559888.957473,48889743551.68751,4080399000.480138,7144183779.591221,14532534539.947798
