,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AVV,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EXPN,FERG,FLTR,FRES,GSK,GLEN,HLMA,HL.,HSBA,HSX,IMB,INF,IHG,IAG,ITRK,ITV,JD.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,OCDO,PSON,PSN,PHNX,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SPX,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WTB,WPP
2019-06-24,9991373460.14052,8330510341.744951,4169061563.5032,22105245096.1814,3075932039.8016996,10224433584.055079,84197703610.61713,5028653331.7840395,2449294691.6591997,16143656473.376316,15487832977.137695,25493539831.42609,5548713814.823202,4284823325.17525,41659810170.587395,111069077659.02603,61579377151.76,5054111456.1887045,16449578336.261728,7142182382.76478,7343099229.294856,5634164513.537159,5051797953.803403,5743563161.4514,29820863437.236,20367141043.34,6780441299.3575,6713819303.77536,81414041679.4281,4452744384.000001,2903917179.5441103,22234553456.84544,13224167457.45768,4232142420.5703998,1636751711.169,78581418623.92818,32101215570.9282,7720930638.857039,5028599142.6313505,130293249990.0387,4788280870.105041,17673242887.55395,10201960267.93163,8785021377.492361,7013775632.91136,8998764303.513601,3828023254.1722093,2388703467.9040003,6050242088.66,42410509.74767712,6034481880.3511915,15703761300.69644,40205642968.17993,19279997814.67452,7087059996.45616,3295065024.4580693,0.0,8238067637.807173,6338440220.24808,4736882869.7537,28773969121.908306,7132745163.11568,2058643118.0951998,4900738351.49025,6390923062.97984,5838029277.7125,4927673435.30616,43560198650.0766,43329255947.19148,37890087144.8967,7304450961.16584,51229327357.725006,4960880680.22946,16808709943.238249,9834683039.999998,209463100482.70407,210434899131.76358,5850841130.8608,8637346955.100006,4137292379.5070405,5252355825.0,7628562306.096601,7996570983.682512,4958687611.4896,15050521705.1025,4542484298.327249,6035745636.35532,5463744830.07594,6724637680.116201,11423165240.709427,22906771567.98235,7019138579.241779,5292724685.9508,50630445.49484376,21768915601.314873,3099533254.9488,55371454958.324295,5486389657.064169,33796120688.945362,7595304637.656399,11843765303.89157
2019-06-25,10325045856.97494,8320178993.6568,4174770000.1488,22150896130.1111,3138551685.35471,10252029896.02284,84250016567.19408,5048380573.813149,2488594968.8027997,16108519131.596296,15762123264.62407,25225656750.885708,5527046845.720236,4318382780.5892105,41967682831.293304,111210361239.54816,62221290141.47999,5088082332.294529,16594821019.723587,7142182382.76478,7314613945.501526,5585057908.24776,5008454462.666684,5770492124.7,29749767338.97504,20504429464.33,6767755721.6224985,6698663955.45984,81212374958.08899,4435181982.0,2903917179.5441103,21936648355.7184,13210261918.596,4180077399.5792003,1645226562.4425,79202966567.84625,32037763033.411533,7665008881.45344,5085757419.959701,130696759590.50336,4765853325.0460005,17791522362.83767,10229472296.111881,8761473550.70988,6819810598.81536,8973199632.1968,3788614498.1629505,2400039687.75168,6061621854.344,42536356.95761088,6149340247.034305,15633445951.588844,39994034320.97898,19266196814.091362,7160421474.512881,3319269713.668095,0.0,8219392505.729402,6405600096.579459,4673803776.262005,28542661650.541744,7101878613.54576,2012668457.8895998,4883729281.28985,6347426260.412161,5859121512.5223,4952814626.30262,43508464447.4043,42872009113.286644,37792808358.9021,7253498139.314161,51466550090.175,4901385109.461276,16566149078.217451,9875813219.999998,210232441079.87622,211082764897.80325,5918635287.2226,8613516802.97909,4135091692.0711317,5269503575.0,7492720990.430401,8035431209.845118,4961054526.81728,14902197723.0812,4679100367.449872,6087012995.566441,5637569902.056001,6786565546.076101,11551862460.636301,23164002806.43651,7060585385.7187195,5297596038.629999,50565576.25013545,21477157545.26612,3115729935.874,55198122119.416084,5486389657.064169,33260694188.803642,7612220683.62,11885339536.839361
2019-06-26,10400239636.543259,8358060603.31335,4170964375.7183995,22272632220.590298,3118595974.1345196,10275026822.66264,83242992153.0876,5075281358.398299,2494933723.1808,16170985516.982998,15688766559.831203,25637784567.10168,5493561529.833834,4269242149.44734,42311403678.51975,111916779142.1587,62177020280.12,5071096894.241616,16653931414.155737,7035681993.08702,7243400736.018201,5688181779.355499,4984501480.722708,5728175182.452201,29757666905.448475,20601338937.97,6704327832.9475,6689191862.76264,80393845324.4185,4464902970.0,3019346751.313156,21620688399.977604,13066571350.358643,4236605136.6553607,1611695629.143,78295309252.91827,32003152558.402447,7653824529.97272,5000684635.098901,131080093710.94481,4754639552.51648,17959402908.40165,10209463548.344425,8768201501.21916,6973430905.819392,8931657041.307001,3750997049.24502,2378986708.03456,6152659979.816,43165593.007279694,6069822916.253688,15727199750.398972,40142160374.019646,19010878303.302902,7013698518.399441,3325724297.4574347,0.0,8252073986.865503,6440087600.64152,4696417036.19299,28239920989.48845,7055578789.19088,2014371223.0823998,4830575936.913601,6327231316.362881,5815430454.702,5028238199.292,43430863143.39585,42319218164.83452,37578795029.71398,7229841472.025882,52059606921.3,4847139147.87852,16111347456.303452,9967213619.999998,211528172611.95554,212338004819.50513,5881656656.479801,8661177107.220924,4168102003.609752,5171761400.0,7464122818.711201,7912373826.996871,4882946321.00384,14692799160.2276,4705372688.434992,6096872103.107039,5682200663.78061,6750137389.629101,11490087795.071402,23328894625.958412,7077651717.79746,5258625217.1964,50192578.0930626,21100695537.46128,3146418383.9428005,54700489130.2925,5408809847.971472,33667618328.911358,7662968821.510799,11948923657.818336
2019-06-27,10414338470.212318,8509587041.939549,4148130629.136,22419729996.585995,3137175429.408489,10408408997.173481,83818434675.43416,4913876650.8874,2534234000.3244,16128039877.029638,15691955981.778719,25757988513.498,5556592712.678825,4292014637.04967,42385208768.41501,111149811133.61012,60871059370.0,4963522453.2398405,16782285413.49413,7039010130.264451,7280024672.323911,5624343192.4792795,4922908098.581054,5668546763.8303,29797164737.815678,20690172622.14,6533072533.525,6609626284.106161,79931198140.16997,4440585798.0,2979355403.6136436,21214454171.168,12950691859.84464,4239580280.712,1596956757.363,78038797403.04733,30445681182.99353,7560621600.96672,5092403731.276951,132109043192.12968,4698570689.86888,18026173579.93278,10352025876.18755,8795113303.25628,7049465199.185024,8918874705.648602,3836979789.62886,2392752117.8496003,6230421711.99,44948428.481341295,6022701535.05036,15756497812.527136,40106892266.152824,18803863294.555496,6994931628.664001,3388656489.4034996,0.0,8368793562.351577,6440087600.64152,4765446987.56126,28338566822.865368,7179044987.47056,2044169613.9564,4956017829.64155,6305482915.079041,5838029277.7125,5022491641.349953,43857670315.44232,42414762279.381805,37277230793.13072,7173429419.261521,52064998347.0375,4682651393.401776,15997647050.824951,9976353660.0,209139167599.68427,210110966248.74374,5863167341.108399,8630847822.703392,4212115752.327913,5231778524.999999,7557066876.798601,7756932922.346455,4847442591.08864,14771323621.2977,4705372688.434992,6114618496.6801195,5639918889.51519,6684566708.024501,11474644128.680176,23441021063.2333,7033766863.880701,5282981980.5924,50419620.44954172,21383042043.31491,3220582133.4424,54376188980.07714,5373422566.630944,34443986754.11685,7752623865.11788,11970933545.849522
2019-06-28,10466034193.66554,8482036780.37115,4201409371.1616,22769721256.7137,3198418819.01528,10367014529.22184,84197703610.61713,4912083265.248389,2562124519.5875998,16260780945.976385,15800396327.994263,25723644528.81334,5639321140.162878,4471797433.910171,42490644611.122505,110725960392.04376,60848924439.32,5080533248.715457,16589754414.486547,6912540917.522111,7577085489.025782,5694729326.72742,5006173226.291067,5716634198.202801,29812963870.762558,20690172622.14,6495015800.32,6649409073.434401,80287080589.59192,4482465372.000001,3022982328.376748,21521386699.601917,12978502937.568,4409163491.94048,1603220777.8695002,77772419712.79672,31535911145.77978,7530796663.6848,5101708567.121101,132532728272.61758,4743425779.986959,17616010883.38441,10442065241.141102,8699240008.499039,7400153980.830592,8791051349.0646,3869223317.2728004,2374128328.09984,6313873327.006,45074275.691275045,6134614815.408264,15791655487.080935,39916444483.671974,18928072299.80394,7042701893.445122,3399952011.034845,0.0,8443494090.662664,6498171818.009199,4794011105.36882,28430409495.319733,7107023038.474081,2045872379.1491997,4962396230.9667,6364514289.992321,6017313273.595799,5092886976.140039,44387945892.8334,42407937699.771286,37150768371.33774,7233480959.301001,52625706623.7375,4678276719.0805855,15925636794.0219,10044903959.999998,208329335392.1346,209017692768.5518,5924798392.3464,8691506391.738457,4312247030.661725,5230063750.0,7585665048.5178,7882149206.64818,4847442591.08864,14876022902.724499,4761858178.5529995,6171801320.415601,5595288127.790581,6691852339.3139,11551862460.636301,23553147500.508198,7182487757.709721,5348745241.7616,51165616.7636874,21335984292.339306,3292188512.2696004,54734037421.69409,5327146891.031792,34620677499.163605,7830437676.55044,12107883960.26578
2019-07-01,10597623307.9101,8351173037.92125,4241368427.6808,22987831752.1556,3265855360.3800597,10449803465.12512,84603129024.08856,4955124520.58463,2611566803.7359996,16479413294.82985,15768502108.519104,26190722720.524765,5684624802.832717,4487378609.638081,42859670060.598755,112603013676.12326,63339104140.82,5156024084.506177,16500244388.632147,7045666404.61931,7670679992.918151,5756931026.76066,5051797953.803403,5732022177.202001,30010453032.59856,21118189464.05,6456959067.115,6677825351.526001,80002374630.05435,4513537314.0,3024800116.9085445,21710962673.0464,13122193505.80536,4590647279.39552,1571163731.748,78453162698.99272,32037763033.411533,7512156077.8836,5192098401.0357,133521326793.75598,4816315301.428841,18012819445.626556,10339520408.832888,8958266103.106321,7328774848.283265,8979590800.026,3976701742.7526,2422712127.44704,6359392389.742,45242071.97118673,6214132146.188879,15955724634.99866,40367876264.367325,19273097314.38294,7252549842.305041,3398338365.0875096,0.0,8655923718.047321,6621600779.915519,4841617968.38142,28542661650.541744,7035001089.477601,2143781377.7351997,5147369869.3960495,6420438750.4364805,6002247391.5888,5151070875.303276,44879420818.22025,42053059560.02425,37588522908.31344,7206184804.737601,53003106425.3625,4747396573.355389,16247787942.87765,10145444399.999998,210272932690.25366,210799323625.1609,6023408074.3272,8799825265.015356,4344156998.482392,5326091149.999999,7800151336.4118,7974981969.147733,4856910252.399361,14993809594.329649,4794698579.784399,6268420574.31348,5787905099.44416,6790208361.7208,11696003346.9544,23526764809.384693,7248315038.58486,5358487947.12,51700788.032531045,21778327151.509995,3287073770.9248,54890596114.90151,5310814299.643856,34251233214.065826,7906559883.38664,12374448159.75456
2019-07-02,10733912033.37768,8389054647.577801,4281327484.2,22977687077.948997,3175022467.9295397,10615381336.93168,85427058090.17567,4833174297.13195,2640725073.8747997,16819074265.370054,15825911703.574392,26407089824.03815,5706291771.935682,4526930824.947391,43207608341.53351,112199346303.20294,64202366437.34,5165460438.980017,16635353861.619919,7022369444.377301,7693061287.327196,5750383479.388739,5129359990.574375,5847432019.696,30350134390.95648,21287781042.92,6200710396.868,6772546278.498,81402178931.11403,4574330244.0,3045704685.024198,22026922628.7872,13567170749.379122,4562383410.85744,1591798152.24,79923172915.56085,32245425883.46606,7568077835.2872,5261220038.7351,134953785875.40553,4922846140.45928,18476398679.39983,10254483230.821201,8805205229.0202,7381533337.557377,9126587660.0976,3912214687.46472,2438906727.22944,6376462038.268,45808384.41588865,6255363354.741792,16072916883.51132,40657074748.87528,19583619827.50404,7327617401.2468,3388656489.4034996,0.0,8627911019.930664,6532659322.0712595,4891605174.54465,29345434639.402172,6983556840.194401,2111428839.0719998,5066576785.94415,6446847523.424,5925411393.3531,5165437270.158396,45357962192.939026,43438449220.95981,38162467745.68158,7382699937.58092,53660860365.3375,4753521117.405054,16255367969.909548,10168294499.999998,209989491417.6113,210151457859.12122,6060386705.07,8810657152.343046,4390371434.63646,5286651324.999999,7814450422.2714,8026795604.031205,4987090595.421761,15094146405.696999,4831479829.1635685,6309828825.984,5790254086.903351,6782922730.4314,11912214676.431551,23810378738.962364,7280009655.302521,5438865266.326799,51927830.38901016,21806561802.095352,3294745882.9419994,56092743223.45849,5397921453.712848,34470758079.12393,7931933952.33204,12105438417.151201
2019-07-03,10888999203.737339,8416604909.146201,4376468094.96,22521176738.651997,3148185476.9782495,10753362896.770481,86342534830.27249,4967678220.0577,2643260575.626,16912773843.450108,15845048235.259487,26613153732.146133,5763413781.388956,4594049735.7753105,43112716083.096756,110261742913.1854,65807148911.63999,5218304024.03352,16888684123.472,7155494931.474501,7782586464.963375,5768389234.66152,5082594644.87423,5912830930.4426,30863606211.73008,21481599990.2,6264138285.543,6778229534.116321,82624042007.46272,4616209817.999999,3055702521.9490757,21999840346.866558,13543994851.276321,5086008764.82608,1612801044.5265,80959086155.42433,31939700020.88579,7806677333.54256,5364902495.284201,135478348356.00958,4981718446.239261,18924716045.39456,10399546652.135258,9007043744.298601,7555326008.107392,9180912586.6458,3942666908.01733,2510162966.2720003,6435257494.301999,46311773.25562368,6259780984.229605,16190109132.023981,41094399286.423904,19880341340.04198,7356620776.29248,3441906805.6655555,0.0,8800655991.650053,6612525120.95182,4927310321.8041,29491702599.236908,7037573301.941761,2089292891.5656,5187766411.122,6560249901.546881,5988688097.7825,5158254072.730836,45733035162.3132,43711432405.3806,38395936832.06862,7488245068.559401,53553031850.58751,4778894228.467957,16554779037.6696,10218564719.999998,208855726327.04187,208977201158.1743,6099419704.1874,8886480363.636877,4367264216.559425,5362101425.0,7885945851.569401,8113151662.170324,5095968700.49504,15364619549.3829,4840675141.508359,6390673507.81692,5959381183.965031,6848493412.035999,11912214676.431551,24206119105.814922,7399473979.8537,5533856643.5712,52608957.45844752,22004204356.1929,3347598210.1716,56841988398.093994,5534026381.945648,35182875324.312416,8087561575.19716,12159240365.671873
2019-07-04,10945394538.41358,8478592997.6751,4355537160.5928,22232053523.763897,3128917893.731169,10670573960.867199,86028657090.81071,4951537749.306611,2574802028.3435993,16979144377.92348,15883321298.62968,26781439257.100986,5751595434.60552,4546107656.612511,42406295936.956505,110181009438.60133,65674339327.55999,5269260338.192257,16905572807.59547,7092260325.10333,7933151536.442406,5856781124.18244,4993626426.225175,5514666973.8383,30634518784.000317,21869237884.76,6304732134.295,6772546278.498,82244434061.41264,4651334622.000001,2967539778.15697,21990812919.55968,13632063264.066961,5124685637.562401,1603957721.4585001,80850561911.24815,31460921783.260086,7661280764.2932,5407438887.714601,135498523836.03284,4981718446.239261,18667172026.63163,10442065241.141102,9017135670.062521,7102223688.459136,9145761163.5852,3965953900.2046204,2523118646.0979204,6456120398.056,46143976.975712,6318682710.733765,16289722543.25974,41094399286.423904,19956246843.24936,7370269423.372802,3427383992.13954,0.0,8852012604.863928,6612525120.95182,4965395812.21418,29423670990.01145,6937257015.83952,2094401187.144,5230289086.623,6583551760.065281,5917878452.3496,5184831903.212808,46302111391.708496,43677309507.328,38172195624.28104,7460948913.996001,52959975019.4625,4761395531.183196,16535828970.08985,10259694899.999998,209503592093.08157,210029983027.9888,6115854651.184199,8806324397.41197,4412378308.995541,5382678725.0,7943142195.0078,8188713213.042056,5017860494.6816,15294820028.4317,4826225364.966543,6390673507.81692,5928844346.995561,6735566127.050301,11973989341.99645,24252288815.28105,7431168596.57136,5553342054.288,52268393.923728846,22107731408.33923,3372319460.0048,56607150358.28286,5459168671.417608,35584445199.41871,8065570715.44448,12129893848.29696
2019-07-05,10790307368.05392,8392498430.27385,4330800601.7952,21684241116.6075,3037396873.3075395,10532592401.028399,85361666894.45448,4956917906.223639,2491130470.5539994,16854211607.150074,15774880952.414135,26997806360.61437,5657048660.338032,4462209018.07761,41238066799.7574,109494774904.6368,66050633149.12,5259823983.718416,16750196913.659529,7058978953.329031,7986052777.772876,5871513105.769259,5023282499.108194,5468503036.8407,30373833090.376797,21675418937.48,6190561934.68,6619098376.803361,81295414196.28745,4617560772.0,2858472466.2492104,21349865580.7712,13442020899.624,5029481027.749921,1622012839.389,80732171826.69232,31097511795.664673,7500971726.40288,5378195117.9187,135680103156.24191,4956487458.04784,18703418962.60567,10442065241.141102,8949856164.96972,7083603045.185921,9021133390.9158,3978493049.8439302,2516640806.184961,6363185644.97,46500544.07052432,6289231847.481684,16160811069.895813,40791093558.76921,19514614824.58824,7163833636.282962,3438679513.770885,0.0,8854346996.37365,6507247476.9729,4979677871.11796,29052898719.73269,6944973653.232,2106320543.4936,5209027748.8725,6561803358.781441,5792831631.691501,5138141119.933667,45771835814.31742,43602239131.61228,37841447751.8994,7424554041.244801,50932798942.1625,4761395531.183196,16369068375.38805,10332815219.999998,209422608872.32657,209463100482.70407,6068604178.568399,8775995112.894438,4518011305.919125,5319232050.0,7850198136.920401,8095880450.542501,4977622934.111039,14993809594.329649,4786816883.488864,6315744290.508361,5825488898.791202,6586210685.617601,11845292122.069574,24232501796.938423,7467739308.168659,5533856643.5712,51457528.36487485,22333608613.022133,3418352132.108,56417043373.67386,5429225587.206391,36044911989.54059,8070645529.23356,12137230477.640688
