,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AVV,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EXPN,FERG,FLTR,FRES,GSK,GLEN,HLMA,HL.,HSBA,HSX,IMB,INF,IHG,IAG,ITRK,ITV,JD.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,OCDO,PSON,PSN,PHNX,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SPX,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WTB,WPP
2019-06-24,9972575015.24844,8347729255.225201,4131005319.1992006,21856700578.1197,3079372679.6672497,10012861858.96892,83635339327.4148,5039413645.6181,2416333168.8936,16190506262.416344,15513348352.717823,25586268590.074677,5544774365.89539,4276433461.32176,41242284233.465706,112259896409.14102,61535107290.4,5099405957.663136,16880239781.410263,7015713170.02244,7233227420.377726,5630890739.8512,5049516717.427787,5683934742.829501,29307391616.4624,20528656832.74,6818498032.5625,6685403025.683761,80215904099.70753,4371687144.000001,2880285928.6307616,21747072382.273922,13117558326.184803,4313958882.128,1634172408.6075,77821748914.69498,32193510170.952427,7493515492.0824,5028599142.6313505,130616057670.41043,4749032666.25172,17801061030.19926,10109419809.507145,8638688453.91552,7175154541.279232,8899701202.161,3853101553.45083,2344978048.49152,6031275812.52,43689956.38200369,6133142272.245661,15557270990.055614,40981541341.25008,18934972800.09552,6809310028.371648,3383815551.561495,0.0,8352452821.783527,6392894174.030279,4755925614.95874,28872614955.28522,7235633661.68208,2065454178.8663998,4832702070.68865,6338105517.004801,5875693982.73,4912588720.708283,43767135460.7658,42476183495.87649,37452332607.921,7182528137.449322,50560790566.275,4946881722.401651,16721539632.371399,9848393099.999998,209220150820.43918,210515882352.51855,5850841130.8608,8511697062.098802,4304544624.636047,5247211500.0,7592814591.4476,8018159998.217293,4923183881.5744,14967634773.97295,4664650590.908056,5954900954.5224,5522469516.555691,6637210104.643401,11459200462.28895,22966132623.01023,7060585385.7187195,5331695507.384399,50727749.36190625,22211258460.48556,3105500453.1844,54789951240.69674,5434669784.335704,34138793649.036068,7630828334.179959,11855993019.464449
2019-06-25,9996073071.36354,8275409818.60815,4150033441.3512,21998726017.0121,3071115143.9899297,10127846492.16792,83923060588.58807,5012512861.032949,2421404172.396,16069477640.729607,15506969508.82279,25325254306.47123,5538865192.503672,4286021877.1543202,41529069725.630104,111109444396.31808,60871059370.0,5040900559.925329,16425934178.488869,7108901010.990481,7336995239.910571,5591605455.61968,5019860644.544768,5710863706.0781,29686570807.18752,20237928411.82,6774098510.49,6636148143.65832,80986982740.12177,4423023395.999999,2921186170.596172,22035950056.09408,13163910122.3904,4189002831.7491207,1655175300.894,78305175093.29794,31783952883.3449,7679921350.094399,4991379799.25475,129486230789.10939,4749032666.25172,17518716476.296192,10231973389.582813,8697558020.87172,6982741227.455999,8934852625.2216,3890719002.3687596,2365221298.21952,6031275812.52,42116866.257831685,6033009337.188587,15592428664.609413,39775372052.204666,19273097314.38294,7035877569.904961,3278928564.9847198,0.0,8165701501.005807,6285801398.258619,4708318751.94614,28682126449.45394,7107023038.474081,2044169613.9564,4900738351.49025,6373835033.39968,5827483160.3076,4885292570.483557,43249793434.0428,43329255947.19148,37598250786.9129,7340845833.917041,50948973219.375,4938132373.759272,16713959605.3395,9816402959.999998,208572285054.3995,209746541755.3464,5824134341.991,8639513332.565544,4115285505.14796,5197483025.0,7571365962.6582,7946916250.25252,4935018458.2128,14967634773.97295,4551679610.67204,6006168313.7335205,5379181281.545101,6688209523.669201,11402573685.521126,22702305711.775192,6999634199.72322,5346309565.422,50403403.13836465,21750092500.924633,3073959548.2248006,55097477245.21132,5463251819.264591,33731869508.92836,7573313777.90372,11811973243.40208
2019-06-26,10329745468.19796,8309847645.56865,4174770000.1488,22145823793.007797,3130982277.6505,10247430510.69488,84119234175.75168,5019686403.58899,2470846456.5443997,16085094237.076279,15720660779.306362,25184443969.264107,5491591805.369928,4296808844.96595,41887551590.8356,111674578718.40651,62088480557.4,5095631415.8736,16566110256.713684,7122213559.7002,7302405966.732955,5568689039.81796,4994767044.412983,5745486658.8263,29639173408.346878,20350989464.4,6755070143.8875,6672142095.9076805,80714139528.89825,4424374350.0,2903008285.2782116,21837346655.34272,13029489913.394163,4156276247.1260805,1630487690.6625,78995783919.87358,32014689383.40548,7631455827.011279,5118988976.54595,130454653830.2246,4763049881.913621,17732382625.195812,10199459174.460697,8774929451.72844,6812051997.45152,8922070289.5632,3776075348.52364,2377367248.05632,6046448833.431999,42284662.53774337,6143450074.383888,15645165176.44011,39852961889.51169,19148888309.1345,7097296481.7664,3304746900.1420803,0.0,8154029543.4572,6400154701.201239,4640478972.153185,28437212656.24228,7068439851.511681,2004154631.9256,4856089542.2142,6310143286.782721,5847068806.916699,4921926877.364112,43340328288.71933,42885658272.50768,37676073815.70858,7258957370.226841,51768469931.475,4875137063.534136,16505508861.962252,9834683039.999998,211082764897.80328,212176038377.99524,5885765393.229,8568022876.20279,4127389286.045454,5230063750.0,7442674189.921801,8005206589.496425,5008392833.37088,14919647603.318998,4676473135.35136,6061379315.96088,5616429014.923291,6728280495.7609005,11572454015.8246,23137620115.313007,7038642958.760341,5278110627.913199,50354751.20483341,21411276693.900272,3110615194.5291996,55047154808.10893,5464612868.54692,33207151538.78948,7581771800.88552,11873111821.266481
2019-06-27,10386140802.874199,8368391951.401501,4169061563.5032,22384223636.8629,3131670405.6236095,10229032969.38304,83713808762.28024,5057347502.0082,2507611231.9367995,16170985516.982998,15739797310.99146,25833545279.804264,5519167947.864612,4292014637.04967,42617167622.371506,111553478506.53046,61590444617.1,4997493329.345665,16653931414.155737,7012385032.845011,7184395505.303446,5671812910.925699,4981079626.159284,5720481192.9526005,29797164737.815678,20657869464.26,6647242733.14,6683508607.1443205,80322668834.53412,4458148200.0,3038433530.897014,21602633545.363842,13094382428.082003,4233629992.59872,1621275895.8,78324906774.05724,32083910333.423653,7627727709.85104,5017965044.52375,132230096072.26909,4740622336.854581,17988018910.48642,10199459174.460697,8779975414.610401,6988948108.547071,8944439376.9654,3763536198.8843303,2365221298.21952,6179212766.412,43606058.24204785,6075713088.904104,15697901688.270805,40424305236.95425,18969475301.55342,6945455282.997841,3337019819.08878,0.0,8270749118.943275,6432827073.470559,4701177722.49425,28358976305.633003,7073584276.44,2009262927.504,4815693000.48825,6324124401.893761,5821456807.5048,5015308443.922392,43560198650.0766,42278270687.1714,37724713208.70588,7280794293.877561,52782057970.125,4792018251.431526,16137877550.9151,10012913819.999998,211528172611.95554,212378496429.88263,5900145971.8512,8661177107.220924,4161499941.3020277,5151184100.0,7507020076.290001,7884308108.101657,4873478659.69312,14688436690.16815,4719822464.976809,6106731210.64764,5632871927.137621,6731923311.405601,11495235683.868475,23157407133.65564,7087403907.55674,5263496569.875599,50289881.96012508,21110107087.656403,3149828211.5059996,54655758075.09038,5433308735.053376,33940685843.983627,7678193262.878039,11985606804.536978
2019-06-28,10414338470.212318,8523362172.72375,4134810943.6296,22450164019.2058,3139927941.3009295,10440604694.4692,83413009261.96272,4922843579.08245,2548179259.956,16116327429.769634,15691955981.77872,25757988513.497997,5582199130.709603,4314787124.652,42385208768.41501,110766327129.3358,61158813468.84,4971071536.818912,16400601152.303658,7032353855.909591,7414312438.778181,5679997345.140599,4916064389.454205,5658929276.955801,29741867772.501602,20649793674.79,6558443688.995,6607731865.56672,79978649133.42622,4436532935.999999,2976628720.81595,21169317034.6336,12978502937.568,4260406289.1084805,1613169516.321,78028931562.66768,30359154995.470814,7575534069.607679,5132281599.18045,131624831671.57208,4681750031.0746,18071959183.268414,10332017128.420094,8833799018.684639,7077396164.094849,8906092369.9902,3847727632.1768403,2397610497.78432,6247491360.516,45116224.761252955,6040372053.001608,15762357424.952768,40332608156.500496,18865967797.179718,7023935003.709681,3390270135.350835,0.0,8350118430.273805,6436457337.05604,4794011105.36882,28273936794.101177,7209911537.040481,2049277909.5347998,5032558645.543349,6288394885.49888,5869667629.927199,5008125246.494832,43676600606.08927,42503481814.318565,37335598064.72748,7153412239.248361,52048824069.825,4681776458.537539,15993857037.308998,10012913819.999998,208329335392.1346,209301134041.19415,5852895499.2354,8652511597.358772,4231921939.251084,5243781950.0,7557066876.798601,7782839739.788191,4847442591.08864,14832398202.13,4718508848.927551,6110674853.663879,5637569902.056001,6615353210.7752,11433461018.303574,23295916262.05403,7077651717.79746,5282981980.5924,50808835.91779164,21448922894.680756,3244450926.3848004,54622209783.68879,5355728925.96068,34502883669.13243,7761081888.09968,11946478114.703762
2019-07-01,10555326806.90292,8495811911.155351,4224243117.7440004,23013193437.6721,3238330241.45566,10532592401.0284,84550816067.5116,4973058376.9747305,2572266526.5923996,16432563505.78982,15912026096.157322,26063649977.191513,5700382598.5439625,4482584401.7218,42912387981.95251,112562646938.83125,61114543607.48,5110729583.031745,16790729755.555862,6949150426.473841,7670679992.918151,5729103950.43,5030126208.235044,5741639664.0765,30018352599.072002,20883991569.42,6552100900.1275,6696769536.920401,80595512045.75761,4510835405.999999,3044795790.7583003,21719990100.35328,13052665811.49696,4416601352.08208,1580375526.6104999,78670211187.34506,32239657470.964542,7568077835.2872,5152220533.1322,133158168153.3378,4760246438.78124,17814415164.50548,10584627568.984224,8801841253.76556,7446705589.013632,8832593939.9544,3933710372.56068,2391132657.8713603,6382151921.11,45284021.041164644,6159648049.172532,15920566960.44486,40748771829.329025,19135087308.551342,7209897820.179041,3420929408.3502,0.0,8588226364.265398,6545365244.62044,4836857282.08016,28719543834.527935,7125028525.723201,2062048648.4808,5038937046.8685,6428206036.609281,6065524096.0182,5120901446.107524,44879420818.22025,42544429291.98168,37325870186.12802,7320828653.903881,53213372029.125,4723773332.020962,16096187402.23965,10118024279.999998,210434899131.76358,210677848794.02847,5957668286.34,8793326132.618742,4314447718.097634,5302084300.0,7714356821.2542,7944757348.799041,4873478659.69312,14963272303.913502,4836734293.360592,6217153215.10236,5628173952.219241,6750137389.629101,11670263902.969027,23751017683.93448,7228810659.0663,5385280386.855599,51327789.8754582,21543038396.63197,3348450667.0624,55309949757.42139,5347562630.266711,34749179859.197624,7869344582.26672,12213042314.192543
2019-07-02,10668117476.2554,8413161126.4501505,4279424671.9848003,23200869910.494198,3270672256.1918297,10532592401.0284,84917006763.55032,4912083265.24839,2657205835.2576,16643387556.469948,15870563610.839617,26458605801.06515,5722049567.64693,4514945305.15669,43017823824.66,113390165053.31787,62420504517.6,5154136813.611409,16549221572.59021,7055650816.1516,7731719886.761001,5794579424.1491995,5088297735.813272,5764721632.5753,30105247830.27984,21247402095.57,6342788867.5,6719502559.393681,79800707908.71526,4552714980.0,3044795790.7583003,21837346655.34272,13210261918.596,4537094686.376,1583323300.9665,78926723037.216,32297341595.979687,7579262186.76792,5222671433.095051,134348521474.70854,4911632367.929761,18022358112.988148,10427058680.31551,8746335662.064001,7423429784.9221115,9040306894.4034,4014319191.6705303,2445384567.1424003,6437154121.915999,45703511.74094385,6230330120.977525,15985022697.126823,40544216803.70144,19307599815.84084,7334441724.786961,3412861178.613525,0.0,8749299378.436182,6665163942.941279,4886844488.24339,28709339093.14412,7073584276.44,2149741055.91,5198397079.99725,6468595924.707841,6023339626.3986,5186268542.698319,45396762844.94325,41902918808.592804,37734441087.30534,7242579677.488801,53407463355.675,4818266297.358665,16304638145.6169,10172864519.999998,210394407521.3861,210920798456.29337,6101474072.561999,8916809648.154408,4363963185.405564,5295225200.0,7864497222.780002,8026795604.031205,4887680151.6592,15050521705.1025,4860379382.2472,6303913361.45964,5846629785.923911,6848493412.036001,11752630123.722223,23506977791.04206,7328770604.09892,5419379855.61,51911613.077833086,21806561802.095352,3315204848.3211994,54879413351.100975,5325785841.749464,34427923959.112595,7958999625.8738,12386675875.327442
2019-07-03,10827904257.83808,8426936257.234349,4300355606.352,22896529684.2962,3177086851.84887,10670573960.867199,85780170547.07016,4865455238.6341305,2662276838.7599998,16983048527.010149,15883321298.62968,26362442643.94809,5712200945.3274,4541313448.696231,43439567195.490005,111836045667.57466,64633997585.6,5163573168.085249,16804240702.85464,7088932187.9259,7701199939.839575,5817495839.950919,5154453590.706159,5876284480.319501,30555523119.26592,21328159990.27,6241304245.62,6787701626.81352,81852963367.0485,4602700278.0,3068427041.6716485,21918593501.104637,13516183773.552961,4580234275.19728,1615380347.0879998,80159953084.67252,32060836683.41759,7582990303.928161,5283817497.213751,134933610395.38231,4928453026.724041,18646186958.43613,10284496352.472385,8894350573.26816,7423429784.9221115,9155347915.329,3931919065.46935,2469676466.8160005,6399221569.636,46143976.975712,6264198613.717416,16149091845.044548,40833415288.209404,19631923329.5451,7138242423.00736,3403179302.929515,0.0,8651254935.027878,6563516562.547839,4879703458.7915,29484899438.31436,7011851177.300159,2109726073.8791997,5113351728.99525,6488790868.75712,5978141980.3776,5200634937.55344,45655433858.30475,42694570043.413124,38143011988.48266,7386339424.856041,53914257375.0,4792893186.295764,16270528023.97335,10195714619.999998,209139167599.6842,209665558534.59143,6089147862.3144,8888646741.102415,4334253905.020805,5298654750.0,7864497222.780002,8076450337.4612,5015493579.35392,15155220986.529299,4847243221.75464,6325603398.04896,5846629785.923911,6822993702.523101,12004876674.778898,23810378738.962357,7309266224.58036,5463222029.722799,52073786.18960388,21881854203.656322,3289631141.5972,56349946790.870674,5449641326.441312,34556426319.146614,7974224067.24104,12127448305.182383
2019-07-04,10888999203.73734,8416604909.1462,4363148409.453601,22495815053.135498,3153002372.7900195,10721167199.47476,86394847786.84944,4967678220.057699,2624244312.4919996,16940102887.05679,15876942454.734648,26609719333.67767,5777201852.636299,4534122136.821811,43007280240.38925,110584676811.52167,66039565683.78,5229627649.402129,16968905373.05849,7135526108.409921,7918908894.545741,5791305650.46324,5111110099.569441,5674317255.955,30942601876.464478,21610812621.72,6264138285.543,6821801160.523441,82635904755.7768,4605402185.999999,3041160213.6947083,21972758064.94592,13516183773.552961,5065182756.4296,1603220777.8695002,80791366868.97023,31807026533.350956,7780580513.42088,5378195117.9187,134973961355.42877,4956487458.04784,19031549119.84437,10422056493.373646,9033955546.33572,7012223912.638593,9212868425.7918,3951623443.47398,2510162966.2720003,6421981101.004001,46332747.79061265,6284814217.993872,16260424481.131575,41052077556.98372,19887241840.33356,7361739018.947601,3445134097.560225,0.0,8800655991.650055,6581667880.475239,4917788949.20158,29525718403.84964,6906390466.269601,2085887361.18,5187766411.122,6533841128.5593605,6014300097.1944,5152507514.788788,45862370668.99394,43793327360.70685,38434848346.46646,7495524043.109641,53251112009.2875,4799017730.345429,16535828970.089851,10227704759.999998,208734251495.90942,209058184378.92926,6078876020.441401,8879981231.240261,4380468341.174874,5377534400.0,7928843109.148201,8152011888.33293,5065198801.2352,15316632378.72895,4852497685.951664,6386729864.80068,5907703459.86285,6713709233.182101,11968841453.199375,24087396995.75915,7423854454.2519,5567956112.3256,52884651.74845788,22023027456.58314,3339926098.1544,56797257342.89188,5539470579.07496,35461297104.386116,8052037878.6736,12117666132.724083
2019-07-05,10959493372.08264,8451042736.106701,4370759658.3144,21988581342.805496,3096575878.995,10665974575.53924,86015578851.66649,4956917906.2236395,2548179259.956,17029898316.050177,15860995344.997068,26716185686.200127,5775232128.172391,4554497520.466001,41921291060.502,110039725858.07924,66105970475.82,5286245776.245169,16939350175.842415,7105572873.81305,7953498167.723355,5863328671.554359,4983360862.5349,5528131455.4626,30737213148.15504,21828858937.41,6243841361.167,6776335115.576881,82339336047.92517,4663493208.0,2945726315.7754183,21927620928.411522,13655239162.169762,5132123497.704,1606168552.2254999,80742037667.07198,31282100995.713135,7631455827.011279,5431365608.4567,135296769035.8005,5032180422.6221,18688157094.82713,10407049932.548054,9015453682.4352,7102223688.459136,9136174411.8414,3971327821.4786096,2557937035.63008,6448533887.6,46123002.44072304,6336353228.685012,16319020605.387905,41256632582.6113,20025251846.165157,7334441724.786961,3401565656.98218,0.0,8814662340.708384,6616155384.5373,4963015469.06355,29467891536.008,6947545865.696161,2094401187.144,5232415220.39805,6605300161.349121,5892266452.9377,5193451740.12588,46431446898.38925,43165466036.539,38250018653.07672,7466408144.90868,51768469931.475,4778894228.467956,16471398740.318699,10282544999.999998,209179659210.0617,209787033365.7239,6128180861.431801,8812823529.808586,4410177621.559632,5401541250.0,7957441280.867401,8212461129.030313,5032061986.64768,15225020507.480501,4834107061.26208,6382786221.78444,5933542321.91394,6735566127.050301,11989433008.387676,24199523433.034042,7460425165.8492,5572827465.0048,51895395.76665601,22117142958.53435,3376581744.4588,56517688247.878624,5489111755.628824,35825387124.48248,8053729483.269959,12147012650.098993
