,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BAB,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,CTEC,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GFS,GSK,GLEN,HMSO,HL.,HSBA,IMB,INF,IHG,IAG,ITRK,ITV,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MDC,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,PSON,PSN,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2017-09-18,8628460509.84736,11061430019.712597,3381575123.4652796,14871316323.015562,3205478226.0223255,8535861068.9184,59373227447.423996,3325202237.090844,20401228828.45584,19629849090.6505,4023709621.7689795,31795401779.4502,5663310083.90224,4321565831.4961,28003501342.391403,87989754609.77588,102815925090.19775,6090361690.725901,23972862115.673462,7297408017.289441,7268703693.443281,9041638943.30172,10453567343.755983,4718079272.04544,25490930369.913002,22318742631.015274,4974117383.260318,4972227420.498336,5978051626.188,62742247465.49306,5070505000.0,929842902.373632,3138460621.2728996,13547710195.7328,12113993215.619719,5588938781.85235,2616517542.20586,4213129709.764779,70787226863.75653,42208777770.87601,4054592242.2513604,3302111403.525,143518127816.46173,31123627804.866524,5474153955.56085,6848194495.189749,9756598443.22068,7764205148.617201,5646199951.872161,5575504584.87,64032427.548505925,8124529500.670345,14837859002.822407,46108888211.348,13226608684.493818,6496883085.858179,2589403002.7677503,4982432298.02747,0.0,3769811376.8259997,7444448530.396499,5138530039.370448,31065091359.601196,6859709212.90788,2388457496.6594996,4648088729.492775,7240012737.9163,45294133135.69042,43061722142.049,15616012533.0,5349670527.542251,41601968740.28999,369906493.98705596,16253417655.876915,8685973436.18211,172906861570.23828,176426385853.08807,6362124869.781071,7597273218.990451,4928310293.044499,5554541203.82632,0.0,5279077239.4589615,5166715722.71845,11665059783.79525,4613282066.029925,6259490701.584241,5546273597.33013,14052289034.849522,24228507569.3481,13218969834.58739,5539205336.40264,60627797.686846726,14760068267.905457,5778616060.60816,53228554094.3184,5949550224.0,55433360031.59664,2198468765.7,6631910812.296,16880373671.431059
2017-09-19,8661214969.48344,11092637816.006458,3368597587.3554897,14813964543.906357,3160093898.7530003,8608198874.5872,60179997416.985596,3355632540.425286,20421408085.45728,19724908892.542274,3996235502.6879997,31939579381.544273,5751037778.8336,4352522606.79335,28245273313.440575,89024239302.39302,101602854545.44733,6085243739.72529,23756139440.07975,7300677465.325861,7351396568.2264805,8895866343.5544,10621003019.310003,4652143381.597601,25349314090.08015,22285343839.19931,4987422756.178078,5029776348.976326,5948582357.608199,62454496380.40705,5048813000.0,933293736.3568001,3185148465.2257204,13733549841.7648,12386802513.298506,5639782871.5403,2636701057.60857,4287233860.0281396,70544305700.87471,42147888016.44601,4054592242.2513604,3313779641.700001,145175565496.82434,31171275734.75762,5457690334.6418705,6818728052.198307,10012482158.736622,7705565509.813599,5653365180.23748,5701959328.032,64511256.03459265,8137080307.541897,14936972402.841259,46603164195.23688,13185264765.70926,6569258689.21157,2574510677.80575,5155287239.788916,0.0,3869711378.311889,7350398160.236,5240811468.107376,31183122313.579628,6866606165.66568,2360674639.5555,4631850864.935595,7346440038.269501,45204085157.289444,42878856430.8,15558776079.0,5318841917.722515,41815921722.38291,370637715.12664,16381325383.354307,8775271700.05745,174380150804.9196,178308922097.40308,6367170171.025941,7570332533.816725,5055157098.055349,5581480476.1092005,0.0,5284038778.217851,5164368282.59,11560984900.965849,4655468025.915018,6294832869.91188,5639763249.202529,14182125394.091204,24074789986.227238,13190172287.127619,5588398989.47904,61471653.54330176,14912606368.036108,5651275737.08412,53052742241.387276,5942758500.0,55778078367.1196,2219574065.8507195,6559510039.236,16768418355.997839
2017-09-20,8637818926.88624,11175858606.123419,3346350382.5958495,14842640433.46096,3171860205.8228254,8502103426.272961,59902670239.9488,3467210319.3182397,20239794772.44432,19740752192.857567,4228516691.28174,31532489681.513966,5868008038.74208,4394623821.19761,28423974335.520405,89668352412.89049,100673926650.81863,6095479641.72651,23910345959.2522,7297408017.289441,7268703693.443281,8847275476.97196,10548447559.90326,4622838541.398561,25365049232.2838,22168448067.843452,4982095539.53496,5169812074.939435,5961212044.1424,60715478953.14812,5055591750.0,938940555.6019841,3190336003.4427004,13770717770.971199,12344425578.213718,5698449128.87255,2645875382.79162,4253269457.8240995,70641474166.02744,42470603714.925,4032129127.33584,3318446936.97,144376800349.66162,31052155910.029873,5478269860.790595,6861090766.61169,9847395890.661821,7737262611.869599,5811000204.27452,5667471670.806,68124234.6114288,8086877864.481119,14960293202.845697,46398392716.1972,13095686275.00938,6545133932.79794,2550310649.7425,5276587552.334253,0.0,3820703830.413151,7317842262.87275,5247481996.0684805,31183122313.579628,6993510096.409199,2333759996.7359996,4664326594.049954,7435129455.230499,45448501098.66353,42803187860.628,15501539625.0,5342416736.99643,41685172677.77058,372191560.048256,16454415513.341385,8802748088.94217,176385461152.12473,179945910135.9379,6296535953.597761,7688871548.581116,5078031112.073699,5579796771.591519,0.0,5293961855.735631,5183147803.6176,11465582925.038902,4659216097.822649,6279125239.544041,5604704629.75038,14112213508.34568,23934154750.606014,13225350632.275269,5524447240.479719,61179549.5929904,14972818775.98242,5695186193.47172,52761743312.39784,5956341948.0,55711786379.519035,2224850390.8884,6678971314.785,17191360658.74556
2017-09-21,8492763462.783601,11137715743.986477,3335226780.2160296,15272778776.779959,3099581462.3939,8598553833.83136,60110665622.72641,3450611972.044907,20381049571.4544,19930871796.64111,4216028455.3358397,32295782869.070786,5751037778.8336,4361190503.87658,28255785138.2688,90468614156.23584,99777784446.5886,6090361690.725901,23551919995.770294,7192785680.124001,7281107624.660761,8879046428.19894,10453567343.755983,4584375938.63732,24719908401.93415,22702828736.898815,5014046495.541837,5118018039.309244,5948582357.608199,60565347952.23368,5023053750.0,925764644.029888,3107335391.9710197,13761425788.6696,12429156365.077429,5616316368.6074,2587159701.6201,4200779018.0542207,71321653422.09648,42202688795.43301,4028385274.8499203,3320780584.6050005,144097232548.1547,30632854126.988194,5470038050.331105,6873986688.07172,9674055309.18328,7681792683.271601,5979383070.85954,6495175444.23,65338323.419651516,8040908965.463201,15094387802.8712,47627021590.435265,13026779743.70178,6467399199.515137,2500049052.99575,5208359121.1040125,0.0,3847092510.0509324,7321459584.801999,5209682337.622224,31078205910.043247,7014200954.682599,2303372496.7784996,4599375135.821235,7316876899.282498,45628597055.46547,42273507869.424,15406145535.0,5282572964.993415,41191892191.27856,371003325.69643193,16189463792.13822,8946999130.58695,177244879872.3555,181501048772.546,6246082941.14906,7586496944.92096,4872164985.90855,5498978954.74288,0.0,5239384929.387841,5091597638.60805,11387526762.916851,4654531007.938109,6334101945.831481,5536924632.142889,14082251271.597603,24058437051.852676,13321314471.1864,5524447240.479719,59654117.85247552,14723940823.137672,5655666782.722879,51670497328.68744,5861257812.0,55181450478.71446,2268819766.2023997,6592090387.113001,17253558056.208458
2017-09-22,8581668424.652962,11175858606.123419,3353766117.5157294,15289984310.51272,3158412997.743025,8608198874.5872,61919595163.852806,3504095535.4811993,20421408085.45728,20025931598.532883,4243502574.41682,32490846683.668644,5819270430.44688,4418150970.42352,28276808787.925247,91073690108.52135,100783212285.48082,6131305298.730782,23572758714.57738,7218941264.41536,7355531211.965641,8879046428.19894,10498216857.237053,4646648724.06028,24987405819.396202,22719528132.806793,4998077709.205442,5121854634.54111,5973841730.6765995,60965697288.005516,5009496250.0,914157293.3592321,3089179008.211591,13900805523.193598,12558949779.482517,5690626961.2282505,2636701057.60857,4227024237.9391594,71613158817.55464,42275756500.749,4047104537.27952,3393123661.29,145195534625.50342,30756738744.705055,5482385766.020341,7004767454.421692,9707072562.79824,7759450583.3088,5957887385.76358,6690605501.844,64576550.82814993,8053460556.760183,15129369002.877857,47245722974.29241,13047451703.09406,6529035641.913807,2533556784.1602497,5232619183.613079,0.0,3882905718.1307793,7364867447.953,5218576374.903696,30953617680.843796,7090067435.018399,2320736782.4684997,4680564458.607135,7343483724.3708,45641461052.37989,42922996430.067,15425224353.0,5311588127.176694,41601968740.28999,372831378.5453919,16299098987.118841,9008821005.57757,179250190219.56064,183465434418.78772,6402487279.74003,7667319000.442135,4851370427.71005,5536020454.13184,0.0,5279077239.4589615,5126809240.5348,11422218390.52665,4649835842.591452,5957118817.003321,5485505323.6130705,14122200920.595041,23875284186.8576,13682725091.104258,5509689144.556801,60303237.742056325,14760068267.905457,5668839919.63916,51700809717.12384,5844278502.0,55221225671.27481,2342688316.72992,6697071508.05,17589424002.508118
2017-09-25,8647177343.925121,11116910546.45724,3372305454.8154297,14779553476.44084,3052516234.1146,8487635865.139199,62146499217.79199,3540980751.6441603,20340691057.451523,20136834700.739944,4193549630.63322,32177048373.228607,5780280343.81072,4414436157.38785,27940430393.42205,92205767696.66841,100214926985.2374,6151777102.733221,23918681446.775036,7290869121.2166,7367935143.18312,8854750994.90772,10565191127.458662,4630164751.44832,24971670677.19255,22502435986.00305,4986097676.168163,5198586539.17843,5999101103.745,60965697288.005516,4932218500.0,900040245.246272,3060647548.0182,13798593717.876001,12543041618.15732,5753204302.38265,2636701057.60857,4205410527.445679,71904664213.0128,41904328998.726006,4058336094.7372804,3435129318.72,144017356033.43842,30742444365.737724,5519428913.088046,7019501200.860279,9690563935.99076,7738847466.9724,6043870126.147419,6612050282.606999,64707140.415264495,8166417034.17872,14954463002.844585,46511370083.94323,12902747987.3481,6563877991.130008,2403248940.74275,5265966787.641343,0.0,3803739679.217434,7343163516.3775,5203011809.66112,31074927272.432735,7165933915.354199,2296426782.5025,4745515916.835855,7361221607.7630005,44805301252.942276,43049110713.687004,15511079034.000002,5371431899.17971,40841247026.18184,373379794.40008,16143782460.896296,8977910068.082258,180846253557.13202,184938723653.46906,6246082941.14906,7581108807.886214,4886721176.6475,5541071567.68488,0.0,5274115700.70007,5154978522.0762,11500274552.6487,4632969519.007109,6008168615.6988,5452783945.457729,14232062455.338001,23469731414.368515,13567590873.174719,5499850413.94152,60465517.71445152,14687813378.369884,5725923512.943041,51761434493.99664,5847674364.0,55459876826.63686,2406004217.18208,6740511971.886,17701379317.94134
2017-09-26,8567630799.094641,10981676762.517178,3338934647.675969,14750877586.886238,3064282541.184425,8482813344.761279,61617056425.267204,3553890577.3011956,20114683379.03539,20041774898.848175,4188554336.2548604,31939579381.544273,5799775387.1288,4408244802.328401,27730193896.857548,92039859774.26756,101635640235.846,6187602759.737491,23797816877.693924,7258174640.852401,7264569049.70412,9092098689.368101,10581934695.014063,4582544386.124881,24892994966.174297,22293693537.1533,4952821120.41024,5185158455.8668995,5961212044.1424,60765522620.11959,4898324750.0,920431536.9649919,3109929161.0795097,13845053629.383999,12537747763.043201,5714093464.16115,2609178082.0594196,4199235181.5903997,72001832678.16551,41636414079.23399,4013409864.9062405,3446797556.8950005,143637942588.5361,31204629285.681396,5465922145.101361,7063701390.290306,9641038055.568321,7740432322.075199,6054617968.6954,6535411044.327,64402431.378663845,8170575273.380352,14901991202.834604,45889994561.340065,12902747987.3481,6486166160.111859,2414418184.46425,5267484039.740332,0.0,3799969867.840607,7274434399.72175,5211905846.942593,30924109942.349186,7083170482.260601,2359806425.271,4737396984.557265,7358265293.864301,44162101407.22102,42815799288.99,15453842580.000002,5355110870.451615,40615407767.30597,369723688.70216006,15961057135.928595,8991648262.52462,182360467492.77676,186452937589.11374,6306626556.087502,7467957930.156571,4947025395.42315,5498978954.74288,0.0,5279077239.4589615,5126809240.5348,11396199669.8193,4628274353.660452,6035656968.84252,5413050843.41196,14142175745.093761,23495896109.36781,13449238270.446466,5460495491.480399,60433061.71997248,14828308996.911274,5638102600.167841,51822059270.86943,5800132296.0,55287517658.87538,2400727892.1444,6689831430.7439995,17402831810.11942
2017-09-27,8511480296.8613615,10992079361.281797,3335226780.2160296,14934403280.035679,3104624165.4238253,8492458385.51712,61547724631.00801,3575099576.5948973,20199436258.44144,19978401697.586998,4161080217.17388,32270339762.818893,5868008038.74208,4475111436.97046,27604051998.918846,92332638460.8573,102826853653.66399,6156895053.73383,23722797489.988415,7258174640.852401,7285242268.39992,8994916956.203222,10459148532.941116,4549576440.90096,24798584112.952396,22585932965.54295,4958148596.923923,5192831646.33063,5944372462.096801,60527815202.005066,4838671749.999999,940195404.323136,3172179619.6832705,13891513540.892002,12619844543.983027,5710182380.339001,2566976186.21739,4227024237.9391594,72196169608.47096,41599880226.576004,3979715192.5329604,3502805100.1350007,145774639357.1964,31495281658.017105,5457690334.6418705,7087656108.155634,9888667457.680521,7721414060.8416,6094026724.70466,6541158987.198001,64032427.548505925,8111978693.798794,15117708602.875639,47450494453.3321,12978545171.78646,6504932453.65233,2392079697.02125,5322073173.154413,0.0,3850862321.427759,7249113146.217001,5220799884.224064,30337233810.067535,7255594301.205601,2338101068.1584997,4920072960.82554,7435129455.230499,45371317117.17697,42910385001.705,15291672627.0,5315215022.449606,40704554843.178024,367621427.925856,15741786745.967356,9300757637.47772,182114919286.99652,185879991775.62656,6271309447.37341,7435629107.948099,4957422674.5224,5530969340.5788,0.0,5244346468.14673,5065775797.1951,11344162228.4046,4608586900.683268,6047437691.6184,5536924632.142889,13922452675.607841,23914531229.35655,13596360434.67972,5573640893.556119,61698845.50465503,15029017023.398975,5554672733.0314,51712934672.4984,5708444022.0,55221225671.27481,2379622591.99368,6700691546.702999,17191360658.74556
2017-09-28,8576989216.133522,11061430019.712597,3342642515.13591,14968814347.501202,3121433175.5235753,8695004241.38976,61881777821.52959,3623972488.01082,20562662884.467358,20025931598.532883,4163577864.3630605,32601100144.09351,5916745647.03728,4549407697.68386,27446374626.495472,92918195834.03683,101635640235.846,6121069396.729561,23535249020.724625,7366066426.05426,7165337599.964281,8839799959.036201,10436823776.20058,4567891966.02536,24830054397.359695,23245559103.908165,5000741122.624078,5238870789.113024,6041200058.859,61065784621.94848,4899680500.0,949606769.731776,3115116699.2964897,13947265434.7016,12972090020.694918,5710182380.339001,2572480781.32722,4282602350.6366796,72001832678.16551,41271075552.65399,3975971340.04704,3493470509.5950007,146134083673.41962,30227846722.91384,5428878998.033655,7244211569.292,9814378637.04686,7852957034.373999,6043870126.147419,6552654872.94,63836543.16783409,7593238157.2889595,15076897202.867876,47464616624.30034,13019889090.57102,6400404738.947475,2386495075.1605,5344815983.564495,0.0,3933798171.717931,7212939926.9244995,5209682337.622224,30192973755.205006,7248697348.447799,2360674639.5555,4920072960.82554,7476517849.812299,45782965018.438576,42582487864.293,15472921398.0,5387752927.907805,40615407767.30597,369175272.84747195,16152918727.14468,9149637498.611757,183506359119.7511,187107732804.52765,6281400049.863151,7489510478.295549,4922071925.5849495,5589898998.6976,0.0,5234423390.62895,5072818117.58045,11534966180.258501,4638591626.868557,6157391104.19328,5466807393.238589,13842553377.61296,24172907592.474594,13711522638.564032,5622834546.632521,62283053.40527776,14856408120.619553,5541499596.11512,51731122105.56024,5739006780.0,54425721820.06797,2414798092.24488,6702501566.029499,17017207945.849442
2017-09-29,8544234756.49744,11071832618.477219,3368597587.3554897,15364541623.354681,3190350116.9325504,8675714159.878078,62461643737.152,3619361835.99045,20764455454.481762,20010088298.217587,4133606098.0929,32796163958.69136,5989852059.480081,4602653351.19513,27635587473.40353,93162178072.86163,102116497028.35968,6162013004.734441,23664449077.328564,7411838698.564139,7276972980.9216,8864095392.32742,10436823776.20058,4624670093.911,24908730108.37795,23688093095.469635,5048648391.18024,5254217170.040487,6100138596.0185995,61378557540.520226,4929507000.000001,981919124.30144,3156617005.0323305,13928681470.098398,12966796165.580801,5796226224.4263,2577985376.43705,4296496878.81106,72317630189.91185,41648592030.12,4020897569.8780804,3453798499.8000007,147192447493.41025,30342201754.65248,5531776628.77728,7271841062.2096615,9797870010.239382,7895748122.1496,6258826977.10702,6552654872.94,64968319.58949361,7628537301.6152,15152689802.882292,47824731983.99082,13195600745.405401,6397714278.730652,2420002806.325,5358455281.380651,0.0,4011079304.9428644,7252730468.14625,5205235318.981488,30314283346.79395,7255594301.205601,2388457496.6594996,4968786554.49708,7633202486.443399,45963060975.24052,42960830715.153,15616012533.0,5451223595.18373,41281039267.15062,369723688.70216006,16207736324.634987,9214893922.21297,184038380232.27493,187803452720.9049,6286445351.10802,7527227437.538765,4947025395.42315,5648828656.816401,0.0,5318769549.530081,5100987399.121849,11691078504.5026,4620778209.845187,6192733272.520921,5445772221.5673,13952414912.355923,24254672264.347397,13865025600.48516,5637592642.555439,63451469.2065232,15025002862.869225,5559063778.67016,52367682262.72464,5803528158.0,55367068043.99606,2393692792.09416,6816532783.599,17228679097.2233
