,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BAB,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,CTEC,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GFS,GSK,GLEN,HMSO,HL.,HSBA,IMB,INF,IHG,IAG,ITRK,ITV,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MDC,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,PSON,PSN,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2017-09-18,8586347633.172401,10957404032.066399,3350058250.05579,14945873635.85752,3166817502.7929006,8439410661.36,59745097980.2688,3308603889.817512,20441587342.45872,19122863480.561066,4011221385.82308,31905655239.875076,5692552648.87936,4346331251.7339,28171690539.643,87931198872.45792,103733924421.36023,6121069396.729561,23756139440.07975,7330102497.65364,7202549393.61672,8968752643.42806,10503798046.422188,4692437536.87128,25050346388.2108,22135049276.02749,4915542817.824963,4953044444.339005,5999101103.745,62316876296.23548,5062370499.999999,932980024.1765119,3166992081.4662905,13529126231.1296,11981590133.124104,5678893709.761801,2649545112.86484,4267163985.99848,70860103212.62105,42336646255.179,4073311504.68096,3281108574.8100004,142939023084.76874,31771639651.385483,5527660723.547535,6772690387.751634,9797870010.23938,7727753481.2528,5671278251.150782,5472041613.192,62944180.98921793,8174732728.156554,14773726802.81021,46356026203.29245,13223163357.92844,6472758107.092464,2634079977.65375,5038538683.540541,0.0,3771696282.514413,7278051721.651,5176329697.816705,31245416428.17936,6993510096.409199,2419713210.9014997,4607494068.099825,7231143796.220201,45049717194.316345,42784270718.085,15635091351.0,5360551213.360981,41423674588.54589,371643144.193568,16253417655.876915,8706580727.84565,172743162766.3848,175812515338.63754,6286445351.108021,7613437630.094685,4961581586.1621,5532653045.096479,0.0,5308846472.0123005,5241833806.82885,11673732690.6977,4632969519.007109,6192733272.520921,5529912908.25246,14072263859.348242,24163095831.849857,13036641339.251719,5499850413.94152,60757621.66476288,14671756736.25087,5730314558.5818,52695056057.83775,6034446774.0,54929540925.832306,2170328365.49904,6610190580.378,17004768466.356861
2017-09-19,8642498135.405682,11009417025.8895,3370451521.0854597,14859845967.193718,3205478226.0223255,8550328630.052159,59990910705.3696,3330735019.5152874,20381049571.4544,19582319189.70462,4018714327.39062,31702110389.85992,5663310083.90224,4317851018.46043,28066572291.360752,88019032478.43484,102378782551.54897,6090361690.725901,23860333034.11519,7294138569.253021,7235626543.53,9011736871.55868,10464729722.12625,4686942879.33396,25522400654.320297,22185147463.75143,4948818983.777038,4949207849.10714,5969631835.1652,62391941796.692696,5062370499.999999,938313131.2414081,3133273083.0559206,13519834248.828001,12328517416.888517,5549827943.630851,2622022137.31569,4211585873.30096,70665766282.31561,42099176212.902,4058336094.7372804,3295110460.620001,144935935952.67554,31004507980.138775,5482385766.020341,6824257275.42,9748344129.81694,7764205148.6172,5628286880.958859,5565924680.085,64489491.103406884,8116214591.117943,14808708002.81686,46320720775.871796,13188710092.27464,6472758107.092464,2593126084.00825,4991535810.621392,0.0,3788660433.71013,7451683174.255,5122965474.127872,30937224492.79123,6862467994.011,2383248210.9525,4631850864.9355955,7222274854.524099,45088309185.05963,42740130718.818,15596933715.0,5351483975.178705,41661400124.2047,370272104.556848,16216872590.883373,8672235241.73975,172865936869.2749,176344536451.16138,6341943664.801591,7575720670.85147,4917913013.94525,5557908612.86168,0.0,5259231084.4234,5154978522.0762,11691078504.5026,4602964792.821819,6275198331.95208,5539261873.4397,14072263859.348242,24235048743.097923,13222160233.431328,5534285971.095,60660253.68132576,14683799217.840132,5769833969.33064,53004242419.889046,5946154362.0,55512910416.717316,2198468765.7,6619240677.010501,16830615753.46074
2017-09-20,8684611012.08064,11096105348.927998,3370451521.0854597,14882786678.8374,3166817502.7929006,8608198874.5872,60161088745.824005,3365775974.8701,20441587342.45872,19756595493.172863,4096141390.2552004,31803882814.8675,5760785300.4926405,4362428774.88847,28255785138.268803,89053517171.05199,101307783331.85939,6110833494.728341,23835326571.546684,7323563601.580801,7330723349.530682,8903341861.49016,10632165397.68027,4637490961.49808,25349314090.08015,22226895953.52138,4986097676.168162,5024021456.128527,5973841730.6765995,61791417793.03494,5058303250.000001,929529190.1933441,3190336003.4427004,13733549841.7648,12426521104.626055,5639782871.5403,2649545112.86484,4301128388.20252,70447137235.722,42214866746.319,4062079947.2232,3323114232.2400007,144975874210.03366,31214158871.659615,5453574429.412126,6815053277.14597,10004227845.33288,7735677756.766799,5664113022.78546,5732615023.344,67079517.91451232,8145473659.637249,14977783802.849022,46659652879.10989,13192155418.84002,6563877991.130009,2585679921.5272503,5170443789.7040615,0.0,3865941566.935063,7350398160.236,5251929014.709216,31097877735.706318,6876261899.526599,2360674639.5555,4639969797.214185,7355308979.965599,45281269138.77599,42784270718.085,15558776079.0,5331536051.1777,41578196186.72411,371368936.2662241,16335644052.112381,8723753470.8986,174871247216.48,178922792611.85367,6367170171.025941,7581108807.886214,5059316009.69505,5593266407.73296,0.0,5274115700.70007,5169063162.8469,11526293273.35605,4661090133.776466,6302686685.095799,5667810144.764251,14172137981.84184,24130389963.10074,13206180253.25686,5612995816.01724,61341829.56538559,14996903739.160944,5646884691.44536,53113367018.26008,5952946086.0,55791336764.63972,2217815290.8381596,6570370155.195,16793297314.983
2017-09-21,8633139718.3668,11168923540.28034,3350058250.05579,15140869684.828798,3123114076.5335503,8521393507.78464,60230420540.083206,3504095535.4811997,20320511800.45008,19772438793.48816,4241004927.2276397,31634262106.521538,5858260517.083039,4390909008.161941,28045548641.7043,90009927547.2452,100324212619.8996,6095479641.726511,23902010471.729366,7297408017.289441,7260434405.964961,8821111164.1968,10570772316.643797,4613680778.83636,24735643544.1378,23070215446.87437,4967464826.736721,5167893777.323502,5948582357.608199,60715478953.14812,5056947500.0,930784038.914496,3179960927.0087404,13770717770.971199,12378849059.899652,5643693955.36245,2594499161.76654,4245550275.505,70811518980.0447,41648592030.12,4028385274.8499203,3327781527.5100007,144995843338.71277,31018802359.106102,5478269860.790596,6861090766.61169,9814378637.04686,7748356597.5892,5814582818.45718,5765186699.613001,68058939.81787153,8070168818.407936,14995274402.852348,46461942485.554344,13092240948.443998,6571926914.219992,2555895271.60325,5272035796.037292,0.0,3816934019.036325,7285286365.5095,5245258486.748112,30927388579.959694,6986613143.651401,2332891782.4515,4648088729.492775,7435129455.230499,46014516962.898224,42759047861.361,15492000216.0,5326095708.268335,41055200008.27476,372648573.26049596,16436142980.844614,8826789929.2163,176590084656.94156,180273307743.6449,6301581254.84263,7688871548.581115,5078031112.073699,5434998183.07104,0.0,5274115700.70007,5185495243.74605,11448237111.234,4670460313.545545,6283052147.136,5588343940.67271,14112213508.34568,24055166464.977764,13266937761.065569,5539205336.402639,60465517.71445153,14932677170.684881,5690795147.83296,52488931816.47024,5959737810.0,55897403944.80063,2219574065.85072,6655441063.540501,17228679097.2233
2017-09-22,8492763462.783601,11120378079.378778,3307417774.2664795,15129399329.006958,3067644343.204375,8588908793.07552,60677925757.5744,3450611972.044908,20360870314.452957,19883341895.695225,4206037866.5791197,32227934585.7324,5731542735.51552,4359952232.86469,27929918568.593826,90439336287.57687,99679427375.39262,6105715543.727731,23506074814.394703,7182977336.014741,7276972980.9216,8869702030.779242,10436823776.20058,4580712833.61244,24688438117.52685,22636031153.266895,5010057742.2427225,5094998467.918048,5935952671.074,60765522620.1196,5009496250.0,917921839.5226882,3112522930.1879997,13742841824.066399,12365601751.386683,5624138536.2517,2607343217.02281,4205410527.445679,71054440142.9265,41709481784.55,4024641422.3640003,3316113289.3350005,143398313044.38733,30780562709.650604,5457690334.6418705,6866620164.814339,9674055309.18328,7681792683.271601,5972217842.49422,6472183672.745999,65098909.176608175,8036673852.569481,15030255602.859003,47627021590.435265,12981990498.351841,6475448567.309288,2479572106.173,5199255608.51009,0.0,3835783075.9204545,7299755653.2265005,5207458828.301856,31012633157.833008,7014200954.6826,2303372496.7785,4583137271.264055,7305051643.6877,45487093089.4068,42260896441.062004,15377527308.0,5268065383.901775,40966052932.4027,370272104.556848,16171191259.64145,8995082811.135208,177613202181.02582,181419199370.61923,6230947037.414451,7591885081.955706,4890880088.2872,5483825614.083759,0.0,5204654158.07561,5070470677.452,11370180949.11195,4633906536.984016,6141683473.825439,5501866012.69074,14052289034.849522,23963590032.48023,13295735308.52534,5509689144.556799,59362013.90216416,14679785057.310375,5655666782.722879,51476498042.69448,5857861950.0,55154933683.67424,2270578541.2149596,6584850309.806999,17228679097.2233
2017-09-25,8567630799.094641,11161988474.437258,3337080713.9459996,15140869684.828798,3141603987.6432753,8603376354.20928,62127590546.6304,3494874231.4404597,20360870314.452957,20057618199.163467,4255990810.3627195,32287301833.65349,5804649147.958321,4415674428.39974,28077084116.188976,90585725630.87177,100837855102.81194,6131305298.730782,23556087739.531715,7215671816.378941,7330723349.530682,8822980043.68074,10526122803.162724,4653974934.110041,24924465250.5816,22427288704.417145,4958148596.923923,5119936336.925177,5952792253.119599,60803055370.348206,4997294500.000001,915412142.080384,3083991469.99461,13882221558.5904,12521865194.078852,5639782871.5403,2622022137.31569,4222392728.5477004,71370237654.67284,42415802935.937996,4035872979.82176,3388456366.0200005,144137170805.51282,30685266849.868404,5461806239.871615,6978975261.539721,9657546682.375801,7754696018.000401,5975800456.676881,6679109616.101999,64206546.99799201,8053460556.760183,15088557602.870092,47139806692.03052,12975099845.221079,6539774802.86853,2511218296.71725,5228067427.316118,0.0,3854632132.804585,7350398160.236,5211905846.942593,30943781768.012253,7069376576.745,2313791068.1925,4660267127.91066,7308007957.5864,45538549077.0645,42910385001.705,15415684944.0,5304334336.630875,41512821664.417946,372374365.333152,16253417655.876915,8929826387.533998,177981524489.69614,182237693389.88663,6372215472.27081,7656542726.372645,4840973148.6108,5532653045.096479,0.0,5244346468.14673,5098639958.993401,11422218390.52665,4653593989.961202,5984607170.147039,5457458428.05135,14102226096.096321,23646343105.613766,13634757164.62608,5490011683.32624,60076045.78070304,14675770896.780624,5646884691.44536,51391623355.072556,5827299192.0,55221225671.27481,2342688316.72992,6682591353.438001,17527226605.04522
2017-09-26,8642498135.405682,11092637816.006458,3372305454.8154297,14750877586.88624,3054197135.124575,8463523263.249599,62562489983.3472,3540980751.6441593,20280153286.4472,20152678001.05524,4188554336.2548604,32092238019.05563,5790027865.46976,4413197886.37596,27940430393.42205,92488787093.7052,100444426818.02802,6151777102.73322,23939520165.582123,7281060777.10734,7330723349.530682,8677207443.93342,10554028749.088394,4619175436.37368,25066081530.414448,22385540214.647194,4966126493.328,5194749943.946565,5990681312.722199,60853099037.31969,4925439750.0,900353957.42656,3071022624.45216,13798593717.876001,12519205595.794117,5721915631.80545,2651379977.9014497,4185340653.4160204,72001832678.16551,42020019532.143,4043360684.7936006,3428128375.8150005,143677880845.89426,30642383712.96641,5494733481.709576,7004767454.421692,9665800995.779541,7722998915.9444,6029539669.416781,6615882244.521,64533020.96577841,8149631898.83888,14954463002.844587,46546675511.36387,12930310599.87114,6545133932.79794,2438618212.5275,5265966787.641343,0.0,3783005716.644891,7343163516.3775,5194117772.379648,31147057299.864,7172830868.1119995,2302504282.494,4721159120.000085,7367134235.560399,44753845265.28457,42979747857.696,15501539625.0,5358737765.724525,41043313731.49181,373014183.830288,16098101129.65437,8936695484.755178,180887178258.09543,185429820065.02948,6230947037.414451,7564944396.78198,4884641720.82765,5520867113.47272,0.0,5239384929.38784,5166715722.71845,11500274552.648699,4640465662.8223715,6027803153.6586,5431748773.78644,14262024692.086082,23571119607.490788,13532412528.027071,5499850413.94152,60303237.742056325,14671756736.25087,5686404102.1942005,51664434851.00015,5851070226.0,55380326441.516174,2411280542.21976,6738701952.5595,17290876494.6862
2017-09-27,8576989216.13352,10974741696.674099,3342642515.1359096,14819699721.81728,3086134254.3141003,8535861068.9184,61837657588.8192,3545591403.66453,20179257001.44,20025931598.532883,4193549630.63322,32117681125.30753,5853386756.253519,4409483073.34029,27866847619.624477,92127693380.24448,101952568576.36636,6208074563.73993,23860333034.11519,7356258081.945002,7264569049.704121,9069672135.56082,10593097073.384333,4577049728.58756,24940200392.785248,22519135381.91103,4967464826.736721,5188995051.098764,5935952671.074,60502793368.519325,4899680499.999999,923882370.9481599,3117710468.4049797,13863637593.9872,12540407612.233433,5725826715.6276,2601838621.91298,4211585873.30096,72171877492.18279,42135710065.56,4024641422.3640003,3472467680.8800006,144596460765.13138,31137922183.83385,5474153955.560851,7076597311.750339,9632783742.16458,7753111162.8976,6068948425.42604,6541158987.198001,64380666.44747809,8233329307.7381115,14890330802.832388,46179499066.18928,12923419946.740381,6486166160.111858,2403248940.74275,5278104804.433241,0.0,3822588736.1015644,7288903687.43875,5225246902.8648,30858537190.138947,7083170482.260599,2349387853.857,4741456450.69656,7387828432.8513,44509429323.9105,42992359286.05801,15492000216.0,5355110870.451615,41126517668.97239,370089299.271952,15970193402.17698,9125595658.337627,182524166296.63025,186780335196.8207,6291490652.352891,7500286752.36504,4969899409.4415,5510764886.366639,0.0,5274115700.70007,5133851560.92015,11422218390.52665,4634843554.960925,6047437691.6184,5408376360.81834,14142175745.093761,23770625406.86042,13471627034.263588,5470334222.09568,61017269.620595194,14840351478.500538,5646884691.44536,51840246703.93128,5817111606.0,55552685609.27766,2402486667.15696,6695261488.723499,17228679097.2233
2017-09-28,8516159505.380801,11012884558.811037,3353766117.5157294,14813964543.90636,3096219660.37395,8511748467.0288,61585541973.3312,3585243011.039712,20259974029.44576,20010088298.217587,4166075511.55224,32414517364.91296,5892376842.88968,4533310174.52929,27425350976.839027,92313119881.75133,102903353597.92752,6177366857.736271,23751971696.318336,7297408017.289441,7276972980.9216,8972490402.39594,10470310911.311382,4542250230.8512,24767113828.545097,22619331757.35891,4958148596.923923,5294501419.97508,5940162566.5854,60790544453.60533,4840027500.0,934548585.0779519,3172179619.6832705,13872929576.2888,12614549685.246916,5674982625.939651,2544957805.77807,4228568074.40298,72487675003.92912,41350232233.412994,3972227487.56112,3460799442.7050004,146553435375.68005,31447633728.126,5449458524.182381,7087656108.155634,9888667457.68052,7692886668.9911995,6094026724.70466,6527747120.499001,64119487.27324897,7652070064.49936,15193501202.890057,48015381292.06223,12968209192.09032,6499573990.77917,2380910453.29975,5323590425.2534,0.0,3864056661.2466497,7234643858.5,5167435660.535233,30261825145.025757,7269388206.7212,2330287139.598,4916013494.686245,7455823652.5214,45795829015.353,42904079287.524,15329830263.0,5300707441.357965,40550033244.9998,367164414.71361595,15778331810.960896,9135899304.1694,182524166296.63025,186371088187.18698,6276354748.618281,7457181656.08708,4957422674.5224,5525918227.02576,0.0,5264192623.182291,5070470677.452,11404872576.72175,4634843554.960925,6055291506.8023205,5469144634.535399,13922452675.607841,24192531113.724068,13612368400.808958,5603157085.401959,61763757.49361313,15029017023.398975,5532717504.8376,51543185297.25456,5705048160.0,55340551248.95583,2379622591.99368,6697071508.05,17241118576.715878
2017-09-29,8581668424.65296,11061430019.712597,3338934647.67597,15083517905.719599,3165136601.7829256,8685359200.633919,61837657588.8192,3641492965.6882257,20683738426.476,20136834700.739944,4168573158.74142,32694391533.68379,5931366929.52584,4551884239.707641,27625075648.575302,93171937362.41463,101723068743.57576,6141541200.732,23601932920.907303,7392222010.34562,7198414749.877561,8856619874.39166,10431242587.015448,4573386623.56268,24924465250.5816,23295657291.632103,4999403049.085922,5275318443.81575,6024360476.813399,61115828288.91996,4915949500.000001,956822149.8784,3141054390.3813906,13947265434.7016,13014468210.3072,5698449128.87255,2565141321.18078,4271795495.3899403,72026124794.4537,41575524324.804,3983459045.01888,3418793785.2750006,145754670228.51733,30232611515.902954,5428878998.033655,7238681821.127439,9839141577.258081,7876729860.915999,6269574819.655,6577562625.381,64075957.41087744,7624615174.467839,15123538802.876745,47422250111.395584,13047451703.09406,6392355371.153324,2392079697.02125,5363007037.677613,0.0,3952647228.6020603,7252730468.14625,5205235318.981488,30255267869.804733,7276285159.478999,2358069996.7019997,4920072960.825541,7509037302.697999,46001652965.983795,42506819294.121,15472921398.0,5402260508.999445,41055200008.27476,369815091.344608,16198600058.386604,9194286630.549429,184120229634.20163,187639753917.05148,6286445351.108021,7516451163.4692745,4930389748.864349,5596633816.76832,0.0,5249308006.905621,5061080916.9382,11569657807.868301,4644213734.730005,6157391104.19328,5462132910.64497,13882503026.610401,24038813530.603203,13737101801.225088,5632673277.247799,62477789.372152,14888521404.857582,5523935413.560081,51888746525.42952,5739006780.0,54637856180.38979,2420074417.28256,6715171701.315,16917692109.908798
