,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,DLG,EVR,EZJ,EXPN,FERG,FLTR,FRES,GSK,GLEN,GVC,HLMA,HL.,HSBA,IMB,INF,IHG,IAG,ITRK,ITV,JE.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNG,MRO,MNDI,MRW,NG.,NXT,NMC,OCDO,PSON,PSN,PRU,RB.,REL,RTO,RIO,RMG,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WG.,WTB,WPP
2018-09-24,8971386836.191872,7860897133.131179,3386943092.9004,18088281238.88175,2964431647.5972004,11224736437.748402,71603451535.6188,4276906128.2311206,19136567807.587063,19863932598.35971,29857265490.0,5497962502.089744,4488750566.1108,35206174715.6196,112623853524.06145,79672252284.58385,6075163402.512204,19158117616.22042,7798629446.007839,8289346373.878079,8893156469.4,8396096162.938096,5103314769.71712,25584512024.74392,20991230161.596004,6806267106.030513,6298497415.108601,65630630218.73679,4404762709.6,1750208899.924008,3620284016.8052254,17709960154.70913,14851472416.16,5387894769.4194,1569583344.57,74793713618.37773,40489007201.0379,5365883385.793139,5187924220.07286,5882456898.573749,134585079057.07457,25014803393.3054,9202572789.8256,8775985483.451696,10901998537.08624,7902633830.730241,5432676146.585625,3912408203.116128,6925597663.2186,54217461.5033667,6560161837.559549,15334995513.90352,44244022584.37067,16251453920.0,6972363459.974946,4339227535.691424,0.0,10442192328.078272,7805066708.782,6037797686.513211,25650138737.631363,6905068204.43994,2821598220.11844,3917010091.7949595,6789554848.366317,7032266027.849521,46626545074.196,46768045180.05056,14043651300.0,5719401357.15375,43881261861.782875,4740960000.0,423651534.878052,18209673049.491703,11791997320.0,213341324509.7209,217285938333.85938,6415843514.102326,6239488118.827825,6860968089.265404,5387939486.816,7493366565.790562,6367844491.753992,4427392100.51985,12019855382.68677,6319031819.109876,5867334928.283001,7363749496.347919,11404133153.01605,21191916873.761425,10945871630.912067,5623705503.1464,55110890.06355712,22131590800.6393,5943885518.48,48705998190.46307,4769776753.265936,45607731608.33083,4843442712.898693,8475936148.70926,13960003841.3916
2018-09-25,8941281511.238209,7840091935.601938,3386943092.9004,18082052491.89866,2881304211.0748005,11248741434.4074,71856021029.5716,4253023061.36385,19218598410.558964,19889374715.040287,29887836069.0,5507794337.751564,4466650590.6759,35185093173.87372,113158272512.6642,78167122917.90746,6075163402.512204,18940649352.51305,7811758451.8092,8301730855.51236,8804224904.706,8247962642.087324,5034510448.86192,25829000271.5895,20899783218.31776,6737192762.303114,6341461244.679601,65679590032.402405,4439935876.2,1789218013.5924478,3583860031.009125,17723642843.471462,14929662267.84,5325062177.3562,1568846450.981,74705513484.39378,41183385378.86722,5413344373.07643,5161854249.11772,5864228833.814999,134944345173.49567,25095465695.597923,9315104250.570751,8709069282.240253,10860799124.010042,7675289016.312961,5448834139.09034,3838522796.4026036,6872600468.7474,54494843.24265981,6533656133.16537,15340835192.317041,44301501015.78914,15940372240.0,6959466672.0548315,4342271393.475877,0.0,10261086299.567558,7714310119.145,6061286492.918632,25294521194.71584,7314218071.11318,2857531247.7852,3934365032.387759,6843599519.663297,7050159834.5361595,46394443909.55675,46294547470.67776,13887610730.0,5684903380.713775,43965844093.59048,4811676000.0,421904795.27976,18416727199.90217,11728866168.000002,216247882064.34924,219320528622.0992,6460838272.569096,6207114434.364864,6900285957.971796,5405286362.176,7490581962.8303995,6333983573.280479,4278948405.8244,11946193687.839733,6275885108.9855995,5853552597.91455,7326251090.25576,11394032060.763601,21008010575.15138,10705571840.833006,5579307828.12156,55029629.53559552,22375103860.6548,5898985663.844,48110626327.298035,4677318138.89248,45182187110.00258,4933136096.47089,8542704221.41572,13911277824.4932
2018-09-26,8973268419.001476,7905975061.111198,3445052410.67075,18088281238.88175,2912812191.047,11344761421.043402,73043097651.14975,4277824707.7260156,19128755369.208786,19895735244.210434,29751966829.0,5523525274.810476,4481383907.6325,35733213259.2666,115909540639.17467,78178190045.60359,6032174147.171172,18840279384.648113,7874121229.365661,8233616206.52382,8757980491.065119,8259142530.453421,5093485581.02352,26294316612.360123,20874843142.878242,6901897533.0982,6285608266.237301,65532710591.405594,4410173966.0,1841880317.044842,3448570940.909325,17792056287.28311,15035448537.76,5285791807.3167,1581373641.994,75009313945.89401,41785589462.2944,5377050676.91862,5210269909.462979,5887664917.076249,135143937460.39626,24943630773.63552,9382623127.017841,8729515148.89554,10369575352.716913,7955467484.78496,5631958054.143787,4034377763.4051204,6882064253.4744,54836236.152559,6530711054.899349,15340835192.317041,43633314250.54938,15649801440.0,6967179036.924003,4365084306.555146,0.0,10203894922.143122,7714310119.145,6104740784.768658,24912803281.67808,7359383965.4862,2891753178.8964,3922216573.9728003,6744774977.863104,7112788157.9394,46471810964.4365,45908985050.18848,13905443938.0,5646774038.33275,44445143407.16688,4763868000.0,427951201.58154,18287318355.895626,11571038288.000002,220067929136.1465,223887976207.9438,6448566974.805432,6353875137.263616,6924313544.403481,5394878236.96,7462735933.2288,6322032660.878063,4276592156.7022495,12041520587.053545,6213126257.895743,5877179449.97475,7190319368.1716795,11373829876.2587,20998158452.01155,10587110026.645645,5589173978.12708,55972251.65995008,22674812242.212334,5963128313.324,47801490936.808495,4644685686.760673,44815154980.194466,5024129384.15283,8472327063.698099,13941731585.054699
2018-09-27,8948807842.476625,7923312725.718899,3441731878.2267303,17801758877.659786,2875941150.6540003,11450383406.343,73573493588.45064,4216279881.5680504,19249848164.072067,19914816831.720863,29684032209.0,5547121680.398844,4507167212.30655,34915249439.52646,116661685882.39334,78255659939.47665,6045852546.597865,18765001908.749405,7877403480.816,8330627979.32568,8857583843.5224,8351376609.473712,5087588067.807361,26341636918.201202,20933036652.23712,6907214066.1696615,6130938479.7817,66059028588.3108,4464286530.0,1811323178.0045638,3508410346.1457753,17837665249.82421,15037748239.28,5297572918.328549,1520211474.107,75097514079.87794,41287849352.52295,5430095309.764649,5288479822.3284,5822564685.794999,135523162805.5074,25261535141.4943,9325107047.08143,8846609628.857298,10398098023.308128,7873815473.97312,5631958054.143787,4047278389.974148,6789319163.149799,55262977.289933,6523348359.234301,15399231976.452242,43489618172.0032,15666893840.0,7013667886.961226,4352908875.417334,0.0,9932235879.377052,7663486428.948278,6058937612.278089,24850814902.63776,7173406753.3619995,2982441296.34108,3871887246.25368,6798819649.160084,7079982845.68056,46188131763.210754,45983391833.08992,14012443186.0,5690350429.62535,43666986874.53696,4779804000.0,432026927.310888,18213370445.034744,11435757248.0,218573128108.05194,221894908170.48434,6434250460.747825,6299918996.492016,6933050848.560455,5396612924.495999,7469697440.629199,6351909941.884103,4293085900.5572996,12080517954.91374,6253658015.891275,5871272736.9597,7016889239.99544,11383930968.51115,20751855373.515953,10637870914.02493,5601506665.633981,55923495.34317312,22787202885.29641,6191903763.136,47767142560.08744,4631088831.705752,44219392682.53489,5035828521.140508,8481349776.226,13947822337.167
2018-09-28,9031597486.099201,7937182857.405059,3459994806.6688404,17868198845.479378,2867896560.0228004,11613617383.624199,75379365470.21317,4150142157.9356103,19312347671.09827,19883014185.870148,29721396250.0,5596280858.707944,4544000504.69805,35332663966.09488,116978378616.38016,79583715263.01465,6051714717.780732,19191574272.175404,7943048509.822801,8175821958.897181,8427155070.4034395,8597334153.527824,5111178120.672,26538804859.2057,20941350010.716965,6920505074.677374,6027825288.8113,66279347749.806,4504870953.0,1820425304.5271997,3395235818.85075,17960809448.685184,15088341672.72,5297572918.328549,1492209517.725,75920715330.3947,40882283337.15362,5312838752.94711,5411381113.97406,5814752658.041248,135483244348.12729,25541480778.862476,9590181154.61445,8835451367.003939,10366406167.095667,7993891960.46112,5669660036.654793,4053142311.1418886,6762820565.914201,56031111.337206215,6529238515.76634,15475147795.828001,43611759838.767456,15670312320.0,7142806295.118933,4374199859.604376,0.0,9846448813.240396,7728831173.486919,6070682015.480799,25340196842.42976,7061820426.08748,2944797172.1187606,3974281395.7511997,6943968194.929117,7103841254.596081,45943136089.42487,46700402650.14016,14190775266.0,5728479772.006374,43779763183.613754,4725024000.0,428264718.9453361,17843630890.730347,11476341560.0,217950294346.34586,222559264182.97083,6033388067.1348,6315026715.908064,6985474673.502312,5384470111.7439995,7546274022.0336,6339959029.4816885,4291907775.996225,12188843976.747614,6196129069.0589075,5936246580.12525,7152820962.07952,11540497898.424126,20863512769.100624,10573575764.374739,5687835478.182281,56736100.62278912,22571787486.051933,6309498620.516,48488458471.2297,4699073106.980352,44549189668.739296,5025429288.262572,8486763403.742741,13722464509.0119
2018-10-01,8879189278.521276,7930247791.561978,3435090813.3386903,17884808837.43427,2901415687.6528,11680831374.2694,75429879369.00372,4102376024.201071,19046724766.236893,19997503710.932735,29330772185.0,5590381757.310852,4466650590.6759,35256770415.809715,116978378616.38016,79240634304.43399,6036082261.293085,18852825630.63123,7926637252.5711,8293474534.422839,8473399484.04432,8625283874.443064,5148529037.70768,26909480588.29416,20974603444.636322,6909872008.5344515,5993454225.154501,66511906864.7176,4163961799.8,1830827734.838784,3252141588.9375,18010979307.480392,14957258686.08,5101221068.13105,1495893985.67,75411114556.26529,40704080087.97619,5176039436.65998,5385311143.01892,5799128602.533749,133547199165.19147,25323218078.541523,9490153189.507652,8909800582.958958,10274499784.079533,7971477682.983359,5680432031.657936,3938209456.254184,6749571267.2964,54857573.2094277,6535128672.29838,15294117765.008879,42390343171.12487,15656638400.0,7364879985.344307,4330095962.338066,0.0,9560491926.118217,7630814056.67896,6071856455.80107,25738227486.793915,7221229465.051079,2920841820.3409204,3883167957.6390004,6871393922.0446005,7053142135.6505995,45259727104.65375,47674455080.84992,14382482252.0,5790212993.004225,43762846737.252235,4733988000.0,422621406.397008,18239252213.836056,11214798216.0,219029872866.6364,223431231449.35934,5972031578.31648,6321501452.800655,7035714172.404924,5327225423.056,7560197036.834399,6369836310.487728,4288373402.3129997,12089184036.66045,6271962680.792484,5867334928.283001,7091886052.17976,11580902267.433926,20866796810.147232,10289237794.871529,5653303953.16296,55809730.60402687,22431299182.196835,6298808178.936,48162148892.37963,4837761028.540536,43655546222.249954,5030628904.701541,8537290593.898979,13679829244.225798
2018-10-02,8914939351.903753,7926780258.640439,3411847086.230551,17704175174.924778,2878622680.8644,11652025378.278599,75227823773.84149,4149223578.4407153,18839695149.212578,19762164131.637405,29109984670.0,5495996134.957379,4358606266.3275,35159795323.77866,117809697043.09557,77480961000.74615,6024357918.92735,18886282286.58621,7956177515.62416,8454472795.66848,8492964428.276999,8549819627.971915,5144597362.230241,26956800894.13524,20849903067.438725,6978946352.261852,6143827628.653001,67319743790.2,4329005120.0,1838629557.5724719,3172789334.167425,18115879921.32492,14265048528.56,5148345512.17845,1499578453.615,74676113439.73248,40618050933.20088,5217916778.380529,5597595192.2250595,5702780260.237499,132329686215.0978,25057506965.107323,9350114038.358131,8846609628.857298,10166747472.957169,8037119495.596801,5649911379.149029,3903025929.247744,6813925003.44,54814899.095690295,6510095507.0372095,15048851271.64104,41736526013.73972,15646382960.0,7351983197.4241905,4296629547.013211,0.0,9441343223.150642,7656225901.777319,6029576604.271314,25721914755.467514,7215915830.41896,2932819496.2298403,3897919657.1428804,6843599519.663297,6895080176.585279,44615001647.3225,47586519791.9664,14360190742.0,5984491070.8504,43283547423.675835,3725040000.0,426383614.76255995,18117238160.915604,11138138960.0,220649240647.07217,223763409455.60257,6066111527.837904,6248121101.35128,6935235174.5997,5183246357.568,7595004573.8364,6401705410.227504,4336676509.317075,12141180527.14071,6304649582.401783,5914588632.403399,7035638443.04152,11414234245.268501,20219840723.965458,10238476907.492245,5660703565.667101,54834604.26848767,22009834270.631554,6262460677.564,48059103762.216446,4821444802.474632,42889566125.2591,5086524781.420446,8472327063.698099,13819916542.808699
2018-10-03,8860373450.425236,7826221803.915779,3398564956.45447,18067518748.938126,2900745305.1002,11349562420.3752,76137073952.07156,4145549260.4611354,18597509559.486023,19552266669.022655,29143951980.0,5494029767.825016,4292306340.0228004,35775376342.75836,119155641162.5395,79329171326.00319,5981368663.586317,18790094400.71564,7893814738.0677,8400806708.5866,8455613171.10552,8538639739.605821,5111178120.672,26972574329.4156,20933036652.23712,7018793444.109852,6156716777.524301,67625742625.61,4301948838.0,1876338367.4519641,3140267918.27805,17965370344.939293,13933891509.68,5148345512.17845,1513579431.806,75734515047.5397,41423038024.31273,5164872145.5345,5530558124.0547,5671532149.222499,133088136905.32008,25517756572.30585,9250086073.251331,8893062660.497828,10005119006.273623,7979482782.08256,5630162721.643264,3811548759.0309997,6581115899.1558,54260135.6171041,6485062341.77604,15078049663.708641,41456318660.57466,15454948080.0,7403612767.111433,4319458480.396609,0.0,9322194520.183067,7670746956.11924,6118834068.611911,25927455170.18016,7125584041.67292,3016663227.45228,3873622740.3129597,6582640963.972164,6877186369.89864,44305533427.8035,47843561405.625916,14306691118.0,5969965607.0862,43813596076.33679,3557712000.0,422487041.81252396,18209673049.491703,11160685800.0,221604252415.0215,224718421223.55188,6017026336.783247,6261070575.136463,6939603826.678187,5184981045.104,7560197036.834399,6353901760.61784,4384979616.32115,12141180527.14071,6309879486.659272,5861428215.26795,7002827337.71088,11606154998.065048,20246113052.33832,10187716020.11296,5677969328.176761,53745713.193802245,20839098405.17243,6204732293.032,48305267128.717384,4920701844.375547,42767222081.98973,5200916343.077743,8385709023.43026,13923459328.7178
2018-10-04,8946926259.66702,7926780258.640439,3401885488.8984904,18196246186.58857,2953705526.7556,11498393399.661001,76705355313.46536,4065632844.4052706,18702977477.592747,19386892910.59891,29228870255.0,5454702425.177735,4343872949.3709,35691050175.77484,118462875806.94336,77779773448.54219,5854354954.624177,19112114714.282326,7933201755.47178,8334756139.87044,8357788449.942121,8485535269.866864,5079724716.852481,26341636918.201202,21066050387.914562,7066615011.394105,6023528905.8542,67307503836.7836,4354708587.9,1886740797.763548,3150674771.36265,17919761382.39819,13823505836.72,5254375511.285099,1521316814.4905,76106915613.24966,41005182129.68977,5243043183.41286,5459796774.31932,5637680028.956249,133547199165.19147,25380156174.277428,9387624525.273182,8811297556.154497,10001949820.652378,7985886861.36192,5822263299.199332,3802166485.162616,6624649308.9,55860414.882256605,6423215698.18962,14972935452.265278,41966439739.41362,15591687280.0,7416509983.4962635,4358996590.986239,0.0,9522364341.168594,7587250893.653199,6122357389.572722,25659926376.427197,7229199916.99926,2878064406.45192,3918745585.854241,6533228693.072069,6990513812.247359,44808419284.52187,47863854164.599045,14369107346.0,5962702875.204101,44230868419.92096,3615480000.0,423338017.51425606,18117238160.915604,11192251376.0,221064463154.87625,225465821737.59918,5918855954.673936,6233013381.935233,7055373106.758121,5320286672.912,7526781801.312479,6314065385.94312,4287195277.751925,12071851873.167028,6312494438.788015,5920495345.418449,6984078134.6648,11388981514.637375,20584369280.138947,10153865556.708921,5675502790.675381,54639579.00137984,19968070921.270836,6155556261.764,47858738231.3436,4796970463.375775,43081061149.50681,5115122671.83477,8336986375.779599,13783372030.1349
2018-10-05,8866018198.85405,7860897133.131179,3386943092.9004,17920105070.33843,2826332841.7616005,11234338436.411999,75518278691.88719,3982042110.3698254,18738133450.294987,19374171852.258625,29738379905.0,5486164299.29556,4347556278.61005,35543479383.55368,117908663522.46645,76540255146.5734,5715616903.2963,19041019320.37799,7703444153.94798,7921940085.39444,8267078253.95424,8393301190.846572,4932286886.448481,25560851871.82338,20849903067.438725,6777039724.482739,5980565076.2832,66328307563.4716,4416938036.5,1849031987.8840559,3135064491.73575,17655229399.659813,13784410910.88,5187615882.21795,1500315347.204,75117114109.65216,40550456597.305984,5173247613.87861,5396483987.71398,5640284038.207499,134445364456.24416,25152403791.333824,9302600754.932402,8590120388.78051,9795952755.271387,7920245048.74848,5759426661.680992,3827967738.300672,6414553287.960599,54772224.98195288,6320137958.87892,15165644839.91144,42332864739.7064,15523317680.0,7370064408.395249,4316414622.612156,0.0,9400832664.141668,7322241651.913159,6047193209.075378,25363034666.286713,7223886282.36714,2845553571.8962803,3648876259.6362,6562567228.919001,6909991682.157479,44370005973.53662,46470418048.44479,13865319220.0,6100694780.964001,43717736213.62151,3375444000.0,417425975.79696,17884302241.70383,11246363792.0,219860317882.2445,223721887204.82214,5982257659.7862,6053878994.573521,6943972478.756676,5332429485.664,7267813726.0176,6122850787.504463,4214151554.9652753,11876865033.866055,6065381462.621707,5934277675.7869,6534097261.55888,11298071684.365324,20252681134.43154,10170775980.68417,5621238965.6450205,53696956.87702528,20052363903.583893,6108518318.811999,47200394344.18995,4735784615.628635,43001271556.07027,5060526699.225607,8300895525.667999,13801644286.4718
