,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AVV,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,EVR,EXPN,FERG,FLTR,FRES,GSK,GLEN,HLMA,HL.,HSBA,HIK,HSX,IMB,INF,IHG,IAG,ITRK,ITV,JD.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MNG,MGGT,MRO,MNDI,MRW,NG.,NXT,NMC,OCDO,PSON,PSN,PHNX,POLY,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SPX,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WTB,WPP
2019-09-23,10498931472.226679,7968913158.659699,4062504079.452,23268380579.727192,3042213769.1193104,10167587924.9728,93770974664.2008,4643075419.39689,2351677874.2379994,15152002605.362389,18371070417.69216,25630915770.16474,6368119191.808098,4860571348.58924,37138721235.2898,104731499904.17702,63837140081.12,5227629954.307825,14885686186.42822,6895900231.63496,8887408543.518959,5922256597.901641,4166086148.908508,5001093174.74,32072239882.166397,21599293164.8,6144893854.834001,6634253725.11888,77048550299.85217,2213157537.4616303,23001884777.93024,13612098695.58,5576907534.17168,1367767301.184,83159168560.08672,28328105145.54203,7273556579.62824,5391487740.553201,123655517062.39507,2776201867.098,4555595090.1175,19973969455.169456,10357028063.129414,8393118260.3268,7313257645.555584,8628076569.42,4524841712.69958,2820289552.1049604,5744885042.806,42179789.862798564,6184681282.936801,14684188738.6363,38301165143.37141,25207527565.14174,0.0,4841507153.44192,9482298312.488731,7496843541.368401,4810673507.42323,29852171031.122433,7407106670.6286,2300435775.4728,5578975025.7312,6627048562.632961,6372868088.9609995,4884574250.7408,2307297318.15168,37313293677.39637,42947079489.002365,36567095655.37014,8241618934.509241,45773204511.375,4687901002.587203,14686302374.30625,9546771779.999998,190594010046.7984,190917942929.81824,5386553878.2012,7294192926.466445,4764488298.74082,5216345550.0,7313982417.1854,8534137445.598536,4920816966.24672,16773697378.58525,4491253272.406263,6148139462.318159,5637569902.056001,5832147847.1647005,12430874556.500925,21972074300.7724,6588521956.633319,4688189818.462079,52900869.05963497,22625366669.070885,3842023206.8356,54432102799.07977,5370990204.000193,42823411481.33477,5754457736.847119,12169022538.130178
2019-09-24,10513030305.89574,7982688289.4439,4064406891.6671996,22788286774.73603,2977529739.64697,10122196907.4506,94751842600.01881,4470013705.232425,2319984102.348,15155906754.449059,17911793657.249855,25249697540.164974,6295239386.643577,4857061065.95906,36075927940.7982,103157197149.78778,62686123685.76,5210963758.916833,14774220871.213306,6905884643.167251,8622902336.866611,6015559147.951499,4105708088.779398,5001093174.74,32246030344.58208,21503650538.24,6005352499.749001,6706241629.617601,77333256259.38974,2090911258.698349,23010912205.237125,13635030128.692503,5606658974.73808,1371452019.129,83859643227.042,27776443591.81435,7353711098.5734,5338317250.015201,123332709382.02332,2857229768.4821997,4578022635.17654,19268108070.4118,10412052119.489918,8473853666.43816,7414119463.285504,8695183831.6266,4528424326.88224,2862395511.5392003,5661433427.79,41854684.570469685,6112526667.969204,14402927342.205914,37736875417.50222,25428343574.4723,0.0,4896663564.050753,9393591435.119316,7410230458.092001,4735692698.178385,30115888920.04087,7369456179.249599,2322571722.9792,5698038517.134,6673652279.669761,6360815383.355399,4856559780.773316,2321317353.93906,36731283897.333,43404326322.9072,36849204134.75448,8338065347.299921,44619439403.55,4700150090.686537,14693882401.33815,9368540999.999998,188812379190.18927,188205005034.52707,5370118931.2044,7411177309.605499,4687464238.48404,5178620499.999999,7235337444.9576,8572997671.761139,4939752288.86816,16974371001.319948,4534602602.031712,6213209572.086121,5576496228.117061,5660935511.8638,12502111659.976574,21651314092.002,6571720625.596369,4654090349.70768,51992699.63371849,22550074267.50992,4090088162.0584,54845865059.69939,5381879185.660608,42850182806.34185,5720638591.015739,12105438417.151201
2019-09-25,10447235748.77346,7917256418.218949,4009225337.4264,22905200810.148384,3031891849.52266,10149431517.96392,95837336448.99072,4487050868.80302,2259132060.3192,15128577710.842373,18007476315.675335,25435155057.46216,6251905448.437643,4843019935.43834,36544063082.4195,102672796302.2834,64733604773.66,5262814144.577696,14740443502.96636,6905884643.167251,8570001095.536141,5977910750.562961,4133574885.762064,5004940169.4898,31945846818.591362,21360186598.4,6089077312.8,6535743961.068001,76704530598.7443,2115451403.8775952,22703979676.803204,13511200389.885002,5567982102.0017605,1358187034.5270002,82873059189.07681,27639950011.51059,7135616244.69936,5330341676.4345,124240605983.0688,2862543073.4909997,4549988203.85274,19702117435.364147,10309507287.181705,8337612668.62524,7449809029.559169,8631272153.3346,4480059035.41633,2839723071.8438396,5651950289.72,42410509.74767712,6183208739.774196,14350190830.375217,37645178337.04847,25028114557.560658,0.0,4869085358.746336,9274537468.12352,7299558185.016601,4808293164.2726,29956270197.800762,7274074934.4228,2314909279.6116,5523695547.5799,6686079937.54624,6186051152.0742,4856559780.773316,2331331665.2157598,36692483245.32877,43820625679.148926,36664374441.36474,8316228423.6492,45034579185.3375,4724648266.8852,14796212766.268799,9299990699.999998,189379261735.474,188569429527.92438,5318759721.8394,7235700734.89692,4764488298.74082,5149469325.0,7120944758.080801,8519025135.42419,4901881643.625279,16904571480.36875,4514898361.292871,6189547713.988681,5529516478.933261,5569865120.7463,12481758201.840675,21651314092.002,6650926900.484856,4603428281.844,51895395.76665601,22390077914.19286,3951137688.858,54365006216.2766,5381879185.660608,42978685166.37586,5656902508.4873705,11958705830.27664
2019-09-26,10771508923.16184,7948250462.483399,3995905651.92,22892763146.806644,3054600072.63529,10249291756.512758,96504326645.34697,4562373065.64144,2352945625.1136,15273031227.049126,18243493539.79152,25610309379.35394,6216450408.087337,4868762008.059661,36577802552.08591,103803064946.46027,64954954080.46,5310960931.262784,14762398792.326876,6955806700.828701,8704288861.99041,5547409510.85922,4226464209.037616,5051104106.4874,32704205200.041595,21663054915.84,6091614428.346999,6674036514.447121,77867079933.52266,2090456811.5654,23209515605.988476,13561649542.7325,5623022267.049601,1345290521.7195,84412130288.30252,27674073406.586533,7249323818.086679,5420731510.3491,124926572303.85873,2905049513.5613995,4597646737.1032,17152431649.611137,10534605699.565584,8426758012.873199,7153430457.46048,8688792663.7974,4472893807.05101,2931222560.6144,5678503076.316,42284662.53774337,6293649476.969496,14449804241.610977,37800358011.6625,25359338571.5565,0.0,4892067196.500016,9384253869.08043,7311587779.9161,4758305958.10937,30778653614.55957,7565238734.420401,2298733010.2799997,5502434209.829401,5747791767.872001,6228235621.6938,4901813924.566944,2358370305.66285,37287426576.06023,44885260098.39004,37462060486.52046,8423593298.265241,44915967819.1125,4775394489.011004,14887173090.651602,9363970979.999998,191363350643.97052,190958434540.1957,5392716983.325,7409010932.139959,4854716483.613049,5194053474.999999,7192440187.378801,8706849561.876776,5053364224.596799,17118332513.2818,4533288985.982456,6191519535.4968,5562402303.36192,5660935511.8638,12619144044.258001,21824524604.738014,6734933555.669616,4624862233.63248,52073786.18960388,22672424420.04649,3946875404.4040003,54829090913.9986,5535686051.613984,43599779906.54026,5714134909.125091,12063864184.203411
2019-09-27,11133378987.334377,7927587766.307099,3965460656.4768004,23462408127.85834,3109650310.4840894,10312839181.043839,96556639601.9239,4589273850.22659,2347874621.6112,15526800917.682611,18154189725.261074,25915970843.04745,6358270569.488568,4899184457.521221,37003763356.62421,104812233378.76108,65187370852.59999,5385032910.778305,14988707159.581402,7145510519.942211,8826368649.676111,5511398000.31366,4264781054.888781,5095344546.1101,33241375720.23552,22117357392.0,6149968085.9279995,6721396977.933122,78282276124.51494,2123631452.270677,23426173861.3536,13584580975.845003,5667649427.8992,1295178357.6675,85092873274.4985,28094928612.523117,7335070512.7722,5521755442.3713,125955521785.04361,2917004449.831199,4634091497.824141,16927319099.877615,10664662560.054049,8499083480.847961,7358257533.465857,8880527698.673399,4517676484.33426,2980616089.9507203,5724022139.051999,43815803.591937445,6301012192.782516,14637311839.231236,38752596924.06676,25393841073.0144,0.0,4889002951.466192,9398260218.138758,7458348837.69,4820194880.02575,30639854725.655132,7801181813.728802,2360032557.2208,5547083019.105451,5704294965.30432,6553658673.044999,4990167252.925932,2299285869.13032,38102240268.14895,45083172907.095116,37646890179.9102,8419953810.990121,45821727343.0125,4809516948.716286,15008453523.161999,9551341800.0,195048087188.3212,195169562019.45358,5462565508.061399,7476168633.571638,4896529544.8953,5254070600.0,7213888816.1682005,8704690660.423298,5084134123.85664,17105245103.103449,4651514430.415496,6191519535.4968,5759717249.933881,5748363087.3366,12654762595.995825,21907922259.018322,6866944013.817096,4749568862.22,52673826.70315585,23011240227.070847,4027858809.03,54991240989.10628,5561547383.057473,43423089161.49349,5810389401.106709,12220378943.536272
2019-09-30,10964192983.305658,7931031549.003149,4030156271.7936,23273355645.06389,3093135239.1294494,10276526367.026081,94961094426.32664,4573133379.4755,2345339119.86,15589267303.069317,18179705100.8412,25826676482.86733,6381907263.055439,4889823703.84074,36531410781.2946,104105815476.15053,66570804020.09999,5414661702.584513,15079906053.84815,7072291502.03875,8846715280.95706,5516308660.8426,4281036686.4620028,5110732525.1093,33067585257.819843,22220970237.44,6165190779.21,6721396977.933122,79077080261.5573,2124994793.669524,23462283570.581123,13630443842.07,5660211567.7576,1259436593.601,86059725631.70439,27839003149.453568,7348118922.833039,5527072491.425101,126016048225.11334,2922317754.84,4653715599.7508,17438591670.45884,10654658186.170322,8536087208.649,7370671295.647999,8752704342.089401,4510511255.96894,3042155569.1238403,5797990615.998,43375338.357169285,6305429822.270328,14555277265.272373,38174199955.050835,25214428065.43332,0.0,4864488991.1956,9412266567.197088,7496843541.368401,4767827330.71189,30601685031.206406,7763531322.349801,2307246836.2439995,5623623835.00725,5732257195.5264015,6538592791.037999,4965744381.672227,2283262971.0875998,38153974470.82125,43295133049.138885,37598250786.9129,8512760736.505681,45385021858.275,4817391362.494429,15016033550.1939,9487361519.999998,193063998279.82468,194035796928.8842,5487217928.556601,7489166898.364865,4837110984.125784,5272933124.999999,7199589730.308601,8752186492.399813,5124371684.4272,17092157692.9251,4734272241.518623,6191519535.4968,5717435475.668461,5715577746.534301,12675116054.131725,21946413484.07077,6859743443.372689,4771002814.00848,52381915.1019684,22681835970.24161,4031268636.5931993,54683714984.591705,5620075659.482208,43369546511.47932,5585362007.69022,12447814453.191841
2019-10-01,10832603869.061102,7934475331.699201,4035864708.4392,23181316936.335014,3046342536.95797,10208439840.742779,93326314533.29665,4621554791.72877,2364355382.994,15382347401.475859,17994718627.885273,25696169341.065605,6366149467.344192,4874612479.109961,36607324588.04401,103782881577.81427,66105970475.82,5383181111.290417,15127194369.39387,7072291502.03875,8582209074.304712,5423006110.792739,4272908870.6753917,5116503017.234001,32751602598.88224,22069536078.72,6165190779.21,6613415121.18504,78733060560.4494,2076823397.57693,22938692786.78208,14185384523.3925,5678062432.09744,1272333106.4085,85369116805.12875,27071226760.24494,7310837751.230639,5333000200.961401,125067800664.02136,2853244789.7256,4639698384.088901,17741921292.5574,10454570708.495762,8460397765.4196005,7383085057.830144,8586533978.5302,4521259098.51692,3044584759.0912004,5651950289.72,43878727.196904324,6330463056.0345955,14361910055.226484,37652231958.62184,25035015057.852238,0.0,4833846540.85736,9244190378.497139,7597892138.5242,4739263212.90433,30643324697.87774,7931703517.176001,2259569410.8455997,5685281714.4837,5825464629.600001,6541605967.439401,4928391755.048916,2282261539.95993,37675433096.10248,42592201349.255325,37092401099.74098,8430872272.815481,45304150472.2125,4887386151.633468,14693882401.33815,9208590299.999998,193590389214.7319,193995305318.5067,5425586877.318601,7396012667.346731,4845913733.869416,5163187525.0,7206739273.2384,8674466040.074606,5112537107.7888,16839134429.477,4683041215.59764,6163914034.383121,5740925350.260362,5686435221.3767,12741264793.0734,21388290720.81027,6797338499.5211525,4645321914.885119,52560305.524916284,22540662717.314796,4085825877.6044,54706080512.192764,5651381481.755904,42673492061.29508,5623083362.65599,12398903590.90032
2019-10-02,10226354021.29152,7438570623.468,3893153792.2992005,22375356351.79026,2883944335.30401,9709138647.99858,90226771856.11176,4465530241.1349,2275612821.7019997,15027069834.58898,17369591926.172134,24782619348.45354,6088418317.933446,4696758159.1808405,35110135621.5975,99302173738.39873,64124894179.96,5186890365.574289,14731999160.904627,6789399841.957201,8167137796.173331,5215121481.73428,4109191438.402232,4918382787.6193,31898449419.750717,21184841783.04,6005352499.749001,6393662570.610002,76360510897.63641,1993659572.247263,22360937439.14176,14107417650.810003,6072269019.60224,1228853434.6575,82379767170.09421,26474067346.41601,7094606955.93672,4931562997.399501,121658144540.095,2746978689.5495996,4482705568.675621,17455761271.7097,10076905594.385029,8132410178.092199,7198430345.370752,8388407775.825,4376163224.11919,2960372840.22272,5452804390.25,41099601.31086712,6124307013.270036,13893141061.175842,36396687318.56289,24179353021.69632,0.0,4695955514.33528,8940719482.233345,7441507404.8307,4646429830.029759,29990969920.02687,7617949422.351001,2203378159.4832,5462037668.10345,5615747902.934401,6291512326.123199,4743783581.160624,2273248659.8108997,36045805711.925026,41520742350.40368,35895872032.0074,8243438678.146802,43196103008.85,4710649309.057392,14023050009.015,8900113949.999998,186666323840.1828,186261407736.40802,5248911197.103,7170709410.93078,4718273862.586752,5022575975.0,6935056641.906001,8475847106.35463,4961054526.81728,16176038980.440601,4530661753.883943,6017999242.78224,5595288127.790581,5555293858.167501,12415609462.899002,20939226428.531708,6542918343.818737,4454364889.860479,50484489.69425005,22587720468.2904,3953695059.5304,53515116167.43632,5449935321.038209,41688307301.03432,5473498679.17104,12022289951.255617
2019-10-03,10118262963.16206,7559103017.82975,3872222857.932,22151478411.63894,2836463505.15942,9500339967.39646,90762979661.0256,4348063481.779745,2294629084.836,14898232914.728907,17210120828.796337,24394532321.51684,6086448593.46954,4690907688.13054,34996264911.473404,97869154564.53159,61734321666.51999,5133188180.425536,14737065766.141668,6676243177.92458,8146791164.892382,5084170534.295879,4033718863.240846,4889530326.9958,31772056356.17568,21049348062.08,5914016340.056999,6348196525.663441,77795903443.63828,1918221348.177729,22189416320.31104,14396353708.027502,5883347372.005601,1213377619.2885,82409364691.23317,25928093025.20098,7081558545.87588,4861112097.43665,121678320020.11823,2728382122.0188003,4381781615.90994,17551147945.3256,10031885911.908255,8038218870.96228,7026189395.093505,8375625440.1666,4394076295.03249,2973328520.0486403,5367456147.62,39652358.39662889,6121361926.944828,13811106487.21698,36410794561.70962,24731393045.02272,0.0,4679102166.649247,8732958637.868132,7270687157.2578,4594062280.715899,29793181503.338047,7565238734.420401,2160809029.6632,5311082170.0749,5520987011.62624,6288499149.721799,4717924070.421408,2251217175.00216,35567264337.20625,41609461885.34045,35458117495.0317,8181567394.469762,43050534513.93751,4651153738.289208,13681948792.5795,8842988699.999998,185168134256.21606,184965676204.32867,5158518988.6206,7094886199.63695,4584031928.996365,4962558850.0,6820663955.029201,8588109981.935485,4908982389.608319,16149864160.083899,4271879392.1805115,6012083778.257879,5473140779.912701,5420509679.313601,12522465118.112476,20567144586.358047,6463712068.930248,4450467807.71712,48862758.57654204,22239493111.070923,3923859068.3524,53498342021.73553,5411823885.226753,41559804941.000305,5383747869.08007,11728824777.506496
2019-10-04,10287448967.19078,7593540844.79025,3910279102.2360005,22629084683.961758,2853666704.4871697,9731834156.75968,91521517531.39153,4375860959.1844,2356748877.7403994,14835766529.3422,17350455394.487038,24545645854.12936,6112055011.500319,4731860985.48264,35493922089.05281,99887491429.13318,62011008300.01999,5144298977.352865,14899197133.727,6699540138.166591,8301425562.627602,5184020631.71766,4044168912.109345,4979934703.6161,32372423408.15712,21264543971.84,6023112308.578,6471333730.727041,78021295661.60551,1918675795.3106778,22857445941.02016,14607322892.662502,6021691570.63936,1220010111.5895002,83810314025.14375,25780224979.871918,7204586412.1638,4829209803.113851,121436214259.83942,2745650363.2974,4407012604.10136,17366097798.510754,9966857481.66402,8138297134.787821,7055672080.276096,8477884125.433799,4410198058.85446,3053491788.9715204,5405388699.9,40334030.783770084,6159648049.172532,13928298735.729641,36699993046.217575,25469746576.22178,0.0,4760304660.045584,9003748052.995825,7316399617.875899,4635718285.851925,30192228308.93831,7570258799.9376,2129307873.5963998,5462037668.10345,5617301360.168962,6315617737.334399,4786882765.725984,2288270126.7259502,36317410275.9546,42326042744.44504,36129341118.39444,8285292781.810681,43514197127.3625,4747396573.355389,13833549333.2175,8916109019.999998,187800088930.75223,187030748333.5801,5177008303.992,7242199867.293534,4623644302.842708,4945411100.0,7095206403.533521,8711167364.78373,4968155272.80032,16437787184.0076,4400613765.0076,6025886528.814719,5646965851.89276,5540722595.588701,12751441522.14135,20483746932.077744,6504515301.44856,4469953218.43392,48522195.041823365,22324197062.82701,3903400102.9731994,53694040388.244804,5471713284.359041,42261213656.18596,5440980269.71779,11907349424.870544
