,III,ABF,ADM,AAL,ANTO,AHT,AZN,AUTO,AVV,AV.,BA.,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCL,CNA,CCH,CPG,CRH,CRDA,DCC,DGE,EVR,EXPN,FERG,FLTR,FRES,GSK,GLEN,HLMA,HL.,HSBA,HIK,HSX,IMB,INF,IHG,IAG,ITRK,ITV,JD.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MNG,MGGT,MRO,MNDI,MRW,NG.,NXT,NMC,OCDO,PSON,PSN,PHNX,POLY,PRU,RB.,REL,RTO,RIO,RMV,RR.,RBS,RDSA,RDSB,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN.,SMDS,SMIN,SKG,SPX,SSE,STAN,SLA,STJ,TW.,TSCO,TUI,ULVR,UU.,VOD,WTB,WPP
2019-09-23,10428437303.88138,8010238551.0123,4094851887.1104,23482308389.205124,3110338438.4571996,10349151995.0616,94987250904.61511,4646662190.674911,2369426386.4964,15202756543.489084,18281766603.161713,25861020467.551987,6372058640.735909,4861741442.7993,37670117882.53561,105296634226.26549,64711469842.98,5218370956.868385,15078217185.4358,6932509740.586691,8997280352.43609,6038475563.753221,4286842269.1667247,5043410116.987801,31740458090.281918,21782608199.04,6188024819.133,6613415121.18504,76823158081.88495,2212248643.195732,22956747641.39584,13699238141.407503,5649798563.5593605,1336815670.446,82517888935.40933,28908202861.832993,7351847039.99328,5391487740.553201,123635341582.37181,2736352079.5319996,4620074282.162241,20412748153.8026,10567119914.687702,8421712049.9912405,7403257421.376128,8755899926.004,4637694059.453369,2822718742.07232,5892821996.698001,42158815.3278096,6174373480.798572,14719346413.190096,38957151949.69434,25041915558.143818,0.0,4872149603.78016,9556998840.79982,7597892138.5242,4903506890.2978,29619682892.2075,7550178537.8688,2485185798.8915997,5547083019.105451,6645690049.44768,6360815383.355399,5000223729.324516,2316310198.3007097,37882369906.79167,42878833692.89716,36382265961.9804,8212503036.308281,45832510194.4875,4732522680.6633415,14959183347.45465,9734142599.999998,190594010046.7984,189905652670.38123,5429695614.0678,7443672971.588568,4817304797.202612,5356957100.0,7371178760.6238,8320406201.704212,4930284627.55744,16799872198.94195,4570070235.361624,6507010976.796,5769113199.770641,5879504450.545801,12598790586.122099,22049056750.877296,6614924048.262817,4756388755.97088,53517126.884364,22681835970.24161,3806220017.422,53789093880.54931,5414546130.641857,42834120011.3376,5871524010.878819,12331651155.24948
2019-09-24,10592923696.68708,8027457464.49255,4083435013.8192005,23405194876.486332,3041525641.1462,10199361637.23834,93901757055.6432,4639488648.11887,2373229639.1232,15300360270.655807,18332797354.321964,25586268590.074677,6393725609.838877,4893333986.470921,37324288318.455,104731499904.17702,63815005150.44,5249851548.16248,14887375054.840569,6935837877.764121,8948448437.36181,5991005845.306799,4170730615.072285,5001093174.74,32198632945.74144,21663054915.84,6195636165.774,6666458840.28936,77440020994.21632,2210430854.6639357,23119241332.919678,13680892994.917503,5606658974.73808,1367767301.184,83563668015.65245,28430475330.769844,7351847039.99328,5434024132.983601,124301132423.13852,2788156803.3677998,4583629521.4413,20050278794.06218,10429559773.786442,8391436272.69948,7355154092.92032,8688792663.7974,4557085240.34352,2822718742.07232,5828336657.822,42116866.257831685,6189098912.424612,14766223312.59516,38449291196.41207,25255831067.182796,0.0,4878278093.847808,9603686670.994251,7540150083.0066,4848758997.83331,29963210142.245987,7427186932.6974,2330234166.3468,5608740898.5819,6647243506.682241,6402999852.975,4919053598.393087,2315308767.17304,37287426576.06023,43097220240.43381,36635190805.56636,8294391499.99848,45708507402.525,4672152175.03092,14777262698.68905,9569621879.999998,191160892592.0831,191120400981.70563,5392716983.325,7335354098.311668,4782093798.228085,5209486450.0,7378328303.553601,8555726460.133314,4932651542.88512,16865309249.833702,4492566888.45552,6203350464.54552,5642267876.974381,5879504450.545801,12486846566.374651,22016980730.000256,6648526710.3367195,4727160639.895679,52917086.37081204,22691247520.436733,3857367430.87,54331457924.87501,5395490412.736128,42946559576.367355,5786976146.30037,12222824486.65085
2019-09-25,10484832638.55762,7972356941.355749,4056795642.8064003,22636547281.9668,2959638412.3461094,10063188584.67174,94699529643.44183,4482567404.705495,2316180849.7211995,15140290158.102383,17822489842.719406,25033330436.651592,6257814621.829362,4850040500.6987,36084362808.214806,101986561768.31885,62641853824.4,5225778154.819936,14742132371.378708,6862618859.860661,8537446485.486621,5971363203.19104,4106869205.3203425,5001093174.74,31993244217.432003,21328305722.88,6002815384.202,6681614188.60488,76799432585.2568,2088639023.0336041,23010912205.237118,13602926122.335003,5597733542.56816,1365187998.6225,83307156165.7815,27577390453.87137,7303381516.91016,5305085693.428951,123070428141.72131,2829334917.186,4552791646.98512,19234722734.646236,10359529156.600346,8395641241.76778,7347395491.55648,8650445656.822199,4471102499.959681,2852678751.66976,5627294130.738001,41781273.69800832,6118416840.61962,14268156256.416355,37186692934.779755,25173025063.683838,0.0,4875213848.813984,9318890906.808228,7357300240.534201,4736882869.7537,29931980392.24249,7369456179.2496,2307246836.244,5706543052.2342005,6650350421.151361,6333696795.742799,4838601787.204416,2323320216.1944,36511413535.97572,43213238093.812645,36557367776.770676,8332606116.387241,43799942691.45,4720273592.56401,14583972009.3756,9290850659.999998,187314189606.2225,186666323840.1828,5329031563.7123995,7348352363.104895,4784294485.663992,5144325000.0,7192440187.3788,8527660741.238101,4963421442.144959,16887121600.130949,4522780057.588408,6140252176.28568,5571798253.198681,5657292696.2191,12476669837.3067,21580746846.072514,6569320435.448231,4633630668.45504,52025134.25607265,22455958765.558704,4072186567.3515997,54728446039.79383,5409101639.811648,42405778811.22423,5671210608.646799,12085874072.234594
2019-09-26,10480133027.3346,7903481287.43475,3999711276.3504004,22815649634.08786,3032579977.4957695,10167587924.972801,95667319340.1156,4492431025.72005,2262935312.9459996,15124673561.755703,18103158974.10082,25359598291.1559,6263723795.221081,4834829275.96792,36451279540.83691,103722331471.8762,62951742853.92,5251703347.650369,14759021055.50218,6932509740.586691,8614763684.35423,6022106695.32342,4079002408.3376775,5016481153.739201,32040641616.27264,21439888787.2,6091614428.346999,6566054657.69904,76538452122.34738,2101817989.889125,22776199095.258244,13579994689.222502,5581370250.25664,1352291485.815,82656010700.72446,27833315916.940914,7154256830.500561,5246598153.837151,123716043502.46477,2846603158.4645996,4535970988.190841,18361934671.06075,10354526969.658482,8395641241.76778,7241878513.008256,8551382555.4696,4489015570.87298,2853488481.65888,5684192959.158001,42368560.6776992,6197934171.400235,14379488892.503384,37447676932.994255,25076418059.60172,0.0,4875213848.813984,9337566038.886,7326023293.795501,4688085835.165785,29859110975.567657,7228894344.768001,2320868957.7864,5534326216.455151,5895370205.1552,6237275150.897999,4880264332.284264,2343348838.7478,36744217448.001076,43929818952.917244,36499000505.17392,8352623296.4004,44964490650.75,4735147485.256056,14826532874.396399,9336550859.999998,189824669449.62625,189095820462.8316,5324922826.9632,7255198132.086761,4771090361.048544,5170046625.0,7192440187.3788,8564362065.947227,4885313236.33152,16904571480.36875,4535916218.080968,6189547713.988681,5468442804.994321,5537079779.944,12313842172.2195,21702635725.405262,6686929752.706897,4630707856.84752,52057568.8784268,22408901014.5831,3963072085.3292,54102211266.96415,5396851535.443681,43021519286.3872,5697225336.209399,11939141485.360035
2019-09-27,10893698814.96036,7937919114.39525,4003516900.7808003,23009677182.218998,3073179527.90926,10285604570.53052,96386622493.04881,4562373065.64144,2365623133.8696,15374539103.302523,18249872383.686554,25678997348.72327,6169177020.953591,4874612479.109961,36986893621.791,104186548950.7346,65021358872.5,5335034324.605329,14752265581.85279,6952478563.651271,8732774145.783741,5454106960.80936,4243880957.1517816,5047257111.7376,32735803465.93536,21965923233.28,6091614428.346999,6706241629.6176,78116197648.11803,2103635778.4209206,23326872160.97792,13570822115.977503,5649798563.5593605,1330551649.9395,84056960034.63506,27770756359.301693,7232547290.8656,5468584951.833301,125249379984.23045,2903721187.3092,4681750031.0746,17081845511.13537,10547111166.920246,8423394037.618561,7165844219.642625,8714357335.1142,4505137334.69495,2931222560.6144,5724022139.051999,42200764.397787526,6301012192.782516,14514259978.29294,37694553688.06203,25552552579.720737,0.0,4910452666.70296,9454285614.372076,7326023293.795501,4777348703.31441,30750893836.778683,7545158472.351601,2300435775.4728,5498181942.2793,5643710133.156481,6342736324.947,4924800156.335136,2345351701.00314,37429695633.40905,45008102531.3794,37530155636.71668,8439970991.003282,45180147680.25,4794643056.0242405,14989503455.58225,9336550859.999998,192497115734.53992,192335149293.03003,5411206298.6964,7441506594.12303,4837110984.125784,5233493300.0,7242486987.887402,8715485167.690687,5067565716.5628805,17236119204.88695,4554306842.770552,6173773141.923719,5562402303.36192,5657292696.2191,12624232408.791975,21869431033.96587,6797338499.521152,4652141808.636,51489962.987229005,22700659070.63185,3944318033.7316,54957692697.70469,5561547383.057473,43685448146.56294,5690721654.31875,12105438417.151201
2019-09-30,11053485596.54304,7924143983.61105,3946432534.3248005,23546984238.58217,3094511495.07567,10335534689.80494,96138135949.30824,4551612751.80738,2358016628.6159997,15495567724.989258,18154189725.261074,25953749226.200584,6358270569.488568,4909715305.41176,37037502826.2906,104570032955.00891,65154168456.58,5405402705.145073,15061328501.312332,7145510519.942211,8806022018.39516,5488481584.51194,4288003385.7076693,5074186074.9862,33114982656.660477,22053595640.96,6043409232.954,6698663955.45984,78685609567.19315,2107271355.484513,23353954442.89856,13625857555.447502,5698888440.493921,1298126132.0235,85980798908.66719,28197298797.75093,7299653399.74992,5457950853.7257,125955521785.04361,2898407882.3004,4617270839.0298605,16915872699.043707,10612139597.164478,8457033790.164961,7321016246.919425,8784660181.235401,4446024200.68106,2996810689.73312,5716435628.596,43710930.91699264,6312792538.083347,14649031064.0825,38611524492.599464,25269632067.76596,0.0,4870617481.2632475,9370247520.0221,7480002108.5091,4774968360.16378,30605155003.42902,7771061420.625601,2343004905.2928,5553461420.430599,5600213330.5888,6535579614.6366,4946349748.617816,2299285869.1303196,38257442876.16585,45130944964.36876,37549611393.9156,8456348683.741321,45956512986.45,4820891101.95138,15027403590.74175,9578761919.999998,195088578798.69867,195331528460.96356,5464619876.436,7454504858.916259,4883325420.279852,5221489875.0,7178141101.5192,8689578350.248951,5084134123.85664,17079070282.74675,4685668447.696152,6207294107.56176,5731529400.423601,5693720852.666101,12710734605.86955,21978489504.94781,6835741541.891328,4728134910.4315195,52868434.4372808,22926536275.314754,4011662128.1048,55035972044.308395,5505741352.04784,43369546511.479324,5723240063.771999,12195923512.390512
2019-10-01,10997090261.866798,7941362897.0913,4045378769.5152,23385294615.139545,3095199623.04878,10340073791.55716,94529512534.56671,4610794477.894711,2366890884.7451997,15628308793.936008,18224357008.106422,25806070092.056534,6409483405.550123,4916735870.67212,36750717334.1262,104247099056.67264,66626141346.8,5414661702.584513,15191371369.063065,7105572873.81305,8887408543.51896,5549046397.7022,4325159115.01789,5122273509.358701,33178179188.447998,22236910675.2,6177876356.945,6785807208.274081,79124531254.81354,2132720394.929657,23588667552.87744,14075313644.452503,5689963008.324,1243592306.4375,85398714326.26772,27867439312.01685,7426409383.19808,5500487246.156101,126419557825.57799,2915676123.5789995,4684553474.206981,17551147945.3256,10707181149.059895,8499083480.84796,7431188386.285953,8813420436.466799,4526633019.79091,3048633409.0368004,5822646774.98,43312414.75220241,6305429822.270328,14625592614.379967,38449291196.41207,25455945575.63862,0.0,4872149603.78016,9468291963.430405,7542556001.9865,4763066644.41063,30622504864.542076,7756001224.074,2348964583.4676,5676777179.3835,5736917567.230081,6568724555.051999,5012435164.951367,2273248659.8108997,38347977730.84238,43417975482.12824,37637162301.310745,8552795096.532001,45503633224.5,4845389278.1500435,15016033550.1939,9482791499.999998,193954813708.1292,195088578798.69867,5505707243.928,7549825467.39993,4852515796.17714,5368960525.0,7299683331.325801,8737074182.225468,5124371684.427199,17140144863.57905,4757917330.405231,6189547713.988681,5731529400.423601,5759291534.2707,12720911334.9375,21959243892.421585,6890945915.298457,4809973635.44208,52625174.769624606,22747716821.607452,4049170231.3,54795542622.597,5622797904.897313,43492694606.51192,5586662744.06835,12508953031.05624
2019-10-02,10724512810.931639,7869043460.474251,3995905651.92,23146491478.978138,3040837513.1730895,10072266788.17618,92423916032.34409,4589273850.22659,2342803618.1088,15249606332.529116,17892657125.564762,25630915770.16474,6330694426.993883,4837169464.388041,36417540071.1705,103338847467.60191,66172375267.86,5370218514.875201,15081594922.260492,7025697581.55473,8553723790.51138,5339524881.80076,4296131201.49428,5079956567.1109,32735803465.93536,21918101920.0,6091614428.346999,6594470935.790641,78875413540.21819,2072278926.2474399,22893555650.24768,14112003937.432503,6619695526.024,1271964634.6139998,85004080711.08163,26957482109.99181,7228819173.70536,5245268891.573701,125350257384.34662,2817379980.9162,4625681168.427,17720936224.3619,10427058680.31551,8418348074.7366,7372223015.920769,8525817884.152801,4474685114.14234,3014624749.4937606,5595051461.3,43501185.567103036,6280396588.50606,14262296643.990723,37433569689.84753,24910806052.603798,0.0,4800139845.485296,9094789321.874964,7508873136.2679,4694036693.042359,30691904308.994297,7891542993.038401,2236582080.7427998,5640632905.20765,5772647083.624961,6493395145.016999,4873081134.856704,2263234348.5341997,37339160778.73252,42578552190.03428,36907571406.35124,8399936630.97696,45088493442.7125,4848889017.606996,14583972009.3756,9208590299.999998,192335149293.03003,192861540227.93726,5388608246.5758,7337520475.777205,4799699297.715348,5098026075.0,7138103661.112321,8639923616.818958,5074666462.545919,16756247498.34745,4648887198.316983,6112646675.172,5656361801.72952,5631792986.706202,12720911334.9375,21362629904.10864,6638925949.744177,4606351093.45152,52398132.41314548,21928911954.631927,4027006352.1391993,54901778878.70204,5624159027.604864,42373653221.21572,5615278944.38721,12313309581.890162
2019-10-03,10169958686.61528,7438570623.468,3841777862.4888,22370381286.45356,2866053008.00315,9681904037.48526,90200615377.82329,4435939378.091235,2288290330.4579997,14964603449.202278,17324940018.906914,24634940214.309494,6084478869.005632,4680376840.24,35164962259.805405,99251715316.78368,62962810319.26,5088744992.716225,14725243687.255238,6826009350.908931,8146791164.892381,5197115726.461499,4097580272.9927874,4920306284.994201,31898449419.750717,21152960907.52,5962221535.45,6334935595.887361,76989236558.28185,1980480605.391742,22279690593.379837,14056968497.962502,6099045316.112,1229958850.0410001,82725071583.38203,26388758858.726162,7077830428.71564,4923587423.818801,123675692542.41827,2728382122.0188,4395798831.57184,17736198092.140446,9996870603.315205,8124000239.955601,7213947548.098433,8340474017.106,4397658909.21515,2935271210.56,5433838114.11,40271107.1788032,6075713088.904104,13787668037.514448,36213293157.6554,24179353021.69632,0.0,4659184573.929392,8964063397.330559,7403012701.1523,4623816570.098775,30004849808.91732,7580298930.972001,2189756037.9407997,5406758189.952149,5550502699.082881,6294525502.5246,4704994315.0518,2275251522.06624,36084606363.929245,41418373656.24588,35818049003.211716,8256176883.60972,43196103008.85,4738647224.713009,13985149873.855501,8911538999.999998,185370592308.1035,185087151035.4611,5201660724.4872,7149045636.2754,4709471112.843121,4967703175.0,6943636093.421761,8473688204.901151,4949219950.17888,16036439938.5382,4417690773.647928,6033773814.847199,5595288127.790581,5511580070.431101,12374902546.6272,20849413570.076,6521316632.485512,4450467807.71712,49365495.22303152,22484193416.144066,3938350835.496,53498342021.73553,5444490830.208,41800746866.06408,5444882478.85218,11753280208.652258
2019-10-04,10104164129.493,7562546800.5258,3858903172.4256,22260929849.046253,2828205969.4820995,9568426493.67976,91037622683.05464,4348960174.59925,2311109846.2187996,14909945361.988909,17299424643.326782,24531908260.255497,6112055011.500319,4672186180.76958,35093265886.764305,99120523420.5846,62033143230.7,5175779568.64696,14824886923.583721,6699540138.166591,8158999143.660951,5084170534.295879,4063907893.3054,4889530326.9958,31993244217.432003,21105139594.24,5924164802.245,6363351873.97896,77973844668.34924,1898680121.460922,22333855157.22112,14410112567.895002,5957725973.4216,1224800244.918,82685608221.86342,25973590885.302235,7102063190.257199,4870416933.2808,121456389739.86266,2712442206.9923997,4373371286.5128,17574040746.993416,10054395753.14664,8091201481.22286,7106878849.27744,8308518177.96,4379745838.30185,2996000959.7440004,5430044858.882,39946001.886474326,6158175506.009928,13840404549.345146,36410794561.70962,25221328565.7249,0.0,4657652451.412479,8798321600.140333,7357300240.534201,4585731079.688695,29643972697.76577,7530098275.8,2158254881.874,5317460571.40005,5503898982.046081,6285485973.320399,4717924070.421408,2224178534.55507,35269792671.84052,41964340025.08749,35633219309.821976,8174288419.91952,43206885860.325,4680901523.6733,13825969306.1856,8865838799.999998,186544849009.05038,187111731554.3351,5146192778.373,7107884464.430179,4577429866.688641,4959129300.0,6906458470.186801,8585951080.482007,4916083135.59136,16241476031.332352,4299465329.214889,6057435672.94464,5534214453.851641,5405938416.7348,12502111659.976574,20541483769.656418,6461311878.782112,4442673643.4304,48911410.51007329,22286550862.046528,3922154154.5708003,53856190463.35249,5395490412.736128,41816809661.06833,5366838296.16438,11741052493.079378
