,Unnamed: 0,AAL,ABF,ADM,AHT,ANTO,AUTO,AV.,AVV,AZN,BA.,BARC,BATS,BDEV,BHP,BKG,BLND,BNZL,BP,BRBY,BT-A,CCH,CCL,CNA,CPG,CRDA,CRH,DCC,DGE,DLG,EVR,EXPN,EZJ,FERG,FLTR,FRES,GLEN,GSK,GVC,HIK,HL.,HLMA,HSBA,HSX,IAG,IHG,III,IMB,INF,ITRK,ITV,JD.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MGGT,MKS,MNDI,MNG,MRO,MRW,NG.,NMC,NXT,OCDO,PHNX,POLY,PRU,PSN,PSON,RB.,RBS,RDSA,RDSB,REL,RIO,RMV,RR.,RSA,RTO,SBRY,SDR,SGE,SGRO,SKG,SLA,SMDS,SMIN,SMT,SN.,SPX,SSE,STAN,STJ,SVT,TSCO,TUI,TW.,ULVR,UU.,VOD,WG.,WPP,WTB,BAB,PFG,GFS,RMG,JE.,MDC,HMSO,CTEC
0,2017-05-12,0.932,0.438,0.651,0.966,0.341,0.946,0.992,0.989,0.996,0.997,0.996,0.953,0.968,0.395,0.899,0.994,0.974,0.992,0.957,0.837,0.503,0.222,0.998,0.995,0.99,0.999,0.948,0.994,0.986,0.221,0.995,0.653,0.992,0.929,0.249,0.846,0.988,0.983,0.546,0.492,0.973,0.996,0.949,0.794,0.921,0.962,0.994,0.999,0.982,0.89,0.414,0.99,0.994,0.992,0.979,0.987,0.987,0.969,0.992,0.983,0.746,0,0.971,0.952,0.958,0.425,0.938,0.664,0.994,0.382,0.995,0.958,0.987,0.9,0.29,0.999,0.999,0.467,0.658,0.988,0.993,0.989,0.987,0.95,0.316,0.997,0.994,0.987,0.45,0.993,0.993,0.0,0.991,0.98,0.994,0.994,0.931,0.995,0.982,0.748,0.992,0.426,0.996,0.996,0.918,0.973,0.987,0.988,0.973,0.995,0.987,0.817,0.505,0.993,0.983
1,2017-08-16,0.818,0.438,0.651,0.966,0.341,0.946,0.992,0.989,0.996,0.997,0.996,0.953,0.968,0.395,0.899,0.994,0.974,0.992,0.957,0.837,0.503,0.258,0.998,0.995,0.99,0.999,0.948,0.994,0.986,0.221,0.995,0.653,0.992,0.929,0.249,0.846,0.988,0.983,0.546,0.492,0.973,0.996,0.949,0.794,0.921,0.962,0.994,0.999,0.982,0.89,0.414,0.99,0.994,0.992,0.979,0.987,0.987,0.969,0.992,0.983,0.985,0,0.971,0.952,0.958,0.425,0.938,0.664,0.994,0.382,0.995,0.958,0.987,0.9,0.29,0.999,0.999,0.467,0.658,0.988,0.993,0.989,0.987,0.95,0.596,0.997,0.994,0.987,0.94,0.993,0.993,0.0,0.991,0.98,0.994,0.994,0.931,0.995,0.982,0.748,0.992,0.426,0.996,0.996,0.918,0.973,0.987,0.988,0.973,0.995,0.987,0.817,0.505,0.944,0.983
2,2017-11-15,0.739,0.438,0.651,0.966,0.341,0.946,0.992,0.989,0.996,0.997,0.996,0.953,0.968,0.395,0.899,0.994,0.974,0.992,0.957,0.837,0.503,0.258,0.998,0.995,0.99,0.999,0.948,0.994,0.986,0.221,0.995,0.653,0.992,0.929,0.249,0.846,0.988,0.983,0.546,0.548,0.973,0.996,0.949,0.794,0.921,0.962,0.994,0.999,0.982,0.89,0.414,0.99,0.994,0.992,0.979,0.987,0.987,0.969,0.992,0.983,0.985,0,0.971,0.952,0.958,0.425,0.938,0.664,0.994,0.453,0.995,0.958,0.987,0.935,0.29,0.999,0.999,0.467,0.658,0.988,0.993,0.989,0.987,0.95,0.596,0.997,0.994,0.987,0.94,0.993,0.993,0.957,0.991,0.98,0.994,0.994,0.931,0.995,0.982,0.748,0.992,0.426,0.996,0.996,0.954,0.973,0.987,0.988,0.973,0.995,0.987,0.863,0.505,0.944,0.781
3,2018-02-14,0.739,0.438,0.651,0.966,0.341,0.946,0.992,0.989,0.996,0.997,0.996,0.953,0.968,0.395,0.899,0.994,0.974,0.992,0.9229999999999999,0.837,0.503,0.258,0.998,0.995,0.99,0.999,0.948,0.994,0.986,0.221,0.995,0.653,0.992,0.929,0.249,0.846,0.988,0.938,0.546,0.548,0.973,0.996,0.949,0.794,0.921,0.962,0.994,0.999,0.982,0.89,0.414,0.99,0.994,0.992,0.979,0.987,0.987,0.969,0.992,0.983,0.746,0,0.971,0.995,0.958,0.425,0.938,0.664,0.994,0.453,0.995,0.958,0.987,0.935,0.29,0.999,0.999,0.467,0.658,0.988,0.993,0.989,0.987,0.95,0.596,0.997,0.994,0.987,0.5329999999999999,0.993,0.993,0.957,0.991,0.98,0.994,0.994,0.931,0.995,0.982,0.748,0.992,0.426,0.996,0.996,0.954,0.973,0.987,0.988,0.973,0.995,0.987,0.863,0.505,0.944,0.781
4,2018-05-17,0.739,0.438,0.577,0.98,0.34,0.969,0.994,0.395,0.997,0.996,0.995,0.965,0.971,0.396,0.927,0.994,0.977,0.992,0.923,0.843,0.534,0.252,0.998,0.996,0.985,0.999,0.962,0.995,0.991,0.227,0.994,0.655,0.992,0.951,0.25,0.852,0.988,0.966,0.548,0.549,0.981,0.996,0.958,0.789,0.926,0.967,0.995,0.999,0.992,0.892,0.416,0.978,0.995,0.993,0.98,0.997,0.988,0.982,0.993,0.986,0.746,0,0.981,0.997,0.96,0.411,0.951,0.684,0.993,0.473,0.995,0.958,0.989,0.958,0.376,0.999,0.999,0.452,0.656,0.988,0.994,0.996,0.985,0.993,0.614,0.996,0.993,0.988,0.994,0.993,0.995,0.966,0.991,0.991,0.995,0.994,0.932,0.995,0.959,0.728,0.992,0.423,0.997,0.997,0.959,0.965,0.983,0.984,0.984,0.991,0.996,0.862,0.514,0.948,0.785
5,2018-08-17,0.739,0.438,0.577,0.98,0.34,0.969,0.994,0.395,0.997,0.996,0.995,0.965,0.971,0.396,0.927,0.994,0.977,0.992,0.987,0.843,0.534,0.252,0.998,0.996,0.985,0.999,0.962,0.995,0.991,0.227,0.994,0.655,0.992,0.951,0.25,0.852,0.988,0.966,0.548,0.549,0.981,0.996,0.958,0.789,0.926,0.967,0.995,0.999,0.992,0.892,0.416,0.978,0.995,0.993,0.98,0.997,0.988,0.982,0.993,0.986,0.574,0,0.981,0.997,0.96,0.411,0.951,0.645,0.993,0.473,0.995,0.958,0.989,0.958,0.376,0.999,0.999,0.452,0.656,0.988,0.994,0.996,0.985,0.993,0.614,0.996,0.993,0.988,0.994,0.956,0.995,0.966,0.991,0.991,0.995,0.994,0.932,0.995,0.959,0.728,0.992,0.423,0.997,0.997,0.959,0.965,0.983,0.984,0.984,0.991,0.996,0.862,0.514,0.948,0.785
6,2018-11-16,0.739,0.438,0.577,0.98,0.34,0.969,0.994,0.395,0.997,0.996,0.995,0.965,0.971,0.998,0.927,0.994,0.977,0.992,0.987,0.843,0.534,0.252,0.998,0.996,0.985,0.999,0.962,0.995,0.991,0.227,0.994,0.655,0.992,0.951,0.25,0.852,0.988,0.966,0.548,0.549,0.981,0.996,0.958,0.789,0.926,0.967,0.995,0.999,0.992,0.892,0.416,0.978,0.995,0.993,0.98,0.997,0.988,0.982,0.993,0.986,0.988,0,0.981,0.997,0.96,0.411,0.951,0.645,0.993,0.473,0.995,0.958,0.989,0.958,0.376,0.999,0.999,0.677,0.888,0.988,0.994,0.996,0.985,0.993,0.614,0.996,0.993,0.988,0.934,0.956,0.995,0.966,0.991,0.991,0.995,0.994,0.932,0.995,0.959,0.728,0.992,0.971,0.997,0.997,0.959,0.965,0.983,0.984,0.984,0.991,0.996,0.827,0.514,0.948,0.785
7,2019-02-08,0.739,0.438,0.577,0.98,0.34,0.969,0.994,0.395,0.997,0.996,0.995,0.965,0.971,0.998,0.927,0.994,0.977,0.992,0.987,0.843,0.534,0.252,0.998,0.996,0.985,0.999,0.962,0.995,0.991,0.355,0.994,0.655,0.992,0.951,0.25,0.852,0.988,0.966,0.548,0.549,0.981,0.996,0.958,0.789,0.926,0.967,0.995,0.999,0.992,0.892,0.416,0.978,0.995,0.993,0.98,0.997,0.988,0.982,0.993,0.986,0.988,0,0.981,0.997,0.997,0.411,0.951,0.645,0.993,0.508,0.995,0.958,0.989,0.958,0.376,0.999,0.999,0.677,0.888,0.988,0.994,0.996,0.985,0.993,0.614,0.996,0.993,0.988,0.934,0.956,0.995,0.966,0.991,0.991,0.995,0.994,0.932,0.995,0.959,0.728,0.992,0.9059999999999999,0.997,0.997,0.959,0.965,0.983,0.984,0.984,0.991,0.996,0.827,0.5529999999999999,0.948,0.785
8,2019-05-10,0.722,0.435,0.654,0.982,0.349,0.965,0.997,0.393,0.997,0.996,0.996,0.965,0.971,0.417,0.929,0.994,0.989,0.992,0.989,0.851,0.53,0.237,0.998,0.996,0.986,1.0,0.964,0.997,0.99,0.313,0.992,0.655,0.999,0.952,0.25,0.837,0.989,0.972,0.549,0.561,0.982,0.997,0.974,0.782,0.924,0.966,0.997,0.999,0.99,0.89,0.416,0.98,0.994,0.993,0.983,0.997,0.987,0.994,0.986,0.993,0.574,0,0.961,0.995,0.997,0.408,0.942,0.61,0.996,0.475,0.995,0.946,0.994,0.964,0.378,0.999,0.999,0.996,0.66,0.983,0.995,0.996,0.984,0.997,0.607,0.997,0.989,0.989,0.996,0.958,0.996,0.967,0.997,0.989,0.995,0.998,0.918,0.997,0.961,0.725,0.989,0.427,0.998,0.998,0.946,0.969,0.973,0.987,0.983,0.992,0.998,0.861,0.553,0.953,0.794
9,2019-08-16,0.897,0.435,0.654,0.982,0.349,0.965,0.997,0.393,0.997,0.996,0.996,0.965,0.971,0.417,0.929,0.994,0.989,0.992,0.989,0.851,0.53,0.237,0.998,0.996,0.986,1.0,0.964,0.997,0.99,0.313,0.992,0.655,0.999,0.952,0.25,0.837,0.989,0.972,0.549,0.561,0.982,0.997,0.974,0.782,0.924,0.966,0.997,0.999,0.99,0.89,0.416,0.98,0.994,0.993,0.983,0.997,0.987,0.994,0.986,0.993,0.991,0,0.961,0.995,0.997,0.408,0.942,0.61,0.996,0.426,0.995,0.946,0.994,0.964,0.378,0.999,0.999,0.996,0.66,0.983,0.995,0.996,0.984,0.997,0.607,0.997,0.989,0.989,0.996,0.958,0.996,0.967,0.997,0.989,0.995,0.998,0.918,0.997,0.961,0.725,0.989,0.427,0.7120000000000001,0.998,0.946,0.969,0.973,0.987,0.983,0.992,0.998,0.861,0.553,0.953,0.794
