,AAL,ABF,ADM,AHT,ANTO,AUTO,AV.L,AVV,AZN,BA.,BARC,BATS,BDEV,BHP,BKG,BLND,BNZL,BP,BRBY,BT-A,CCH,CCL,CNA,CPG,CRDA,CRH,DCC,DGE,DLG,EVR,EXPN,EZJ,FERG,FLTR,FRES,GLEN,GSK,GVC,HIK,HL.,HLMA,HSBA,HSX,IAG,IHG,III,IMB,INF,ITRK,ITV,JD.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MGGT,MKS,MNDI,MNG,MRO,MRW,NG.,NMC,NXT,OCDO,PHNX,POLY,PRU,PSN,PSON,RB.,RBS,RDSA,RDSB,REL,RIO,RMV,RR.,RSA,RTO,SBRY,SDR,SGE,SGRO,SKG,SLA,SMDS,SMIN,SMT,SN.,SPX,SSE,STAN,STJ,SVT,TSCO,TUI,TW.,ULVR,UU.,VOD,WG.,WPP,WTB
16/08/2019,0.8970,0.4370,0.6590,0.9830,0.3490,0.9700,0.9970,0.3920,0.9970,0.9970,0.9960,0.9640,0.9900,0.4170,0.9380,0.9950,0.9900,0.9920,0.9920,0.8490,0.5310,0.2330,0.9980,0.9960,0.9870,1.0000,0.9650,0.9970,0.9890,0.3290,0.9950,0.6560,0.9990,0.9520,0.2500,0.8340,0.9890,0.9720,0.5490,0.5770,0.9830,0.9970,0.9780,0.7820,0.9250,0.9670,0.9980,0.9990,0.9910,0.8910,0.4150,0.9800,0.9950,0.9940,0.9830,0.9970,0.9880,0.9950,0.9860,0.9960,0.9910,0.0000,0.9600,0.9960,0.9970,0.4110,0.9370,0.6030,0.9960,0.4260,0.9950,0.9460,0.9940,0.9630,0.3780,0.9960,0.9960,0.9960,0.6580,0.9910,0.9930,0.9960,0.9840,0.9960,0.6070,0.9970,0.9950,0.9890,0.9940,0.9490,0.9960,0.9650,0.9960,0.9890,0.9950,0.9970,0.9200,0.9970,0.9650,0.7130,0.9880,0.4270,0.7120,0.9970,0.9450,0.9690,0.9760
10/05/2019,0.7220,0.4350,0.6540,0.9820,0.3490,0.9650,0.9970,0.3930,0.9970,0.9960,0.9960,0.9650,0.9710,0.4170,0.9290,0.9940,0.9890,0.9920,0.9890,0.8510,0.5300,0.2370,0.9980,0.9960,0.9860,1.0000,0.9640,0.9970,0.9900,0.3130,0.9920,0.6550,0.9990,0.9520,0.2500,0.8370,0.9890,0.9720,0.5490,0.5610,0.9820,0.9970,0.9740,0.7820,0.9240,0.9660,0.9970,0.9990,0.9900,0.8900,0.4160,0.9800,0.9940,0.9930,0.9830,0.9970,0.9870,0.9940,0.9860,0.9930,0.5740,0.0000,0.9610,0.9950,0.9970,0.4080,0.9420,0.6100,0.9960,0.4750,0.9950,0.9460,0.9940,0.9640,0.3780,0.9990,0.9990,0.9960,0.6600,0.9830,0.9950,0.9960,0.9840,0.9970,0.6070,0.9970,0.9890,0.9890,0.9960,0.9580,0.9960,0.9670,0.9970,0.9890,0.9950,0.9980,0.9180,0.9970,0.9610,0.7250,0.9890,0.4270,0.9980,0.9980,0.9460,0.9690,0.9730
08/02/2019,0.7230,0.4350,0.5860,0.9819,0.3419,0.9650,0.9970,0.3940,0.9960,0.9950,0.9950,0.9650,0.9710,0.9980,0.9280,0.9930,0.9770,0.9920,0.9880,0.8480,0.5300,0.2380,0.9980,0.9960,0.9850,1.0000,0.9640,0.9960,0.9900,0.3550,0.9920,0.6550,0.9990,0.9510,0.2490,0.8470,0.9970,0.9670,0.5490,0.5640,0.9810,0.9960,0.9750,0.7820,0.9290,0.9660,0.9960,1.0000,0.9910,0.8930,0.4160,0.9790,0.9940,0.9940,0.9890,0.9970,0.9860,0.9950,0.9910,0.9930,0.9890,0.0000,0.9600,0.9960,0.9970,0.4100,0.9490,0.6230,0.9980,0.5080,0.9950,0.9470,0.9900,0.9620,0.3760,0.9980,0.9980,0.6760,0.8870,0.9910,0.9940,0.9970,0.9840,0.9970,0.6170,0.9970,0.9940,0.9890,0.9330,0.9540,0.9960,0.9650,0.9960,0.9910,0.9950,0.9960,0.9200,0.9950,0.9610,0.7160,0.9930,0.9060,0.9970,0.9960,0.9330,0.9640,0.9680
16/11/2018,0.7230,0.4360,0.5860,0.9800,0.3419,0.9640,0.9970,0.3940,0.9960,0.9960,0.9950,0.9650,0.9710,0.9980,0.9280,0.9940,0.9770,0.9930,0.9860,0.8420,0.5340,0.2430,0.9980,0.9960,0.9860,0.9990,0.9640,0.9960,0.9900,0.2390,0.9940,0.6550,0.9990,0.9530,0.2500,0.8480,0.9970,0.9670,0.5490,0.5630,0.9800,0.9950,0.9750,0.7820,0.9300,0.9660,0.9950,1.0000,0.9910,0.8930,0.4160,0.9790,0.9940,0.9940,0.9830,0.9970,0.9860,0.9960,0.9910,0.9930,0.9880,0.0000,0.9620,0.9960,0.9600,0.4110,0.9480,0.6430,0.9980,0.4610,0.9950,0.9520,0.9910,0.9640,0.3760,0.9970,0.9970,0.6770,0.8880,0.9920,0.9940,0.9970,0.9840,0.9950,0.6150,0.9970,0.9920,0.9890,0.9340,0.9540,0.9960,0.9660,0.9950,0.9910,0.9950,0.9960,0.9190,0.9950,0.9600,0.7160,0.9930,0.9710,0.9970,0.9960,0.9330,0.9640,0.9770
17/08/2018,0.7230,0.4380,0.5780,0.9800,0.3400,0.9690,0.9940,0.3940,0.9970,0.9960,0.9970,0.9650,0.9710,0.3960,0.9300,0.9940,0.9770,0.9930,0.9870,0.8430,0.5340,0.2470,0.9980,0.9960,0.9860,0.9990,0.9610,0.9960,0.9900,0.2350,0.9940,0.6550,0.9990,0.9540,0.2500,0.8510,0.9890,0.9660,0.5480,0.5630,0.9810,0.9960,0.9750,0.7850,0.9270,0.9690,0.9950,0.9990,0.9920,0.8930,0.4160,0.9790,0.9940,0.9940,0.9800,0.9980,0.9860,0.9950,0.9930,0.9870,0.5740,0.0000,0.9610,0.9950,0.9610,0.4110,0.9500,0.6450,0.9950,0.4590,0.9950,0.9530,0.9910,0.9650,0.3760,0.9980,0.9980,0.4590,0.6530,0.9880,0.9940,0.9960,0.9850,0.9950,0.6150,0.9960,0.9930,0.9890,0.9950,0.9560,0.9960,0.9670,0.9950,0.9910,0.9940,0.9950,0.9190,0.9950,0.9590,0.7290,0.9920,0.4150,0.9970,0.9960,0.9580,0.9650,0.9840
17/05/2018,0.7390,0.4380,0.5770,0.9800,0.3400,0.9690,0.9940,0.3950,0.9970,0.9960,0.9950,0.9650,0.9710,0.3960,0.9270,0.9940,0.9770,0.9920,0.9230,0.8430,0.5340,0.2520,0.9980,0.9960,0.9850,0.9990,0.9620,0.9950,0.9910,0.2270,0.9940,0.6550,0.9920,0.9510,0.2500,0.8520,0.9880,0.9660,0.5480,0.5490,0.9810,0.9960,0.9580,0.7890,0.9260,0.9670,0.9950,0.9990,0.9920,0.8920,0.4160,0.9780,0.9950,0.9930,0.9800,0.9970,0.9880,0.9820,0.9930,0.9860,0.7460,0.0000,0.9810,0.9970,0.9600,0.4110,0.9510,0.6840,0.9930,0.4730,0.9950,0.9580,0.9890,0.9580,0.3760,0.9990,0.9990,0.4520,0.6560,0.9880,0.9940,0.9960,0.9850,0.9930,0.6140,0.9960,0.9930,0.9880,0.9940,0.9930,0.9950,0.9660,0.9910,0.9910,0.9950,0.9940,0.9320,0.9950,0.9590,0.7280,0.9920,0.4230,0.9970,0.9970,0.9590,0.9650,0.9830
14/02/2018,0.7390,0.4380,0.6560,0.9780,0.3400,0.9680,0.9940,0.9940,0.9970,0.9960,0.9970,0.9660,0.9700,0.3960,0.9200,0.9940,0.9750,0.9920,0.9230,0.8420,0.5330,0.2540,0.9980,0.9960,0.9860,0.9990,0.9620,0.9960,0.9850,0.2210,0.9940,0.6550,0.9910,0.9510,0.2500,0.8520,0.9890,0.9380,0.5490,0.5480,0.9780,0.9970,0.9510,0.7890,0.9290,0.9670,0.9950,0.9990,0.9920,0.8960,0.4160,0.9790,0.9940,0.9930,0.9800,0.9960,0.9880,0.9830,0.9930,0.9820,0.7460,0.0000,0.9570,0.9950,0.9600,0.4240,0.9380,0.6860,0.9940,0.4530,0.9950,0.9600,0.9880,0.9350,0.2960,0.9990,0.9990,0.4690,0.6540,0.9880,0.9940,0.9940,0.9860,0.9740,0.6060,0.9960,0.9940,0.9890,0.5330,0.9930,0.9950,0.9600,0.9910,0.9910,0.9950,0.9940,0.9330,0.9950,0.9690,0.7380,0.9920,0.4150,0.9970,0.9960,0.9580,0.9650,0.9820
15/11/2017,0.7390,0.4380,0.6560,0.9760,0.3400,0.9470,0.9930,0.9890,0.9970,0.9960,0.9970,0.9660,0.9690,0.3960,0.9220,0.9990,0.9760,0.9920,0.9430,0.8420,0.5050,0.2570,0.9980,0.9960,0.9840,0.9990,0.9620,0.9950,0.9860,0.2210,0.9940,0.6550,0.9910,0.9420,0.2500,0.8460,0.9890,0.9850,0.5480,0.5480,0.9740,0.9980,0.9530,0.7890,0.9280,0.9670,0.9940,0.9990,0.9910,0.8950,0.4160,0.9790,0.9960,0.9930,0.9800,0.9960,0.9880,0.9830,0.9930,0.9830,0.9870,0.0000,0.9710,0.9650,0.9610,0.4140,0.9410,0.6650,0.9940,0.4530,0.9950,0.9620,0.9910,0.9350,0.2960,0.9990,0.9990,0.4660,0.6540,0.9880,0.9940,0.9940,0.9870,0.9530,0.6040,0.9960,0.9930,0.9890,0.9620,0.9930,0.9950,0.9570,0.9910,0.9900,0.9970,0.9940,0.9330,0.9950,0.9800,0.7380,0.9930,0.4170,0.9970,0.9990,0.9540,0.9630,0.9820
16/08/2017,0.8180,0.4340,0.6540,0.9650,0.3410,0.9440,0.9910,0.9900,0.9970,0.9930,0.9960,0.9620,0.9660,0.3950,0.9090,0.9940,0.9750,0.9920,0.9450,0.8420,0.5020,0.2580,0.9970,0.9950,0.9840,0.9990,0.9560,0.9940,0.9860,0.2190,0.9930,0.6540,0.9910,0.9290,0.2490,0.8450,0.9880,0.9780,0.5470,0.5080,0.9730,0.9970,0.9510,0.7919,0.9210,0.9640,0.9930,0.9819,0.9800,0.8850,0.4150,0.9760,0.9940,0.9920,0.9770,0.9950,0.9820,0.9440,0.9890,0.9750,0.9850,0.0000,0.9700,0.9640,0.9530,0.4020,0.9320,0.6620,0.9940,0.3830,0.9950,0.9520,0.9880,0.9000,0.2910,0.9980,0.9980,0.4670,0.6570,0.9890,0.9930,0.9930,0.9870,0.9480,0.5960,0.9950,0.9870,0.9700,0.9400,0.9850,0.9930,0.0000,0.9910,0.9810,0.9900,0.9940,0.9310,0.9920,0.9820,0.7450,0.9930,0.4220,0.9970,0.9960,0.9170,0.9620,0.9790
12/05/2017,0.9320,0.4380,0.6510,0.9660,0.3410,0.9460,0.9920,0.9890,0.9960,0.9970,0.9960,0.9530,0.9680,0.3950,0.8990,0.9940,0.9740,0.9920,0.9570,0.8370,0.5030,0.2220,0.9980,0.9950,0.9900,0.9990,0.9480,0.9940,0.9860,0.2210,0.9950,0.6530,0.9920,0.9290,0.2490,0.8460,0.9880,0.9830,0.5460,0.4920,0.9730,0.9960,0.9490,0.7940,0.9210,0.9620,0.9940,0.9990,0.9820,0.8900,0.4140,0.9900,0.9940,0.9920,0.9790,0.9870,0.9870,0.9690,0.9920,0.9830,0.7460,0.0000,0.9710,0.9520,0.9580,0.4250,0.9380,0.6640,0.9940,0.3820,0.9950,0.9580,0.9870,0.9000,0.2900,0.9990,0.9990,0.4670,0.6580,0.9880,0.9930,0.9890,0.9870,0.9500,0.3160,0.9970,0.9940,0.9870,0.4500,0.9930,0.9930,0.0000,0.9910,0.9800,0.9940,0.9940,0.9310,0.9950,0.9820,0.7480,0.9920,0.4260,0.9960,0.9960,0.9180,0.9730,0.9870
