,AAL,ABF,ADM,AHT,ANTO,BRBY,BT-A,CCH,CCL,CPG,CRH,DCC,DGE,EVR,EXPN,EZJ,FERG,FRES,GLEN,GSK,GVC,HIK,HL.,HLMA,HSX,IAG,IHG,IMB,INF,ITRK,ITV,JD.,LAND,LGEN,LLOY,LSE,MCRO,MGGT,MKS,MNDI,MRO,MRW,NG.,NMC,NXT,OCDO,PHNX,POLY,PRU,PSN,PSON,RB.,RBS,RDSA,RDSB,REL,RIO,RMV,RR.,RSA,RTO,SBRY,SDR,SGE,SGRO,SKG,SLA,SMDS,SMIN,SN.,SPX,SSE,STAN,STJ,SVT,TSCO,TUI,TW.,ULVR,UU.,VOD,WG.,WPP,WTB,CNA,CRDA,DLG,FLTR,HSBA,III,JMAT,KGF,SMT
16/08/2019,1240000000,345900000,191700000,454300000,344400000,408300000,8390000000,192700000,160500000,1580000000,796900000,94900000,2360000000,478000000,905900000,260500000,229300000,184200000,11330000000,4930000000,565500000,133100000,273700000,372700000,281900000,1550000000,168400000,952000000,1250000000,159900000,,404400000,737300000,5860000000,70090000000,345500000,339200000,766100000,1.94E+11,481100000,4670000000,2390000000,3470000000,85700000,124900000,421000000,718800000,200200000,2590000000,301200000,777110000,683000000,4570000000,8010000000,,1940000000,1070000000,878100000,,1030000000,1820000000,2200000000,171400000,1080000000,1090000000,235100000,2390000000,1300000000,394600000,871400000,72800000,1.02E+11,3200000000,489500000,237100000,9450000000,419400000,3240000000,1120000000,680700000,26680000000,644200000,1220000000,130500000,5810000000,127000000,1350000000,74400000,20190000000,941200000,189700000,2100000000,1430000000
10/05/2019,,344700000,190400000,459700000,344000000,406800000,8440000000,192300000,163300000,1580000000,807400000,94800000,2370000000,453800000,903100000,260000000,231700000,184200000,11530000000,4930000000,565500000,132900000,265800000,372700000,280400000,1550000000,168300000,953600000,1250000000,159700000,3580000000,404800000,736200000,5860000000,70560000000,345200000,341100000,766000000,1610000000,363000000,4670000000,2380000000,3400000000,85200000,128600000,425400000,718600000,223300000,2590000000,301400000,776600000,682500000,4570000000,8100000000,8100000000,1950000000,1080000000,874700000,1.9E+11,1030000000,1820000000,2200000000,171500000,1080000000,1080000000,234900000,2440000000,1310000000,394400000,872200000,72800000,1030000000,3300000000,487200000,236600000,,426300000,3240000000,1120000000,680700000,26760000000,644400000,1220000000,169200000,5700000000,126900000,1350000000,74400000,20170000000,939500000,189700000,2100000000,1430000000
08/02/2019,1020000000,344600000,170200000,465700000,335900000,406300000,8420000000,193900000,164500000,1580000000,812600000,94700000,2410000000,512100000,902600000,260200000,231600000,183500000,11800000000,4950000000,562500000,132600000,267400000,372300000,280500000,1550000000,168400000,953100000,1250000000,160000000,3590000000,4048000000,736800000,5900000000,70930000000,343400000,412700000,769900000,1610000000,480100000,4670000000,2360000000,3400000000,85300000,130700000,430700000,719600000,238600000,2580000000,300900000,774000000,680800000,4530000000,8170000000,8170000000,1960000000,1490000000,884600000,1880000000,1020000000,1810000000,2200000000,174400000,1.08E+11,1010000000,234700000,2340000000,1310000000,394300000,872000000,73000000,1020000000,3300000000,487100000,236000000,,420800000,3260000000,2610000000,680100000,26620000000,635600000,1220000000,175900000,5680000000,129700000,1350000000,74600000,19960000000,939600000,189400000,2100000000,1420000000
16/11/2018,1020000000,345500000,170110000,471300000,335900000,405600000,8360000000,196900000,169200000,1580000000,819300000,94700000,2420000000,344800000,904400000,260200000,231600000,183900000,11960000000,4950000000,562700000,132500000,267200000,372100000,280400000,1550000000,177300000,949100000,1250000000,160000000,3590000000,4048000000,736700000,5860000000,,343400000,423700000,769600000,1610000000,479700000,4670000000,2360000000,3260000000,85600000,132400000,444900000,719500000,210200000,2580000000,300800000,773800000,681500000,4530000000,8250000000,8250000000,1960000000,1510000000,888200000,1870000000,1020000000,1810000000,2190000000,173700000,1.08E+11,1010000000,234600000,2390000000,1310000000,394200000,870200000,73000000,1020000000,3300000000,486500000,235900000,9400000000,420700000,3250000000,2610000000,680100000,26620000000,635800000,1220000000,179400000,5630000000,129700000,1350000000,76500000,19830000000,940100000,189400000,2120000000,1400000000
17/08/2018,1020000000,346600000,166300000,476600000,335400000,408800000,8360000000,196700000,174100000,1580000000,831500000,85900000,2450000000,338700000,909000000,260200000,231600000,183900000,12160000000,4910000000,558900000,132400000,266800000,372300000,280200000,1580000000,176800000,949200000,1250000000,160100000,3590000000,4048000000,736800000,5840000000,71190000000,343200000,4343000000,771000000,1600000000,362800000,4670000000,2360000000,3270000000,85600000,132600000,433800000,574200000,207700000,2580000000,298300000,773800000,681700000,4520000000,8290000000,8290000000,904700000,1120000000,89300000,1860000000,1020000000,1820000000,2190000000,173700000,1.08E+11,1000000000,234600000,2960000000,1310000000,394400000,870200000,72900000,1010000000,3290000000,486500000,235800000,9390000000,428000000,3250000000,1120000000,680100000,26620000000,649300000,1220000000,180600000,5630000000,129700000,1350000000,78800000,19840000000,942400000,189500000,2120000000,1390000000
17/05/2018,1040000000,346600000,166100000,480300000,335400000,386200000,8370000000,196700000,179900000,1580000000,840600000,85900000,2450000000,325700000,912200000,260100000,244900000,183900000,12280000000,4900000000,558600000,132400000,260300000,372300000,275100000,1620000000,176600000,949100000,823000000,160100000,3590000000,4048000000,736500000,5840000000,71840000000,341800000,428500000,771100000,1600000000,362300000,4330000000,2350000000,3220000000,85500000,134500000,453600000,390700000,213000000,2580000000,298200000,771800000,676600000,4510000000,8300000000,8300000000,904700000,1140000000,89600000,1850000000,1020000000,1820000000,2180000000,173600000,1.08E+11,995800000,234400000,2960000000,1070000000,393800000,866900000,72900000,1.01E+11,3280000000,493100000,235700000,9370000000,427900000,3250000000,1160000000,679500000,26590000000,649600000,1220000000,180400000,5590000000,129700000,1350000000,80500000,19960000000,940700000,189300000,2130000000,1370000000
14/02/2018,1040000000,346400000,188400000,483900000,335500000,386200000,8360000000,195700000,181700000,1580000000,838300000,85800000,2450000000,316500000,913100000,260100000,246700000,183900000,12280000000,4900000000,284900000,132000000,260000000,371200000,273000000,1620000000,176500000,949200000,823000000,160100000,3610000000,404800000,736500000,5840000000,71860000000,342500000,428300000,771200000,1600000000,362300000,1860000000,2350000000,3240000000,88100000,1346000000,454800000,390700000,195000000,2570000000,296500000,771600000,658200000,3520000000,8300000000,8300000000,938900000,1140000000,89900000,1830000000,1020000000,1810000000,2130000000,171200000,1.08E+11,996600000,234200000,2860000000,1060000000,393900000,867100000,72900000,,3280000000,493500000,235200000,7940000000,433700000,3250000000,1160000000,679700000,26580000000,649000000,1230000000,180200000,5590000000,129500000,1350000000,80500000,19930000000,940700000,189400000,2150000000,1340000000
15/11/2017,1040000000,346600000,188500000,487000000,335500000,402900000,8350000000,184400000,185800000,1570000000,838000000,85800000,2490000000,316500000,920700000,260300000,248900000,184000000,12170000000,4860000000,297300000,131800000,260000000,369700000,273000000,1620000000,176400000,948700000,823000000,159900000,3600000000,404800000,736500000,5840000000,71750000000,342400000,427700000,770800000,1600000000,362400000,1890000000,2270000000,3260000000,84600000,137600000,419200000,390700000,194800000,2570000000,296800000,806000000,658000000,3520000000,8250000000,8250000000,938900000,1170000000,90600000,1830000000,1020000000,1810000000,2090000000,170600000,1.08E+11,996400000,234200000,2860000000,1060000000,393900000,867100000,72900000,1020000000,3280000000,493600000,235100000,8030000000,433400000,3250000000,1170000000,679900000,26640000000,646200000,1220000000,180000000,5580000000,129300000,1360000000,,19920000000,940600000,189400000,2160000000,1340000000
16/08/2017,1150000000,343500000,186200000,481600000,335800000,408300000,8350000000,183100000,186800000,1570000000,8356000000,85200000,2500000000,314300000,925100000,259900000,250900000,183800000,12170000000,4860000000,294200000,131600000,241200000,368800000,272200000,1640000000,175000000,952500000,808400000,158200000,3560000000,4043000000,784600000,5820000000,71630000000,339900000,216800000,767200000,1580000000,361700000,1880000000,2270000000,3260000000,82100000,137100000,417200000,390600000,164800000,2570000000,293700000,813400000,633200000,3460000000,8210000000,8210000000,953500000,1180000000,91000000,1830000000,1020000000,1810000000,2080000000,168500000,1.08E+11,985700000,229700000,2800000000,999800000,392500000,867400000,72200000,989000000,3270000000,491900000,234400000,8040000000,437100000,3250000000,1190000000,679700000,26570000000,351200000,1220000000,179500000,5580000000,129200000,1360000000,78300000,20050000000,938300000,188900000,2180000000,
12/05/2017,,346400000,185300000,482100000,336000000,426200000,8340000000,183000000,160700000,1640000000,835100000,84200000,2500000000,314300000,928800000,259400000,250800000,183800000,12180000000,4860000000,292000000,131300000,233500000,369000000,271200000,1670000000,175000000,952700000,823500000,158600000,3580000000,402500000,784800000,5830000000,70611000000,344500000,222200000,769400000,1600000000,362000000,1830000000,2220000000,3590000000,86900000,137900000,417900000,390300000,164200000,2570000000,295600000,812200000,630600000,3430000000,8180000000,8180000000,953500000,1190000000,91300000,1.83E+11,,,2080000000,89300000,1080000000,992100000,233800000,1.97E+11,944400000,392800000,867300000,72100000,998800000,3270000000,491800000,234700000,8020000000,438900000,3250000000,1210000000,679400000,26520000000,351800000,1240000000,181000000,5480000000,129900000,1360000000,78200000,19970000000,935400000,181000000,2210000000,
