,Unnamed: 0,AAL,ABF,ADM,AHT,ANTO,AUTO,AV.,AVV,AZN,BA.,BAB,BARC,BATS,BDEV,BHP,BKG,BLND,BNZL,BP,BRBY,BT-A,CCH,CCL,CNA,CPG,CRDA,CRH,CTEC,DCC,DGE,DLG,EVR,EXPN,EZJ,FERG,FLTR,FRES,GFS,GLEN,GSK,GVC,HIK,HL.,HLMA,HMSO,HSBA,HSX,IAG,IHG,III,IMB,INF,ITRK,ITV,JD.,JE.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MDC,MGGT,MKS,MNDI,MNG,MRO,MRW,NG.,NMC,NXT,OCDO,PFG,PHNX,POLY,PRU,PSN,PSON,RB.,RBS,RDSA,RDSB,REL,RIO,RMG,RMV,RR.,RSA,RTO,SBRY,SDR,SGE,SGRO,SKG,SLA,SMDS,SMIN,SMT,SN.,SPX,SSE,STAN,STJ,SVT,TSCO,TUI,TW.,ULVR,UU.,VOD,WG.,WPP,WTB
0,2019-08-16,1386584542,791674183,290949880,462230321,985856695,929215357,3915896777,161291460,1311759192,3202230871,505596597,17240956167,2293775200,1014276243,5056874950,125952014,931488676,336515387,20346137748,411458671,9922846136,362924033,690669554,5817217139,1586258328,128656975,797021888,1966155724,98258223,2379688729,1364600000,1451907773,910022914,397208133,229543875,78128783,736943589,1551594436,13589563949,4987785834,581892495,241953780,473890290,379645332,766293613,20236188589,287827837,1984297024,182033293,973004394,956736947,1251798534,161393127,4025409194,973233160,681725806,193533430,2110114184,741461814,5960948551,70748461117,349569417,343275832,737243810,776938396,1950059808,485553780,0,4858254963,2392304674,3480413463,208672205,133228915,697093041,253378601,721204561,470155459,2599708677,318517590,781417120,707943943,12090000000,8106428504,8106428504,1953389277,1633765375,1000000000,890065986,1904529405,1031309425,1849332965,2207309364,282500000,1086448077,1091456751,237511371,2409829466,1371206732,395948094,1478705880,875119370,73666646,1022786841,3214030148,530648440,237403744,9793496561,587901304,3279537144,2618914239,955844598,26824974957,681539369,1261890152,133683081
1,2019-05-10,1405079530,791674183,290949880,468369178,985856695,929215357,3915896777,161291460,1311759192,3202230871,505596597,17240956167,2293775200,1014276243,5056874950,129015283,949331436,336515387,20346137748,411458671,9922846136,362924033,690669554,5714519979,1586258328,128656975,807578947,1966155724,98258223,2379688729,1364600000,1451907773,910022914,397208133,231990972,78128783,736943589,1551594436,13783542417,4987785834,581892495,241953780,473890290,379645332,766293613,20236188589,287827837,1984297024,182033293,973004394,956736947,1251798534,161393127,4025409194,973233160,681725806,193533430,2110114184,741461814,5960948551,70748461117,349569417,343275832,737243810,776938396,1625021095,632450102,0,4858254963,2392304674,3411815909,208672205,136529324,697093041,253378601,721204561,470155459,2599708677,318517590,781417120,707943943,12090000000,8106428504,8106428504,1953389277,1633765375,1000000000,890065986,1904529405,1031309425,1849332965,2207309364,282500000,1086448077,1091456751,237511371,2447838795,1371206732,395948094,1478705880,875119370,73666646,1034751517,3304445281,530648440,237403744,9793496561,587901304,3279537144,2618914239,681888418,26824974957,681539369,1261890152,173854532
2,2019-02-08,1404769279,791674183,287741113,474615278,985856695,935687917,3929797977,161207315,1266647412,3193036732,505596597,17069000000,2293705222,1012547442,5323621653,129173414,955325004,335952042,20260266756,411367659,9921902715,368134408,696540546,5696882855,1583678241,131643021,819903172,1961473904,98240132,2431326701,1365100000,1432052631,917685363,397208133,231824750,78429856,736893589,1551594436,13941726811,4959521704,578017139,241417583,474318625,379641342,773404019,20039386235,287005562,1983178424,181232051,972897006,953736947,1251601165,161393127,4025409194,973233160,680269277,193533430,2110113288,741459785,5958855524,71147373711,346000000,414836184,737243810,776875371,1624777295,485553780,0,4858254963,2355948486,3398485693,208162598,137747284,691810715,253269860,721170388,469368309,2591861135,315947901,780653926,706080688,11993000000,8187516165,8187516165,2899422027,1699147524,1000000000,895441500,1885484271,1026715007,1843332965,2199724108,282522400,1083456642,1013502762,237211577,2506900446,1367652787,395759666,1469605880,874478481,73612195,1026536495,3303864232,529299893,236808957,9766305447,587386900,3276634192,2883258350,681888418,26676560828,677739369,1262332044,181708250
3,2018-11-16,1404769279,791674183,287741113,481079281,985856695,947966455,3929797977,161207315,1266647412,3193036732,505596597,17069000000,2293705222,1012547442,5323621653,129173414,967484719,335952042,19952919228,411367659,9921902715,368134408,696540546,5601146476,1583678241,131643021,819903172,1961473904,98240132,2431326701,1365100000,1432052631,917685363,397208133,231824750,80293127,736893589,1551594436,14102047264,4959521704,578017139,241417583,474318625,379641342,773404019,20039386235,287005562,1983178424,190669939,972897006,953736947,1251601165,161393127,4025409194,973233160,680269277,193533430,2144427826,741459785,5958855524,71147373711,346000000,425261395,737243810,76689244,1624777295,485553780,0,4858254963,2355948486,3398485693,208162598,139685453,691810715,253269860,721170388,455881730,2591861135,315947901,780653926,706080688,11993000000,8312762919,8312762919,2899422027,1699147524,1000000000,895441500,1885484271,1026715007,1843332965,2199724108,282522400,1083456642,1013502762,237211577,2553255058,1367652787,395759666,1441305880,874478481,73612195,1026536495,3303864232,529299893,236808957,9766305447,587386900,3276634192,2706727874,681888418,26676560828,677739369,1262332044,183575026
4,2018-08-17,1404769279,791674183,287741113,489897891,985856695,947966455,3929797977,161207315,1266647412,3193036732,505596597,17069000000,2293705222,1012547442,5323621653,132446215,982926087,335952042,19952919228,418253348,9921902715,368134408,705806069,5601146476,1583678241,131643021,832168016,1961473904,89321891,2460292144,1365100000,1432052631,917685363,397208133,231824750,82587529,736893589,1551594436,14424740908,4959521704,578017139,241417583,474318625,379641342,794242748,20039386235,287005562,2008355907,190669939,972897006,953736947,1251601165,161393127,4025409194,973233160,680269277,193533430,2144427826,741459785,5958855524,72064231969,346000000,436318447,737243810,776455015,1624777295,632450102,0,4858254963,2355948486,3398485693,208162598,139685453,672672116,253269860,577013629,450723709,2591861135,311304918,780653926,706080688,11993000000,8312762919,8312762919,1972700000,1719151053,1000000000,90664362,1859856913,1026715007,1843332965,2199724108,282522400,1083456642,1002929876,237211577,2979421886,1367652787,395759666,1441305880,874478481,73612195,1015185151,3303864232,529299893,236808957,9766305447,587386900,3276634192,2706727874,681888418,26676560828,677739369,1262332044,183575026
5,2018-05-17,1404769279,791674183,287741113,489897891,985856695,947966455,4020322953,161207315,1266647412,3193036732,505596597,17069000000,2293705222,1012547442,5323621653,134156653,982926087,335952042,19952919228,418253348,9921902715,368134408,714466469,5601146476,1583678241,131643021,841230034,1961473904,89321891,2460292144,1365100000,1432052631,917685363,397208133,247027720,84619719,736893589,1551594436,14424740908,4959521704,578017139,241417583,474318625,379641342,794242748,20039386235,287005562,2048048303,190669939,972897006,953736947,824005051,161393127,4025409194,973233160,680269277,193533430,2144427826,741459785,5958855524,72064231969,346000000,436318447,737243810,776455015,1624777295,485553780,0,4409671046,2355948486,3354787716,208162598,141459776,663505959,253269860,393262255,450723709,2591861135,311304918,780653926,706080688,11993000000,8312762919,8312762919,2003700000,1736927690,1000000000,90664362,1859856913,1026715007,1843332965,2199724108,282522400,1083456642,1002929876,237211577,2979421886,1074456577,395759666,1414663209,874478481,73612195,1015185151,3303864232,529299893,236808957,9766305447,587386900,3276634192,2738881591,681888418,26676560828,677739369,1262332044,183575026
6,2018-02-14,1402243988,791674183,284782447,499225712,985865695,953813480,4011205623,63975869,1265640640,3178194647,505596597,17030191601,2293507548,1006975378,5322442951,135415353,982982263,335672283,19921506335,418232188,9958766455,364125748,715327040,5592373933,1581421327,131247760,835805601,1951472651,88816361,2464264044,1375000000,1419512128,918628703,397208133,248800914,84199867,736893589,1551594436,14394741000,4917432447,303734808,240266361,474318625,379183144,793189086,20049325983,285736557,2056740819,189990180,972808424,958710863,824005051,161390540,4025409194,973233160,678869236,193533430,2166974329,741437381,5955260471,71540886364,349070574,435237258,737243810,775746433,1624727846,485553780,0,1941200503,2335619034,3371214779,207957709,143478977,662924706,148213001,392856867,430112661,2585728023,308592265,780651281,700634909,11843271071,8313573885,8313573885,2015200000,1748425112,1000000000,90995551,1840134189,1020283366,1837332965,2188900863,282500758,1080870017,998297537,236802563,5374250679,1067886415,395458972,1397519485,875167195,73540195,1019346079,3290328848,528395844,235923631,8175479694,587038187,3271773637,2802539872,681900000,26623288193,677688536,1263608076,183385950
7,2017-11-15,1402243988,791674183,284782447,499225712,985865695,964893822,4011205623,63975869,1265640640,3178194647,505596597,17030191601,2293507548,1006975378,5322442951,135415353,1004560060,335672283,19675987002,427075774,9958766455,364125748,724371893,5592373933,1581421327,131247760,835805601,1951472651,88816361,2517287071,1375000000,1419512128,933867568,397208133,252928930,84199867,736893589,1551594436,14394741000,4917432447,300668046,240266361,474318625,379183144,793189086,20049325983,285736557,2056740819,189990180,972808424,958710863,824005051,161390540,4025409194,973233160,678869236,193533430,2166974329,741437381,5955260471,71540886364,349070574,435237258,737243810,775746433,1624727846,367240805,0,1941200503,2335619034,3422377464,204285714,147056562,629719608,148213001,392856867,430112661,2585728023,308592265,814064276,700634909,11843271071,8193133326,8193133326,2015200000,1784143612,1000000000,92512796,1840134189,1020283366,1837332965,2188900863,282500758,1080870017,998297537,236802563,2977229231,1067886415,395458972,1397519485,875167195,73540195,1019346079,3290328848,528395844,235923631,8175479694,587038187,3271773637,2802539872,681900000,26623288193,677688536,1263608076,183385950
8,2017-08-16,1402243988,791674183,284782447,499225712,985865695,974767869,4068398589,63975869,1265640640,3178194647,505596597,17030191601,2293507548,1006975378,5322442951,137738711,1029768813,335672283,19675987002,432042188,9958766455,364125748,724371893,5592373933,1581421327,131247760,835805601,1951472651,88816361,2517287071,1375000000,1419512128,933867568,397208133,252928930,84199867,736893589,1551594436,14394741000,4917432447,300668046,240266361,474318625,379183144,793189086,20049325983,285736557,2079172142,189990180,972808424,958710863,824005051,161390540,4025409194,973233160,678869236,193533430,2189630904,790751441,5955260471,71540886364,349070574,229465515,737243810,775746433,1624727846,367240805,0,1941200503,2335619034,3422377464,204285714,147056562,629719608,148213001,392856867,430112661,2585728023,308592265,822586857,700634909,11843271071,8193133326,8193133326,2042700000,1806425043,1000000000,92512796,1840134189,1020283366,1837332965,2188900863,282500758,1080870017,998297537,236802563,2977229231,1014648753,395458972,0,875167195,73540195,1004769844,3290328848,528395844,235923631,8175479694,587038187,3271773637,2846233656,681900000,26623288193,383175384,1278466546,183385950
9,2017-05-12,1402243988,791674183,284782447,499225712,985865695,974767869,4068398589,63975869,1265640640,3178194647,505596597,17030191601,1864382842,1006975378,5322442951,137738711,1029768813,335672283,19675987002,445173466,9958766455,364125748,724371893,5492577298,1644369299,131247760,835805601,1951472651,88816361,2517287071,1375000000,1419512128,933867568,397208133,252928930,84199867,736893589,1551594436,14394741000,4917432447,297146459,240266361,474318625,379183144,793189086,20049325983,285736557,2104158845,189990180,972808424,958710863,824005051,161390540,4025409194,973233160,678869236,182782182,2225005402,790751441,5955260471,71540886364,349070574,229465515,737243810,775746433,1624727846,485553780,0,1886746589,2335619034,3753238483,204285714,147056562,629719608,148213001,392856867,430112661,2585728023,308592265,822586857,700634909,11843271071,8193133326,8193133326,2042700000,1806425043,1000000000,92512796,1840134189,1020283366,1837332965,2188900863,282500758,1080870017,998297537,236802563,4374598618,951298314,395458972,0,875167195,73540195,1004769844,3290328848,528395844,235923631,8175479694,587038187,3271773637,2846233656,681900000,26623288193,383175384,1278466546,183385950
