,AAL,ABF,ADM,AHT,ANTO,AUTO,AV.L,AVV,AZN,BA.,BARC,BATS,BDEV,BHP,BKG,BLND,BNZL,BP,BRBY,BT-A,CCH,CCL,CNA,CPG,CRDA,CRH,DCC,DGE,DLG,EVR,EXPN,EZJ,FERG,FLTR,FRES,GLEN,GSK,GVC,HIK,HL.,HLMA,HSBA,HSX,IAG,IHG,III,IMB,INF,ITRK,ITV,JD.,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MGGT,MKS,MNDI,MNG,MRO,MRW,NG.,NMC,NXT,OCDO,PHNX,POLY,PRU,PSN,PSON,RB.,RBS,RDSA,RDSB,REL,RIO,RMV,RR.,RSA,RTO,SBRY,SDR,SGE,SGRO,SKG,SLA,SMDS,SMIN,SMT,SN.,SPX,SSE,STAN,STJ,SVT,TSCO,TUI,TW.,ULVR,UU.,VOD,WG.,WPP,WTB
16/08/2019,1386584542,791674183,290949880,462230321,985856695,926373989,3916893934,161384751,1311876336,3203440300,17247179295,2293805459,1017928193,5056874950,125952014,931488676,336742894,20381014307,411465500,9882145250,363062798,688041683,5817217139,1586366758,128656975,797021888,98346348,2368369915,1366900000,1451907061,910638857,397208133,229543875,78200297,736943589,13589563949,4988423784,581920831,242278486,474318625,379274978,20252879982,288306031,1984330139,182033293,973031302,954183719,1251798534,161393127,4025409194,973233160,193533430,2110125942,741462011,5964480960,70302406756,349702276,340799169,776954274,1950059808,485553780,0,4858254963,2399877355,3480413463,208770133,133228915,698032394,721444186,470161124,2599808246,318530532,781772191,709058789,12091000000,8039545176,8039545176,1944702343,1627510062,886162224,1920005119,1031500361,1849332965,2212023238,282528000,1086709634,1093314366,237675569,2409829466,1371951256,395956781,1484780880,874586338,73666646,1022786841,3214030148,532006121,237871086,9793496561,587901304,3279824218,2618914239,955844598,26767415647,681539369,1261904652,133683081
10/05/2019,1405079530,791674183,290949880,468369178,985856695,929215357,3915896777,161291460,1311759192,3202230871,17240956167,2293775200,1014276243,5056874950,129015283,949331436,336515387,20346137748,411458671,9922846136,362924033,690669554,5714519979,1586258328,128656975,807578947,98258223,2379688729,1364600000,1451907773,910022914,397208133,231990972,78128783,736943589,13783542417,4987785834,581892495,241953780,473890290,379645332,20236188589,287827837,1984297024,182033293,973004394,956736947,1251798534,161393127,4025409194,973233160,193533430,2110114184,741461814,5960948551,70748461117,349569417,343275832,776938396,1625021095,632450102,0,4858254963,2392304674,3411815909,208672205,136529324,697093041,721204561,470155459,2599708677,318517590,781417120,707943943,12090000000,8106428504,8106428504,1953389277,1633765375,890065986,1904529405,1031309425,1849332965,2207309364,282500000,1086448077,1091456751,237511371,2447838795,1371206732,395948094,1478705880,875119370,73666646,1034751517,3304445281,530648440,237403744,9793496561,587901304,3279537144,2618914239,681888418,26824974957,681539369,1261890152,173854532
08/02/2019,1404921479,791674183,290502737,474615278,985865695,935687917,3902816312,161285176,1267101448,3196118597,17134457673,2293770542,1014263216,5323566055,129015283,955325004,336437710,20260266756,411395861,9922803740,365750156,691807881,5696882855,1586071336,131643021,812651611,98249479,2417362957,1365700000,1443350107,910045290,397208133,231967958,78429856,736893589,13941726811,4964922506,581870271,241458320,474318625,379645332,20036177756,287792195,1983310799,181232051,972989408,956736947,1251798534,161393127,4025409194,973233160,193533430,2110113288,741461814,5960815458,71172185031,348169417,414836184,776875371,1624962490,485553780,0,4858254963,2368254984,3410105960,208211000,137747284,691918944,721199214,469368309,2593132001,317580678,781409422,707503244,12048000000,8187516165,8187516165,2893807333,1682469914,892556026,1895756357,1026951609,1843332965,2202634887,282500000,1085740563,1013502762,237212887,2506900446,1369455214,395943369,1469605880,875879384,73612195,1026537632,3309343491,529467366,237165741,9793496561,587901304,3278570979,2883258350,681888418,26720396036,681539369,1261823674,181708250
16/11/2018,1404778599,791674183,290502737,481079281,985865695,938915746,3901451022,161270676,1266798130,3195156940,17128392319,2293768189,1014148407,5323491939,129173414,967484719,336393407,20061803683,411367659,9921904070,368328169,696540546,5642968388,1584067424,131643021,819903172,98240132,2431326701,1365700000,1443350107,910165681,397208133,231850578,80293127,736893589,14102047264,4960563356,581870271,241445043,474318625,379645332,19927909172,287659093,1983178424,190669939,972954232,953736947,1251620964,161393127,4025409194,973233160,193533430,2131307931,741461814,5960585143,71147373711,348158133,425261395,76689244,1624892103,485553780,0,4858254963,2367891442,3398644649,208211000,139685453,691810715,721170388,455881730,2591985077,315947901,781067196,707116223,12048000000,8269707950,8269707950,2899422027,1699147524,895441500,1885484271,1026852917,1843332965,2201585208,282500000,1085319742,1013502762,237212887,2553255058,1369421622,395933553,1454705880,874499809,73612195,1026536495,3307303881,529338560,237149134,9793496561,587901304,3276671471,2684424979,681888418,26716955152,681539369,1261813014,183636582
17/08/2018,1404773410,791674183,287741113,486344305,985856695,948151129,3929797977,161208460,1266776325,3193680437,17111653302,2293734217,1013728857,5323621653,132446215,979209973,336311825,19978817834,414392260,9921902900,368213169,705806069,5642406371,1583769552,131643021,832168016,89335632,2458944093,1365700000,1443350819,914601186,397208133,231824750,82587529,736893589,14292994940,4960003410,578339356,241421135,474318625,379645332,19906538191,287532043,2008355907,190669939,972938343,953736947,1251601165,161393127,4025409194,973233160,193533430,2131285954,741459785,5959975297,71381016148,347986754,436476994,776489789,1624797438,632450102,0,4858254963,2367096041,3398485693,208210685,139685453,672672116,577013629,452587679,2591887487,312959046,781057074,706588340,12028000000,8312762919,8312762919,1972700000,1719151053,90396750,1869591137,1026798216,1843332965,2200453960,282500000,1083674937,1011653464,237211577,2974843278,1367652787,395761227,1441305880,874399891,73612195,1015204794,3304281183,529313294,237061359,9790155296,587386900,3276671471,2706727874,681888418,26715060473,677739369,1261768944,183628409
17/05/2018,1404769279,791674183,287741113,489897891,985856695,947966455,4020322953,161207315,1266647412,3193036732,17069000000,2293705222,1012547442,5323621653,134156653,982926087,335952042,19952919228,418253348,9921902715,368134408,714466469,5601146476,1583678241,131643021,841230034,89321891,2460292144,1365100000,1432052631,917685363,397208133,247027720,84619719,736893589,14424740908,4959521704,578017139,241417583,474318625,379641342,20039386235,287005562,2048048303,190669939,972897006,953736947,824005051,161393127,4025409194,973233160,193533430,2144427826,741459785,5958855524,72064231969,346000000,436318447,776455015,1624777295,485553780,0,4409671046,2355948486,3354787716,208162598,141459776,663505959,393262255,450723709,2591861135,311304918,780653926,706080688,11993000000,8312762919,8312762919,2003700000,1736927690,90664362,1859856913,1026715007,1843332965,2199724108,282522400,1083456642,1002929876,237211577,2979421886,1074456577,395759666,1414663209,874478481,73612195,1015185151,3303864232,529299893,236808957,9766305447,587386900,3276634192,2738881591,681888418,26676560828,677739369,1262332044,183575026
14/02/2018,1404615227,791674183,287214262,495085712,985865695,953813480,4013102343,64036851,1266395869,3186505155,17063763749,2293639133,1012539688,5323621653,134567373,982982263,335933236,19921506335,418232188,9921900768,367330980,715327040,5600424313,1583463503,131392794,838916497,89200866,2464264044,1375000000,1432052631,918628703,397208133,248800914,84593955,736893589,14424740908,4958194920,303734808,240678894,474318625,379641342,19995843921,286961264,2048048303,189990180,972886419,953736947,824005051,161390540,4025409194,973233160,193533430,2160759071,741457665,5958569258,72151123485,346736754,435485979,776415367,1624746157,485553780,0,1941200503,2355814852,3371214779,207957709,143478977,662924706,393233876,430112661,2587283903,308897513,780651281,703807283,11905000000,8313573885,8313573885,2003700000,1748425112,90995551,1840595584,1022861852,1837332965,2190287169,282500000,1083391722,1002926698,236857731,5374250679,1067907369,395749271,1400628740,875012530,73559950,1014494770,3296781919,529080404,236270102,8192116619,587386900,3276146553,2794541372,681888418,26674714037,677705405,1269932614,183428708
15/11/2017,1404608606,791674183,287214262,499225712,985865695,964893822,4011205623,64000869,1265948818,3185637980,17044449463,2293609435,1012414285,5323621653,135415353,1004560060,335912613,19807851160,427075774,9917777422,365530529,723223394,5595679561,1581533938,131392794,838667427,89197053,2500434170,1375000000,1432052631,926108965,397208133,251057914,84410099,736893589,14394741000,4918681714,301702912,240655680,474318625,379641342,19970173394,286505679,2056740819,189990180,972864638,954850863,824005051,161390540,4025409194,973233160,193533430,2166974329,741437381,5958190109,72042659646,346721788,435237258,776270296,1624740938,367240805,0,1941200503,2355206626,3393008394,204285714,146290882,630670316,393225226,430112661,2585895831,308629310,814064276,703576393,11905000000,8260852452,8260852452,2015200000,1784143612,91645048,1840590166,1022742740,1837332965,2190153937,282500000,1081236734,1002924985,236845701,2977376528,1067886415,395725866,1397519485,874647859,73559950,1019346079,3296035258,529065087,236263530,8190684072,587386900,3271983845,2802539872,681888418,26673804179,677688536,1263608076,183426364
16/08/2017,1404605828,791674183,284782447,499225712,985856695,971144195,4037027628,63979082,1265794991,3184813597,17035227684,2293507548,1009652103,5322442951,136383642,1025785396,335873067,19752092196,432042188,9917312788,364769180,724372726,5592373933,1581421327,131392794,836343034,89078345,2518026140,1375000000,1432053343,931253004,397208133,253253526,84365277,736893589,14394741000,4918478335,300668046,240647229,474318625,379183144,20120507801,286330828,2079172142,189990180,972847220,958710863,824005051,161390540,4025409194,973233160,193533430,2189630904,790753688,5957098488,71993684824,345986003,229741879,775777790,1624733090,367240805,0,1941200503,2354022308,3422377464,204285714,147056562,630131323,393166163,430112661,2585878103,308624506,823048609,703486021,11876000000,8227055597,8227055597,2042700000,1798344695,92051329,1840579426,1022697918,1837332965,2189886696,282495158,1080888355,998522723,236836125,2977229231,1014648753,395476662,0,875095052,73559950,998946139,3291623102,528617572,236227300,8188872721,587038187,3271983845,2826500402,681888418,26667760581,383175384,1272902191,183413328
12/05/2017,1402243988,791674183,284782447,499225712,985865695,974767869,4068398589,63975869,1265640640,3178194647,17030191601,1864382842,1006975378,5322442951,137738711,1029768813,335672283,19675987002,445173466,9958766455,364125748,724371893,5492577298,1644369299,131247760,835805601,88816361,2517287071,1375000000,1419512128,933867568,397208133,252928930,84199867,736893589,14394741000,4917432447,297146459,240266361,474318625,379183144,20049325983,285736557,2104158845,189990180,972808424,958710863,824005051,161390540,4025409194,973233160,182782182,2225005402,790751441,5955260471,71540886364,349070574,229465515,775746433,1624727846,485553780,0,1886746589,2335619034,3753238483,204285714,147056562,629719608,392856867,430112661,2585728023,308592265,822586857,700634909,11843271071,8193133326,8193133326,2042700000,1806425043,92512796,1840134189,1020283366,1837332965,2188900863,282500758,1080870017,998297537,236802563,4374598618,951298314,395458972,0,875167195,73540195,1004769844,3290328848,528395844,235923631,8175479694,587038187,3271773637,2846233656,681900000,26623288193,383175384,1278466546,183385950
