,0
0,AAL
1,ABF
2,ADM
3,AHT
4,ANTO
5,AUTO
6,AV.
7,AVV
8,AZN
9,BA.
10,BAB
11,BARC
12,BATS
13,BDEV
14,BHP
15,BKG
16,BLND
17,BNZL
18,BP
19,BRBY
20,BT-A
21,CCH
22,CCL
23,CNA
24,CPG
25,CRDA
26,CRH
27,CTEC
28,DCC
29,DGE
30,DLG
31,EVR
32,EXPN
33,EZJ
34,FERG
35,FLTR
36,FRES
37,GFS
38,GLEN
39,GSK
40,GVC
41,HIK
42,HL.
43,HLMA
44,HMSO
45,HSBA
46,HSX
47,IAG
48,IHG
49,III
50,IMB
51,INF
52,ITRK
53,ITV
54,JD.
55,JE.
56,JMAT
57,KGF
58,LAND
59,LGEN
60,LLOY
61,LSE
62,MCRO
63,MDC
64,MGGT
65,MKS
66,MNDI
67,MNG
68,MRO
69,MRW
70,NG.
71,NMC
72,NXT
73,OCDO
74,PFG
75,PHNX
76,POLY
77,PRU
78,PSN
79,PSON
80,RB.
81,RBS
82,RDSA
83,RDSB
84,REL
85,RIO
86,RMG
87,RMV
88,RR.
89,RSA
90,RTO
91,SBRY
92,SDR
93,SGE
94,SGRO
95,SKG
96,SLA
97,SMDS
98,SMIN
99,SMT
100,SN.
101,SPX
102,SSE
103,STAN
104,STJ
105,SVT
106,TSCO
107,TUI
108,TW.
109,ULVR
110,UU.
111,VOD
112,WG.
113,WPP
114,WTB
