,Quarter CO Date,Divisors
"Q3,17",2017-09-18,2677023.6553034517
"Q4,17",2017-12-18,"0    2.699987e+06
Name: 2017-09-15 00:00:00, dtype: float64"
"Q1,18",2018-03-19,"0    2.742427e+06
Name: 2017-12-15 00:00:00, dtype: float64"
"Q2,18",2018-06-18,"0    2.758410e+06
Name: 2018-03-16 00:00:00, dtype: float64"
"Q3,18",2018-09-24,"0    2.733746e+06
Name: 2018-06-15 00:00:00, dtype: float64"
"Q4,18",2018-12-24,"0    2.760703e+06
Name: 2018-09-21 00:00:00, dtype: float64"
"Q1,19",2019-03-18,"0    2.963100e+06
Name: 2018-12-21 00:00:00, dtype: float64"
"Q2,19",2019-06-24,"0    2.972047e+06
Name: 2019-03-15 00:00:00, dtype: float64"
"Q3,19",2019-09-23,"0    2.751841e+06
Name: 2019-06-21 00:00:00, dtype: float64"
"Q4,19",2019-12-23,"0    2.765050e+06
Name: 2019-09-20 00:00:00, dtype: float64"
