Date,Hong Kong 8:30,Hong Kong 14:00,London 09:00,New York 9:30
2017-01-03,689.0,687.0,689.0,715.0
2017-01-04,712.0,717.0,726.0,742.0
2017-01-05,745.0,749.0,741.0,746.0
2017-01-06,744.0,743.0,750.0,747.0
2017-01-09,764.0,766.0,765.0,761.0
2017-01-10,763.0,766.0,765.0,762.0
2017-01-11,764.0,767.0,770.0,752.0
2017-01-12,757.0,761.0,762.0,761.0
2017-01-13,760.0,757.0,761.0,748.0
2017-01-16,756.0,754.0,754.0,749.0
2017-01-17,749.0,749.0,753.0,760.0
2017-01-18,755.0,751.0,752.0,747.0
2017-01-19,753.0,753.0,755.0,752.0
2017-01-20,757.0,759.0,759.0,762.0
2017-01-23,794.0,800.0,794.0,784.0
2017-01-24,781.0,778.0,781.0,786.0
2017-01-25,793.0,793.0,784.0,759.0
2017-01-26,748.0,740.0,745.0,719.0
2017-01-27,729.0,725.0,720.0,727.0
2017-01-30,,,735.0,734.0
2017-01-31,,,751.0,
2017-02-01,763.0,760.0,764.0,759.0
2017-02-02,768.0,772.0,770.0,766.0
2017-02-03,762.0,757.0,755.0,746.0
2017-02-06,752.0,762.0,769.0,772.0
2017-02-07,776.0,774.0,767.0,768.0
2017-02-08,762.0,765.0,772.0,770.0
2017-02-09,772.0,775.0,778.0,779.0
2017-02-10,769.0,769.0,779.0,780.0
2017-02-13,786.0,786.0,782.0,780.0
2017-02-14,777.0,781.0,783.0,782.0
2017-02-15,785.0,785.0,785.0,782.0
2017-02-16,793.0,795.0,797.0,794.0
2017-02-17,794.0,790.0,796.0,791.0
2017-02-20,781.0,780.0,780.0,777.0
2017-02-21,775.0,775.0,772.0,769.0
2017-02-22,784.0,786.0,785.0,772.0
2017-02-23,772.0,772.0,773.0,776.0
2017-02-24,779.0,781.0,782.0,783.0
2017-02-27,773.0,775.0,778.0,783.0
2017-02-28,785.0,788.0,786.0,
2017-03-01,776.0,778.0,782.0,775.0
2017-03-02,779.0,779.0,779.0,774.0
2017-03-03,774.0,773.0,772.0,760.0
2017-03-06,780.0,779.0,777.0,772.0
2017-03-07,776.0,776.0,775.0,769.0
2017-03-08,776.0,777.0,771.0,772.0
2017-03-09,774.0,770.0,765.0,753.0
2017-03-10,750.0,749.0,751.0,753.0
2017-03-13,754.0,754.0,755.0,753.0
2017-03-14,756.0,758.0,756.0,746.0
2017-03-15,746.0,748.0,755.0,747.0
2017-03-16,770.0,775.0,770.0,774.0
2017-03-17,770.0,768.0,772.0,779.0
2017-03-20,780.0,780.0,779.0,779.0
2017-03-21,786.0,783.0,788.0,788.0
2017-03-22,790.0,786.0,791.0,793.0
2017-03-23,791.0,794.0,798.0,804.0
2017-03-24,804.0,805.0,807.0,814.0
2017-03-27,814.0,815.0,811.0,806.0
2017-03-28,793.0,795.0,796.0,790.0
2017-03-29,797.0,795.0,796.0,789.0
2017-03-30,795.0,,793.0,798.0
2017-03-31,799.0,798.0,800.0,
2017-04-03,806.0,806.0,802.0,801.0
2017-04-04,,,809.0,809.0
2017-04-05,809.0,809.0,813.0,814.0
2017-04-06,815.0,813.0,812.0,803.0
2017-04-07,810.0,813.0,811.0,805.0
2017-04-10,805.0,802.0,802.0,791.0
2017-04-11,795.0,795.0,797.0,799.0
2017-04-12,810.0,807.0,806.0,792.0
2017-04-13,806.0,806.0,810.0,803.0
2017-04-17,,,,794.0
2017-04-18,793.0,,794.0,791.0
2017-04-19,,777.0,781.0,779.0
2017-04-20,783.0,782.0,791.0,799.0
2017-04-21,807.0,804.0,806.0,801.0
2017-04-24,806.0,,806.0,797.0
2017-04-25,802.0,801.0,796.0,798.0
2017-04-26,805.0,808.0,805.0,801.0
2017-04-27,815.0,814.0,810.0,817.0
2017-04-28,821.0,821.0,823.0,
2017-05-01,,,,826.0
2017-05-02,821.0,816.0,817.0,820.0
2017-05-03,,,825.0,803.0
2017-05-04,803.0,803.0,807.0,795.0
2017-05-05,809.0,810.0,810.0,810.0
2017-05-08,820.0,820.0,819.0,819.0
2017-05-09,814.0,814.0,815.0,804.0
2017-05-10,802.0,802.0,801.0,804.0
2017-05-11,800.0,806.0,806.0,804.0
2017-05-12,808.0,811.0,812.0,809.0
2017-05-15,811.0,816.0,817.0,819.0
2017-05-16,803.0,803.0,807.0,802.0
2017-05-17,803.0,799.0,795.0,788.0
2017-05-18,786.0,787.0,785.0,767.0
2017-05-19,767.0,768.0,770.0,766.0
2017-05-22,766.0,766.0,764.0,754.0
2017-05-23,775.0,776.0,772.0,779.0
2017-05-24,778.0,778.0,778.0,763.0
2017-05-25,771.0,773.0,774.0,769.0
2017-05-26,777.0,777.0,778.0,781.0
2017-05-29,799.0,798.0,,
2017-05-30,,,799.0,801.0
2017-05-31,813.0,813.0,814.0,
2017-06-01,822.0,822.0,818.0,828.0
2017-06-02,828.0,834.0,834.0,839.0
2017-06-05,844.0,844.0,848.0,846.0
2017-06-06,847.0,849.0,850.0,853.0
2017-06-07,858.0,858.0,860.0,840.0
2017-06-08,841.0,844.0,846.0,855.0
2017-06-09,866.0,865.0,864.0,898.0
2017-06-12,896.0,911.0,907.0,898.0
2017-06-13,911.0,914.0,908.0,884.0
2017-06-14,891.0,891.0,883.0,888.0
2017-06-15,880.0,880.0,864.0,861.0
2017-06-16,879.0,881.0,878.0,869.0
2017-06-19,875.0,875.0,875.0,867.0
2017-06-20,869.0,871.0,870.0,866.0
2017-06-21,879.0,879.0,873.0,885.0
2017-06-22,895.0,895.0,889.0,892.0
2017-06-23,894.0,892.0,899.0,883.0
2017-06-26,870.0,870.0,867.0,859.0
2017-06-27,877.0,875.0,878.0,870.0
2017-06-28,867.0,868.0,865.0,865.0
2017-06-29,866.0,871.0,867.0,863.0
2017-06-30,858.0,857.0,853.0,
2017-07-03,855.0,853.0,853.0,850.0
2017-07-04,854.0,863.0,864.0,860.0
2017-07-05,863.0,862.0,863.0,845.0
2017-07-06,847.0,849.0,848.0,843.0
2017-07-07,843.0,842.0,843.0,837.0
2017-07-10,846.0,845.0,841.0,835.0
2017-07-11,850.0,848.0,849.0,842.0
2017-07-12,860.0,861.0,860.0,868.0
2017-07-13,870.0,869.0,870.0,870.0
