,0
2018-12-24,1998119733134.2644
2018-12-27,2022533156653.0208
2018-12-28,1992735752468.35
2018-12-31,2024490849447.8933
2019-01-02,2000900781416.3137
2019-01-03,2014116112010.074
2019-01-04,2033876482136.443
2019-01-07,2066171118495.2827
2019-01-08,2046833333156.673
2019-01-09,2079013635853.9727
2019-01-10,2061720874439.0962
2019-01-11,2086068794894.4011
2019-01-14,2058084184260.0205
2019-01-15,2065156359803.3284
2019-01-16,2069360925099.0115
2019-01-17,2043050926701.72
2019-01-18,2057972288950.4683
2019-01-21,2083952555140.6948
2019-01-22,2072147253440.6753
2019-01-23,2053977548085.7498
2019-01-24,2042579776903.574
2019-01-25,2037651769108.7085
2019-01-28,2028264136124.3142
2019-01-29,2024609741177.911
2019-01-30,2050014713353.3652
2019-01-31,2086804601581.006
2019-02-01,2087845888375.0764
2019-02-04,2099960789292.4941
2019-02-05,2118381499964.0818
2019-02-06,2146244920657.983
2019-02-07,2144752752577.8462
2019-02-08,2123519825626.2598
2019-02-11,2132722792988.0088
2019-02-12,2146227357883.3281
2019-02-13,2148876357845.3281
2019-02-14,2159282495064.3235
2019-02-15,2154008759922.031
2019-02-18,2167599408106.5725
2019-02-19,2154834347477.1355
2019-02-20,2154735943525.0479
2019-02-21,2158842583671.5288
2019-02-22,2147139189107.8296
2019-02-25,2155150655650.9412
2019-02-26,2134437795968.7458
2019-02-27,2128549624159.5078
2019-02-28,2112159189828.7239
2019-03-01,2124311139382.3875
2019-03-04,2127223530674.6018
2019-03-05,2131189546165.4624
2019-03-06,2141660561963.6863
2019-03-07,2133616318786.3035
2019-03-08,2118617759885.6077
2019-03-11,2127511847854.1477
2019-03-12,2125153825337.2239
2019-03-13,2123167564648.6494
2019-03-14,2134786078854.1165
2019-03-15,2149416715291.8582
2019-03-18,2159748465324.5562
