,0
2018-12-24,2008567963484.3638
2018-12-27,1978516817998.705
2018-12-28,2022719028899.6912
2018-12-31,2022231591086.8672
2019-01-02,2025710160448.6924
2019-01-03,2013297589438.7078
2019-01-04,2056101224184.394
2019-01-07,2048708522217.4067
2019-01-08,2061147499685.986
2019-01-09,2074311993607.7698
2019-01-10,2080524575127.088
2019-01-11,2071521179459.06
2019-01-14,2052578861099.2969
2019-01-15,2066042916289.703
2019-01-16,2052026820264.284
2019-01-17,2043225944574.4695
2019-01-18,2083711113998.934
2019-01-21,2084940250960.8005
2019-01-22,2060186730551.5845
2019-01-23,2039999729020.5723
2019-01-24,2034183717625.0747
2019-01-25,2032034277214.25
2019-01-28,2013142724365.819
2019-01-29,2038990555324.394
2019-01-30,2071356450743.7324
2019-01-31,2084855371469.4058
2019-02-01,2101607736373.0776
2019-02-04,2108931399620.058
2019-02-05,2152031629382.0046
2019-02-06,2149795446098.5562
2019-02-07,2125826148774.093
2019-02-08,2119588848154.54
2019-02-11,2136538423916.618
2019-02-12,2139713120591.9666
2019-02-13,2157127528541.3752
2019-02-14,2156297346995.441
2019-02-15,2166537722727.7222
2019-02-18,2161287953374.5251
2019-02-19,2150058613216.8955
2019-02-20,2164892400979.0542
2019-02-21,2146746487203.7493
2019-02-22,2149501017219.339
2019-02-25,2149082290513.276
2019-02-26,2138555547840.892
2019-02-27,2124260276459.827
2019-02-28,2112301566096.3032
2019-03-01,2119847878946.378
2019-03-04,2127448214555.9724
2019-03-05,2143147241800.4775
2019-03-06,2146858956506.2363
2019-03-07,2132581857277.416
2019-03-08,2116332508545.3494
2019-03-11,2124160804356.0913
2019-03-12,2130583957037.9697
2019-03-13,2134632772475.5952
2019-03-14,2142113047984.1028
2019-03-15,2153971000657.3088
