,0
2017-06-19,1997996605135.7324
2017-06-20,2002980706885.245
2017-06-21,1983869069188.797
2017-06-22,1973755347000.5972
2017-06-23,1967815567012.3022
2017-06-26,1974395111543.9473
2017-06-27,1971693724282.2246
2017-06-28,1968434857360.238
2017-06-29,1971600771210.2458
2017-06-30,1949537248632.9175
2017-07-03,1944531008108.974
2017-07-04,1951813428600.2964
2017-07-05,1956387993543.494
2017-07-06,1954159201211.808
2017-07-07,1945319892230.4531
2017-07-10,1957959451789.4175
2017-07-11,1954725988603.7275
2017-07-12,1954658076529.9734
2017-07-13,1968428452275.7139
2017-07-14,1968839881008.1504
2017-07-17,1962067249206.1018
2017-07-18,1960115823062.229
2017-07-19,1966844986254.528
2017-07-20,1976267147844.673
2017-07-21,1987949482028.654
2017-07-24,1975079216757.796
2017-07-25,1962852054970.5352
2017-07-26,1977429146943.9248
2017-07-27,1971724924102.344
2017-07-28,1972995545130.957
2017-07-31,1970697825247.8982
2017-08-01,1977354457804.876
2017-08-02,1982636326386.605
2017-08-03,1974536764681.5894
2017-08-04,1991397614815.744
2017-08-07,2009599552644.0806
2017-08-08,2011291042366.4888
2017-08-09,2008073996736.5044
2017-08-10,1993029110988.2917
2017-08-11,1960617558274.9456
2017-08-14,1960307592743.3035
2017-08-15,1969321995415.8394
2017-08-16,1978625556421.0396
2017-08-17,1978965321884.9575
2017-08-18,1962612364589.196
2017-08-21,1950655505514.0088
2017-08-22,1964950898288.6826
2017-08-23,1968096141118.1716
2017-08-24,1976831232751.5762
2017-08-25,1982514265263.6191
2017-08-29,1964361334359.991
2017-08-30,1971539404053.3262
2017-08-31,1973180292717.457
2017-09-01,1986370556884.5999
2017-09-04,1973948424152.3938
2017-09-05,1979138398760.98
2017-09-06,1961920219155.3545
2017-09-07,1967079770806.1587
2017-09-08,1970443857715.6643
2017-09-11,1977652625803.5535
2017-09-12,1981096170209.3982
2017-09-13,1969384555200.0107
2017-09-14,1970671202304.7234
2017-09-15,1947846164084.263
