,0
2019-09-23,2038910414654.1575
2019-09-24,2037895277951.3208
2019-09-25,2009028325836.0603
2019-09-26,2017991073152.1929
2019-09-27,2044870308098.973
2019-09-30,2060870574161.787
2019-10-01,2060984505452.0178
2019-10-02,2034275405004.5396
2019-10-03,1972860089115.1418
2019-10-04,1972697746722.9094
2019-10-07,1982282406842.7983
2019-10-08,2003840446541.6062
2019-10-09,1982883239391.5667
2019-10-10,1988717237781.682
2019-10-11,1988102916299.423
2019-10-14,2005432117940.7358
2019-10-15,2002777217761.24
2019-10-16,1991322176922.6897
2019-10-17,1984595329380.9358
2019-10-18,1981049509129.9097
2019-10-21,1972255125957.335
2019-10-22,1974298265299.5732
2019-10-23,1986849132949.4558
2019-10-24,2003019433960.3025
2019-10-25,2018873780719.704
2019-10-28,2017925492819.4653
2019-10-29,2020316644233.0618
2019-10-30,2012757544832.5469
2019-10-31,2021672513310.083
2019-11-01,1999007411397.3218
2019-11-04,2017144395425.7131
2019-11-05,2034599473743.6511
2019-11-06,2035480396070.921
2019-11-07,2043303657164.1714
2019-11-08,2037445198112.9473
2019-11-11,2024636572808.2273
2019-11-12,2028590927397.4014
2019-11-13,2021898631252.464
2019-11-14,2022341233483.7136
2019-11-15,2021197325523.3467
2019-11-18,2015241662188.251
2019-11-19,2018562430209.2732
2019-11-20,2009835863533.4797
2019-11-21,1990345793765.227
2019-11-22,2001400568258.3225
2019-11-25,2023594171975.9746
2019-11-26,2039687728320.5955
2019-11-27,2042143606191.116
2019-11-28,2031767987556.8088
2019-11-29,2026438281882.384
2019-12-02,2018211138676.6711
2019-12-03,1998869887403.1033
2019-12-04,1960996627915.1992
2019-12-05,1972716119637.8945
2019-12-06,1964023840517.0776
2019-12-09,1983502817143.3901
2019-12-10,1984401749993.4094
2019-12-11,1983492783344.2048
2019-12-12,1982821201604.642
2019-12-13,2007859646679.0269
2019-12-16,2018774099853.8682
2019-12-17,2052629182676.3418
2019-12-18,2058268213551.4402
2019-12-19,2069278064062.8398
2019-12-20,2076928690899.864
